name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999
OperatingCashFlow,"729,600,000","-375,400,000","-3,700,000","601,000,000","507,700,000","-26,900,000","567,600,000","401,800,000","337,900,000","-77,000,000","463,600,000","305,600,000","467,800,000","-120,400,000","166,700,000","265,300,000","449,000,000","-52,200,000","358,700,000","230,400,000","465,700,000","315,900,000","-412,800,000","367,500,000","243,400,000","-68,800,000","497,900,000","97,100,000","514,800,000","-56,300,000","183,000,000","467,100,000","769,500,000","-219,200,000","190,300,000","334,300,000","740,200,000","-484,600,000","501,600,000","70,500,000","405,500,000","-158,300,000","322,800,000","496,000,000","251,100,000","-105,100,000","3,700,000","438,900,000","113,600,000","-177,000,000","228,700,000","162,600,000","151,400,000","-180,000,000","157,700,000","269,800,000","202,600,000","-134,400,000","226,900,000","341,400,000","295,000,000","50,400,000","275,100,000","298,497,000","17,221,000","257,703,000","169,739,000","24,446,000","-89,782,000","223,268,000","138,440,000","-57,796,000","92,419,000","72,712,000","139,024,000","-34,209,000","-164,022,000","384,227,000","96,793,000","133,260,000","-37,066,000","317,919,000","68,394,000","138,182,000","-175,164,000","565,829,000","30,455,000","233,374,000","126,010,000"
	CashFlowFromContinuingOperatingActivities,"729,600,000","-375,400,000","-3,700,000","601,000,000","507,700,000","-26,900,000","567,600,000","401,800,000","337,900,000","-77,000,000","463,600,000","305,600,000","467,800,000","-120,400,000","166,700,000","265,300,000","449,000,000","-52,200,000","358,700,000","230,400,000","465,700,000","315,900,000","-412,800,000","367,500,000","243,400,000","-68,800,000","497,900,000","97,100,000","514,800,000","-56,300,000","183,000,000","467,100,000","769,500,000","-219,200,000","190,300,000","334,300,000","740,200,000","-484,600,000","501,600,000","70,500,000","405,500,000","-158,300,000","322,800,000","496,000,000","251,100,000","-105,100,000","3,700,000","438,900,000","113,600,000","-177,000,000","228,700,000","162,600,000","151,400,000","-180,000,000","157,700,000","269,800,000","202,600,000","-134,400,000","226,900,000","341,400,000","295,000,000","50,400,000","275,100,000","298,497,000","17,221,000","257,703,000","169,739,000","24,446,000","-89,782,000","223,268,000","138,440,000","-57,796,000","92,419,000","72,712,000","139,024,000","-34,209,000","-164,022,000","384,227,000","96,793,000","133,260,000","-37,066,000","317,919,000","68,394,000","138,182,000","-175,164,000","565,829,000","30,455,000","233,374,000","126,010,000"
		NetIncomeFromContinuingOperations,"1,835,300,000","237,500,000","557,100,000","545,600,000","495,100,000","371,600,000","330,800,000","294,700,000","62,000,000","120,000,000","242,600,000","242,600,000","62,000,000","190,600,000","94,800,000","281,200,000","241,900,000","265,200,000","422,600,000","274,600,000","249,600,000","214,200,000","218,100,000","255,900,000","236,500,000","157,800,000","194,800,000","241,300,000","244,000,000","284,000,000","225,900,000","251,600,000","316,800,000","206,800,000","330,800,000","248,700,000","203,700,000","199,600,000","128,000,000","156,900,000","227,600,000","74,800,000","309,900,000","83,400,000",,,"156,700,000","27,400,000","238,200,000","214,500,000","134,200,000","104,700,000","28,200,000","-57,800,000","31,900,000","131,800,000","162,800,000","155,200,000","180,200,000","170,600,000","171,000,000","151,800,000","-45,000,000","156,762,000","62,869,000","109,206,000","122,417,000","130,067,000","45,589,000","-392,257,000","68,414,000","69,557,000","58,616,000","83,638,000","-39,631,000","34,565,000","-17,508,000","74,699,000","86,004,000","95,729,000","80,036,000","104,922,000","131,111,000","156,257,000","116,353,000","128,202,000","115,410,000","120,244,000","80,212,000"
		OperatingGainsLosses,"-426,000,000","21,900,000","-99,700,000","-217,100,000","-131,100,000","-94,400,000","-119,500,000","-83,300,000","66,500,000","31,500,000","-6,400,000","-24,400,000","-31,300,000","-27,200,000","47,800,000","-20,600,000","12,600,000","-18,500,000","-31,200,000","-28,200,000","-37,700,000","-28,600,000","-700,000","-23,200,000","-29,600,000","36,800,000","23,700,000","15,700,000","5,900,000","-42,600,000","38,800,000","-15,300,000","-47,300,000","-43,000,000","-124,200,000","-46,800,000","9,100,000","-300,000","12,500,000","3,800,000","-40,300,000","60,900,000","-162,600,000","145,000,000","40,500,000","41,000,000","42,800,000","108,300,000","-282,400,000","-72,900,000","-6,700,000","-12,900,000","900,000","89,100,000","66,700,000","4,200,000","-10,700,000","-10,800,000","149,500,000","4,900,000","-1,200,000","-1,700,000","194,100,000","-45,889,000",,,,,,,,"-46,252,000",,,,"-80,956,000",,,,,,,,,"97,304,000","46,861,000","68,232,000","75,069,000","50,214,000"
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","-65,300,000","0","100,000","400,000","-400,000","0","100,000","-600,000",,,,,,,,"0","0","-1,200,000","-100,000","100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"-267,800,000","55,300,000","-66,700,000","-162,500,000","-93,900,000","-66,900,000","-93,500,000","-64,700,000","77,700,000","48,400,000","3,100,000","-4,600,000","-19,200,000","-12,200,000","52,800,000","-8,800,000","19,900,000","-8,800,000","-27,600,000","-15,300,000","-27,200,000","-10,900,000","10,700,000","-17,700,000","-25,000,000","24,600,000","26,800,000","23,900,000","17,900,000","-30,800,000","45,200,000","-4,400,000","-41,800,000","-33,000,000","-48,700,000","-36,500,000","15,900,000","7,400,000","29,200,000","70,500,000","23,900,000","-33,100,000","145,000,000","23,200,000","-8,900,000","-31,400,000","37,400,000","-35,300,000","-102,200,000","39,700,000","0","4,200,000","1,100,000","7,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"-158,200,000","-33,400,000","-33,000,000","-54,600,000","-37,200,000","-27,500,000","-26,000,000","-18,600,000","-11,200,000","-16,900,000","-9,500,000","-19,800,000","-12,100,000","-15,000,000","-5,000,000","-11,800,000","-7,300,000","-9,700,000","-3,600,000","-12,900,000","-10,500,000","-17,700,000","-11,400,000","-5,500,000","-4,600,000","12,200,000","-3,100,000","-8,200,000","-12,000,000","-11,800,000","-6,400,000","-10,900,000","-5,500,000","-10,000,000","-10,200,000","-10,300,000","-6,900,000","-8,100,000","-22,600,000","-3,600,000","5,200,000","-8,700,000","-3,700,000","9,000,000","-9,300,000","-5,200,000","-10,200,000","9,900,000","-9,300,000","-4,600,000","19,200,000","-7,900,000","-7,500,000","-2,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"203,700,000","49,500,000","50,400,000","51,000,000","52,800,000","51,100,000","53,200,000","51,600,000","50,300,000","48,400,000","52,500,000","48,500,000","40,300,000","36,300,000","36,500,000","39,600,000","32,400,000","33,600,000","34,600,000","29,700,000","26,200,000","26,300,000","25,700,000","25,600,000","25,200,000","24,700,000","25,000,000","22,600,000","23,300,000","22,700,000","22,000,000","21,600,000","22,400,000","23,400,000","22,400,000","21,800,000","21,900,000","22,300,000","22,500,000","21,600,000","26,600,000","24,300,000","22,100,000","35,300,000","32,100,000","27,900,000","31,300,000","26,300,000","20,800,000","18,300,000","24,900,000","20,000,000","16,700,000","16,000,000","12,200,000","11,700,000","12,100,000","11,600,000","-77,800,000","44,700,000","55,200,000","42,000,000","166,200,000","16,714,000","36,685,000","17,412,000","19,300,000","21,066,000","121,991,000","88,783,000","88,939,000","90,254,000","81,927,000","92,771,000","95,799,000","86,070,000","93,393,000","84,403,000","85,296,000","74,754,000","74,029,000","83,285,000","72,314,000","69,689,000","57,394,000","43,933,000","30,539,000","32,642,000","43,704,000"
			DepreciationAndAmortization,"203,700,000","49,500,000","50,400,000","51,000,000","52,800,000","51,100,000","53,200,000","51,600,000","50,300,000","48,400,000","52,500,000","48,500,000","40,300,000","36,300,000","36,500,000","39,600,000","32,400,000","33,600,000","34,600,000","29,700,000","26,200,000","26,300,000","25,700,000","25,600,000","25,200,000","24,700,000","25,000,000","22,600,000","23,300,000","22,700,000","22,000,000","21,600,000","22,400,000","23,400,000","22,400,000","21,800,000","21,900,000","22,300,000","22,500,000","21,600,000","26,600,000","24,300,000","22,100,000","35,300,000","32,100,000","27,900,000","31,300,000","26,300,000","20,800,000","18,300,000","24,900,000","20,000,000","16,700,000","16,000,000","12,200,000","11,700,000","12,100,000","11,600,000","-77,800,000","44,700,000","55,200,000","42,000,000","166,200,000","16,714,000","36,685,000","17,412,000","19,300,000","21,066,000","121,991,000","88,783,000","88,939,000","90,254,000","81,927,000","92,771,000","95,799,000","86,070,000","93,393,000","84,403,000","85,296,000","74,754,000","74,029,000","83,285,000","72,314,000","69,689,000","57,394,000","43,933,000","30,539,000","32,642,000","43,704,000"
				AmortizationCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,700,000","12,100,000","11,600,000","-77,800,000","44,700,000","55,200,000","42,000,000","166,200,000","16,714,000",,"17,412,000",,,"34,597,000","88,783,000",,,,,,,,,,,,,,,,,,,
