name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998
OperatingCashFlow,"8,634,500,000","2,145,000,000","2,125,200,000","2,370,300,000","1,993,900,000","2,023,100,000","1,599,900,000","1,097,800,000","1,181,600,000","2,012,200,000","1,694,300,000","1,642,500,000","2,023,300,000","1,160,400,000","1,851,000,000","1,577,500,000","1,464,200,000","1,233,600,000","1,846,400,000","485,000,000","1,459,300,000","875,600,000","1,407,800,000","813,800,000","945,500,000","899,700,000","1,411,200,000","689,600,000","947,600,000","954,000,000","1,457,800,000","832,500,000","467,800,000","1,404,100,000","1,499,300,000","835,300,000","531,000,000","999,900,000","1,275,100,000","277,500,000","733,400,000","604,900,000","1,102,300,000","473,700,000","951,800,000","802,700,000","884,900,000","514,800,000","213,400,000","686,900,000","1,761,800,000","177,700,000","219,600,000","218,100,000","264,025,000","276,336,000","431,643,000","265,065,000","653,106,000","385,786,000","131,298,000","420,751,000","189,045,000","414,699,000","77,049,000","494,276,000","287,075,000","226,796,000","-62,208,000","180,045,000","346,256,000","-74,878,000","78,253,000","29,605,000","196,136,000","95,536,000","-18,516,000","151,549,000","159,652,000","124,926,000","55,156,000","-9,973,000","158,562,000","34,171,000","41,898,000","48,697,000","182,832,000","232,000","100,594,000","77,030,000","118,700,000","35,900,000","-6,100,000","20,300,000","23,600,000"
	CashFlowFromContinuingOperatingActivities,"8,634,500,000","2,145,000,000","2,125,200,000","2,370,300,000","1,993,900,000","2,023,100,000","1,599,900,000","1,097,800,000","1,181,600,000","2,012,200,000","1,694,300,000","1,642,500,000","2,023,300,000","1,160,400,000","1,851,000,000","1,577,500,000","1,464,200,000","1,233,600,000","1,846,400,000","485,000,000","1,459,300,000","875,600,000","1,407,800,000","813,800,000","945,500,000","899,700,000","1,411,200,000","689,600,000","947,600,000","954,000,000","1,457,800,000","832,500,000","467,800,000","1,404,100,000","1,499,300,000","835,300,000","531,000,000","999,900,000","1,275,100,000","277,500,000","733,400,000","604,900,000","1,102,300,000","473,700,000","951,800,000","802,700,000","884,900,000","514,800,000","213,400,000","686,900,000","1,761,800,000","177,700,000","219,600,000","218,100,000","264,025,000","276,336,000","431,643,000","265,065,000","653,106,000","385,786,000","131,298,000","420,751,000","189,045,000","414,699,000","77,049,000","494,276,000","287,075,000","226,796,000","-62,208,000","180,045,000","346,256,000","-74,878,000","78,253,000","29,605,000","196,136,000","95,536,000","-18,516,000","151,549,000","159,652,000","124,926,000","55,156,000","-9,973,000","158,562,000","34,171,000","41,898,000","48,697,000","182,832,000","232,000","100,594,000","77,030,000","118,700,000","35,900,000","-6,100,000","20,300,000","23,600,000"
		NetIncomeFromContinuingOperations,"4,723,300,000","1,331,000,000","1,064,600,000","1,182,100,000","1,146,000,000","1,362,600,000","365,900,000","1,084,000,000","1,060,800,000","1,375,000,000","1,125,400,000","1,044,800,000","1,236,500,000","1,280,400,000","1,305,200,000","1,334,600,000","687,200,000","911,500,000","797,300,000","621,300,000","666,000,000","771,000,000","669,700,000","643,100,000","570,000,000","670,200,000","693,500,000","657,700,000","556,600,000","650,600,000","681,100,000","699,200,000","646,500,000","806,700,000","705,700,000","592,800,000","553,300,000","755,300,000","617,400,000","587,900,000","567,200,000","655,500,000","725,800,000","479,500,000","448,500,000","434,500,000","230,700,000","385,900,000","373,300,000","393,800,000","487,800,000","229,900,000","200,100,000","237,300,000","228,061,000","203,081,000","263,270,000","259,609,000","161,869,000","117,606,000","142,154,000","112,045,000","132,781,000","208,302,000","126,295,000","133,777,000","108,424,000","131,169,000","70,659,000","109,256,000","115,354,000","61,291,000","33,075,000","58,541,000","34,197,000","-3,261,000","33,105,000","40,505,000","55,533,000","34,850,000","22,320,000","-17,203,000","21,870,000","75,007,000","93,031,000","52,270,000","55,236,000","50,263,000","45,560,000","69,447,000","54,300,000","36,400,000","19,100,000","10,500,000","12,500,000"
		OperatingGainsLosses,"-524,300,000","-73,000,000","-80,200,000","-187,900,000","-183,600,000","-153,600,000","-117,900,000","-44,900,000","-176,800,000","-167,900,000","-113,100,000","-14,900,000","-100,400,000","-193,500,000","-366,500,000","-304,300,000","207,800,000","28,200,000","-52,100,000","-75,900,000","-111,700,000","-109,900,000","-93,000,000","-120,500,000","-5,400,000","-76,100,000","-71,500,000","-85,700,000","-101,500,000","-93,900,000","-49,100,000","-72,500,000","-55,500,000","-153,900,000","-49,400,000","-58,300,000","-45,400,000","-96,100,000","-102,600,000","-6,600,000","-32,900,000","-38,100,000","-107,200,000","27,300,000","26,100,000","7,600,000","96,000,000","-33,500,000","13,800,000","6,700,000","58,300,000","2,800,000","33,100,000","9,500,000","-79,544,000","-1,947,000","26,167,000","26,757,000","67,690,000","-40,897,000","36,294,000","16,882,000","13,704,000","3,693,000","5,066,000","5,361,000","16,249,000","6,788,000","-310,000","26,497,000","-20,257,000","16,184,000","-322,000","600,000","6,289,000","26,453,000","9,007,000","18,553,000","5,801,000","1,704,000","-378,000","37,474,000","42,815,000","30,946,000","-49,378,000","2,007,000","13,632,000","24,368,000","-5,695,000","-4,097,000","-2,700,000","-100,000","100,000","1,100,000","-31,100,000"
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,500,000","-7,500,000","400,000","0","-200,000","-200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"30,600,000","42,000,000","58,900,000","-47,500,000","-23,200,000","-15,600,000","-25,600,000","37,700,000","-61,900,000","-27,200,000","21,700,000","124,500,000","39,100,000","-38,500,000","-215,900,000","-185,600,000","331,000,000","144,400,000","68,300,000","38,600,000","-5,000,000","-14,800,000","-600,000","-19,300,000","69,300,000","20,100,000","-1,100,000","6,500,000","6,200,000","-4,600,000","34,400,000","2,400,000","1,600,000","-7,800,000","6,700,000","-4,100,000","-13,500,000","12,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"-551,400,000","-117,000,000","-136,200,000","-137,600,000","-160,700,000","-148,900,000","-90,000,000","-82,000,000","-113,300,000","-140,800,000","-131,700,000","-139,300,000","-137,400,000","-154,600,000","-130,000,000","-112,000,000","-122,300,000","-115,700,000","-110,800,000","-113,400,000","-107,000,000","-94,800,000","-92,200,000","-92,300,000","-76,400,000","-101,100,000","-71,100,000","-103,100,000","-110,200,000","-89,200,000","-80,400,000","-72,300,000","-50,300,000","-56,500,000","-41,200,000","-44,000,000","-37,600,000","-44,500,000","-89,600,000","-4,000,000","12,200,000","17,100,000","23,400,000","29,100,000","31,200,000","26,300,000","97,800,000","6,000,000","11,900,000","14,200,000","58,500,000","2,600,000","33,200,000","9,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PensionAndEmployeeBenefitExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","-500,000","0","0","0","-200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"2,129,900,000","539,000,000","538,200,000","526,300,000","526,000,000","522,400,000","526,800,000","513,400,000","522,700,000","509,000,000","492,600,000","493,600,000","488,600,000","474,500,000","431,100,000","471,200,000","458,300,000","431,000,000","422,600,000","412,600,000","406,500,000","402,300,000","396,700,000","391,900,000","381,300,000","382,100,000","368,300,000","372,800,000","407,500,000","367,400,000","368,100,000","341,400,000","331,100,000","319,900,000","315,300,000","302,500,000","307,800,000","292,000,000","287,000,000","280,200,000","271,600,000","266,100,000","267,800,000","254,400,000","243,700,000","241,100,000","280,900,000","252,800,000","233,800,000","217,600,000","356,500,000","164,000,000","158,800,000","154,100,000","145,433,000","142,458,000","138,304,000","135,976,000","141,679,000","136,970,000","123,892,000","121,221,000","116,905,000","114,296,000","110,440,000","106,567,000","111,828,000","104,816,000","102,723,000","101,410,000","101,043,000","33,611,000","32,850,000","31,383,000","32,354,000","28,615,000","28,205,000","39,261,000","32,018,000","27,558,000","17,402,000","17,947,000","14,658,000","14,011,000","12,453,000","10,781,000","13,064,000","9,605,000","9,299,000","9,048,000","8,000,000","7,500,000","4,900,000","4,900,000","4,400,000"
			DepreciationAndAmortization,"2,129,900,000","539,000,000","538,200,000","526,300,000","526,000,000","522,400,000","526,800,000","513,400,000","522,700,000","509,000,000","492,600,000","493,600,000","488,600,000","474,500,000","431,100,000","471,200,000","458,300,000","431,000,000","422,600,000","412,600,000","406,500,000","402,300,000","396,700,000","391,900,000","381,300,000","382,100,000","368,300,000","372,800,000","407,500,000","367,400,000","368,100,000","341,400,000","331,100,000","319,900,000","315,300,000","302,500,000","307,800,000","292,000,000",,,,,,,,,,,,,,,,,"145,433,000","142,458,000","138,304,000","135,976,000","141,679,000","136,970,000","123,892,000","121,221,000","116,905,000","114,296,000","110,440,000","106,567,000","111,828,000","104,816,000","102,723,000","101,410,000","101,043,000","33,611,000","32,850,000","31,383,000","32,354,000","28,615,000","28,205,000","39,261,000","32,018,000","27,558,000","17,402,000","17,947,000","14,658,000","14,011,000","12,453,000","10,781,000","13,064,000","9,605,000","9,299,000","9,048,000","8,000,000","7,500,000","4,900,000","4,900,000","4,400,000"
