name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999
			ReceivablesAdjustmentsAllowances,"-17,481,000","-18,695,000","-18,856,000","-16,103,000","-13,185,000",,"-12,643,000","-14,024,000","-17,613,000","-12,974,000","-10,779,000","-10,374,000","-10,341,000","-11,866,000","-11,533,000","-7,427,000",,"-13,736,000",,,,"-8,751,000",,,,"-8,943,000",,,,"-12,208,000",,,,"-9,708,000",,,,"-7,588,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"679,729,000","647,742,000","722,396,000","619,617,000","560,683,000","599,262,000","646,608,000","672,205,000","565,932,000","593,987,000","723,242,000","697,559,000","519,752,000","574,226,000","692,985,000","663,263,000","479,344,000","548,722,000","609,996,000","610,423,000","434,712,000","487,591,000","552,726,000","587,434,000","376,499,000","469,934,000","511,520,000","544,256,000","358,014,000","444,844,000","519,416,000","538,233,000","363,018,000","417,754,000","440,446,000","429,223,000","284,525,000","349,530,000","375,102,000","377,857,000","265,691,000","347,215,000","385,960,000","458,114,000","217,458,000","298,509,000","263,782,000","260,660,000","143,125,000","214,000,000","223,510,000","256,151,000","153,941,000","203,486,000","214,359,000","250,817,000","174,232,000","225,494,000","246,529,000","231,588,000","159,574,000","193,588,000","199,849,000","190,524,000","154,341,000","188,454,000","209,895,000","139,644,000","106,842,000","120,792,000","148,414,000","148,423,000","91,189,000","104,760,000","118,080,000","110,715,000","94,424,000","92,435,000","100,048,000","105,331,000","80,801,000","79,636,000"
			RawMaterials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"646,000","1,786,000","1,467,000","2,278,000","1,414,000","2,082,000","2,085,000","2,222,000","267,000","137,000",,,,,,,
			WorkInProcess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,336,000","5,776,000","2,903,000","3,608,000","3,241,000","3,704,000","3,465,000","2,329,000","1,572,000","3,039,000",,,,,,,
			FinishedGoods,"679,729,000","647,742,000","722,396,000","619,617,000","560,683,000","599,262,000","646,608,000","672,205,000","565,932,000","593,987,000","723,242,000","697,559,000","519,752,000","574,226,000","692,985,000","663,263,000","479,344,000","548,722,000","609,996,000","610,423,000","434,712,000","487,591,000","552,726,000","587,434,000","376,499,000","469,934,000","511,520,000","544,256,000","358,014,000","444,844,000","519,416,000","538,233,000","363,018,000","417,754,000","440,446,000","429,223,000","284,525,000","349,530,000","375,102,000","377,857,000","265,691,000","347,215,000","385,960,000","458,114,000","217,458,000","298,509,000","263,782,000","260,660,000","143,125,000","214,000,000","223,510,000","256,151,000","153,941,000","203,486,000",,"250,817,000",,,"246,529,000","231,588,000","159,574,000","193,588,000","199,849,000","190,524,000","154,341,000","185,472,000","202,333,000","135,274,000","100,956,000","116,137,000","142,628,000","142,873,000","86,638,000","102,921,000","114,904,000",,,,,,,
		PrepaidAssets,"64,389,000","50,131,000","56,182,000","66,549,000","63,290,000","57,927,000","56,493,000","51,180,000","43,349,000","48,454,000","53,264,000","56,813,000","51,887,000","40,396,000","57,000,000","51,955,000","54,297,000","49,892,000","48,083,000","44,527,000","46,153,000","32,180,000","43,155,000","46,189,000","36,791,000","38,672,000","37,260,000","48,475,000","34,718,000","34,788,000","31,258,000","43,684,000","26,362,000","35,157,000","22,872,000","48,621,000","21,612,000","22,216,000","16,913,000","16,858,000","16,425,000","18,519,000","16,412,000","16,689,000","19,650,000","17,372,000","12,369,000","11,583,000","10,439,000","11,114,000","11,845,000","13,538,000","13,974,000","13,214,000","12,667,000","15,464,000","10,285,000","9,093,000","13,385,000","15,000,000","11,919,000","7,296,000","9,696,000","8,413,000","8,741,000","6,262,000","8,426,000","5,364,000","5,647,000","4,499,000","2,680,000","3,401,000","5,900,000","6,625,000","2,833,000","4,987,000","4,467,000","4,971,000","4,181,000","4,199,000","3,978,000","3,863,000"
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,"0","0","0","35,486,000","37,600,000","32,816,000","31,841,000","34,080,000","34,895,000","31,871,000","32,842,000","36,625,000","38,569,000","36,534,000","37,343,000","37,313,000","33,456,000","32,948,000","31,708,000","35,675,000","29,984,000","23,838,000","24,114,000","25,165,000","24,384,000","23,687,000","26,667,000","31,547,000","25,701,000","25,726,000","26,352,000","33,419,000","32,005,000","25,712,000","28,597,000","27,982,000","24,921,000","23,727,000","25,293,000","24,234,000","20,729,000","19,087,000","18,905,000","22,377,000","19,739,000","18,795,000","21,818,000","23,909,000","24,361,000","12,866,000","10,950,000","12,571,000","10,692,000","8,301,000","8,177,000","9,045,000","8,425,000","8,603,000","8,204,000","9,184,000","10,905,000","10,246,000","9,298,000","10,276,000"
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,,"0","0","0","35,486,000","37,600,000","32,816,000","31,841,000","34,080,000","34,895,000","31,871,000","32,842,000","36,625,000","38,569,000","36,534,000","37,343,000","37,313,000","33,456,000","32,948,000","31,708,000","35,675,000","29,984,000","23,838,000","24,114,000","25,165,000","24,384,000","23,687,000","26,667,000","31,547,000","25,701,000","25,726,000","26,352,000","33,419,000","32,005,000","25,712,000","28,597,000","27,982,000","24,921,000","23,727,000","25,293,000","24,234,000","20,729,000","19,087,000","18,905,000","22,377,000","19,739,000","18,795,000","21,818,000","23,909,000","24,361,000","12,866,000","10,950,000","12,571,000","10,692,000","8,301,000","8,177,000","9,045,000","8,425,000","8,603,000","8,204,000","9,184,000","10,905,000","10,246,000","9,298,000","10,276,000"
		OtherCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,500,000","6,109,000","6,109,000","6,109,000","6,109,000","6,109,000",,,,,,,,,,,"864,000",,,,,"478,000","346,000","373,000","422,000","577,000","647,000","1,000,000"
	TotalNonCurrentAssets,"1,249,203,000","1,288,276,000","1,311,471,000","1,344,902,000","1,392,598,000","1,446,556,000","1,484,114,000","1,523,090,000","1,563,240,000","1,645,360,000","1,675,935,000","1,706,154,000","1,708,917,000","1,015,900,000","1,030,574,000","1,032,592,000","1,040,123,000","1,050,330,000","1,054,963,000","1,038,162,000","1,043,613,000","889,511,000","892,391,000","890,340,000","879,622,000","877,648,000","869,540,000","863,521,000","854,619,000","851,638,000","851,374,000","848,906,000","843,224,000","842,103,000","793,354,000","745,550,000","683,913,000","672,406,000","656,314,000","637,168,000","626,631,000","620,562,000","608,168,000","602,936,000","538,333,000","540,919,000","536,403,000","534,565,000","531,539,000","532,931,000","532,485,000","532,736,000","535,241,000","537,966,000","537,056,000","532,601,000","535,085,000","541,019,000","541,527,000","546,069,000","711,978,000","720,770,000","709,020,000","712,851,000","713,323,000","717,682,000","717,814,000","416,998,000","418,217,000","421,398,000","420,059,000","422,547,000","422,178,000","424,293,000","426,055,000","174,868,000","178,033,000","183,097,000","177,683,000","180,328,000","181,047,000","182,349,000"
