name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015
OperatingCashFlow,"-252,455,000","-79,801,000","-54,651,000","-65,022,000","-52,981,000","-52,376,000","-40,226,000","-28,558,000","57,417,000","-38,545,000","-28,662,000","-25,448,000","-27,677,000","-21,453,000","-8,538,000","-12,454,000","-22,495,000","-17,770,000","-21,306,000","-16,894,000","-15,678,000","-11,398,000","-14,410,000","-7,610,000","67,550,000","-9,421,000","-5,491,000","-3,267,000","2,173,000","4,822,000"
	CashFlowFromContinuingOperatingActivities,"-252,455,000","-79,801,000","-54,651,000","-65,022,000","-52,981,000","-52,376,000","-40,226,000","-28,558,000","57,417,000","-38,545,000","-28,662,000","-25,448,000","-27,677,000","-21,453,000","-8,538,000","-12,454,000","-22,495,000","-17,770,000","-21,306,000","-16,894,000","-15,678,000","-11,398,000","-14,410,000","-7,610,000","67,550,000","-9,421,000","-5,491,000","-3,267,000","2,173,000","4,822,000"
		NetIncomeFromContinuingOperations,"-368,559,000","-146,872,000","-81,237,000","-71,644,000","-68,806,000","-46,205,000","-42,192,000","-27,840,000","-32,393,000","-31,806,000","-28,276,000","-23,634,000","-25,683,000","-21,940,000","-19,066,000","-22,702,000","-22,219,000","-21,356,000","-23,963,000","-15,356,000","-15,593,000","-12,631,000","-10,563,000","-7,482,000","-6,900,000","-6,689,000","-5,245,000","-3,019,000","-3,040,000","-1,093,000"
		OperatingGainsLosses,,"5,557,000",,,,,,,,,"-16,000","0","16,000","1,000","91,000","13,000",,,"54,000","50,000",,,"11,000","0",,,"2,000","7,000",,
			GainLossOnSaleOfPPE,,,,,,,,,,,"-16,000","0","16,000","1,000","91,000","13,000",,,"54,000","50,000",,,"11,000","0",,,"2,000","7,000",,
			EarningsLossesFromEquityInvestments,"9,819,000","5,557,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"7,054,000","1,754,000","1,880,000","1,786,000","1,634,000","1,591,000","1,602,000","1,602,000","1,566,000","1,541,000","1,583,000","1,383,000","1,322,000","1,299,000","1,227,000","1,152,000","1,073,000","1,012,000","833,000","790,000","711,000","660,000","405,000","265,000","247,000","187,000","132,000","96,000","67,000","33,000"
			DepreciationAndAmortization,"7,054,000","1,754,000","1,880,000","1,786,000","1,634,000","1,591,000","1,602,000","1,602,000","1,566,000","1,541,000","1,583,000","1,383,000","1,322,000","1,299,000","1,227,000","1,152,000","1,073,000","1,012,000","833,000","790,000","711,000","660,000","405,000","265,000","247,000","187,000","132,000","96,000","67,000","33,000"
		DeferredTax,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","-246,000","-282,000","-382,000","-102,000"
			DeferredIncomeTax,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","-246,000","-282,000","-382,000","-102,000"
		AmortizationOfSecurities,"8,821,000","2,426,000","2,634,000","2,102,000","1,659,000","1,209,000","733,000","73,000","-68,000","-200,000","-428,000","-667,000","-1,208,000","-1,422,000",,,,,,,,,,,,,,,,
		StockBasedCompensation,"59,076,000","18,491,000","14,561,000","15,410,000","10,614,000","6,424,000","5,582,000","5,400,000","4,764,000","4,157,000","3,016,000","3,079,000","4,404,000","4,592,000","3,582,000","4,456,000","4,901,000","4,107,000","6,596,000","3,247,000","2,849,000","2,630,000","2,015,000","2,055,000","1,833,000","812,000","463,000","579,000","151,000","115,000"
		OtherNonCashItems,,"56,411,000",,,,,,,,,,,"244,000","218,000",,,,,"6,596,000","3,247,000","2,849,000","2,630,000","2,015,000","2,055,000","1,833,000","812,000","-246,000","-282,000","-382,000","-102,000"
		ChangeInWorkingCapital,"-25,077,000","-17,568,000","3,249,000","-12,676,000","1,918,000","-15,395,000","-5,986,000","-7,793,000","83,548,000","-12,237,000","-4,541,000","-5,147,000","-6,772,000","-4,201,000","6,304,000","4,627,000","-6,221,000","-1,533,000","-4,826,000","-5,625,000","-3,707,000","-2,057,000","-6,278,000","-2,448,000","72,368,000","-3,731,000","-597,000","-648,000","5,377,000","5,869,000"
			ChangeInReceivables,"-848,000","230,000","460,000","-498,000","-1,040,000","1,177,000","-913,000","2,647,000","9,504,000","-8,748,000","-1,021,000","589,000","-597,000","3,956,000","-4,734,000","5,796,000","-1,143,000","3,005,000","-5,978,000","-1,729,000","-321,000","4,011,000","-5,342,000",,,,,,,
				ChangesInAccountReceivables,"-848,000","230,000","460,000","-498,000","-1,040,000","1,177,000","-913,000","2,647,000","9,504,000","-8,748,000","-1,021,000","589,000","-597,000","3,956,000","-4,734,000","5,796,000","-1,143,000","3,005,000","-5,978,000","-1,729,000","-321,000","4,011,000","-5,342,000",,,,,,,
			ChangeInPrepaidAssets,"-3,928,000","422,000","-4,725,000","3,630,000","-3,255,000","-5,448,000","-7,255,000","-1,387,000","-116,000","-448,000","1,280,000","-1,704,000","-1,189,000","-150,000","-603,000","714,000","-1,006,000","1,205,000","-1,385,000","-188,000","-1,024,000","704,000","-817,000","245,000","-472,000","65,000","-165,000","-123,000","-169,000","-68,000"
