name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997
TotalRevenue,"209,703,000","52,486,000","51,734,000","53,686,000","51,797,000","52,917,000","53,367,000","50,003,000","47,868,000","46,749,000","47,213,000","47,690,000","47,425,000","47,309,000","47,302,000","45,869,000","44,936,000","43,589,000","42,643,000","42,085,000","40,636,000","38,304,000","37,630,000","36,754,000","35,220,000","33,593,000","33,584,000","32,663,000","31,839,000","31,728,000","31,637,000","32,279,000","31,653,000","30,616,000","30,656,000","29,338,000","28,102,000","27,445,000","23,793,000","28,389,000","27,960,000","28,347,000","28,318,000","28,744,000","28,863,000","28,360,000","29,664,000","29,514,000","28,592,000","32,294,000","27,839,000","26,766,000","25,560,000","22,585,000","21,377,000","23,474,000","21,470,000","20,275,000","19,086,000","18,672,000","18,819,000","17,559,000","17,792,000","17,738,000","17,803,000","17,258,000","18,368,000","16,914,000","16,722,000","15,970,000","15,593,000","15,345,000","14,424,000","14,368,000","15,141,000","14,879,000","15,676,000","14,930,000","14,562,000","14,260,000","14,225,000","13,566,000","13,919,000","13,652,000","12,017,000","11,324,000","11,573,000","11,386,000","11,459,000","11,001,000","10,955,000","11,700,000","11,000,000","10,400,000","10,100,000","10,000,000","9,600,000","9,000,000","8,200,000","8,100,000"
	OperatingRevenue,"209,703,000","52,486,000","51,734,000","53,686,000","51,797,000","52,917,000","53,367,000","50,003,000","47,868,000","46,749,000","47,213,000","47,690,000","47,425,000","47,309,000","47,302,000","45,869,000","44,936,000","43,589,000","42,643,000","42,085,000","40,636,000","38,304,000","37,630,000","36,754,000","35,220,000","33,593,000","33,584,000","32,663,000","31,839,000","31,728,000","31,637,000","32,279,000","31,653,000","30,616,000","30,656,000","29,338,000","28,102,000","27,445,000","23,793,000","28,389,000","27,960,000","28,347,000","28,318,000","28,744,000","28,863,000","28,360,000","29,664,000","29,514,000","28,592,000","32,294,000","27,839,000","26,766,000","25,560,000","22,585,000","21,377,000","23,474,000","21,470,000","20,275,000","19,086,000","18,672,000","18,819,000","17,559,000","17,792,000","17,738,000","17,803,000","17,258,000","18,368,000","16,914,000","16,722,000","15,970,000","15,593,000","15,345,000","14,424,000","14,368,000","15,141,000","14,879,000","15,676,000","14,930,000","14,562,000","14,260,000","14,225,000","13,566,000","13,919,000","13,652,000","12,017,000","11,324,000","11,573,000","11,386,000","11,459,000","11,001,000","10,955,000","11,700,000","11,000,000","10,400,000","10,100,000","10,000,000","9,600,000","9,000,000","8,200,000","8,100,000"
PretaxIncome,"117,612,000","28,181,000","29,790,000","29,588,000","30,053,000","28,013,000","30,663,000","28,153,000","24,118,000","20,942,000","27,629,000","26,573,000","27,122,000","26,061,000","26,843,000","25,249,000","25,252,000","21,600,000","23,406,000","23,398,000","22,758,000","20,072,000","20,104,000","19,978,000","18,894,000","18,241,000","18,164,000","17,406,000","17,036,000","16,594,000","16,635,000","17,176,000","17,062,000","15,317,000","15,648,000","14,515,000","14,390,000","13,845,000","12,410,000","14,087,000","13,211,000","12,868,000","11,933,000","12,865,000","11,990,000","8,592,000","8,560,000","9,650,000","9,336,000","9,234,000","8,051,000","7,944,000","6,471,000","5,382,000","6,510,000","7,822,000","6,842,000","7,740,000","6,836,000","6,264,000","7,687,000","6,790,000","6,579,000","7,291,000","7,310,000","7,055,000","7,626,000","6,900,000","6,762,000","6,149,000","5,662,000","5,994,000","4,983,000","5,208,000","4,286,000","5,410,000","5,698,000","5,299,000","5,427,000","4,512,000","4,566,000","4,381,000","4,291,000","4,112,000","3,451,000","3,003,000","3,318,000","3,289,000","3,666,000","3,165,000","2,804,000","3,200,000","3,300,000","3,100,000","3,100,000","2,900,000","3,000,000","2,900,000","2,300,000","2,900,000"
TaxProvision,"21,220,000","4,539,000","5,507,000","5,469,000","5,705,000","5,030,000","6,071,000","5,377,000","4,448,000","3,643,000","5,431,000","5,119,000","5,409,000","4,379,000","5,480,000","4,679,000","5,110,000","3,264,000","11,779,000","7,573,000","7,394,000","5,558,000","6,582,000","6,498,000","6,091,000","5,962,000","5,878,000","5,841,000","5,656,000","5,458,000","5,565,000","5,665,000","5,750,000","5,405,000","5,060,000","4,746,000","5,154,000","4,599,000","3,808,000","4,740,000","4,392,000","4,242,000","3,672,000","4,418,000","4,001,000","2,627,000","2,778,000","3,129,000","3,117,000","3,213,000","2,669,000","2,677,000","2,011,000","1,512,000","2,071,000","2,597,000","2,040,000","2,499,000","2,012,000","1,890,000","2,432,000","2,032,000","2,020,000","2,561,000","2,528,000","2,405,000","2,649,000","2,378,000","2,358,000","2,094,000","1,914,000","2,043,000","1,639,000","1,706,000","1,276,000","1,819,000","1,949,000","1,784,000","1,892,000","1,559,000","1,573,000","1,496,000","1,445,000","1,345,000","1,080,000","874,000","1,014,000","974,000","1,165,000","963,000","785,000","1,100,000","1,100,000","1,000,000","1,100,000","1,000,000","1,000,000","900,000","700,000","1,000,000"
NetIncomeCommonStockholders,"96,392,000","23,642,000","24,283,000","24,119,000","24,348,000","22,983,000","24,592,000","22,776,000","19,670,000","17,299,000","22,198,000","21,454,000","21,713,000","21,682,000","21,363,000","20,570,000","20,142,000","18,336,000","11,627,000","15,825,000","15,364,000","14,514,000","13,522,000","13,480,000","12,803,000","12,279,000","12,286,000","11,565,000","11,380,000","11,136,000","11,070,000","11,511,000","11,312,000","9,912,000","10,588,000","9,769,000","9,236,000","9,246,000","8,602,000","9,347,000","8,819,000","8,626,000","8,261,000","8,447,000","7,989,000","5,965,000","5,782,000","6,521,000","3,837,000","5,216,000","4,579,000","4,466,000","3,660,000","3,580,000","4,439,000","5,225,000","4,802,000","5,241,000","4,824,000","4,374,000","5,255,000","4,758,000","4,559,000","4,730,000","4,782,000","4,650,000","4,977,000","4,522,000","4,404,000","4,055,000","3,748,000","3,951,000","3,344,000","3,502,000","3,010,000","3,591,000","3,749,000","3,515,000","3,535,000","2,953,000","2,993,000","2,885,000","2,846,000","2,767,000","2,371,000","2,129,000","2,304,000","2,315,000","2,501,000","2,202,000","2,019,000","2,100,000","2,200,000","2,100,000","2,000,000","1,900,000","2,000,000","2,000,000","1,600,000","1,900,000"
	NetIncome,"96,392,000","23,642,000","24,283,000","24,119,000","24,348,000","22,983,000","24,592,000","22,776,000","19,670,000","17,299,000","22,198,000","21,454,000","21,713,000","21,682,000","21,363,000","20,570,000","20,142,000","18,336,000","11,627,000","15,825,000","15,364,000","14,514,000","13,522,000","13,480,000","12,803,000","12,279,000","12,286,000","11,565,000","11,380,000","11,136,000","11,070,000","11,511,000","11,312,000","9,912,000","10,588,000","9,769,000","9,236,000","9,246,000","8,602,000","9,347,000","8,819,000","8,626,000","8,261,000","8,447,000","7,989,000","5,965,000","5,782,000","6,521,000","6,219,000","6,021,000","5,382,000","5,267,000","4,460,000","3,870,000","4,439,000","5,225,000","4,802,000","5,241,000","4,824,000","4,374,000","5,255,000","4,758,000","4,559,000","4,730,000","4,782,000","4,650,000","4,977,000","4,522,000","4,404,000","4,055,000","3,748,000","3,951,000","3,344,000","3,502,000","3,010,000","3,591,000","3,749,000","3,515,000","3,535,000","2,953,000","2,993,000","2,885,000","2,846,000","2,767,000","2,371,000","2,129,000","2,304,000","2,315,000","2,501,000","2,202,000","2,019,000","2,100,000","2,200,000","2,100,000","2,000,000","1,900,000","2,000,000","2,000,000","1,600,000","1,900,000"
		NetIncomeIncludingNoncontrollingInterests,"96,392,000","23,642,000","24,283,000","24,119,000","24,348,000","22,983,000","24,592,000","22,776,000","19,670,000","17,299,000","22,198,000","21,454,000","21,713,000","21,682,000","21,363,000","20,570,000","20,142,000","18,336,000","11,627,000","15,825,000","15,364,000","14,514,000","13,522,000","13,480,000","12,803,000","12,279,000","12,286,000","11,565,000","11,380,000","11,136,000","11,070,000","11,511,000","11,312,000","9,912,000","10,588,000","9,769,000","9,236,000","9,246,000","8,602,000","9,347,000","8,819,000","8,626,000","8,261,000","8,447,000","7,989,000","5,965,000","5,782,000","6,521,000","6,219,000","6,021,000","5,382,000","5,267,000","4,460,000","3,870,000","4,439,000","5,225,000","4,802,000","5,241,000","4,824,000","4,374,000","5,255,000","4,758,000","4,559,000","4,730,000","4,782,000","4,650,000","4,977,000","4,522,000","4,404,000","4,055,000","3,748,000","3,951,000","3,344,000","3,502,000","3,010,000","3,591,000","3,749,000","3,515,000","3,535,000","2,953,000","2,993,000","2,885,000","2,846,000","2,767,000","2,371,000","2,129,000","2,304,000","2,315,000","2,501,000","2,202,000","2,019,000","2,100,000","2,200,000","2,100,000","2,000,000","1,900,000","2,000,000","2,000,000","1,600,000","1,900,000"
			NetIncomeContinuousOperations,"96,392,000","23,642,000","24,283,000","24,119,000","24,348,000","22,983,000","24,592,000","22,776,000","19,670,000","17,299,000","22,198,000","21,454,000","21,713,000","21,682,000","21,363,000","20,570,000","20,142,000","18,336,000","11,627,000","15,825,000","15,364,000","14,514,000","13,522,000","13,480,000","12,803,000","12,279,000","12,286,000","11,565,000","11,380,000","11,136,000","11,070,000","11,511,000","11,312,000","9,912,000","10,588,000","9,769,000","9,236,000","9,246,000","8,602,000","9,347,000","8,819,000","8,626,000","8,261,000","8,447,000","7,989,000","5,965,000","5,782,000","6,521,000","6,219,000","6,021,000","5,382,000","5,267,000","4,460,000","3,870,000","4,439,000","5,225,000","4,802,000","5,241,000","4,824,000","4,374,000","5,255,000","4,758,000","4,559,000","4,730,000","4,782,000","4,650,000","4,977,000","4,522,000","4,404,000","4,055,000","3,748,000","3,951,000","3,344,000","3,502,000","3,010,000","3,591,000","3,749,000","3,515,000","3,535,000","2,953,000","2,993,000","2,885,000","2,846,000","2,767,000","2,371,000","2,129,000","2,304,000","2,315,000","2,501,000","2,202,000","2,019,000","2,100,000","2,200,000","2,100,000","2,000,000","1,900,000","2,000,000","2,000,000","1,600,000","1,900,000"
	PreferredStockDividends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-3,187,000",,"4,764,000","1,610,000","1,606,000","1,602,000","1,600,000","580,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherunderPreferredStockDividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,382,000","-805,000","-803,000","-801,000","-800,000","-290,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
