name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,12/31/2009
TotalAssets,"9,467,687,000","9,581,694,000","9,514,913,000","9,309,069,000","9,154,162,000","9,140,332,000","9,041,245,000","9,244,558,000","9,119,724,000","8,413,766,000","7,947,915,000","7,709,178,000","7,416,007,000","7,355,799,000","7,296,870,000","7,133,697,000","6,737,986,000","6,729,064,000","6,723,696,000","6,667,449,000","6,408,142,000","6,367,382,000","6,470,383,000","6,217,619,000","6,031,974,000","5,721,582,000","5,544,524,000","5,405,829,000","5,248,776,000","5,119,931,000","5,311,169,000","4,980,581,000","4,699,741,000","4,567,868,000","3,719,230,000","3,604,596,000","3,546,412,000","3,503,042,000","3,524,070,000","3,467,703,000","3,390,288,000","3,395,149,000","3,476,976,000","3,025,431,000","3,026,547,000","3,022,707,000","2,892,421,000","2,905,227,000"
	CurrentAssets,"1,761,505,000","1,916,890,000","2,110,809,000","1,833,390,000","1,699,138,000","1,753,699,000","1,690,344,000","1,770,576,000","1,765,247,000","1,096,131,000","1,313,714,000","1,273,579,000","989,506,000","1,228,823,000","1,056,917,000","1,094,360,000","1,057,203,000","1,392,322,000","1,472,747,000","1,476,878,000","1,299,350,000","1,387,969,000","1,654,622,000","1,502,860,000","1,430,751,000","986,983,000","894,436,000","877,352,000","846,886,000","948,493,000","1,537,941,000","1,429,800,000","1,442,499,000","1,480,964,000","764,224,000","753,832,000","761,508,000","765,007,000","884,085,000","854,003,000","824,061,000","834,428,000","925,693,000","794,892,000","789,236,000","788,521,000","156,584,000","163,052,000"
		CashCashEquivalentsAndShortTermInvestments,"688,037,000","843,212,000","1,010,619,000","1,063,261,000","975,784,000","1,014,686,000","857,390,000","930,597,000","971,695,000","422,857,000","637,979,000","650,702,000","452,908,000","499,676,000","454,080,000","606,715,000","632,838,000","861,059,000","601,934,000","660,086,000","541,508,000","665,510,000","653,041,000","670,800,000","736,834,000","445,301,000","450,647,000","488,629,000","458,372,000","560,451,000","805,606,000","739,568,000","827,087,000","894,948,000","210,760,000","213,196,000","200,536,000","229,197,000","272,854,000","254,288,000","209,974,000","227,566,000","293,363,000","275,956,000","280,481,000","284,682,000","2,811,000","3,204,000"
			CashAndCashEquivalents,"688,037,000","843,212,000","1,010,619,000","1,063,261,000","975,784,000","1,014,686,000","857,390,000","930,597,000","971,695,000","422,857,000","637,979,000","650,702,000","452,908,000","499,676,000","454,080,000","606,715,000","632,838,000","861,059,000","601,934,000","660,086,000","541,508,000","665,510,000","653,041,000","670,800,000","736,834,000","445,301,000","450,647,000","488,629,000","458,372,000","560,451,000","805,606,000","739,568,000","827,087,000","894,948,000","210,760,000","213,196,000","200,536,000","229,197,000","272,854,000","254,288,000","209,974,000","227,566,000","293,363,000","275,956,000","280,481,000","284,682,000","2,811,000","3,204,000"
		Receivables,"594,817,000","574,791,000","568,710,000","497,891,000","465,065,000","387,728,000","468,241,000","450,456,000","403,714,000","384,538,000","373,547,000","325,958,000","297,759,000","271,605,000","333,899,000","283,626,000","262,907,000","399,342,000","489,242,000","589,174,000","532,384,000","456,781,000","466,318,000","722,339,000","612,209,000","459,860,000","349,729,000","288,911,000","228,912,000","217,425,000","546,890,000","536,917,000","523,890,000","540,785,000","531,191,000","527,000,000","510,770,000","498,572,000","473,739,000","467,179,000","471,859,000","469,368,000","494,418,000","371,888,000","371,532,000","370,633,000","14,055,000","17,359,000"
			AccountsReceivable,"491,353,000","468,307,000","461,555,000","431,694,000","400,447,000","321,831,000","341,538,000","338,150,000","311,841,000","293,021,000","305,624,000","293,149,000","262,261,000","234,858,000","253,004,000","236,328,000","217,820,000","197,852,000","202,754,000","187,775,000","170,366,000","160,268,000","209,932,000","203,791,000","186,400,000","172,149,000","168,247,000","160,950,000","148,337,000","132,584,000","148,342,000","141,380,000","130,928,000","147,239,000","145,026,000","135,649,000","118,806,000","103,625,000","13,425,000","15,315,000","13,991,000","15,644,000","15,555,000","7,039,000","7,094,000","8,154,000","14,055,000","9,145,000"
			NotesReceivable,"7,192,000","7,561,000","5,536,000","3,235,000","1,300,000","622,000","52,136,000","56,511,000","36,000,000","36,379,000","36,425,000","300,000","4,723,000","4,694,000","40,220,000","4,085,000","8,310,000","5,864,000",,,,"155,000","69,000","69,000","25,076,000","1,664,000","23,610,000","25,138,000","26,892,000","28,630,000","12,724,000","14,385,000","19,051,000","20,554,000","19,122,000","22,976,000","26,272,000","27,953,000","28,677,000","30,182,000","33,690,000","35,354,000","39,141,000","37,405,000","38,883,000","38,954,000",,"8,214,000"
			TaxesReceivable,,,,,,,"2,389,000","655,000","2,389,000","655,000","200,000","200,000","200,000","2,000,000","2,000,000","2,000,000","2,198,000","2,198,000","8,513,000","16,186,000","16,186,000","15,763,000","11,564,000","12,106,000","10,577,000","11,972,000","8,268,000","8,623,000","8,629,000","8,629,000","339,686,000","335,912,000","328,449,000","326,547,000","322,417,000","319,274,000","325,197,000","324,989,000","326,150,000","326,972,000","333,750,000","331,771,000","329,668,000","327,444,000","325,555,000","323,525,000",,"0"
			OtherReceivables,"96,272,000","98,923,000","101,619,000","62,962,000","63,318,000","65,275,000","72,178,000","55,140,000","53,484,000","54,483,000","31,298,000","32,309,000","30,575,000","30,053,000","38,675,000","41,213,000","34,579,000","193,428,000","277,975,000","385,213,000","345,832,000","280,595,000","244,753,000","506,373,000","390,156,000","274,075,000","149,604,000","94,200,000","45,054,000","47,582,000","46,138,000","45,240,000","45,462,000","46,445,000","44,626,000","49,101,000","40,495,000","42,005,000","105,487,000","94,710,000","90,428,000","86,599,000","110,054,000","0","0","0","0","0"
		Inventory,"46,963,000","58,546,000","19,508,000","12,580,000","24,656,000","56,943,000","58,598,000","59,317,000","57,491,000","60,731,000","60,329,000","65,392,000","69,110,000","198,352,000","78,696,000","46,780,000",,,,,,,"34,888,000",,,,,,,,,,,,,,,,,,,,,,,,,
