name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003
TotalAssets,"35,468,100,000","36,204,400,000","35,713,700,000","35,519,700,000","34,659,500,000","35,339,900,000","34,569,200,000","33,979,500,000","32,735,000,000","33,630,900,000","33,279,800,000","32,716,000,000","32,314,400,000","31,439,800,000","31,647,200,000","32,472,200,000","32,809,100,000","33,110,300,000","32,704,600,000","32,841,800,000","32,427,400,000","31,975,200,000","32,420,700,000","32,022,500,000","31,458,000,000","31,125,100,000","31,011,200,000","31,049,000,000","31,594,800,000","31,184,200,000","30,975,000,000","34,914,300,000","34,458,700,000","34,780,600,000","33,917,100,000","33,775,600,000","34,899,200,000","34,131,400,000","34,008,300,000","33,380,300,000","33,046,200,000","33,332,700,000","32,925,500,000","32,396,600,000","32,067,800,000","31,899,600,000","31,973,600,000","31,220,800,000","30,784,900,000","30,343,800,000","30,269,000,000","29,433,500,000","28,507,300,000","28,769,700,000","32,061,700,000","32,681,000,000","33,265,600,000","33,514,800,000","36,161,600,000","33,437,900,000","33,154,200,000","32,717,300,000","32,306,200,000","31,551,200,000","31,371,300,000","31,557,300,000","30,811,600,000","31,082,400,000","30,701,700,000","30,755,500,000","30,926,200,000","29,935,700,000","30,464,300,000","29,920,100,000","60,272,800,000"
TotalLiabilitiesNetMinorityInterest,"31,777,200,000","30,944,700,000","30,480,800,000","30,195,700,000","29,798,800,000","29,855,700,000","29,485,300,000","29,248,300,000","28,969,200,000","28,953,900,000","28,726,500,000","28,463,800,000","28,476,500,000","28,068,900,000","28,027,300,000","28,017,300,000","28,191,900,000","28,262,800,000","27,822,900,000","28,062,500,000","27,820,600,000","27,488,300,000","27,926,900,000","27,566,300,000","27,231,400,000","26,986,600,000","26,840,200,000","26,684,800,000","26,841,200,000","26,496,000,000","26,253,000,000","30,070,000,000","29,748,500,000","29,825,400,000","29,130,500,000","29,194,200,000","29,870,600,000","29,082,100,000","28,755,400,000","28,487,200,000","28,363,200,000","28,300,100,000","27,976,700,000","27,833,400,000","27,667,400,000","27,574,300,000","27,369,300,000","27,038,000,000","27,064,800,000","26,811,400,000","26,935,300,000","27,018,500,000","26,916,100,000","27,150,500,000","29,357,700,000","29,298,900,000","29,325,900,000","29,278,900,000","31,857,900,000","29,062,600,000","28,430,200,000","28,004,200,000","27,593,500,000","27,254,600,000","27,088,000,000","27,037,500,000","26,857,400,000","26,887,900,000","26,906,800,000","26,853,300,000","27,197,400,000","26,761,000,000","27,317,400,000","27,102,500,000","54,975,400,000"
TotalEquityGrossMinorityInterest,"3,690,900,000","5,259,700,000","5,232,900,000","5,324,000,000","4,860,700,000","5,484,200,000","5,083,900,000","4,731,200,000","3,765,800,000","4,677,000,000","4,553,300,000","4,252,200,000","3,837,900,000","3,370,900,000","3,619,900,000","4,454,900,000","4,617,200,000","4,847,500,000","4,881,700,000","4,779,300,000","4,606,800,000","4,486,900,000","4,493,800,000","4,456,200,000","4,226,600,000","4,138,500,000","4,171,000,000","4,364,200,000","4,753,600,000","4,688,200,000","4,722,000,000","4,844,300,000","4,710,200,000","4,955,200,000","4,786,600,000","4,581,400,000","5,028,600,000","5,049,300,000","5,252,900,000","4,893,100,000","4,683,000,000","5,032,600,000","4,948,800,000","4,563,200,000","4,400,400,000","4,325,300,000","4,604,300,000","4,182,800,000","3,720,100,000","3,532,400,000","3,333,700,000","2,415,000,000","1,591,200,000","1,619,200,000","2,704,000,000","3,382,100,000","3,939,700,000","4,235,900,000","4,303,700,000","4,375,300,000","4,724,000,000","4,713,100,000","4,712,700,000","4,296,600,000","4,283,300,000","4,519,800,000","3,954,200,000","4,194,500,000","3,794,900,000","3,902,200,000","3,728,800,000","3,174,700,000","3,146,900,000","2,817,600,000","5,297,400,000"
	StockholdersEquity,"3,690,900,000","5,259,700,000","5,232,900,000","5,324,000,000","4,860,700,000","5,484,200,000","5,083,900,000","4,731,200,000","3,765,800,000","4,677,000,000","4,553,300,000","4,252,200,000","3,837,900,000","3,370,900,000","3,619,900,000","4,454,900,000","4,617,200,000","4,847,500,000","4,881,700,000","4,779,300,000","4,606,800,000","4,486,900,000","4,493,800,000","4,456,200,000","4,226,600,000","4,138,500,000","4,171,000,000","4,364,200,000","4,753,600,000","4,688,200,000","4,722,000,000","4,844,300,000","4,710,200,000","4,955,200,000","4,786,600,000","4,581,400,000","5,028,600,000","5,049,300,000","5,252,900,000","4,893,100,000","4,683,000,000","5,032,600,000","4,948,800,000","4,563,200,000","4,400,400,000","4,325,300,000","4,604,300,000","4,182,800,000","3,720,100,000","3,532,400,000","3,333,700,000","2,415,000,000","1,591,200,000","1,619,200,000","2,704,000,000","3,382,100,000","3,939,700,000","4,235,900,000","4,303,700,000","4,375,300,000","4,724,000,000","4,713,100,000","4,712,700,000","4,296,600,000","4,283,300,000","4,519,800,000","3,954,200,000","4,194,500,000","3,794,900,000","3,902,200,000","3,728,800,000","3,174,700,000","3,146,900,000","2,817,600,000","5,297,400,000"
		CapitalStock,"1,200,000","1,200,000","1,200,000","1,300,000","1,300,000","1,300,000","1,400,000","1,400,000","1,400,000","1,500,000","1,500,000","1,600,000","1,600,000","1,600,000","1,600,000","1,600,000","1,600,000","1,700,000","1,700,000","1,700,000","1,700,000","1,700,000","1,700,000","1,700,000","1,800,000","1,800,000","1,900,000","1,900,000","2,000,000","2,000,000","2,100,000","2,100,000","2,200,000","2,200,000","2,200,000","2,200,000","2,200,000","2,200,000","2,300,000","2,300,000","2,400,000","2,400,000","2,400,000","2,500,000","2,500,000","2,500,000","2,500,000","2,500,000","2,500,000","2,500,000","1,900,000","1,900,000","1,900,000","1,900,000","1,900,000","1,900,000","1,900,000","1,900,000","1,900,000","1,900,000","669,300,000","669,300,000","669,300,000","669,300,000","669,300,000","669,300,000","669,300,000","669,300,000","669,300,000","669,300,000","669,300,000","669,300,000","911,400,000","888,500,000","5,005,300,000"
			PreferredStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","667,800,000","667,800,000","667,800,000","667,800,000","667,800,000","667,800,000","667,800,000","667,800,000","667,800,000","667,800,000","667,800,000","667,800,000","910,400,000","887,500,000","1,724,700,000"
			CommonStock,"1,200,000","1,200,000","1,200,000","1,300,000","1,300,000","1,300,000","1,400,000","1,400,000","1,400,000","1,500,000","1,500,000","1,600,000","1,600,000","1,600,000","1,600,000","1,600,000","1,600,000","1,700,000","1,700,000","1,700,000","1,700,000","1,700,000","1,700,000","1,700,000","1,800,000","1,800,000","1,900,000","1,900,000","2,000,000","2,000,000","2,100,000","2,100,000","2,200,000","2,200,000","2,200,000","2,200,000","2,200,000","2,200,000","2,300,000","2,300,000","2,400,000","2,400,000","2,400,000","2,500,000","2,500,000","2,500,000","2,500,000","2,500,000","2,500,000","2,500,000","1,900,000","1,900,000","1,900,000","1,900,000","1,900,000","1,900,000","1,900,000","1,900,000","1,900,000","1,900,000","1,500,000","1,500,000","1,500,000","1,500,000","1,500,000","1,500,000","1,500,000","1,500,000","1,500,000","1,500,000","1,500,000","1,500,000","1,000,000","1,000,000","3,280,600,000"
		AdditionalPaidInCapital,"2,085,700,000","2,184,200,000","2,274,600,000","2,383,000,000","2,457,800,000","2,544,500,000","2,623,400,000","2,664,300,000","2,688,500,000","2,767,300,000","2,834,600,000","2,903,200,000","2,952,200,000","2,995,000,000","3,030,000,000","3,021,900,000","3,075,600,000","3,073,300,000","3,094,500,000","3,116,700,000","3,177,100,000","3,212,100,000","3,206,300,000","3,251,100,000","3,304,300,000","3,386,800,000","3,435,800,000","3,554,900,000","3,648,100,000","3,732,400,000","3,803,700,000","3,963,900,000","4,054,700,000","4,092,800,000","4,121,300,000","4,128,200,000","4,173,200,000","4,174,700,000","4,251,200,000","4,312,000,000","4,345,600,000","4,361,900,000","4,379,400,000","4,414,300,000","4,426,100,000","4,424,200,000","4,421,600,000","4,418,800,000","4,411,000,000","4,408,800,000","4,110,600,000","4,108,200,000","4,105,600,000","4,076,000,000","4,076,000,000","4,073,600,000","4,070,500,000","4,068,600,000","4,094,600,000","4,126,400,000","3,455,100,000","3,473,200,000","3,468,300,000","3,464,900,000","3,198,400,000","3,194,100,000","2,605,100,000","2,603,000,000","2,600,100,000","2,597,800,000","2,535,800,000","2,531,300,000","1,646,400,000","1,641,900,000",
		RetainedEarnings,"1,223,500,000","1,127,200,000","1,027,400,000","944,200,000","883,500,000","752,300,000","657,500,000","545,300,000","480,700,000","535,700,000","274,300,000","249,200,000","229,200,000","196,600,000","184,800,000","731,200,000","645,700,000","560,400,000","851,900,000","766,400,000","698,400,000","650,700,000","430,300,000","425,600,000","380,000,000","347,100,000","222,900,000","202,400,000","169,300,000","128,500,000","56,900,000","-47,800,000","-112,900,000","128,400,000","29,100,000","-247,100,000","-317,500,000","-325,000,000","-421,700,000","-412,000,000","-473,000,000","42,800,000","-30,300,000","-226,300,000","-285,800,000","-339,700,000","-507,900,000","-557,300,000","-590,400,000","-614,600,000","-632,800,000","-648,200,000","-675,800,000","-688,000,000","-236,200,000","-54,200,000","432,900,000","438,700,000","523,200,000","576,900,000","641,400,000","643,200,000","646,900,000","608,000,000","639,800,000","584,700,000","517,100,000","448,700,000","370,100,000","297,800,000","220,900,000","163,000,000","118,400,000","68,500,000","18,900,000"
		GainsLossesNotAffectingRetainedEarnings,"380,500,000","1,947,100,000","1,929,700,000","1,995,500,000","1,518,100,000","2,186,100,000","1,801,600,000","1,520,200,000","595,200,000","1,372,500,000","1,442,900,000","1,098,200,000","654,900,000","177,700,000","403,500,000","700,200,000","894,300,000","1,212,100,000","933,600,000","894,500,000","729,600,000","622,400,000","855,500,000","777,800,000","540,500,000","402,800,000","510,400,000","605,000,000","934,200,000","825,300,000","859,300,000","926,100,000","766,200,000","731,800,000","634,000,000","698,100,000","1,170,700,000","1,197,400,000","1,421,100,000","990,800,000","808,000,000","625,500,000","597,300,000","372,700,000","257,600,000","238,300,000","688,100,000","318,800,000","-103,000,000","-264,300,000","-146,000,000","-1,046,900,000","-1,840,500,000","-1,770,700,000","-1,137,700,000","-639,200,000","-565,600,000","-273,300,000","-316,000,000","-329,900,000","-41,800,000","-72,600,000","-71,800,000","-445,600,000","-224,200,000","71,700,000","162,700,000","473,500,000","155,400,000","337,300,000","302,800,000","-188,900,000","470,700,000","218,700,000","273,200,000"
