name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018
TotalAssets,"1,494,727,000","1,456,479,000","1,429,966,000","1,444,515,000","1,436,831,000","1,419,810,000","1,446,457,000","1,460,502,000","1,559,530,000","1,690,198,000","1,765,578,000","1,656,741,000","1,583,203,000","1,692,263,000","1,539,607,000","1,515,156,000"
	CurrentAssets,"166,488,000","147,498,000","178,919,000","177,063,000","178,041,000","154,491,000","174,394,000","156,602,000","238,192,000","100,432,000","130,037,000","107,293,000","97,802,000","229,022,000","102,903,000","95,151,000"
		CashCashEquivalentsAndShortTermInvestments,"17,960,000","15,283,000","38,161,000","74,918,000","97,362,000","80,557,000","47,620,000","0","1,000","0","0","227,000","1,662,000","68,680,000","23,856,000","3,600,000"
			CashAndCashEquivalents,"17,960,000","15,283,000","38,161,000","74,918,000","97,362,000","80,557,000","47,620,000","0","1,000","0","0","227,000","1,662,000","68,680,000","23,856,000","3,600,000"
		Receivables,"111,961,000","86,269,000","69,315,000","63,740,000","52,333,000","52,027,000","48,798,000","48,880,000","48,602,000","71,867,000","63,673,000","54,871,000","63,061,000","57,379,000","65,757,000","56,860,000"
			AccountsReceivable,"111,961,000","86,269,000","69,315,000","63,740,000","52,333,000","52,027,000","48,798,000","48,880,000","48,602,000","71,867,000","63,673,000","54,871,000","63,061,000","57,379,000","65,757,000","56,860,000"
				GrossAccountsReceivable,"112,827,000","87,135,000","71,030,000","65,455,000","54,548,000","54,242,000","51,013,000","51,183,000","50,905,000","72,970,000","65,050,000","56,248,000","64,438,000","58,329,000","66,707,000","57,810,000"
				AllowanceForDoubtfulAccountsReceivable,"-866,000","-866,000","-1,715,000","-1,715,000","-2,215,000","-2,215,000","-2,215,000","-2,303,000","-2,303,000","-1,103,000","-1,377,000","-1,377,000","-1,377,000","-950,000","-950,000","-950,000"
		Inventory,"12,061,000","12,466,000","12,983,000","14,120,000","14,485,000","15,156,000","15,140,000","14,996,000","14,116,000","13,976,000","11,336,000","14,626,000","10,386,000","9,473,000","7,060,000","7,062,000"
			RawMaterials,"12,061,000","12,466,000","12,983,000","14,120,000","14,485,000","15,156,000","15,140,000","14,996,000","14,116,000","13,976,000","11,336,000","10,909,000","10,386,000","9,473,000","7,060,000","7,062,000"
			OtherInventories,,,,,,,,,,,,"3,717,000",,,,
		PrepaidAssets,"23,422,000","33,255,000","25,024,000","12,544,000","10,351,000","3,592,000","4,526,000","7,199,000","4,768,000","4,577,000","4,533,000","7,382,000","6,010,000","4,656,000","4,945,000","6,692,000"
		RestrictedCash,,,,,,,,,,,,,,"0","57,000","19,710,000"
