name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016
TotalRevenue,"77,452,000","14,760,000","22,509,000","21,826,000","18,357,000","11,960,000","16,347,000","15,436,000","10,272,000","7,062,000","11,081,000","12,397,000","6,677,000","4,476,000","3,023,000","1,902,000","1,274,000","865,000","0","0","0","0","0","0"
	OperatingRevenue,"77,452,000","14,760,000","22,509,000","21,826,000","18,357,000","11,960,000","16,347,000","15,436,000","10,272,000","7,062,000","11,081,000","12,397,000","6,677,000","4,476,000","3,023,000","1,902,000","1,274,000","865,000","0","0","0","0","0","0"
CostOfRevenue,"9,425,000","2,014,000","2,575,000","2,411,000","2,425,000","1,740,000","2,244,000","2,221,000","1,700,000","1,356,000","2,078,000","1,389,000","1,089,000","738,000","718,000","319,000","351,000","200,000",,,"0","0",,
GrossProfit,"68,027,000","12,746,000","19,934,000","19,415,000","15,932,000","10,220,000","14,103,000","13,215,000","8,572,000","5,706,000","9,003,000","11,008,000","5,588,000","3,738,000","2,305,000","1,583,000","923,000","665,000",,,"0","0",,
OperatingExpense,"133,683,000","34,141,000","31,600,000","32,455,000","35,487,000","32,409,000","34,554,000","31,099,000","31,171,000","31,992,000","31,924,000","30,817,000","31,295,000","30,902,000","26,992,000","25,033,000","23,761,000","29,523,000","19,657,000","13,164,000","8,293,000","7,254,000","4,691,000","5,259,000"
	SellingGeneralAndAdministration,"108,788,000","29,339,000","26,340,000","25,801,000","27,308,000","27,184,000","28,106,000","24,575,000","25,697,000","27,060,000","26,545,000","25,270,000","26,000,000","26,340,000","23,661,000","22,086,000","21,860,000","28,011,000","18,484,000","6,553,000","3,588,000","3,073,000","1,812,000","1,761,000"
	ResearchAndDevelopment,"24,895,000","4,802,000","5,260,000","6,654,000","8,179,000","5,225,000","6,448,000","6,524,000","5,474,000","4,932,000","5,379,000","5,547,000","5,295,000","4,562,000","3,363,000","2,989,000","2,046,000","1,701,000","1,212,000","6,641,000","4,749,000","4,230,000","3,070,000","3,868,000"
	OtherOperatingExpenses,,,,,,,,,,,,,,,"-32,000","-42,000","-145,000","-189,000","-39,000","-30,000","-44,000","-49,000","-191,000","-370,000"
OperatingIncome,"-65,656,000","-21,395,000","-11,666,000","-13,040,000","-19,555,000","-22,189,000","-20,451,000","-17,884,000","-22,599,000","-26,286,000","-22,921,000","-19,809,000","-25,707,000","-27,164,000","-24,687,000","-23,450,000","-22,838,000","-28,858,000","-19,657,000","-13,164,000","-8,293,000","-7,254,000","-4,691,000","-5,259,000"
NetNonOperatingInterestIncomeExpense,"-16,004,000","-3,939,000","-4,004,000","-4,063,000","-4,000,000","-3,856,000","-3,472,000","-3,319,000","-3,260,000","-2,531,000","-2,075,000","-1,813,000","-1,673,000","-1,704,000","-1,659,000","-1,681,000","-1,719,000","-1,717,000","99,000","61,000","60,000","-827,000","-851,000","-847,000"
	InterestIncomeNonOperating,"166,000","134,000","10,000","9,000","12,000","20,000","30,000","31,000","33,000","332,000","400,000","559,000","716,000","684,000","715,000","680,000","582,000","476,000","147,000","61,000","60,000","35,000","34,000","38,000"
	InterestExpenseNonOperating,"16,170,000","4,073,000","4,014,000","4,072,000","4,012,000","3,876,000","3,502,000","3,350,000","3,293,000","2,863,000","2,475,000","2,372,000","2,389,000","2,388,000","2,374,000","2,361,000","2,301,000","2,193,000","48,000","0","0","862,000","885,000","885,000"
OtherIncomeExpense,"84,000","1,000","46,000","-14,000","53,000","-8,000","60,000","-11,000","7,000","-39,000","1,000","-7,186,000","3,000","-6,000","-35,000","8,000","-24,000","3,000","7,000","35,000","25,000","6,000","-46,000","370,000"
	GainOnSaleOfSecurity,,"1,000",,"-14,000","-14,000","-8,000","60,000","-11,000","7,000","-39,000","1,000","-31,000","3,000","-6,000","-35,000","8,000","-24,000","3,000","7,000","35,000","25,000","6,000","-46,000",
	SpecialIncomeCharges,,,,"0","67,000",,"0","0",,,"0","-7,155,000",,,,,,,"39,000","30,000",,,"191,000","370,000"
		OtherSpecialCharges,,,,,,,,,,,"0","7,155,000",,,,,,,"-39,000","-30,000",,,"-191,000","-370,000"
		GainOnSaleOfPPE,,,,"0","67,000",,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,,,"-3,955,000",,,,"-3,412,000",,,,"-2,075,000",,,,"-1,662,000",,,,"145,000",,,,,
PretaxIncome,"-81,576,000","-25,333,000","-15,624,000","-17,117,000","-23,502,000","-26,053,000","-23,863,000","-21,214,000","-25,852,000","-28,856,000","-24,995,000","-28,808,000","-27,377,000","-28,874,000","-26,381,000","-25,123,000","-24,581,000","-30,572,000","-19,551,000","-13,068,000","-8,208,000","-8,075,000","-5,588,000","-6,106,000"
NetIncomeCommonStockholders,"-81,576,000","-25,333,000","-15,624,000","-17,117,000","-23,502,000","-26,053,000","-23,863,000","-21,214,000","-25,852,000","-28,856,000","-24,995,000","-28,808,000","-27,377,000","-28,874,000","-26,381,000","-25,123,000","-24,581,000","-30,572,000","-20,268,000","-17,192,000","-12,837,000","-11,670,000","-16,750,000","-9,385,000"
	NetIncome,"-81,576,000","-25,333,000","-15,624,000","-17,117,000","-23,502,000","-26,053,000","-23,863,000","-21,214,000","-25,852,000","-28,856,000","-24,995,000","-28,808,000","-27,377,000","-28,874,000","-26,381,000","-25,123,000","-24,581,000","-30,572,000","-19,551,000","-13,068,000","-8,208,000","-8,075,000","-5,588,000","-6,106,000"
		NetIncomeIncludingNoncontrollingInterests,"-81,576,000","-25,333,000","-15,624,000","-17,117,000","-23,502,000","-26,053,000","-23,863,000","-21,214,000","-25,852,000","-28,856,000","-24,995,000","-28,808,000","-27,377,000","-28,874,000","-26,381,000","-25,123,000","-24,581,000","-30,572,000","-19,551,000","-13,068,000","-8,208,000","-8,075,000","-5,588,000","-6,106,000"
			NetIncomeContinuousOperations,"-81,576,000","-25,333,000","-15,624,000","-17,117,000","-23,502,000","-26,053,000","-23,863,000","-21,214,000","-25,852,000","-28,856,000","-24,995,000","-28,808,000","-27,377,000","-28,874,000","-26,381,000","-25,123,000","-24,581,000","-30,572,000","-19,551,000","-13,068,000","-8,208,000","-8,075,000","-5,588,000","-6,106,000"
	PreferredStockDividends,,,,,,,,,,,,,,,,,,,"714,000","4,105,000","4,083,000","3,067,000","2,751,000","2,752,000"
	OtherunderPreferredStockDividend,,,,,,,,,,,,,,,"0","0",,"0","3,000","19,000","546,000","528,000","8,411,000","527,000"
DilutedNIAvailtoComStockholders,"-81,576,000","-25,333,000","-15,624,000","-17,117,000","-23,502,000","-26,053,000","-23,863,000","-21,214,000","-25,852,000","-28,856,000","-24,995,000","-28,808,000","-27,377,000","-28,874,000","-26,381,000","-25,123,000","-24,581,000","-30,572,000","-20,268,000","-17,192,000","-12,837,000","-11,670,000","-16,750,000","-9,385,000"
BasicEPS,,"-0.31","-0.23","-0.32","-0.44","-0.49","-0.46","-0.43","-0.56","-0.63","-0.58","-0.69","-0.66","-0.7","-0.64","-0.61","-0.64","-0.81","-0.64","-0.486","-0.363","-0.437",,"-0.351"
DilutedEPS,,"-0.31","-0.23","-0.32","-0.44","-0.49","-0.46","-0.43","-0.56","-0.63","-0.58","-0.69","-0.66","-0.7","-0.64","-0.61","-0.64","-0.81","-0.64","-0.486","-0.363","-0.437",,"-0.351"
BasicAverageShares,,"82,447,861","67,831,835","53,334,669","53,120,574","52,997,730","52,327,655","48,907,514","45,908,104","45,906,162","43,467,985","41,454,181","41,310,608","41,256,050","41,227,530","41,207,167","38,688,366","37,849,199","31,567,310","35,386,273","35,386,273","26,716,734",,"26,716,734"
DilutedAverageShares,,"82,447,861","67,831,835","53,334,669","53,120,574","52,997,730","52,327,655","48,907,514","45,908,104","45,906,162","43,467,985","41,454,181","41,310,608","41,256,050","41,227,530","41,207,167","38,688,366","37,849,199","31,567,310","35,386,273","35,386,273","26,716,734",,"26,716,734"
TotalOperatingIncomeAsReported,"-65,656,000","-21,395,000","-11,666,000","-13,040,000","-19,555,000","-22,189,000","-20,451,000","-17,884,000","-22,599,000","-26,286,000","-22,921,000","-19,809,000","-25,707,000","-27,164,000","-24,719,000","-23,492,000","-22,983,000","-29,047,000","-19,696,000","-13,194,000","-8,337,000","-7,303,000","-4,882,000","-5,629,000"
TotalExpenses,"143,108,000","36,155,000","34,175,000","34,866,000","37,912,000","34,149,000","36,798,000","33,320,000","32,871,000","33,348,000","34,002,000","32,206,000","32,384,000","31,640,000","27,710,000","25,352,000","24,112,000","29,723,000","19,657,000","13,164,000","8,293,000","7,254,000","4,691,000","5,259,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-81,576,000","-25,333,000","-15,624,000","-17,117,000","-23,502,000","-26,053,000","-23,863,000","-21,214,000","-25,852,000","-28,856,000","-24,995,000","-28,808,000","-27,377,000","-28,874,000","-26,381,000","-25,123,000","-24,581,000","-30,572,000","-19,551,000","-13,068,000","-8,208,000","-8,075,000","-5,588,000","-6,106,000"
NormalizedIncome,"-81,585,000","-25,334,000","-15,624,000","-17,103,000","-23,555,000","-26,045,000","-23,923,000","-21,203,000","-25,859,000","-28,817,000","-24,996,000","-21,622,000","-27,380,000","-28,868,000","-26,346,000","-25,131,000","-24,557,000","-30,575,000","-19,558,000","-13,103,000","-8,233,000","-8,081,000","-5,542,000","-6,106,000"
InterestIncome,"166,000","134,000","10,000","9,000","12,000","20,000","30,000","31,000","33,000","332,000","400,000","559,000","716,000","684,000","715,000","680,000","582,000","476,000","147,000","61,000","60,000","35,000","34,000","38,000"
InterestExpense,"16,170,000","4,073,000","4,014,000","4,072,000","4,012,000","3,876,000","3,502,000","3,350,000","3,293,000","2,863,000","2,475,000","2,372,000","2,389,000","2,388,000","2,374,000","2,361,000","2,301,000","2,193,000","48,000","0","0","862,000","885,000","885,000"
NetInterestIncome,"-16,004,000","-3,939,000","-4,004,000","-4,063,000","-4,000,000","-3,856,000","-3,472,000","-3,319,000","-3,260,000","-2,531,000","-2,075,000","-1,813,000","-1,673,000","-1,704,000","-1,659,000","-1,681,000","-1,719,000","-1,717,000","99,000","61,000","60,000","-827,000","-851,000","-847,000"
EBIT,"-65,406,000","-21,260,000","-11,610,000","-13,045,000","-19,490,000","-22,177,000","-20,361,000","-17,864,000","-22,559,000","-25,993,000","-22,520,000","-26,436,000","-24,988,000","-26,486,000","-24,007,000","-22,762,000","-22,280,000","-28,379,000","-19,503,000","-13,068,000","-8,293,000","-7,213,000","-4,703,000","-5,221,000"
EBITDA,"-64,806,000"
ReconciledCostOfRevenue,"9,425,000","2,014,000","2,575,000","2,411,000","2,425,000","1,740,000","2,244,000","2,221,000","1,700,000","1,356,000","2,078,000","1,389,000","1,089,000","738,000","718,000","319,000","351,000","200,000",,,"0","0",,
ReconciledDepreciation,"600,000","119,000","168,000","154,000","159,000","165,000","420,000","473,000","254,000","309,000","230,000","286,000","323,000","269,000","214,000","153,000","16,000","156,000","60,000","38,000","34,000","32,000","27,000","17,000"
