name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006
TotalAssets,"20,941,000,000","19,783,000,000","19,593,000,000","19,007,000,000","16,610,000,000","16,908,000,000","18,757,000,000","23,116,000,000","25,842,000,000","24,627,000,000","25,541,000,000","26,354,000,000","24,030,000,000","21,382,000,000","22,460,000,000","22,771,000,000","22,321,000,000","20,058,000,000","21,344,000,000","22,433,000,000","19,656,000,000","19,155,000,000","21,127,000,000","22,020,000,000","24,028,000,000","23,358,000,000","24,569,000,000","25,969,000,000","24,602,000,000","23,985,000,000","24,588,400,000","25,571,800,000","25,932,300,000","24,076,248,000","23,286,038,000","19,539,105,000","19,429,489,000","18,280,109,000","17,673,527,000","19,089,966,000","18,307,634,000","16,827,585,000","17,332,221,000","18,126,630,000","17,855,827,000","16,278,365,000","16,002,419,000","16,156,660,000","15,650,038,000","14,685,866,000","16,451,367,000","19,894,959,000","20,690,915,000","19,362,920,000","19,255,662,000","20,225,201,000","19,852,351,000","18,526,803,000","18,677,401,000","19,465,395,000"
	CurrentAssets,"4,253,000,000","4,426,000,000","4,998,000,000","4,903,000,000","4,019,000,000","2,657,000,000","3,727,000,000","4,440,000,000","4,625,000,000","3,889,000,000","3,491,000,000","3,278,000,000","3,676,000,000","3,899,000,000","3,822,000,000","3,269,000,000","4,382,000,000","3,556,000,000","3,820,000,000","3,978,000,000","2,582,000,000","2,955,000,000","3,812,000,000","3,563,000,000","3,432,000,000","3,806,000,000","3,408,000,000","3,361,000,000","3,361,000,000","3,642,000,000","3,605,200,000","3,554,600,000","3,425,900,000","3,295,087,000","3,567,333,000","3,051,990,000","2,730,842,000","2,713,362,000","3,361,936,000","3,250,181,000","3,033,987,000","3,394,751,000","4,378,510,000","4,314,596,000","3,433,690,000","2,844,909,000","3,069,673,000","3,010,475,000","2,204,171,000","2,309,218,000","3,619,622,000","3,626,046,000","3,148,489,000","2,866,929,000","3,518,794,000","3,142,116,000","2,567,547,000","2,576,631,000","3,365,648,000","3,110,051,000"
		CashCashEquivalentsAndShortTermInvestments,"1,521,000,000","2,258,000,000","2,703,000,000","1,820,000,000","1,087,000,000","1,096,000,000","1,137,000,000","1,366,000,000","1,017,000,000","865,000,000","465,000,000","415,000,000","554,000,000","1,127,000,000","761,000,000","685,000,000","1,046,000,000","1,072,000,000","748,000,000","1,141,000,000","785,000,000","816,000,000","1,430,000,000","1,285,000,000","857,000,000","486,000,000","509,000,000","537,000,000","585,000,000","490,000,000","423,200,000","548,700,000","483,100,000","653,783,000","533,255,000","453,361,000","586,201,000","594,701,000","931,779,000","385,788,000","747,582,000","1,365,759,000","2,374,170,000","1,483,320,000","896,848,000","800,749,000","985,642,000","926,717,000","570,889,000","557,071,000","594,266,000","731,539,000","811,394,000","728,869,000","730,203,000","397,263,000","401,630,000","476,883,000","674,549,000","440,748,000"
			CashAndCashEquivalents,"1,521,000,000","2,258,000,000","2,703,000,000","1,820,000,000","1,087,000,000","1,096,000,000","1,137,000,000","1,366,000,000","1,017,000,000","865,000,000","465,000,000","415,000,000","554,000,000","1,127,000,000","761,000,000","685,000,000","1,046,000,000","1,072,000,000","748,000,000","1,141,000,000","785,000,000","816,000,000","1,430,000,000","1,285,000,000","857,000,000","486,000,000","509,000,000","537,000,000","585,000,000","490,000,000","423,200,000","548,700,000","483,100,000","653,783,000","533,255,000","453,361,000","586,201,000","594,701,000","931,779,000","385,788,000","747,582,000","1,365,759,000","2,374,170,000","1,483,320,000","896,848,000","800,749,000","985,642,000","926,717,000","570,889,000","557,071,000","594,266,000","731,539,000","811,394,000","728,869,000","730,203,000","397,263,000","401,630,000","476,883,000","674,549,000","440,748,000"
		Receivables,"800,000,000","758,000,000","890,000,000","1,024,000,000","793,000,000","777,000,000","1,416,000,000","1,566,000,000","2,095,000,000","1,840,000,000","1,966,000,000","1,698,000,000","1,563,000,000","1,587,000,000","1,805,000,000","1,426,000,000","1,332,000,000","1,365,000,000","1,524,000,000","1,210,000,000","1,034,000,000","1,283,000,000","1,456,000,000","1,323,000,000","1,518,000,000","2,074,000,000","1,623,000,000","1,390,000,000","1,304,000,000","1,597,000,000","1,512,600,000","1,700,900,000","1,656,000,000","1,555,520,000","1,886,596,000","1,731,795,000","1,448,271,000","1,398,702,000","1,616,382,000","1,996,038,000","1,447,170,000","1,311,755,000","1,356,553,000","1,674,946,000","1,400,306,000","1,446,373,000","1,325,332,000","1,266,926,000","1,057,120,000","1,069,172,000","1,911,084,000","1,902,541,000","1,608,626,000","1,526,560,000","1,690,956,000","1,834,067,000","1,411,789,000","1,439,251,000","1,656,542,000","1,523,147,000"
			AccountsReceivable,"800,000,000","758,000,000","890,000,000","1,024,000,000","793,000,000","777,000,000","1,416,000,000","1,566,000,000","2,095,000,000","1,840,000,000","1,966,000,000","1,698,000,000","1,563,000,000","1,587,000,000","1,805,000,000","1,426,000,000","1,332,000,000","1,365,000,000","1,524,000,000","1,210,000,000","1,034,000,000","1,283,000,000","1,456,000,000","1,323,000,000","1,518,000,000","2,074,000,000","1,623,000,000","1,390,000,000","1,304,000,000","1,597,000,000","1,512,600,000","1,700,900,000","1,656,000,000","1,555,520,000","1,886,596,000","1,755,476,000","1,448,271,000","1,421,752,000","1,636,664,000","2,017,947,000","1,447,170,000",,"1,376,261,000","1,674,946,000",,,,,,,,,,"1,526,560,000","1,690,956,000","1,834,067,000","1,411,789,000","1,439,251,000","1,656,542,000","1,523,147,000"
				GrossAccountsReceivable,"845,000,000","806,000,000","948,000,000","1,082,000,000","849,000,000","823,000,000","1,479,000,000","1,610,000,000","2,126,000,000","1,875,000,000","1,997,000,000","1,727,000,000","1,590,000,000","1,614,000,000","1,834,000,000","1,455,000,000","1,363,000,000","1,398,000,000","1,561,000,000","1,247,000,000","1,073,000,000","1,325,000,000","1,499,000,000","1,368,000,000","1,588,000,000","2,134,000,000","1,691,000,000","1,463,000,000","1,369,000,000","1,664,000,000","1,543,400,000","1,736,300,000","1,682,200,000","1,584,538,000","1,911,709,000",,"1,470,170,000",,,,"1,466,269,000",,,"1,695,032,000",,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-45,000,000","-48,000,000","-58,000,000","-58,000,000","-56,000,000","-46,000,000","-63,000,000","-44,000,000","-31,000,000","-35,000,000","-31,000,000","-29,000,000","-27,000,000","-27,000,000","-29,000,000","-29,000,000","-31,000,000","-33,000,000","-37,000,000","-37,000,000","-39,000,000","-42,000,000","-43,000,000","-45,000,000","-70,000,000","-60,000,000","-68,000,000","-73,000,000","-65,000,000","-67,000,000","-30,800,000","-35,400,000","-26,200,000","-29,018,000","-25,113,000",,"-21,899,000",,,,"-19,099,000",,,"-20,086,000",,,,,,,,,,,,,,,,
			ReceivablesAdjustmentsAllowances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-23,681,000",,"-23,050,000","-20,282,000","-21,909,000",,,"-19,708,000",,,,,,,,,,,,,,,,,
		Inventory,,,,,,,,,,,,,,,,,,,,,,,"33,000,000","43,000,000","53,000,000","51,000,000","62,000,000","75,000,000","71,000,000","67,000,000","92,300,000","106,700,000","128,300,000","109,953,000","105,728,000","105,982,000","101,712,000","99,527,000","83,978,000","94,476,000","99,999,000","97,472,000","87,429,000","87,615,000","88,805,000","92,933,000","93,415,000","99,274,000","102,582,000","93,118,000","96,187,000","129,658,000","141,929,000","131,300,000","118,997,000","124,104,000","129,846,000","114,773,000","112,119,000","119,594,000"
