name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,09/30/2018,06/30/2018
TotalAssets,"2,723,025,000","2,716,346,000","2,632,545,000","2,643,626,000","2,567,235,000","2,584,164,000","2,061,479,000","453,004,799","453,170,617","451,742,407","450,085,100","447,927,361","445,580,109","681,110","347,776"
	CurrentAssets,"280,552,000","277,904,000","272,851,000","263,532,000","220,397,000","244,185,000","226,711,000","401,500","739,748","721,566","864,711","934,237","1,070,178","40,503","7,250"
		CashCashEquivalentsAndShortTermInvestments,"14,899,000","41,898,000","25,961,000","26,745,000","4,020,000","46,831,000","32,024,000","313,562","585,123","585,253","672,015","672,146","738,881","40,503","7,250"
			CashAndCashEquivalents,"14,899,000","41,898,000","25,961,000","26,745,000","4,020,000","46,831,000","32,024,000","313,562","585,123","585,253","672,015","672,146","738,881","40,503","7,250"
				CashFinancial,,,,,,,,"313,562","585,123","585,253","672,015","672,146","738,881","40,503","7,250"
		Receivables,"154,833,000","138,094,000","159,446,000","151,494,000","136,517,000","125,971,000","129,092,000",,,,,,,,
			AccountsReceivable,"148,432,000","131,388,000","152,777,000","143,503,000","130,599,000","118,305,000","123,236,000",,,,,,,,
				GrossAccountsReceivable,"149,734,000","132,779,000","154,209,000","144,902,000","131,338,000",,"123,236,000",,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-1,302,000","-1,391,000","-1,432,000","-1,399,000","-739,000",,"0",,,,,,,,
			NotesReceivable,"6,401,000","6,706,000","6,669,000","7,991,000","5,918,000","7,666,000","5,856,000",,,,,,,,
		Inventory,"93,778,000","79,517,000","70,812,000","69,978,000","67,584,000","59,810,000","57,164,000",,,,,,,,
			RawMaterials,"33,599,000","29,428,000","24,739,000","21,967,000","27,544,000","25,150,000","23,817,000",,,,,,,,
			FinishedGoods,"53,166,000","43,533,000","39,489,000","42,018,000","33,981,000","28,935,000","28,081,000",,,,,,,,
