name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,09/30/1994,06/30/1994
OperatingCashFlow,"1,025,136,000","315,143,000","205,382,000","271,806,000","232,805,000","195,266,000","149,671,000","227,327,000","159,184,000","266,926,000","212,152,000","277,094,000","174,074,000","255,759,000","145,417,000","257,616,000","155,163,000","268,358,000","144,864,000","248,881,000","149,133,000","223,273,000","132,248,000","229,922,000","149,743,000","200,610,000","129,502,000","200,860,000","124,499,000","162,549,000","151,995,000","161,866,000","96,179,000","82,943,000","79,900,000","74,496,000","64,894,000","85,692,000","48,164,000","89,943,000","57,232,000","72,160,000","45,877,000","66,343,000","47,044,000","57,307,000","27,246,000","58,870,000","36,439,000","52,975,000","25,925,000","58,428,000","34,171,000","55,063,000","38,193,000","53,315,000","42,498,000","47,235,000","32,729,000","58,496,000","39,721,000","59,931,000","22,434,000","68,248,000","25,931,000","43,322,000","17,957,000","40,023,000","28,147,000","38,482,000","33,871,000","28,419,000","23,492,000","35,956,000","29,572,000","23,648,000","20,422,000","29,678,000","17,838,000","22,533,000","18,608,000","26,751,000","17,500,000","31,066,000","27,428,000","22,877,000","24,663,000","31,106,000","14,363,000","22,032,000","22,266,000","23,500,000","19,000,000","18,800,000","10,334,000","20,500,000","14,500,000","13,700,000","16,098,000","7,900,000","10,200,000","12,700,000","3,335,000","8,700,000","2,400,000","5,700,000","2,600,000","5,300,000","4,300,000","4,400,000","1,300,000","100,000"
	CashFlowFromContinuingOperatingActivities,"1,025,136,000","315,143,000","205,382,000","271,806,000","232,805,000","195,266,000","149,671,000","227,327,000","159,184,000","266,926,000","212,152,000","277,094,000","174,074,000","255,759,000","145,417,000","257,616,000","155,163,000","268,358,000","144,864,000","248,881,000","149,133,000","223,273,000","132,248,000","229,922,000","149,743,000","200,610,000","129,502,000","200,860,000","124,499,000","162,549,000","151,995,000","161,866,000","96,179,000","82,943,000","79,900,000","74,496,000","64,894,000","85,692,000","48,164,000","89,943,000","57,232,000","72,160,000","45,877,000","66,343,000","47,044,000","57,307,000","27,246,000","58,870,000","36,439,000","52,975,000","25,925,000","58,428,000","34,171,000","55,063,000","38,193,000","53,315,000","42,498,000","47,235,000","32,729,000","58,496,000","39,721,000","59,931,000","22,434,000","68,248,000","25,931,000","43,322,000","17,957,000","40,023,000","28,147,000","38,482,000","33,871,000","28,419,000","23,492,000","35,956,000","29,572,000","23,648,000","20,422,000","29,678,000","17,838,000","22,533,000","18,608,000","26,751,000","17,500,000","31,066,000","27,428,000","22,877,000","24,663,000","31,106,000","14,363,000","22,032,000","22,266,000","23,500,000","19,000,000","18,800,000","10,334,000","20,500,000","14,500,000","13,700,000","16,098,000","7,900,000","10,200,000","12,700,000","3,335,000","8,700,000","2,400,000","5,700,000","2,600,000","5,300,000","4,300,000","4,400,000","1,300,000","100,000"
		NetIncomeFromContinuingOperations,"417,117,000","78,375,000","144,125,000","125,002,000","69,615,000","176,949,000","101,649,000","78,842,000","90,076,000","328,765,000","135,182,000","105,700,000","98,061,000","125,505,000","124,440,000","86,110,000","106,410,000","96,639,000","109,662,000","85,035,000","75,795,000","187,551,000","204,517,000","70,162,000","76,824,000","86,907,000","85,762,000","47,182,000","50,542,000","64,753,000","45,126,000","54,478,000","8,428,000","26,406,000","36,902,000","75,875,000","29,575,000","29,703,000","49,640,000","20,221,000","42,488,000","27,241,000","17,868,000","11,088,000",,,,,,,,,,,,,,,"53,597,000","12,308,000","12,187,000","37,546,000","36,989,000","-43,494,000","58,931,000","10,322,000","33,487,000","-19,527,000","38,879,000","26,877,000","32,110,000","35,433,000","5,700,000","6,450,000","7,806,000","9,260,000","10,650,000","10,231,000","9,605,000","10,614,000","21,359,000","11,296,000","11,069,000","14,901,000","11,526,000","11,049,000","11,200,000","10,249,000","10,273,000","12,750,000","13,278,000","13,100,000","8,900,000","8,500,000","8,046,000","7,500,000","7,600,000","7,900,000","7,477,000","11,000,000","6,300,000","4,900,000","3,722,000","2,700,000","3,800,000","2,100,000","5,500,000","1,600,000","2,000,000","1,500,000","1,700,000","300,000"
		OperatingGainsLosses,"-157,505,000","-33,342,000","-51,902,000","-68,330,000","-3,931,000","-117,201,000","-41,658,000","-18,591,000","-28,873,000","-256,299,000","-51,145,000","-27,414,000","-17,847,000","-49,089,000","-65,459,000","-16,908,000","-37,162,000","-33,454,000","-43,974,000","-20,008,000","-12,480,000","-125,160,000","-146,517,000","-10,390,000","-15,399,000","-36,066,000","-40,006,000","-7,777,000","-17,124,000","-32,785,000","-42,811,000","-20,653,000","-4,483,000","-18,603,000","-8,503,000","-52,978,000","-3,279,000","-3,661,000","-47,383,000","23,158,000","-21,018,000","-10,870,000","-8,463,000","3,212,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfBusiness,,,"0","0","-2,260,000","0","0","0","0","-234,694,000","0","0","0","-31,535,000","-1,253,000",,,"0","0","0","-2,159,000","-86,482,000",,,"0","0","0","0","-12,652,000","-21,362,000",,,,,"0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","-10,870,000","-3,511,000","802,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"-55,857,000","-12,171,000","-901,000","-42,897,000","112,000","-102,707,000","-27,723,000","-22,745,000","-16,643,000","13,000","2,630,000","-239,000","-556,000","58,000","-39,685,000","-120,000","-22,113,000","-680,000","-259,000","-281,000","-13,000","-27,779,000","-137,146,000","-1,033,000","-1,103,000","-20,998,000","-40,221,000","-598,000","0","-7,112,000","-6,399,000","-31,372,000","-459,000","-8,695,000","-16,564,000","-12,658,000","0","-3,270,000","-11,168,000","21,947,000",,,"-1,332,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"-115,881,000","-21,171,000","-51,029,000","-25,433,000","-18,248,000","-17,011,000","-12,998,000","-14,960,000","-17,257,000","-21,297,000","-57,201,000","-21,700,000","-16,959,000","-16,276,000","-24,521,000","-16,788,000","-15,049,000","-32,774,000","-45,511,000","-19,727,000","-10,308,000","-10,899,000","-9,766,000","-9,568,000","-14,296,000","-15,068,000","-5,899,000","-7,179,000","-4,472,000","-4,311,000","-36,680,000","10,719,000","-4,024,000","-9,908,000","6,915,000","-40,498,000","-2,255,000","-391,000",,,,,,"1,843,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"525,012,000","133,533,000","132,179,000","130,564,000","128,736,000","128,587,000","130,127,000","130,202,000","133,609,000","131,559,000","122,908,000","120,809,000","119,465,000","120,568,000","120,597,000","120,852,000","119,330,000","119,105,000","117,988,000","117,451,000","117,939,000","115,503,000","111,835,000","110,467,000","109,673,000","109,707,000","116,477,000","116,308,000","113,731,000","106,907,000","106,381,000","107,235,000","93,678,000","53,298,000","53,117,000","51,510,000","51,033,000","50,074,000","47,980,000","45,967,000","44,684,000","43,699,000","51,338,000","38,137,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,000,000","400,000"
			DepreciationAndAmortization,"525,012,000","133,533,000","132,179,000","130,564,000","128,736,000","128,587,000","130,127,000","130,202,000","133,609,000","131,559,000","122,908,000","120,809,000","119,465,000","120,568,000","120,597,000","120,852,000","119,330,000","119,105,000","117,988,000","117,451,000","117,939,000","115,503,000","111,835,000","110,467,000","109,673,000","109,707,000","116,477,000","116,308,000","113,731,000","106,907,000","106,381,000","107,235,000","93,678,000","53,298,000","53,117,000","51,510,000","51,033,000","50,074,000","47,980,000","45,967,000","44,684,000","43,699,000","51,338,000","38,137,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,000,000","400,000"
