name,ttm,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994,07/31/1994,04/30/1994,01/31/1994,10/31/1993,07/31/1993,04/30/1993,01/31/1993,10/31/1992,07/31/1992,04/30/1992
OperatingCashFlow,"2,466,000,000","248,000,000","1,871,000,000","-124,000,000","471,000,000","494,000,000","405,000,000","251,000,000","157,000,000","-164,000,000","1,436,000,000","-178,000,000","388,000,000","-38,000,000","1,306,000,000","-115,000,000","222,000,000","322,000,000","1,555,000,000","-147,000,000","302,000,000","234,000,000","1,493,000,000","-252,000,000","552,000,000","8,000,000","1,706,000,000","-120,000,000","345,000,000","53,000,000","1,932,000,000","131,000,000","560,000,000","86,000,000","1,730,000,000","155,000,000","366,000,000","298,000,000","1,372,000,000","251,000,000","373,000,000","265,000,000","1,466,000,000","40,000,000","520,000,000","67,000,000","1,160,000,000","58,000,000","437,000,000","-149,000,000","1,366,000,000","-52,000,000","471,000,000","-35,000,000","1,562,000,000","-275,000,000","571,000,000","21,000,000","1,946,000,000","-127,000,000","782,000,000","-363,000,000","1,696,000,000","-330,000,000","2,460,000,000","-80,000,000","1,807,000,000","-528,000,000","609,000,000","56,000,000","1,126,000,000","-109,000,000","456,000,000","34,000,000","960,000,000","-89,000,000","515,000,000","204,000,000","165,000,000","-175,000,000","1,009,000,000","169,000,000","657,000,000","-153,000,000","533,000,000","243,000,000","1,017,000,000","-176,000,000","386,000,000","58,000,000","956,000,000","-180,000,000","341,000,000","146,000,000","1,281,000,000","-291,000,000","526,000,000","174,000,000","1,164,900,000","-155,800,000","462,700,000","101,200,000","1,015,200,000","-173,000,000","428,900,000","-50,600,000","815,100,000","-344,700,000","33,500,000","-209,400,000","288,300,000","-126,800,000","92,600,000","-92,600,000","243,700,000","-75,400,000","215,100,000","27,100,000","277,500,000","-81,200,000","125,400,000","119,900,000"
	CashFlowFromContinuingOperatingActivities,"2,466,000,000","248,000,000","1,871,000,000","-124,000,000","471,000,000","494,000,000","405,000,000","251,000,000","157,000,000","-164,000,000","1,436,000,000","-178,000,000","388,000,000","-38,000,000","1,306,000,000","-115,000,000","222,000,000","322,000,000","1,555,000,000","-147,000,000","302,000,000","234,000,000","1,493,000,000","-252,000,000","552,000,000","8,000,000","1,706,000,000","-120,000,000","345,000,000","53,000,000","1,932,000,000","131,000,000","560,000,000","86,000,000","1,730,000,000","155,000,000","366,000,000","298,000,000","1,372,000,000","251,000,000","373,000,000","265,000,000","1,466,000,000","40,000,000","520,000,000","67,000,000","1,160,000,000","58,000,000","437,000,000","-149,000,000","1,366,000,000","-52,000,000","471,000,000","-35,000,000","1,562,000,000","-275,000,000","571,000,000","21,000,000","1,946,000,000","-127,000,000","782,000,000","-386,000,000","1,694,000,000","-276,000,000","2,395,000,000","-114,000,000","1,864,000,000","-546,000,000","609,000,000","56,000,000","1,126,000,000","-109,000,000","456,000,000","34,000,000","960,000,000","-89,000,000","515,000,000","204,000,000","896,000,000","-284,000,000","636,000,000","-80,000,000","749,000,000","-153,000,000","533,000,000","243,000,000","1,017,000,000","-176,000,000","386,000,000","58,000,000","956,000,000","-180,000,000","341,000,000","146,000,000","1,281,000,000","-291,000,000","526,000,000","174,000,000","1,164,900,000","-155,800,000","462,700,000","101,200,000","1,015,200,000","-173,000,000","428,900,000","-50,600,000","815,100,000","-344,700,000","33,500,000","-209,400,000","288,300,000","-126,800,000","92,600,000","-92,600,000","243,700,000","-75,400,000","215,100,000","27,100,000","277,500,000","-81,200,000","125,400,000","119,900,000"
		NetIncomeFromContinuingOperations,"1,613,000,000","286,000,000","743,000,000","239,000,000","345,000,000","103,000,000","160,000,000","-92,000,000","-431,000,000","-3,581,000,000","340,000,000","1,000,000","87,000,000","136,000,000","740,000,000","62,000,000","165,000,000","131,000,000","1,320,000,000","33,000,000","113,000,000","70,000,000","472,000,000","15,000,000","9,000,000","115,000,000","543,000,000","117,000,000","217,000,000","193,000,000","793,000,000","217,000,000","292,000,000","224,000,000","811,000,000","177,000,000","281,000,000","217,000,000","730,000,000","145,000,000","279,000,000","181,000,000",,,,"131,000,000","667,000,000","10,000,000","147,000,000","23,000,000","466,000,000","-35,000,000",,,"-4,773,000,000","-44,000,000","73,000,000","-59,000,000","750,000,000","33,000,000","74,000,000","36,000,000","733,000,000","-3,000,000","317,000,000","-52,000,000","699,000,000","436,000,000","148,000,000","123,000,000","440,000,000","74,000,000","79,000,000","96,000,000","460,000,000","67,000,000","120,000,000","46,000,000","341,000,000","106,000,000","282,000,000","89,000,000","-447,000,000","3,000,000","110,000,000","58,000,000","332,000,000","-668,000,000","63,000,000","89,000,000","448,000,000","123,000,000","137,000,000","87,000,000","408,000,000","110,000,000","107,000,000","60,000,000","379,500,000","105,100,000","66,300,000","24,100,000","289,200,000","41,800,000","-27,200,000","-37,900,000","244,900,000","-46,400,000","-66,900,000","-57,000,000","107,300,000","44,300,000","3,800,000","32,200,000","146,000,000","20,200,000","8,900,000","21,700,000","105,100,000","31,600,000","-15,800,000","11,800,000"
		OperatingGainsLosses,"-98,000,000","-37,000,000","-23,000,000","-41,000,000","3,000,000","4,000,000","-29,000,000","9,000,000","11,000,000","-4,000,000","-87,000,000","-10,000,000","1,000,000","-35,000,000","-278,000,000","-41,000,000","-46,000,000","-24,000,000","-368,000,000","-65,000,000","-43,000,000","-68,000,000","-192,000,000","62,000,000","6,000,000","13,000,000",,,,,,,,,,,,,,,,,,,,,,,,,"71,000,000","33,000,000","34,000,000","138,000,000",,,,,,"17,000,000",,,"123,000,000","202,000,000","-75,000,000","133,000,000","134,000,000",,,,,,,,,,,,"0","-31,000,000","100,000,000","-249,000,000","886,000,000","42,000,000","35,000,000","46,000,000","167,000,000",,,,,,,,,,,"32,000,000",,,,,,,,,,,,,,,,"3,500,000",,"4,700,000","-2,800,000","900,000",,,,
			GainLossOnInvestmentSecurities,"-127,000,000","-42,000,000","-30,000,000","-49,000,000","-6,000,000","-6,000,000","-40,000,000","-4,000,000","0","-16,000,000","-95,000,000","-18,000,000","-6,000,000","-43,000,000","-278,000,000","-41,000,000","-46,000,000","-24,000,000","-368,000,000","-65,000,000","-43,000,000","-68,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PensionAndEmployeeBenefitExpense,"29,000,000","5,000,000","7,000,000","8,000,000","9,000,000","10,000,000","11,000,000","13,000,000","11,000,000","12,000,000","8,000,000","8,000,000","7,000,000","8,000,000","15,000,000","23,000,000",,,"32,000,000","22,000,000","51,000,000","0","17,000,000","62,000,000","6,000,000","13,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"856,000,000","206,000,000","206,000,000","224,000,000","220,000,000","224,000,000","237,000,000","250,000,000","235,000,000","237,000,000","256,000,000","253,000,000","236,000,000","236,000,000","244,000,000","248,000,000","235,000,000","235,000,000","250,000,000","254,000,000","244,000,000","243,000,000","271,000,000","267,000,000","260,000,000","260,000,000","270,000,000","271,000,000","261,000,000","259,000,000","266,000,000","263,000,000","254,000,000","253,000,000","259,000,000","257,000,000","253,000,000","251,000,000","267,000,000","269,000,000","257,000,000","256,000,000","267,000,000","282,000,000","268,000,000","268,000,000","285,000,000","290,000,000","288,000,000","287,000,000","305,000,000","301,000,000","301,000,000","303,000,000","301,000,000","334,000,000","308,000,000","308,000,000","320,000,000","314,000,000","319,000,000","320,000,000","319,000,000","304,000,000","289,000,000","304,000,000","314,000,000","286,000,000","179,000,000","179,000,000","205,000,000","179,000,000","181,000,000","178,000,000","182,000,000","177,000,000","174,000,000","180,000,000","180,000,000","168,000,000","170,000,000","167,000,000","138,000,000","191,000,000","183,000,000","184,000,000","182,000,000","187,000,000","184,000,000","187,000,000","189,000,000","193,000,000","189,000,000","174,000,000","155,000,000","160,000,000","159,000,000","157,000,000","154,300,000","152,000,000","151,500,000","152,200,000","137,900,000","141,700,000","141,800,000","139,200,000","138,400,000","139,500,000","120,800,000","121,100,000","119,900,000","71,700,000","68,400,000","66,800,000","65,800,000","64,800,000","63,100,000","63,100,000","112,100,000","52,500,000","51,400,000","50,700,000"
			DepreciationAndAmortization,"856,000,000","206,000,000","206,000,000","224,000,000","220,000,000","224,000,000","237,000,000","250,000,000","235,000,000","237,000,000","256,000,000","253,000,000","236,000,000","236,000,000","244,000,000","248,000,000","235,000,000","235,000,000","250,000,000","254,000,000","244,000,000","243,000,000","271,000,000","267,000,000","260,000,000","260,000,000","270,000,000","271,000,000","261,000,000","259,000,000","266,000,000","263,000,000","254,000,000","253,000,000","259,000,000","257,000,000","253,000,000","251,000,000","267,000,000","269,000,000","257,000,000","256,000,000","267,000,000","282,000,000","268,000,000","268,000,000","285,000,000","290,000,000","288,000,000","287,000,000","305,000,000","301,000,000","301,000,000","303,000,000","301,000,000","334,000,000","308,000,000","308,000,000","320,000,000","314,000,000","319,000,000","320,000,000","319,000,000","304,000,000","289,000,000","304,000,000","314,000,000","286,000,000","179,000,000","179,000,000","205,000,000","179,000,000","181,000,000","178,000,000","182,000,000","177,000,000","174,000,000","180,000,000","180,000,000","168,000,000","170,000,000","167,000,000","138,000,000","191,000,000","183,000,000","184,000,000","182,000,000","187,000,000","184,000,000","187,000,000","189,000,000","193,000,000","189,000,000","174,000,000","155,000,000","160,000,000","159,000,000","157,000,000","154,300,000","152,000,000","151,500,000","152,200,000","137,900,000","141,700,000","141,800,000","139,200,000","138,400,000","139,500,000","120,800,000","121,100,000","119,900,000","71,700,000","68,400,000","66,800,000","65,800,000","64,800,000","63,100,000","63,100,000","112,100,000","52,500,000","51,400,000","50,700,000"
				Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"315,000,000","315,000,000","327,000,000","321,000,000","327,000,000","329,000,000","320,000,000","315,000,000","314,000,000","316,000,000","296,000,000","292,000,000","178,000,000","177,000,000","203,000,000","177,000,000","178,000,000","176,000,000","180,000,000","175,000,000","172,000,000","179,000,000","179,000,000","166,000,000","167,000,000","164,000,000","145,000,000","175,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-7,000,000","-7,000,000","-7,000,000","-7,000,000","-8,000,000","-9,000,000","-1,000,000","-11,000,000","-25,000,000","-12,000,000","18,000,000","-6,000,000","1,000,000","2,000,000","2,000,000","2,000,000","3,000,000","2,000,000","2,000,000","2,000,000","2,000,000","1,000,000","1,000,000","2,000,000","3,000,000","3,000,000","-7,000,000","16,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
