name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,12/31/2019
TotalAssets,"3,746,315,000","4,069,054,000","4,259,057,000","4,358,856,000","4,483,151,000","3,439,329,000","2,566,659,000","2,516,137,000","330,725,000"
	CurrentAssets,"2,398,465,000","2,753,330,000","2,985,072,000","3,056,964,000","3,211,481,000","2,194,305,000","1,485,856,000","1,451,121,000","261,148,000"
		CashCashEquivalentsAndShortTermInvestments,"1,772,892,000","2,152,892,000","2,394,865,000","2,646,500,000","2,818,128,000","1,817,258,000","1,140,907,000","1,244,266,000","76,533,000"
			CashAndCashEquivalents,"1,772,892,000","2,152,892,000","2,394,865,000","2,646,500,000","2,818,128,000","1,817,258,000","1,140,907,000","1,244,266,000","76,533,000"
				CashFinancial,,,,,,,,,"76,533,000"
		Receivables,"104,157,000","97,813,000","75,219,000","71,205,000","72,395,000","74,771,000","75,183,000","50,164,000","19,828,000"
			AccountsReceivable,"104,157,000","97,813,000","75,219,000","71,205,000","72,395,000","74,771,000","75,183,000","50,164,000","19,828,000"
		PrepaidAssets,"56,562,000","25,675,000","34,820,000","25,002,000","15,226,000","14,558,000","12,334,000","24,696,000","20,787,000"
		RestrictedCash,"464,854,000","476,950,000","480,168,000","314,257,000","305,732,000","287,718,000","257,432,000","131,995,000","144,000,000"
	TotalNonCurrentAssets,"1,347,850,000","1,315,724,000","1,273,985,000","1,301,892,000","1,271,670,000","1,245,024,000","1,080,803,000","1,065,016,000","69,577,000"
		NetPPE,"110,903,000","109,850,000","113,318,000","113,707,000","116,007,000","108,904,000","39,482,000","37,002,000","25,945,000"
			GrossPPE,"110,903,000","150,254,000","113,318,000","113,707,000","116,007,000","126,342,000","53,592,000","47,774,000","32,949,000"
				Properties,,"0",,,,"0","0","0","0"
				MachineryFurnitureEquipment,,"56,257,000",,,,"33,578,000","31,325,000","27,216,000","15,576,000"
				OtherProperties,"110,903,000","63,831,000","113,318,000","113,707,000","116,007,000","68,077,000",,,
				Leases,,"30,166,000",,,,"24,687,000","22,267,000","20,558,000","17,373,000"
			AccumulatedDepreciation,,"-40,404,000",,,,"-17,438,000","-14,110,000","-10,772,000","-7,004,000"
		GoodwillAndOtherIntangibleAssets,"1,138,678,000","1,150,672,000","1,143,033,000","1,172,072,000","1,144,556,000","1,125,533,000","1,035,579,000","1,022,673,000","38,677,000"
			Goodwill,"615,655,000","615,655,000","626,090,000","631,408,000","612,479,000","569,603,000","486,327,000","480,578,000","4,738,000"
			OtherIntangibleAssets,"523,023,000","535,017,000","516,943,000","540,664,000","532,077,000","555,930,000","549,252,000","542,095,000","33,939,000"
