name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009
TotalRevenue,"11,752,595","2,503,051","3,314,231","3,018,774","2,916,538","3,915,389","4,234,216","2,778,721","3,036,843","1,531,715","1,952,489","1,158,882","2,185,861","1,373,371","1,979,491","1,923,400","2,647,583","1,543,895","1,596,728","1,405,100","1,325,261","1,210,663","620,112","582,549","560,877","363,839","542,638","970,379","427,812","809,155","845,814","664,586","723,258","798,418","610,858","338,816","700,195","739,184","711,006","756,495","1,037,010","2,851,392","3,809,251","2,843,288","2,328,649","4,073,109","5,552,356","2,725,739","1,915,359","2,061,959","3,965,550","2,838,461","2,063,733"
	OperatingRevenue,"11,752,595","2,503,051","3,314,231","3,018,774","2,916,538","3,915,389","4,234,216","2,778,721","3,036,843","1,531,715","1,952,489","1,158,882","2,185,861","1,373,371","1,979,491","1,923,400","2,647,583","1,543,895","1,596,728","1,405,100","1,325,261","1,210,663","620,112","582,549","560,877","363,839","542,638","970,379","427,812","809,155","845,814","664,586","723,258","798,418","610,858","338,816","700,195","739,184","711,006","756,495","1,037,010","2,851,392","3,809,251","2,843,288","2,328,649","4,073,109","5,552,356","2,725,739","1,915,359","2,061,959","3,965,550","2,838,461","2,063,733"
CostOfRevenue,"9,741,987","1,863,697","3,105,687","2,435,437","2,337,166","2,835,798","3,531,014","2,430,751","2,240,923","1,451,199","6,321,082","1,390,339","2,033,822","1,333,481","1,679,426","1,302,480","1,977,410","1,366,770","1,900,564","1,497,101","1,754,748","1,061,903","1,181,942","819,116","686,931","602,977","516,182","644,246","392,548","630,822","729,189","460,234","462,240","450,249","648,060","190,027","406,622","337,387","560,733","557,650","758,626","1,737,827","2,926,413","1,760,259","1,251,985","2,375,710","3,482,930","1,945,030","1,522,734","1,502,075","2,540,598","1,846,632","1,390,819"
GrossProfit,"2,010,608","639,354","208,544","583,337","579,372","1,079,591","703,202","347,970","795,920","80,516","-4,368,593","-231,457","152,039","39,890","300,065","620,920","670,173","177,125","-303,836","-92,001","-429,487","148,760","-561,830","-236,567","-126,054","-239,138","26,456","326,133","35,264","178,333","116,625","204,352","261,018","348,169","-37,202","148,789","293,573","401,797","150,273","198,845","278,384","1,113,565","882,838","1,083,029","1,076,664","1,697,399","2,069,426","780,709","392,625","559,884","1,424,952","991,829","672,914"
OperatingExpense,"43,452,176","11,051,275","17,098,537","8,511,699","9,302,671","7,561,635","5,565,290","5,096,996","5,043,173","5,379,913","5,277,290","5,317,148","5,231,734","6,442,219","5,922,299","5,496,872","6,725,734","5,557,277","5,512,630","4,294,746","3,562,082","4,185,518","4,576,846","4,507,646","3,717,607","3,477,436","3,234,865","2,653,579","2,181,835","3,878,573","1,884,077","1,482,950","1,211,411","1,362,761","1,620,642","1,344,807","1,401,444","1,107,472","1,351,768","1,181,107","1,419,715","1,562,389","2,047,294","1,700,453","1,699,731","1,825,853","2,137,443","1,843,308","1,678,163","1,971,116","2,214,127","1,805,147","1,650,645"
	SellingGeneralAndAdministration,"28,767,843","7,477,268","12,888,072","4,701,641","6,087,478","4,944,571","3,096,259","2,571,282","2,596,815","2,690,628","2,550,095","2,324,902","2,626,339","3,314,368","2,168,348","2,632,890","3,865,311","3,199,326","2,925,310","2,521,339","2,108,563","2,266,182","2,530,735","2,114,195","1,850,974","2,012,814","1,666,759","1,590,425","1,368,506","3,292,454","1,263,370","929,013","789,328","844,192","896,710","778,910","889,806","691,429","857,496","789,894","944,196","1,015,303","1,370,039","1,078,124","1,053,951","1,189,033","1,476,792","1,197,108","1,106,309","1,366,850","1,472,713","1,058,719","1,054,399"
		GeneralAndAdministrativeExpense,"21,928,909","5,453,833","10,937,017","3,112,059","4,749,920","3,703,837","1,942,359","1,635,076","1,799,958","1,537,820","1,351,173","1,548,927","1,803,590","1,896,402","1,393,738","1,666,596","2,320,151","1,665,229","1,970,375","1,612,542","1,308,234","1,235,183","1,763,698","1,274,698","1,199,427","886,315","1,040,970","1,120,982","1,023,244","2,934,907","988,272","592,914","532,561","479,637","561,330","585,260","602,065","416,686","537,329","507,883","556,028","562,591","594,999","663,871","647,493","684,272","815,176","707,501","588,243","749,664","814,913","548,931","534,142"
			OtherGandA,"21,928,909","5,453,833","10,937,017","3,112,059","4,749,920","3,703,837","1,942,359","1,635,076","1,799,958","1,537,820","1,351,173","1,548,927","1,803,590","1,896,402","1,393,738","1,666,596","2,320,151","1,665,229","1,970,375","1,612,542","1,308,234","1,235,183","1,763,698","1,274,698","1,199,427","886,315","1,040,970","1,120,982","1,023,244","2,934,907","988,272","592,914","532,561","479,637","561,330","585,260","602,065","416,686","537,329","507,883","556,028","562,591","594,999","663,871","647,493","684,272","815,176","707,501","588,243","749,664","814,913","548,931","534,142"
		SellingAndMarketingExpense,"6,838,934","2,023,435","1,951,055","1,589,582","1,337,558","1,240,734","1,153,900","936,206","796,857","1,152,808","1,198,922","775,975","822,749","1,417,966","774,610","966,294","1,545,160","1,534,097","954,935","908,797","800,329","1,030,999","767,037","839,497","651,547","1,126,499","625,789","469,443","345,262","357,547","275,098","336,099","256,767","364,555","335,380","193,650","287,741","274,743","320,167","282,011","388,168","452,712","775,040","414,253","406,458","504,761","661,616","489,607","518,066","617,186","657,800","509,788","520,257"
	ResearchAndDevelopment,"12,573,080","3,103,444","3,624,039","3,270,255","2,700,732","2,079,927","1,874,505","1,874,243","1,796,268","2,023,058","2,060,831","2,336,778","1,987,129","2,516,100","3,220,372","2,468,449","2,564,119","2,055,787","2,332,488","1,506,307","1,198,940","1,668,956","1,826,165","2,177,957","1,669,043","1,274,713","1,403,813","944,426","732,491","514,707","575,076","484,510","295,552","397,422","542,374","470,302","421,026","317,695","416,985","267,230","353,067","411,259","541,633","511,277","534,728","525,722","560,208","526,541","457,864","494,000","626,557","645,172","428,737"
