name,ttm,03/31/2022,12/31/2021,09/30/2021
MarketCap,"374,708,224","579,215,478","924,417,016","1,537,789,983"
EnterpriseValue,"625,289,224","564,043,478","672,398,016","1,537,789,983"
PsRatio,"1.803","1.425","6.6",
PbRatio,"1.539","2.535","3.997",
EnterprisesValueRevenueRatio,"3.011","8.091","12.102","34.776"
EnterprisesValueEBITDARatio,"-5.758","-22.724","-23.357","-84.629"
