name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,03/31/2017,03/31/2016
TotalRevenue,"3,726,085,000","914,808,000","1,032,563,000","928,760,000","849,954,000","791,021,000","850,387,000","784,345,000","641,543,000","879,396,000","508,468,000","458,276,000"
	OperatingRevenue,"3,726,085,000","914,808,000","1,032,563,000","928,760,000","849,954,000","791,021,000","850,387,000","784,345,000","641,543,000","879,396,000","508,468,000","458,276,000"
CostOfRevenue,"3,096,727,000","785,943,000","846,305,000","766,253,000","698,226,000","653,339,000","669,506,000","625,363,000","509,923,000","746,693,000","413,153,000","370,368,000"
GrossProfit,"629,358,000","128,865,000","186,258,000","162,507,000","151,728,000","137,682,000","180,881,000","158,982,000","131,620,000","132,703,000","95,315,000","87,908,000"
OperatingExpense,"413,874,000","105,841,000","101,847,000","96,905,000","109,281,000","100,094,000","233,887,000","70,411,000","139,317,000","101,265,000","69,562,000","65,664,000"
	SellingGeneralAndAdministration,"175,678,000","48,073,000","43,256,000","37,742,000","46,607,000","40,481,000","172,802,000","11,855,000","80,569,000","41,056,000","26,668,000","23,025,000"
	DepreciationAmortizationDepletionIncomeStatement,"238,196,000","57,768,000","58,591,000","59,163,000","62,674,000","59,613,000","61,085,000","58,556,000","58,748,000","60,209,000","42,894,000","42,639,000"
		DepreciationAndAmortizationInIncomeStatement,"238,196,000","57,768,000","58,591,000","59,163,000","62,674,000","59,613,000","61,085,000","58,556,000","58,748,000","60,209,000","42,894,000","42,639,000"
OperatingIncome,"215,484,000","23,024,000","84,411,000","65,602,000","42,447,000","37,588,000","-53,006,000","88,571,000","-7,697,000","31,438,000","25,753,000","22,244,000"
NetNonOperatingInterestIncomeExpense,"-118,945,000","-11,883,000","-33,383,000","-36,490,000","-37,189,000","-30,865,000","-82,486,000","-48,243,000","-51,521,000","-51,794,000","41,362,000","44,066,000"
	InterestExpenseNonOperating,"118,945,000","11,883,000","33,383,000","36,490,000","37,189,000","30,865,000","82,486,000","48,243,000","51,521,000","51,794,000",,
	TotalOtherFinanceCost,,,,,,,,,,,"-41,362,000","-44,066,000"
OtherIncomeExpense,"20,013,000","15,442,000","-5,979,000","3,491,000","7,059,000","-5,526,000","0",,"7,700,000",,,
	GainOnSaleOfSecurity,"20,013,000","15,442,000","-5,979,000","3,491,000","7,059,000","-5,526,000",,,,,,
	SpecialIncomeCharges,,,"0","0","0",,"0","0","7,700,000",,,
		OtherSpecialCharges,,,,,,,"0",,"-7,700,000",,,
PretaxIncome,"116,552,000","26,583,000","45,049,000","32,603,000","12,317,000","1,197,000","-135,492,000","40,328,000","-51,518,000","-20,356,000","-15,609,000","-21,822,000"
TaxProvision,"40,923,000","9,049,000","17,035,000","8,276,000","6,563,000","1,743,000","3,383,000","3,623,000","-13,704,000","1,367,000","-6,406,000","-8,821,000"
NetIncomeCommonStockholders,"73,575,000","18,965,000","25,178,000","23,311,000","6,121,000","-116,000","-139,280,000","35,949,000","-37,404,000","-21,708,000","-9,350,000","-12,964,000"
