name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999
OperatingCashFlow,"-225,263,000","-171,911,000","-105,532,000","69,875,000","-17,695,000","120,490,000","124,993,000","286,250,000","101,160,000","31,528,000","107,703,000","125,439,000","-37,644,000","28,869,000","122,261,000","87,639,000","33,828,000","52,993,000","68,011,000","14,342,000","19,129,000","47,640,000","83,047,000","78,578,000","60,042,000","78,568,000","107,085,000","43,323,000","42,585,000","90,056,000","111,336,000","88,978,000","4,129,000","46,713,000","135,472,000","59,942,000","39,334,000","80,393,000","98,501,000","74,500,000","56,844,000","58,339,000","95,705,000","49,311,000","-9,264,000","31,781,000","51,786,000","6,741,000","82,000","68,674,000","810,000","86,152,000","70,108,000","134,594,000","58,791,000","83,085,000","46,024,000","91,961,000","55,069,000","78,937,000","52,471,000","75,801,000","142,013,000","5,504,000","27,046,000","32,520,000","128,983,000","30,867,000","32,694,000","102,553,000","-70,369,000","20,153,000","64,430,000","7,730,000","37,237,000","16,845,000","-1,776,000","-16,548,000","42,414,000","46,644,000","29,592,000","-98,222,000","142,615,000","-73,678,000","72,898,000","19,257,000","8,331,000","11,909,000","-21,984,000","48,655,000","-4,300,000","43,400,000","-21,500,000","48,800,000"
	CashFlowFromContinuingOperatingActivities,"-225,263,000","-171,911,000","-105,532,000","69,875,000","-17,695,000","120,490,000","124,993,000","286,250,000","101,160,000","31,528,000","107,703,000","125,439,000","-37,644,000","28,869,000","122,261,000","87,639,000","33,828,000","52,993,000","68,011,000","14,342,000","19,129,000","47,640,000","83,047,000","78,578,000","60,042,000","78,568,000","107,085,000","43,323,000","42,585,000","90,056,000","111,336,000","88,978,000","4,129,000","46,713,000","135,472,000","59,942,000","39,334,000","80,393,000","98,501,000","74,500,000","56,844,000","58,339,000","95,705,000","49,311,000","-9,264,000","31,781,000","51,786,000","6,741,000","82,000","68,674,000","810,000","86,152,000","70,108,000","134,594,000","58,791,000","83,085,000","46,024,000","91,961,000","55,069,000","78,937,000","52,471,000","75,801,000","142,013,000","5,504,000","27,046,000","32,520,000","128,983,000","30,867,000","32,694,000","102,553,000","-70,369,000","20,153,000","64,430,000","7,730,000","37,237,000","16,845,000","-1,776,000","-16,548,000","42,414,000","46,644,000","29,592,000","-98,222,000","142,615,000","-73,678,000","72,898,000","19,257,000","8,331,000","11,909,000","-21,984,000","48,655,000","-4,300,000","43,400,000","-21,500,000","48,800,000"
		NetIncomeFromContinuingOperations,"588,879,000","181,631,000","167,768,000","120,196,000","119,284,000","59,154,000","20,286,000","80,038,000","-34,460,000","34,175,000","52,693,000","64,341,000","63,214,000","41,950,000","58,066,000","66,645,000","57,673,000","42,971,000","22,218,000","53,581,000","49,534,000","37,800,000","47,753,000","-31,020,000","49,853,000","34,534,000","48,560,000","62,382,000","50,638,000","46,793,000","73,978,000","80,817,000","68,787,000","51,855,000","57,956,000","69,118,000","65,350,000","84,094,000","26,496,000","63,391,000","58,932,000","52,940,000",,,,"37,305,000","34,823,000","33,661,000","27,793,000","19,200,000","21,753,000","33,619,000","26,454,000","23,262,000","41,867,000","65,867,000","60,127,000","44,830,000","61,032,000","71,774,000","59,667,000","48,158,000","58,307,000","59,385,000","55,178,000","44,450,000","39,735,000","25,008,000","27,439,000","11,344,000","17,089,000","19,036,000","19,086,000","9,721,000","9,445,000","8,372,000","7,349,000","4,840,000","4,729,000","8,983,000","5,574,000","3,837,000","4,125,000","5,095,000","7,513,000","3,492,000","-3,151,000","14,603,000","12,831,000","9,155,000","6,900,000","13,700,000","11,600,000","2,900,000"
		OperatingGainsLosses,,,"-36,580,000","0","0","-8,927,000",,,,,,,,,,,,,,,,,"-4,702,000",,,,,,,,,,,,,,,,"610,000","115,000","151,000","173,000","133,000","36,000","106,000","29,000","40,000","-325,000","-43,000","-2,316,000","431,000","-5,907,000","-506,000","812,000","7,061,000","-2,172,000","-5,087,000","493,000","-753,000","622,000","-91,000","-149,000","721,000","-3,386,000","5,595,000","-5,537,000","2,507,000","1,836,000","1,863,000","3,799,000","-1,664,000","3,061,000","1,303,000","1,063,000","1,066,000","1,427,000","1,164,000","-487,000","3,579,000","-1,491,000","795,000","1,119,000","1,920,000","-751,000",,,"10,008,000","-887,000",,,"5,000,000","0","-2,600,000","2,400,000"
			GainLossOnSaleOfBusiness,,"0",,"0","0","-8,927,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-985,000","115,000","151,000","173,000","133,000","36,000","106,000","29,000","39,000","-325,000","-42,000","104,000","431,000","54,000","-563,000","201,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","1,000","0","-1,000","-2,420,000","0","0","57,000","611,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"204,325,000","46,980,000","53,909,000","56,732,000","46,704,000","41,209,000","41,276,000","45,476,000","18,755,000","16,093,000","16,072,000","15,611,000","15,182,000","15,242,000","15,676,000","15,618,000","15,824,000","15,879,000","16,259,000","16,072,000","15,721,000","15,965,000","16,589,000","16,937,000","16,958,000","16,374,000","16,621,000","16,287,000","16,139,000","15,921,000","17,041,000","17,418,000","17,186,000","16,372,000","16,969,000","16,803,000","17,153,000","16,717,000","11,130,000","9,910,000","8,442,000","8,079,000","8,746,000","7,674,000","7,641,000","7,546,000","6,251,000","5,963,000","5,620,000","6,101,000","6,119,000","6,410,000","6,359,000","7,157,000","6,563,000","4,645,000","7,642,000","7,881,000","10,902,000","10,006,000","10,144,000","9,899,000","10,254,000","7,208,000","6,884,000","6,834,000","5,739,000","4,557,000","3,480,000","4,226,000","6,831,000","3,159,000","6,217,000","5,164,000","7,296,000","5,176,000","4,666,000","6,135,000","3,221,000","7,430,000","4,680,000","5,381,000","7,207,000","9,577,000","7,527,000","7,829,000","6,430,000","7,354,000","5,857,000","5,960,000","1,600,000","5,600,000","9,300,000","5,000,000"
			DepreciationAndAmortization,"204,325,000","46,980,000","53,909,000","56,732,000","46,704,000","41,209,000","41,276,000","45,476,000","18,755,000","16,093,000","16,072,000","15,611,000","15,182,000","15,242,000","15,676,000","15,618,000","15,824,000","15,879,000","16,259,000","16,072,000","15,721,000","15,965,000","16,589,000","16,937,000","16,958,000","16,374,000","16,621,000","16,287,000","16,139,000","15,921,000","17,041,000","17,418,000","17,186,000","16,372,000","16,969,000","16,803,000","17,153,000","16,717,000","11,130,000","9,910,000","8,442,000","8,079,000","8,746,000","7,674,000","7,641,000","7,546,000","6,251,000","5,963,000","5,620,000","6,101,000","6,119,000","6,410,000","6,359,000","7,157,000","6,563,000","4,645,000","7,642,000","7,881,000","10,902,000","10,006,000","10,144,000","9,899,000","10,254,000","7,208,000","6,884,000","6,834,000","5,739,000","4,557,000","3,480,000","4,226,000","6,831,000","3,159,000","6,217,000","5,164,000","7,296,000","5,176,000","4,666,000","6,135,000","3,221,000","7,430,000","4,680,000","5,381,000","7,207,000","9,577,000","7,527,000","7,829,000","6,430,000","7,354,000","5,857,000","5,960,000","1,600,000","5,600,000","9,300,000","5,000,000"
				Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,692,000","6,933,000","9,605,000","9,038,000","9,186,000","8,930,000","9,411,000","6,653,000","6,314,000","6,282,000","7,309,000","3,707,000","3,683,000","3,940,000","4,050,000","4,432,000","4,656,000","5,005,000","7,156,000","5,148,000","5,121,000","5,133,000","5,199,000","4,999,000","4,407,000","5,162,000",,,"7,636,000","7,363,000",,,,,,,,
				AmortizationCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"950,000","948,000","1,297,000","968,000","958,000","969,000","843,000","555,000","570,000","552,000","-1,570,000","850,000","-203,000","286,000","2,781,000","-1,273,000","1,561,000","159,000","140,000","28,000","-455,000","1,002,000","-1,978,000","2,431,000","273,000","219,000",,,"-109,000","466,000",,,,,,,,
					AmortizationOfIntangibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"950,000","948,000","1,297,000","968,000","958,000","969,000","843,000","555,000","570,000","552,000","-1,570,000","850,000","-203,000","286,000","2,781,000","-1,273,000","1,561,000","159,000","140,000","28,000","-455,000","1,002,000","-1,978,000","2,431,000","273,000","219,000",,,"-109,000","466,000",,,,,,,,
		DeferredTax,"-69,682,000","-4,471,000","-72,945,000","-2,381,000","10,115,000","-13,074,000","-25,277,000","-9,323,000","-917,000","1,979,000","8,584,000","2,638,000","1,090,000","893,000","-3,057,000","6,094,000","3,364,000","2,736,000","-58,829,000","2,029,000","4,114,000","2,290,000","-23,332,000","-35,267,000","6,952,000","6,473,000","16,511,000","9,622,000","8,868,000","7,849,000","-12,868,000","4,128,000","5,855,000","7,864,000","-15,851,000","9,726,000","6,667,000","20,093,000","-4,249,000","7,978,000","6,711,000","7,245,000","6,671,000","-2,706,000","10,488,000","-80,000","25,533,000","-762,000","-4,081,000","292,000","-13,372,000","-20,000","2,896,000","2,537,000","4,350,000","2,594,000",,,"11,236,000","-9,797,000","11,161,000","-1,453,000","18,380,000","-1,253,000","-366,000","1,762,000","-2,800,000","7,954,000","-773,000","-821,000","2,747,000","-29,000","-159,000","-55,000","4,979,000","-251,000","-1,256,000","175,000","4,490,000","9,976,000","155,000","-703,000","6,961,000","3,097,000","-785,000","2,762,000","2,834,000","-18,000","-27,000","-29,000","8,700,000","2,000,000","1,200,000","1,800,000"
			DeferredIncomeTax,"-69,682,000","-4,471,000","-72,945,000","-2,381,000","10,115,000","-13,074,000","-25,277,000","-9,323,000","-917,000","1,979,000","8,584,000","2,638,000","1,090,000","893,000","-3,057,000","6,094,000","3,364,000","2,736,000","-58,829,000","2,029,000","4,114,000","2,290,000","-23,332,000","-35,267,000","6,952,000","6,473,000","16,511,000","9,622,000","8,868,000","7,849,000","-12,868,000","4,128,000","5,855,000","7,864,000","-15,851,000","9,726,000","6,667,000","20,093,000","-4,249,000","7,978,000","6,711,000","7,245,000","6,671,000","-2,706,000","10,488,000","-80,000","25,533,000","-762,000","-4,081,000","292,000","-13,372,000","-20,000","2,896,000","2,537,000","4,350,000","2,594,000",,,"11,236,000","-9,797,000","11,161,000","-1,453,000","18,380,000","-1,253,000","-366,000","1,762,000","-2,800,000","7,954,000","-773,000","-821,000","2,747,000","-29,000","-159,000","-55,000","4,979,000","-251,000","-1,256,000","175,000","4,490,000","9,976,000","155,000","-703,000","6,961,000","3,097,000","-785,000","2,762,000","2,834,000","-18,000","-27,000","-29,000","8,700,000","2,000,000","1,200,000","1,800,000"
		AmortizationOfSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,430,000","1,347,000","1,329,000","1,246,000","3,155,000","1,272,000","1,261,000","1,134,000","1,851,000","1,947,000","1,914,000","1,882,000","3,698,000","5,016,000","4,704,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		AssetImpairmentCharge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","393,000","3,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		StockBasedCompensation,"33,778,000","8,911,000","8,037,000","9,605,000","7,225,000","5,954,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,383,000","3,739,000",,,"3,366,000","3,199,000","4,720,000","3,803,000","3,047,000","2,853,000","4,528,000","4,979,000","4,300,000","4,335,000","3,600,000","3,517,000","3,537,000","3,468,000","3,158,000","3,161,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-5,798,000","-1,545,000","-2,135,000","-1,880,000","-1,885,000","-144,000","-2,362,000","-1,017,000","-2,504,000","-84,000","-221,000","-408,000","-1,053,000","-42,000","-93,000","-62,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
