name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008
CommonStockEquity,"551,989,000","621,656,000","698,327,000","744,410,000","647,428,000","656,494,000","711,837,000","758,305,000","243,309,000","298,967,000","355,059,000","397,416,000","434,926,000","466,187,000","254,154,000","270,563,000","292,551,000","145,474,000","165,433,000","129,144,000","149,878,000","166,910,000","179,123,000","188,925,000","98,938,000","104,023,000","109,369,000","112,873,392","111,626,865","44,845,081","16,158,181","17,378,864","16,806,040","17,603,700","-3,340,459","-2,771,322","-12,278,619","-11,319,476","-16,581,601","-16,618,362","-17,258,451","-12,780,918","-5,690,725","-1,403,945","159,091","638,085","448,013","417,952","501,240","-13,488","-11,143","-7,673","-4,328","2,284","16,622","19,093","34,128"
CapitalLeaseObligations,"78,894,000","70,531,000","71,345,000","51,271,000","52,999,000","51,659,000","10,907,000","7,874,000","9,519,000","11,500,000","14,387,000","12,097,000","10,439,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetTangibleAssets,"551,992,000","621,659,000","698,330,000","744,413,000","647,431,000","656,498,000","711,841,000","758,309,000","243,313,000","298,971,000","355,063,000","397,422,000","434,932,000","466,193,000","254,160,000","270,569,000","292,558,000","145,481,000","165,441,000","129,152,000","149,886,000","166,918,000","179,131,000","188,936,000","98,938,000","104,023,000","109,369,000","112,873,396","111,626,869","44,845,087","16,158,187","17,378,870","16,806,053","17,603,717","-3,340,459","-2,771,322","-12,278,619","-11,319,476","-16,581,601","-16,618,362","-17,258,451","-12,780,918","-5,796,410","-1,527,747","17,172","478,049","228,871","198,636","281,751","-14,713","-12,701","-9,564","-4,328","2,284","16,622","19,093","34,128"
WorkingCapital,"412,893,000","418,756,000","518,260,000","606,106,000","550,159,000","581,229,000","659,200,000","727,749,000","216,836,000","277,409,000","332,694,000","377,102,000","422,616,000","460,976,000","249,189,000","265,599,000","288,036,000","139,398,000","162,846,000","126,574,000","147,090,000","164,544,000","177,362,000","187,744,000","97,529,000","102,347,000","107,536,000","110,848,340","109,498,609","43,313,521","15,972,123","17,363,099","16,958,482","17,575,961","-3,370,403","-2,790,355","-12,298,802","-11,341,614","-16,605,293","-16,659,606","-17,301,248","-12,825,267","-5,831,213","-1,544,046","17,172","478,049","228,871","198,636","281,751","-14,713","-12,701","-9,564","-6,552","-273","13,732","15,870","30,572"
InvestedCapital,"552,989,000","622,656,000","699,327,000","745,410,000","648,428,000","656,494,000","711,837,000","758,305,000","243,309,000","298,967,000","355,059,000","397,416,000","434,926,000","466,187,000","254,154,000","270,563,000","292,551,000","145,474,000","165,433,000","129,144,000","149,878,000","166,910,000","179,123,000","188,925,000","98,938,000","104,023,000","109,369,000","112,873,392","111,626,865","44,845,081","16,158,181","17,378,864","16,806,040","17,603,700","-3,340,459","-2,771,322","-5,497,369","-4,838,226","-10,100,351","-10,402,112","-12,240,832","-7,780,918","-3,092,300","-1,403,945","159,091","638,085","448,013","417,952","501,240","-13,488","-11,143","-7,673","-4,328","2,284","16,622","19,093","34,128"
TangibleBookValue,"551,989,000","621,656,000","698,327,000","744,410,000","647,428,000","656,494,000","711,837,000","758,305,000","243,309,000","298,967,000","355,059,000","397,416,000","434,926,000","466,187,000","254,154,000","270,563,000","292,551,000","145,474,000","165,433,000","129,144,000","149,878,000","166,910,000","179,123,000","188,925,000","98,938,000","104,023,000","109,369,000","112,873,392","111,626,865","44,845,081","16,158,181","17,378,864","16,806,040","17,603,700","-3,340,459","-2,771,322","-12,278,619","-11,319,476","-16,581,601","-16,618,362","-17,258,451","-12,780,918","-5,796,410","-1,527,747","17,172","478,049","228,871","198,636","281,751","-14,713","-12,701","-9,564","-4,328","2,284","16,622","19,093","34,128"
TotalDebt,"79,894,000","71,531,000","72,345,000","52,271,000","53,999,000","51,659,000","10,907,000","7,874,000","9,519,000","11,500,000","14,387,000","12,097,000","10,439,000",,,,,,,,,,,,,,,,,,,,,,,,"6,781,250","6,481,250","6,481,250","6,216,250","5,017,619","5,000,000","2,598,425",,,,,,,,,,,,,,
NetDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,781,250","6,481,250","6,476,250","6,200,511","5,017,619","4,489,783","1,687,817",,,,,,,,,,,,,,
ShareIssued,"157,168,321","157,004,742","156,702,653","154,799,721","149,315,299","146,874,917","146,581,624","146,434,810","126,823,156","126,411,808","126,192,990","123,820,508","123,395,113","123,415,576","97,425,721","92,741,672","89,615,417","73,164,914","71,954,843","62,680,390","62,350,149","62,248,074","61,948,389","58,388,905","48,516,528","48,547,720","47,807,398","47,140,195","44,871,888","33,750,188","27,639,688","27,226,350","22,092,958","20,023,958","15,072,911","13,332,315","818,806","818,805","782,930","782,930","782,930","779,935","789,935","776,633","706,833","736,383","727,933","718,600","718,600","718,600","718,600","718,600","718,600","718,600","718,600","718,600","718,600"
OrdinarySharesNumber,"157,168,321","157,004,742","156,702,653","154,799,721","149,315,299","146,874,917","146,581,624","146,434,810","126,823,156","126,411,808","126,192,990","123,820,508","123,395,113","123,415,576","97,425,721","92,741,672","89,615,417","73,164,914","71,954,843","62,680,390","62,350,149","62,248,074","61,948,389","58,388,905","48,516,528","48,547,720","47,807,398","47,140,195","44,871,888","33,750,188","27,639,688","27,226,350","22,092,958","20,023,958","15,072,911","13,332,315","818,806","818,805","782,930","782,930","782,930","779,935","789,935","776,633","706,833","736,383","727,933","718,600","718,600","718,600","718,600","718,600","718,600","718,600","718,600","718,600","718,600"
