name,ttm,03/31/2022
MarketCap,"2,490,350,554","6,303,180,897"
EnterpriseValue,"1,167,006,554","4,839,870,897"
PsRatio,"19.829","42.046"
PbRatio,"0.756","1.886"
EnterprisesValueRevenueRatio,"9.371","115.241"
EnterprisesValueEBITDARatio,"-1.751","-35.235"
