name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007
TotalAssets,"12,273,808,000","12,114,305,000","11,484,548,000","12,502,112,000","15,991,915,000","19,515,921,000","20,587,650,000","21,482,322,000","22,202,648,000","35,921,622,000","32,164,227,000","34,340,236,000","28,500,550,000","30,132,479,000","31,530,079,000","22,275,988,000","24,077,165,000","24,789,313,000","27,803,774,000","23,781,033,000","24,270,844,000","20,112,056,000","21,799,896,000","20,740,438,000","16,684,605,000","14,575,772,000","17,785,313,000","18,447,721,000","21,678,055,000","21,084,309,000","19,154,825,000","17,814,669,000","17,425,798,000","17,173,862,000","17,154,166,000","19,640,751,000","19,002,891,000","16,813,944,000","17,864,695,000","12,980,702,000","11,330,982,000","8,100,384,000","8,818,809,000","6,007,937,000","3,662,704,000","1,797,432,000","1,212,225,155","1,126,771,059","599,016,802","538,365,409","260,752,499","261,368,034","261,864,221","262,095,130","262,054,940","261,427,007","261,692,200","260,303,897","133,988"
	CurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,246,543,000","12,477,592,000","10,761,908,000","7,808,375,000","8,349,172,000",,"651,526,000","1,745,759,000","1,186,668,378","1,089,630,700","571,307,799","532,634,074","1,310,611","2,008,558","2,629,118","2,962,818","3,230,924","3,080,382","3,345,575","1,957,272","16,666"
		CashCashEquivalentsAndShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,996,835,000","12,291,924,000","10,725,396,000","7,612,569,000","8,349,172,000",,"601,525,000","1,717,828,000","1,142,047,397","1,049,324,242","545,612,378","520,569,747","1,275,734","1,911,174","2,572,203","2,778,143","2,284,820","1,653,940","1,348,957","461,475","16,666"
			CashAndCashEquivalents,"620,214,000","1,153,856,000","1,076,216,000","1,281,230,000","1,159,306,000","1,384,764,000","1,615,074,000","1,615,639,000","1,206,889,000","558,136,000","740,698,000","433,579,000","512,183,000","409,758,000","422,851,000","417,515,000","388,450,000","419,159,000","539,367,000","651,707,000","405,110,000","406,883,000","688,418,000","692,188,000","754,827,000","737,831,000","811,839,000","933,579,000","1,020,338,000","1,005,792,000","1,225,281,000","1,182,696,000","1,540,431,000","1,025,487,000","723,160,000","917,224,000","1,140,706,000","821,108,000","833,608,000","496,674,000","545,688,000","360,016,000","409,947,000","181,909,000","302,263,000","163,900,000","66,199,207","71,440,655","25,443,339","26,104,880","1,275,734","1,911,174","2,572,203","2,778,143","2,284,820","1,653,940","1,348,957","461,475","16,666"
				CashFinancial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,253,979","1,911,174","2,572,203",,,,,,
				CashEquivalents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21,755",,,,,,,,
			OtherShortTermInvestments,"1,216,000","2,367,000","12,989,000","4,839,000","6,391,000","4,387,000","5,466,000","186,365,000","803,000","41,572,000","43,599,000","30,186,079,000","25,077,710,000","25,552,604,000","25,938,916,000","19,293,354,000","21,059,377,000","21,220,819,000","20,199,094,000","16,427,710,000","17,318,697,000","13,128,857,000","14,284,625,000","13,656,610,000","9,584,454,000","7,825,320,000","11,433,195,000","12,807,658,000","14,342,845,000","14,341,102,000","12,697,908,000","13,108,251,000","12,634,056,000","12,256,727,000","12,672,233,000","14,892,315,000","14,963,531,000","13,666,954,000","16,163,227,000","11,795,250,000","10,179,708,000","7,252,553,000","7,939,225,000","4,500,825,000","299,262,000","1,553,928,000","1,075,848,190","977,883,587","520,169,039","494,464,867",,,,,,,,,
		Receivables,"327,462,000","194,715,000","364,230,000","116,748,000","100,820,000","193,607,000","168,959,000","125,490,000","639,209,000","411,597,000","402,192,000","1,081,060,000","113,750,000","241,215,000","1,342,796,000","129,091,000","188,239,000","940,224,000","160,642,000","166,690,000","167,464,000","168,316,000","153,838,000","104,878,000","319,562,000","93,018,000","126,908,000","105,209,000","105,670,000","113,688,000","88,944,000","94,290,000","134,671,000","77,503,000","145,537,000","74,748,000","70,050,000","118,795,000","28,965,000","35,954,000","30,801,000","23,437,000",,"17,717,000","11,010,000","5,383,000","15,855,953","20,764,619","2,500,400","2,579,695",,,,,,,,,
			AccountsReceivable,"25,160,000","26,266,000","27,676,000","31,571,000","40,527,000","47,174,000","50,140,000","53,480,000","57,854,000","92,634,000","87,321,000","97,631,000","77,934,000","86,589,000","85,257,000","61,108,000","67,370,000","68,309,000","85,445,000","74,156,000","76,104,000","62,751,000","67,089,000","63,915,000","54,517,000","49,970,000","56,250,000","57,011,000","62,516,000","65,529,000","52,605,000","50,110,000","46,724,000","50,303,000","48,854,000","54,080,000","47,089,000","42,613,000",,"35,954,000",,,,"17,717,000",,,,,,,,,,,,,,,
			AccruedInterestReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,801,000","23,437,000",,,"11,010,000","5,383,000",,,"2,500,400","2,579,695",,,,,,,,,
			OtherReceivables,,,,"85,177,000","60,293,000","146,433,000","118,819,000","72,010,000","581,355,000","318,963,000","314,871,000","983,429,000","35,816,000","154,626,000","39,711,000","32,598,000","35,550,000","29,612,000","48,752,000","52,916,000","36,420,000","45,185,000","30,654,000","27,986,000","31,667,000","25,842,000","23,589,000","20,968,000","12,431,000","12,534,000","12,998,000","13,799,000","12,950,000","2,113,000","2,198,000","3,458,000","7,462,000","36,208,000",,,,,,,,,,,,,,,,,,,,,
