name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000
TotalAssets,"1,001,037,000","1,037,860,000","1,018,350,000","1,022,378,000","885,217,000","896,692,000","880,971,000","848,801,000","887,105,000","935,207,000","953,744,000","954,775,000","951,517,000","937,518,000","945,418,000","930,437,000","239,990,000","254,985,000","247,648,000","243,892,000","231,175,000","249,767,000","248,452,000","247,824,000","237,653,000","292,693,000","292,416,000","265,206,000","217,933,000","220,751,000","202,235,000","180,291,000","159,725,000","141,791,000","118,345,000","97,072,000","76,053,000","63,425,000","60,792,000","59,415,000","51,408,000","42,567,000","37,905,000","32,569,000","770,188","1,114,755","1,199,211","1,424,665","1,892,446","2,403,114","3,068,184","5,460,768","7,282,942","10,198,304","12,706,260","19,016,620","14,912,601","16,737,903"
	CurrentAssets,"286,180,000","303,967,000","285,635,000","268,804,000","131,964,000","141,861,000","128,011,000","94,772,000","115,810,000","123,060,000","122,763,000","121,592,000","119,468,000","118,276,000","112,887,000","108,531,000","138,724,000","154,331,000","165,698,000","165,944,000","164,232,000","177,192,000","201,547,000","200,600,000","184,113,000","240,545,000","250,761,000","228,027,000","180,951,000","189,040,000","169,763,000","147,286,000","124,522,000","123,736,000","105,343,000","85,208,000","64,924,000","51,867,000","50,770,000","49,009,000","40,677,000","32,856,000","27,973,000","23,940,000","473,130","553,167","523,016","653,145","1,010,844","1,270,505","1,700,306","2,890,032","2,247,780","5,210,883","7,534,974","11,042,439","6,465,190","9,283,630"
		CashCashEquivalentsAndShortTermInvestments,"244,241,000","267,875,000","247,314,000","226,441,000","97,073,000","108,320,000","96,135,000","63,365,000","88,690,000","92,291,000","91,951,000","88,706,000","85,361,000","86,657,000","81,551,000","74,463,000","111,236,000","121,487,000","141,632,000","141,357,000","141,245,000","155,623,000","180,123,000","178,002,000","159,761,000","210,070,000","211,992,000","189,272,000","151,701,000","165,284,000","151,287,000","128,847,000","104,780,000","104,316,000","87,114,000","70,733,000","52,297,000","41,246,000","39,603,000","39,300,000","32,138,000","25,630,000","21,052,000","16,685,000","396,653","350,926","460,798","504,643","744,051","1,009,248","1,291,444","1,699,271","486,846","2,421,332","4,694,476","7,074,079","2,509,138","4,675,734"
			CashAndCashEquivalents,"110,395,000","140,709,000","127,924,000","167,635,000","62,302,000","73,425,000","63,561,000","50,255,000","68,429,000","74,972,000","88,575,000","79,611,000","78,942,000","77,784,000","77,125,000","70,744,000","105,651,000","54,193,000","70,221,000","88,614,000","79,637,000","92,722,000","178,132,000","174,914,000","159,761,000","210,070,000","211,992,000","189,272,000","151,701,000","165,284,000","151,287,000","128,847,000","104,780,000","104,316,000","87,114,000","70,733,000","52,297,000","41,246,000","39,603,000","39,300,000","32,138,000","25,630,000","21,052,000","16,386,000","396,653","350,926","460,798","504,643","744,051","1,009,248","1,291,444","1,699,271","486,846","2,421,332","4,694,476","7,074,079","2,509,138","4,675,734"
			OtherShortTermInvestments,"133,846,000","127,166,000","119,390,000","58,806,000","34,771,000","34,895,000","32,574,000","13,110,000","20,261,000","17,319,000","3,376,000","9,095,000","6,419,000","8,873,000","4,426,000","3,719,000","5,585,000","67,294,000","71,411,000","52,743,000","61,608,000","62,901,000","1,991,000","3,088,000",,,,,,,,,,,,,,,,,,"0","0","299,000",,,,,,,,,,,,,,
		Receivables,"35,435,000","31,864,000","32,238,000","35,748,000","30,467,000","29,455,000","26,201,000","24,372,000","22,728,000","26,838,000","24,381,000","25,677,000","29,906,000","27,015,000","25,528,000","27,329,000","23,397,000","28,287,000","19,734,000","19,397,000","19,234,000","17,668,000","17,282,000","17,939,000","20,701,000","27,576,000","25,514,000","28,652,000","24,600,000","18,176,000","16,268,000","15,733,000","17,815,000","18,100,000","16,254,000","12,460,000","11,098,000","9,348,000","9,384,000","7,605,000","7,129,000","5,625,000","5,737,000","5,732,000",,,,"72,351","51,688","141,565","254,310","407,930","760,831","1,634,828","1,754,200","3,034,448","2,872,455","3,683,576"
			AccountsReceivable,"35,191,000","31,864,000","32,092,000","34,800,000","30,341,000","29,455,000","26,163,000","24,372,000","22,728,000","26,838,000","24,381,000","24,442,000","28,136,000","25,834,000","25,528,000","27,329,000","20,732,000","21,309,000","19,734,000","19,397,000","19,234,000","17,668,000","17,282,000","17,939,000","20,701,000","27,576,000","25,514,000","28,652,000","24,600,000","18,176,000","16,268,000","15,733,000","17,815,000","18,100,000","16,254,000","12,460,000","11,098,000","9,348,000","9,384,000","7,605,000","7,129,000","5,625,000","5,737,000","5,732,000",,,,"72,351","51,688","141,565","254,310","407,930","760,831","1,634,828","1,754,200","3,034,448","2,872,455","3,683,576"
				GrossAccountsReceivable,"60,934,000",,,,,,,,,,"24,381,000","24,442,000","28,136,000","25,834,000","25,528,000","27,329,000","20,732,000","21,309,000","19,734,000","19,397,000","19,234,000","17,668,000","17,282,000","17,939,000","20,701,000","27,576,000","25,514,000","28,652,000","24,600,000","18,176,000","16,268,000","15,733,000","17,815,000","18,100,000","16,254,000","12,460,000","11,098,000","9,348,000",,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-25,743,000",,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,"244,000","0","146,000","948,000","126,000",,"38,000",,,"0","0","1,235,000","1,770,000","1,181,000","0","0","2,665,000","6,978,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
