name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990
OperatingCashFlow,"1,257,333,000","445,433,000","322,020,000","442,227,000","47,653,000","71,795,000","142,012,000","766,788,000","949,307,000","502,062,000","389,159,000","425,224,000","233,185,000","390,901,000","365,405,000","346,227,000","265,210,000","364,051,000","304,316,000","344,673,000","50,584,000","483,008,000","188,369,000","298,923,000","336,955,000","464,227,000","224,399,000","264,896,000","260,328,000","271,275,000","346,322,000","231,138,000","263,777,000","194,639,000","292,509,000","185,730,000","218,239,000","187,763,000","280,265,000","162,144,000","245,639,000","127,223,000","155,749,000","206,726,000","172,599,000","183,177,000","101,745,000","180,229,000","83,653,000","135,717,000","49,030,000","187,695,000","144,578,000","152,002,000","67,157,000","197,477,000","66,790,000","131,676,000","25,714,000","163,805,000","60,000,000","98,976,000","-80,781,000","60,948,000","78,732,000","110,340,000","68,983,000","126,005,000","95,826,000","134,612,000","79,366,000","88,839,000","129,549,000","95,126,000","63,373,000","103,224,000","129,412,000","80,766,000","86,078,000","111,115,000","72,600,000","61,466,000","49,398,000","102,701,000","91,434,000","68,654,000","28,536,000","56,734,000","48,850,000","48,334,000","18,700,000","59,200,000","24,600,000","73,100,000","25,100,000","48,400,000","32,500,000","45,700,000","19,300,000","74,600,000","30,600,000","49,000,000","25,500,000","41,100,000","46,000,000","32,700,000","17,100,000","17,400,000","33,100,000","24,100,000","5,900,000","19,500,000","23,900,000","11,300,000","15,100,000","25,600,000","30,200,000","13,700,000","2,200,000","26,900,000","21,500,000","31,100,000","-200,000","19,500,000","12,800,000","15,100,000","-2,000,000","27,700,000"
	CashFlowFromContinuingOperatingActivities,"1,257,333,000","445,433,000","322,020,000","442,227,000","47,653,000","71,795,000","142,012,000","766,788,000","949,307,000","502,062,000","389,159,000","425,224,000","233,185,000","390,901,000","365,405,000","346,227,000","265,210,000","364,051,000","304,316,000","344,673,000","50,584,000","483,008,000","188,369,000","298,923,000","336,955,000","464,227,000","224,399,000","264,896,000","260,328,000","271,275,000","346,322,000","231,138,000","263,777,000","194,639,000","292,509,000","185,730,000","218,239,000","187,763,000","280,265,000","162,144,000","245,639,000","127,223,000","155,749,000","206,726,000","172,599,000","183,177,000","101,745,000","180,229,000","83,653,000","135,717,000","49,030,000","187,695,000","144,578,000","152,002,000","67,157,000","197,477,000","66,790,000","131,676,000","25,714,000","163,805,000","60,000,000","98,976,000","-80,781,000","60,948,000","78,732,000","110,340,000","68,983,000","126,005,000","95,826,000","134,612,000","79,366,000","88,839,000","129,549,000","95,126,000","63,373,000","103,224,000","129,412,000","80,766,000","86,078,000","111,115,000","72,600,000","61,466,000","49,398,000","102,701,000","91,434,000","68,654,000","28,536,000","56,734,000","48,850,000","48,334,000","18,700,000","59,200,000","24,600,000","73,100,000","25,100,000","48,400,000","32,500,000","45,700,000","19,300,000","74,600,000","30,600,000","49,000,000","25,500,000","41,100,000","46,000,000","32,700,000","17,100,000","17,400,000","33,100,000","24,100,000","5,900,000","19,500,000","23,900,000","11,300,000","15,100,000","25,600,000","30,200,000","13,700,000","2,200,000","26,900,000","21,500,000","31,100,000","-200,000","19,500,000","12,800,000","15,100,000","-2,000,000","27,700,000"
		NetIncomeFromContinuingOperations,"929,583,000","151,021,000","233,911,000","219,375,000","325,276,000","209,070,000","307,734,000","244,092,000","256,504,000","144,460,000","248,010,000","100,870,000","241,265,000","237,398,000","163,622,000","174,881,000","230,711,000","228,669,000","225,035,000","145,362,000","190,388,000","210,527,000","178,738,000","157,265,000","195,449,000","215,719,000","191,317,000","163,654,000","201,404,000","194,323,000","190,492,000","96,038,000","166,614,000","151,852,000","133,186,000","123,099,000","167,803,000","129,935,000","147,660,000","81,373,000","117,444,000","142,570,000","108,007,000","94,842,000",,,"50,816,000","65,802,000","76,415,000","82,762,000","104,739,000","51,074,000","80,893,000","67,541,000","46,477,000","36,997,000","54,240,000","61,663,000","39,954,000","28,854,000","52,071,000","49,508,000","34,170,000","113,945,000","60,259,000","51,084,000","12,274,000","8,319,000","158,843,000","61,409,000","37,174,000","37,845,000","48,290,000","46,183,000","46,468,000","49,061,000","50,950,000","52,790,000","43,890,000","41,451,000","44,347,000","45,673,000","927,000","30,254,000","32,390,000","36,171,000","19,089,000","22,335,000","23,309,000","28,629,000","14,000,000","10,700,000","23,100,000","30,000,000","20,200,000","13,300,000","20,400,000","25,700,000","15,000,000","13,900,000","16,900,000","21,500,000","11,700,000","11,300,000","12,200,000","15,500,000","6,900,000","7,200,000","9,600,000","11,800,000","4,400,000","5,900,000","8,100,000","10,300,000","3,800,000","5,100,000","6,500,000","8,600,000","3,000,000","3,400,000","6,200,000","7,400,000","2,300,000","2,500,000","5,800,000","9,700,000","1,100,000","1,400,000"
		OperatingGainsLosses,,"1,084,000","-367,000","16,831,000",,,"-167,000","1,328,000",,,"-1,558,000",,,,"2,727,000","0","-1,810,000","-703,000",,,,,,,,,"-2,578,000",,,,"0","22,027,000","0","-10,134,000","-141,000","-696,000","-185,000","-2,092,000","-26,140,000",,,,"-616,000",,,,"0","0","-145,000","-1,848,000","6,303,000","-1,146,000","-20,742,000","14,239,000",,,,"12,906,000","-1,522,000","0","-21,873,000","19,673,000","190,689,000","-169,694,000","55,444,000","-18,718,000","-8,556,000","28,389,000","-114,596,000","-2,562,000","-7,842,000","2,603,000","368,000","3,291,000","609,000","-4,613,000","2,511,000","3,153,000","2,339,000","3,352,000","-3,242,000","8,674,000","57,368,000","6,783,000","5,939,000","8,211,000","16,981,000","3,172,000","2,877,000","3,637,000","5,400,000","-600,000","5,400,000","1,400,000",,"16,100,000","-9,700,000","1,300,000","5,500,000","5,600,000","4,400,000","4,500,000","4,300,000","4,500,000","4,100,000","3,000,000","3,200,000","4,400,000","2,200,000","4,500,000","1,300,000","3,600,000","2,500,000","3,400,000","4,300,000",,,"4,400,000","3,000,000","6,000,000","5,900,000","6,300,000","15,600,000","-1,700,000","3,200,000","4,900,000","6,900,000","1,700,000"
			GainLossOnSaleOfBusiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-141,000",,,,,,,,,,"0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"545,594,000","143,784,000","133,363,000","134,462,000","133,985,000","131,403,000","133,930,000","125,961,000","126,208,000","124,394,000","127,656,000","121,528,000","121,168,000","120,040,000","118,074,000","112,286,000","109,582,000","113,134,000","113,756,000","110,217,000","113,112,000","110,798,000","107,436,000","103,712,000","101,411,000","104,049,000","102,921,000","99,442,000","97,257,000","98,998,000","98,118,000","93,456,000","90,691,000","93,359,000","88,708,000","86,971,000","81,754,000","79,923,000","81,049,000","78,938,000","74,883,000","73,820,000","75,653,000","75,259,000","73,423,000","71,526,000","60,931,000","55,530,000","54,025,000","53,511,000","51,279,000","51,205,000","51,084,000","51,135,000","51,055,000","49,332,000","48,009,000","47,370,000","47,864,000","46,529,000","45,406,000","43,482,000","43,334,000","40,961,000","40,369,000","39,030,000","39,251,000","38,705,000","40,252,000","45,506,000","42,270,000","43,007,000","40,694,000","40,706,000","38,617,000","35,799,000","35,513,000","34,537,000","34,350,000","30,136,000","30,900,000","29,408,000","32,893,000","32,587,000","32,248,000","29,795,000","28,531,000","28,475,000","28,159,000","27,644,000","27,400,000","26,700,000","27,200,000","27,000,000","27,500,000","27,200,000","26,300,000","24,400,000","21,800,000","20,100,000","19,800,000","19,000,000","21,200,000","19,200,000","16,700,000","14,800,000","15,100,000","13,200,000","11,800,000","11,300,000","11,300,000","10,900,000","10,300,000","9,900,000","11,400,000","9,900,000","9,200,000","9,100,000","9,700,000","8,700,000","8,800,000","21,900,000","9,300,000","8,700,000","8,500,000","8,500,000","9,800,000","9,700,000"
			DepreciationAndAmortization,"545,594,000","143,784,000","133,363,000","134,462,000","133,985,000","131,403,000","133,930,000","125,961,000","126,208,000","124,394,000","127,656,000","121,528,000","121,168,000","120,040,000","118,074,000","112,286,000","109,582,000","113,134,000","113,756,000","110,217,000","113,112,000","110,798,000","107,436,000","103,712,000","101,411,000","104,049,000","102,921,000","99,442,000","97,257,000","98,998,000","98,118,000","93,456,000","90,691,000","93,359,000","88,708,000","86,971,000","81,754,000","79,923,000","81,049,000","78,938,000","74,883,000","73,820,000","75,653,000","75,259,000","73,423,000","71,526,000","60,931,000","55,530,000","54,025,000","53,511,000","51,279,000","51,205,000","51,084,000","51,135,000","51,055,000","49,332,000","48,009,000","47,370,000","47,864,000","46,529,000","45,406,000","43,482,000","43,334,000","40,961,000","40,369,000","39,030,000","39,251,000","38,705,000","40,252,000","45,506,000","42,270,000","43,007,000","40,694,000","40,706,000","38,617,000","35,799,000","35,513,000","34,537,000","34,350,000","30,136,000","30,900,000","29,408,000","32,893,000","32,587,000","32,248,000","29,795,000","28,531,000","28,475,000","28,159,000","27,644,000","27,400,000","26,700,000","27,200,000","27,000,000","27,500,000","27,200,000","26,300,000","24,400,000","21,800,000","20,100,000","19,800,000","19,000,000","21,200,000","19,200,000","16,700,000","14,800,000","15,100,000","13,200,000","11,800,000","11,300,000","11,300,000","10,900,000","10,300,000","9,900,000","11,400,000","9,900,000","9,200,000","9,100,000","9,700,000","8,700,000","8,800,000","21,900,000","9,300,000","8,700,000","8,500,000","8,500,000","9,800,000","9,700,000"
		DeferredTax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,391,000",,,,"26,537,000",,,,,"-33,442,000","24,132,000",,"16,813,000","-16,674,000","20,332,000",,,,"15,308,000",,"-4,000,000","-19,600,000","17,600,000","2,500,000","4,200,000","-13,300,000","10,100,000","8,800,000","8,200,000","-12,900,000","12,100,000","6,100,000","5,400,000","-3,900,000","8,100,000","-7,000,000","-700,000","-20,400,000","7,300,000","200,000","-900,000","-12,700,000","3,500,000",,,,"3,300,000","-5,000,000",,,"10,500,000","-100,000",,,,,
			DeferredIncomeTax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,391,000",,,,"26,537,000",,,,,"-33,442,000","24,132,000",,"16,813,000","-16,674,000","20,332,000",,,,"15,308,000",,"-4,000,000","-19,600,000","17,600,000","2,500,000","4,200,000","-13,300,000","10,100,000","8,800,000","8,200,000","-12,900,000","12,100,000","6,100,000","5,400,000","-3,900,000","8,100,000","-7,000,000","-700,000","-20,400,000","7,300,000","200,000","-900,000","-12,700,000","3,500,000",,,,"3,300,000","-5,000,000",,,"10,500,000","-100,000",,,,,
		AssetImpairmentCharge,,,"7,196,000","0",,,"0",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
