name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018
MarketCap,"1,026,884,825","1,065,005,838","1,652,207,749","1,979,351,231","4,184,810,304","4,602,010,328","4,700,453,868","5,635,375,148","4,152,421,005","3,720,400,162","3,939,282,497","5,175,433,168","5,387,547,442","5,732,811,240","3,154,778,457","4,805,534,627","6,628,882,736"
EnterpriseValue,"-526,696,660","-645,912,104","1,652,207,749","1,979,351,231","4,184,810,304","3,023,758,277","3,062,178,265","4,074,645,199","2,711,640,168","2,317,620,955","2,591,494,937","3,912,051,169","4,481,315,429","4,843,628,942","2,300,937,971","4,003,649,212","6,014,596,524"
PeRatio,"17.692","11.792","9.274","14.787","30.429","34.56","39.102","56.377","53.817","59.663","39.248","26.356",,,,,
ForwardPeRatio,,,,"43.478","35.971","34.483","17.668","19.724","26.11","22.422","20","27.174","63.291","64.516","29.412","40.161","106.383"
PegRatio,,,,"0.762",,,,,,,,,,,,,
PsRatio,"0.621","0.605","0.927","1.146","2.467","2.803","2.975","3.924","3.408","3.339","3.796","5.666","6.382","6.782","5.565","10.307","8.291"
PbRatio,"0.647","0.644","0.97","1.251","2.681","3.098","3.159","4.08","3.252","3.046","3.231","4.545","6.521","6.866","3.952","6.38",
EnterprisesValueRevenueRatio,"-0.047","-0.262","0.588","0.665","1.413","1.161","1.024","1.448","1.005","0.961","1.05","1.727","2.229","2.969","1.529","3.136","5.793"
EnterprisesValueEBITDARatio,"2.086","10.723","-3.613","23.809","23.008","18.653","16.344","18.279","13.467","17.383","25.5","61.255","66.224","171.65","124.241","-1,474.098","-347.805"
