name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003
TotalRevenue,"188,809,000","-29,325,000","75,741,000","73,477,000","72,601,000","68,565,000","107,769,000","106,250,000","130,606,000","-549,851,000","66,803,000","49,434,000","32,956,000","58,378,000","24,487,000","42,311,000","36,197,000","39,141,000","37,068,000","34,532,000","19,765,000","30,435,000","20,312,000","32,176,000","26,693,000","25,857,000","13,634,000","39,627,000","35,060,000","35,070,000","58,118,000","55,917,000","40,557,000","33,789,000","30,109,000","23,917,000","17,117,000","19,732,000","12,404,000","12,064,000","7,774,000","8,427,000","2,260,000","727,000","7,889,000","4,661,000","3,369,000","4,085,000","3,981,000","4,215,000","6,584,000","5,042,000","4,299,000","4,217,000","-18,069,000","2,182,000","2,499,000","1,274,000","-9,684,000","269,000","112,000","-253,000","-21,738,000","3,901,000","22,035,000","9,571,000","3,824,124","16,548,491","16,533,712","12,238,673","14,482,740","10,920,332","8,257,051","6,463,091","1,654,920","625,228","1,283,551"
	OperatingRevenue,"188,809,000","-29,325,000","75,741,000","73,477,000","72,601,000","68,565,000","107,769,000","106,250,000","130,606,000","-549,851,000","66,803,000","49,434,000","32,956,000","58,378,000","24,487,000","42,311,000","36,197,000","39,141,000","37,068,000","34,532,000","19,765,000","30,435,000","20,312,000","32,176,000","26,693,000","25,857,000","13,634,000","39,627,000","35,060,000","35,070,000","58,118,000","55,917,000","40,557,000","33,789,000","30,109,000","23,917,000","17,117,000","19,732,000","12,404,000","12,064,000","7,774,000","8,427,000","2,260,000","727,000","7,889,000","4,661,000","3,369,000","4,085,000","3,981,000","4,215,000","6,584,000","5,042,000","4,299,000","4,217,000","-18,069,000","2,182,000","2,499,000","1,274,000","-9,684,000","269,000","112,000","-253,000","-21,738,000","3,901,000","22,035,000","9,571,000","3,824,124","16,548,491","16,533,712","12,238,673","14,482,740","10,920,332","8,257,051","6,463,091","1,654,920","625,228","1,283,551"
PretaxIncome,"51,328,000","-88,741,000","36,042,000","52,397,000","51,630,000","50,865,000","80,046,000","102,633,000","118,864,000","-588,806,000","65,115,000","41,079,000","21,858,000","44,424,000","8,999,000","33,994,000","28,738,000","32,007,000","31,968,000","27,242,000","12,291,000","20,419,000","13,269,000","23,445,000","16,799,000","17,142,000","4,271,000","28,680,000","25,809,000","23,788,000","43,703,000","40,825,000","32,317,000","25,741,000","23,495,000","18,597,000","12,089,000","15,514,000","9,275,000","8,512,000","5,414,000",,"-1,873,000","54,000","4,543,000",,,,,,,,,,,,,,,,,,,"-7,783,000","-6,197,000","-4,712,000","-11,377,075","1,859,551","-1,643,916","-2,727,560","1,548,911","2,339,191","-435,451","-1,742,871",,"3,632,265",
TaxProvision,"2,370,000","-22,000","1,162,000","1,215,000","15,000","66,000","64,000","-772,000","1,927,000","-239,000","-172,000","-187,000","-134,000","74,000","-510,000","-454,000","-13,000","-79,000","1,168,000","507,000","442,000","1,237,000","375,000","163,000","2,366,000","191,000","64,000","3,048,000","1,178,000","245,000","1,727,000","1,100,000","538,000","3,030,000","208,000","211,000","189,000","131,000","-133,000","598,000","467,000",,"14,000","56,000","363,000",,,,,,,,,,,,,,,,,,,"-3,915,000","-4,579,000","-2,916,000","-2,669,000","-1,000,000","-2,190,000","-2,690,000","-1,312,929","-112,678","48,657","-770,872",,"163,577",
NetIncomeCommonStockholders,"17,922,000","-84,343,000","22,460,000","36,861,000","42,944,000","41,911,000","70,123,000","91,344,000","107,517,000","-598,680,000","55,307,000","34,835,000","16,478,000","38,214,000","3,676,000","28,048,000","23,769,000","23,693,000","24,631,000","24,620,000","11,111,000","15,957,000","9,672,000","20,043,000","11,210,000","13,726,000","982,000","22,407,000","21,544,000","22,090,000","40,523,000","38,272,000","30,326,000","21,258,000","21,834,000","16,933,000","11,238,000","15,383,000","9,390,000","7,913,000","5,137,000","5,839,000","-1,892,000","-15,000","4,169,000","2,514,000","1,018,000","1,577,000","1,542,000","2,668,000","4,192,000","2,877,000","2,547,000","2,054,000","-5,141,000","1,029,000","1,263,000","-21,258,000","-15,615,000","-20,716,000","-14,196,000","-4,741,000","-9,545,000","-3,868,000","-1,618,000","-1,796,000","-8,708,075","2,859,551","546,084","-37,560","2,861,840","2,451,869","-484,108","-971,999","2,565,609","3,468,688","4,763,339"
	NetIncome,"67,142,000","-73,850,000","36,176,000","51,576,000","53,240,000","52,208,000","80,419,000","101,641,000","117,813,000","-588,383,000","65,482,000","41,379,000","22,735,000","44,139,000","9,601,000","33,973,000","29,694,000","29,618,000","30,616,000","27,845,000","14,336,000","19,182,000","12,897,000","23,268,000","14,435,000","16,951,000","4,207,000","25,632,000","24,631,000","23,543,000","41,976,000","39,725,000","31,779,000","22,711,000","23,287,000","18,386,000","11,900,000","15,383,000","9,390,000","7,913,000","5,137,000","5,839,000","-1,892,000","-15,000","4,169,000","2,514,000","1,018,000","1,577,000","1,542,000","2,668,000","4,192,000","2,877,000","2,547,000","2,054,000","-5,141,000","1,029,000","1,263,000","-21,258,000","-15,615,000","-20,716,000","-14,196,000","-4,741,000","-9,545,000","-3,868,000","-1,618,000","-1,796,000","-8,708,075","2,859,551","546,084","-37,560","2,861,840","2,451,869","-484,108","-971,999","2,565,609","3,468,688","4,763,339"
		NetIncomeIncludingNoncontrollingInterests,"48,958,000","-88,719,000","34,880,000","51,182,000","51,615,000","50,799,000","79,982,000","103,405,000","116,937,000","-588,567,000","65,287,000","41,266,000","21,992,000","44,350,000","9,509,000","34,448,000","28,751,000","32,086,000","30,800,000","26,735,000","11,849,000","19,182,000","12,894,000","23,282,000","14,433,000","16,951,000","4,207,000","25,632,000","24,631,000","23,543,000","41,976,000","39,725,000","31,779,000","22,711,000","23,287,000","18,386,000","11,900,000","15,383,000","9,390,000","7,913,000","4,989,000","5,890,000","-1,847,000","17,000","4,189,000","2,514,000","1,018,000","1,577,000","1,542,000","2,668,000","4,192,000","2,877,000","2,547,000","2,054,000","-5,141,000","1,029,000","1,263,000","-21,258,000","-15,615,000","-20,716,000","-14,196,000","-4,741,000","-9,545,000","-3,868,000","-1,618,000","-1,796,000","-8,708,075","2,859,551","546,084","-37,560","2,861,840","2,451,869","-484,108","-971,999","2,565,609","3,468,688","4,763,339"
			NetIncomeContinuousOperations,"48,958,000","-88,719,000","34,880,000","51,182,000","51,615,000","50,799,000","79,982,000","103,405,000","116,937,000","-588,567,000","65,287,000","41,266,000","21,992,000","44,350,000","9,509,000","34,448,000","28,751,000","32,086,000","30,800,000","26,735,000","11,849,000","19,182,000","12,894,000","23,282,000","14,433,000","16,951,000","4,207,000","25,632,000","24,631,000","23,543,000","41,976,000","39,725,000","31,779,000","22,711,000","23,287,000","18,386,000","11,900,000","15,383,000","9,408,000","7,914,000","4,947,000","5,899,000","-1,887,000","-2,000","4,180,000","2,519,000","760,000","1,279,000","1,274,000","2,357,000","3,906,000","2,641,000","2,438,000","1,899,000","-5,504,000","744,000","434,000","-21,438,000","5,329,000","-20,041,000","-5,178,000","-900,000","7,652,000","-3,868,000","-1,618,000","-1,796,000","-8,708,075","2,859,551","546,084","-37,560","2,861,840","2,451,869","-484,108","-971,999","2,565,609","3,468,688","4,763,339"
			NetIncomeDiscontinuousOperations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,"-18,000","-1,000","42,000","-9,000","40,000","19,000","9,000","-5,000","258,000","298,000","268,000","311,000","286,000","236,000","109,000","155,000","363,000","285,000","829,000","180,000","-20,944,000","-675,000","-9,018,000","-3,841,000",,,,,,,,,,,,,,,
		MinorityInterests,"18,184,000","14,869,000","1,296,000","394,000","1,625,000","1,409,000","437,000","-1,764,000","876,000","184,000","195,000","113,000","743,000","-211,000","92,000","-475,000","943,000","-2,468,000","-184,000","1,110,000","2,487,000","0","3,000","-14,000","2,000","0",,,,,,,,,"0","0","0","0","0","0","148,000","-51,000","-45,000","-32,000","-20,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
