name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016
TotalRevenue,"463,612,000","115,420,000","135,596,000","110,110,000","102,486,000","90,762,000","103,341,000","94,013,000","92,458,000","75,442,000","88,999,000","75,879,000","63,054,000","60,583,000","78,227,000","66,419,000","54,560,000","49,714,000","67,768,000","43,562,000","39,260,000","35,466,000","44,348,000"
	OperatingRevenue,"463,612,000","115,420,000","135,596,000","110,110,000","102,486,000","90,762,000","103,341,000","94,013,000","92,458,000","75,442,000","88,999,000","75,879,000","63,054,000","60,583,000","78,227,000","66,419,000","54,560,000","49,714,000","67,768,000","43,562,000","39,260,000","35,466,000","44,348,000"
CostOfRevenue,"126,063,000","35,181,000","32,179,000","31,113,000","27,590,000","24,350,000","27,954,000","20,799,000","18,432,000","18,562,000","17,967,000","16,930,000","15,709,000","14,869,000","14,510,000","14,014,000","13,376,000","12,770,000","12,682,000","11,078,000","10,695,000","10,135,000","9,943,000"
GrossProfit,"337,549,000","80,239,000","103,417,000","78,997,000","74,896,000","66,412,000","75,387,000","73,214,000","74,026,000","56,880,000","71,032,000","58,949,000","47,345,000","45,714,000","63,717,000","52,405,000","41,184,000","36,944,000","55,086,000","32,484,000","28,565,000","25,331,000","34,405,000"
OperatingExpense,"411,566,000","110,763,000","111,206,000","97,695,000","91,902,000","81,995,000","78,238,000","72,252,000","65,958,000","62,182,000","65,038,000","57,614,000","57,424,000","52,397,000","51,187,000","47,895,000","43,021,000","41,234,000","44,566,000","32,077,000","29,748,000","25,132,000","25,983,000"
	SellingGeneralAndAdministration,"301,831,000","79,717,000","82,429,000","70,816,000","68,869,000","62,429,000","59,822,000","52,938,000","48,305,000","46,374,000","49,236,000","43,466,000","44,026,000","39,625,000","39,384,000","36,421,000","32,906,000","31,472,000","34,571,000","23,634,000","21,782,000","18,205,000","19,348,000"
		GeneralAndAdministrativeExpense,"51,699,000","13,987,000","15,059,000","12,192,000","10,461,000","11,267,000","10,052,000","8,846,000","9,371,000","9,514,000","11,997,000","10,192,000","8,490,000","9,137,000","10,618,000","8,763,000","7,743,000","7,657,000","6,790,000","4,414,000","3,442,000","3,032,000","2,447,000"
			OtherGandA,"51,699,000","13,987,000","15,059,000","12,192,000","10,461,000","11,267,000","10,052,000","8,846,000","9,371,000","9,514,000","11,997,000","10,192,000","8,490,000","9,137,000","10,618,000","8,763,000","7,743,000","7,657,000","6,790,000","4,414,000","3,442,000","3,032,000","2,447,000"
		SellingAndMarketingExpense,"250,132,000","65,730,000","67,370,000","58,624,000","58,408,000","51,162,000","49,770,000","44,092,000","38,934,000","36,860,000","37,239,000","33,274,000","35,536,000","30,488,000","28,766,000","27,658,000","25,163,000","23,815,000","27,781,000","19,220,000","18,340,000","15,173,000","16,901,000"
	ResearchAndDevelopment,"109,735,000","31,046,000","28,777,000","26,879,000","23,033,000","19,566,000","18,416,000","19,314,000","17,653,000","15,808,000","15,802,000","14,148,000","13,398,000","12,772,000","11,803,000","11,474,000","10,115,000","9,762,000","9,995,000","8,443,000","7,966,000","6,927,000","6,635,000"
OperatingIncome,"-74,017,000","-30,524,000","-7,789,000","-18,698,000","-17,006,000","-15,583,000","-2,851,000","962,000","8,068,000","-5,302,000","5,994,000","1,335,000","-10,079,000","-6,683,000","12,530,000","4,510,000","-1,837,000","-4,290,000","10,520,000","407,000","-1,183,000","199,000","8,422,000"
NetNonOperatingInterestIncomeExpense,"-2,191,000","-875,000","-489,000","-407,000","-420,000","-589,000","-4,626,000","-4,290,000","-4,417,000","-3,260,000","-2,855,000","10,000","261,000","11,000","-527,000","-202,000","-2,800,000","-1,178,000","-5,704,000","-3,726,000","-2,696,000","-2,657,000","-2,830,000"
	InterestIncomeNonOperating,"599,000","24,000","140,000","223,000","212,000","200,000","229,000","349,000","169,000","1,272,000",,,,,,,,,,,,,
	InterestExpenseNonOperating,"2,790,000","899,000","629,000","630,000","632,000","789,000","4,855,000","4,639,000","4,586,000","4,532,000",,,,,,,,,,,,,
	TotalOtherFinanceCost,"2,573,000",,,,,,,,,,"2,855,000","-10,000","-261,000","-11,000","527,000","202,000","2,800,000","1,178,000","5,704,000","3,726,000","2,696,000","2,657,000","2,830,000"
OtherIncomeExpense,"-1,126,000","-660,000","-125,000","-122,000","-219,000","-1,000","255,000","214,000","-112,000","-324,000","-64,000","-295,000","-306,000","-417,000","-342,000","-388,000","-569,000","-147,000","-203,000","-162,000","-30,000","-64,000","-214,000"
