name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008
OperatingCashFlow,"3,140,533","4,080,244","-1,334,543","204,928","189,904","1,665,750","-2,592,605","-106,598","127,643","-3,738,826","-1,499,937","-969,059","-81,769","889,969","932,761","1,078,653","-431,471","-787,388","-744,790","-788,945","251,140","-197,236","-415,444","126,856","108,710","-286,087","27,072","241,866","159,480","86,692","272,772","-179,377","-376,472","226,727","829,641","196,540","99,948","6,499","1,633","-249,966","-247,696","-128,004","82,855","-378,885","-133,918","-91,561","8,666","-417,523","-662,234","-240,322","-277,288","-331,724","-480,662","-679,888","-324,758","-207,816","-195,758","-191,070"
	CashFlowFromContinuingOperatingActivities,"3,140,533","4,080,244","-1,334,543","204,928","189,904","1,665,750","-2,592,605","-106,598","127,643","-3,738,826","-1,499,937","-969,059","-81,769","889,969","932,761","1,078,653","-431,471","-787,388","-744,790","-788,945","251,140","-197,236","-415,444","126,856","108,710","-286,087","27,072","241,866","159,480","86,692","272,772","-179,377","-376,472","226,727","829,641","196,540","99,948","6,499","1,633","-249,966","-247,696","-128,004","82,855","-378,885","-133,918","-91,561","8,666","-417,523","-662,234","-240,322","-277,288","-331,724","-480,662","-679,888","-324,758","-207,816","-195,758","-191,070"
		NetIncomeFromContinuingOperations,"-2,745,642","-3,761,098","623,462","39,894","352,100","-637,377","1,357,166","-282,894","-1,077,468","-2,203,931","-1,984,780","-1,570,942","406,617","6,529","-109,914","244,928","280,509","-189,179","-237,059","-622,787","-361,501","-882,682","-352,750","-242,605","-591,932","-351,916","-414,650","87,936","-157,225","-111,201","74,917","-394,314","-52,681","-653,315","-44,262","10,776","354,159","-104,826",,,,,,,,"-214,932","-368,575","-504,579","-874,903","-260,967","-2,330,614","-522,207","-342,145","-1,360,723","-3,345,895","-152,138","-202,334","-548,486"
		DepreciationAmortizationDepletion,"1,940,543","471,539","385,152","526,035","527,958","526,180","407,200","523,420","520,794","519,669","429,203","320,055","235,572","190,301","153,084","54,472","54,473","54,473","-24,867","132,473","132,472","84,473","81,316","52,640","51,060","50,268","91,946","82,667","79,669","79,668","81,937","66,575","56,922","58,906","49,229","48,225","48,226","48,111","47,017","46,735","47,329","46,023","55,166","30,049","30,050","30,050","35,513","8,159","8,129","8,129","8,130","8,128","8,129","8,129","4,351","9,270","10,589","7,940"
			DepreciationAndAmortization,"1,940,543","471,539","385,152","526,035","527,958","526,180","407,200","523,420","520,794","519,669","429,203","320,055","235,572","190,301","153,084","54,472","54,473","54,473","-24,867","132,473","132,472","84,473","81,316","52,640","51,060","50,268","91,946","82,667","79,669","79,668","81,937","66,575","56,922","58,906","49,229","48,225","48,226","48,111","47,017","46,735","47,329","46,023","55,166","30,049","30,050","30,050","35,513","8,159","8,129","8,129","8,130","8,128","8,129","8,129","4,351","9,270","10,589","7,940"
		AmortizationOfSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","666,667","125,000","125,000",,,,,,,,,,,,
		ProvisionandWriteOffofAssets,"81,000","21,000","20,000","20,000","20,000","20,000","120,000","40,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		StockBasedCompensation,"8,083,896","3,174,098","3,129,844","1,008,007","771,947","582,159","781,220","956,464","680,644","754,512","852,360","469,539","408,087","530,312","141,932","708,157","516,700","497,122","-409,658","205,159","162,430","129,444","124,133","128,165","200,619","106,384","117,444","102,600","281,471","79,591","53,290","464,318","233,057","361,957","88,269","310,823","0","0","2,336","-50,079","108,329","120,054","82,624","80,146",,,"473,768",,,,"0","0","0","0","0","0","0","333,004"
		OtherNonCashItems,,,"-128,956","0","125,091","124,994","104,805","-89,637","130,027","100,000","405,874","-159,295","242,043","254,034","-1,065,045","708,157","516,700","497,122","-409,658","205,159","162,430","129,444","-51,042","128,165","200,619","106,384","-210,304","102,600","281,471","79,591","-846,148","464,318","595,014","59,620","88,269","310,823","0","0","522,976","-6,477","-126,140","-300,734","1,717,151","-969,379","125,000","125,000","-292,083","98,935","173,180","27,960","2,026,006","225,491","0","696,000","0","0","0","333,004"
		ChangeInWorkingCapital,"-4,215,399","4,174,705","-5,364,045","-1,389,008","-1,607,192","1,049,794","-5,362,996","-1,253,951","-166,354","-2,909,076","-384,634","-28,416","-1,374,088","-91,207","88,324","71,096","-1,283,153","-1,149,804","-953,958","-503,790","317,739","471,529","-268,143","188,656","448,963","-90,823","200,601","-31,337","-44,435","38,634","59,333","-315,956","-613,770","399,559","716,858","-134,384","-341,337","63,214","-213,643","-240,145","-277,214","6,653","348,676","-186,368","33,008","-31,679","17,627","-20,038","31,360","-15,444","19,190","-43,136","-146,646","-23,294","201,506","-64,948","-4,013","16,472"
			ChangeInReceivables,"-4,477,934","5,643,761","-4,073,056","-2,833,603","-3,215,036","3,126,815","-4,673,153","-2,567,361","-1,783,671","-1,643,495","71,719","266,109","-2,521,611","1,554,953","-1,055,124","345,695","-1,665,315","-414,508","-726,138","-282,958","385,528","253,074","-736,053","-215,459","231,881","506,685","-107,346","-821,685","-104,878","286,840","-540,904","-349,970","-153,383","455,585","-418,057","-209,222","-279,016","-43,871","19,928","-117,602","-409,589","355,412","-350,125","18,355","198,811","-112,911","-190,325","-35,000","15","13,775","-9,573","-3,164","-1,728","1,346",,"0","0","0"
				ChangesInAccountReceivables,"-4,477,934","5,643,761","-4,073,056","-2,833,603","-3,215,036","3,126,815","-4,673,153","-2,567,361","-1,783,671","-1,643,495","71,719","266,109","-2,521,611","1,554,953","-1,055,124","345,695","-1,665,315","-414,508","-726,138","-282,958","385,528","253,074","-736,053","-215,459","231,881","506,685","-107,346","-821,685","-104,878","286,840","-540,904","-349,970","-153,383","455,585","-418,057","-209,222","-279,016","-43,871","19,928","-117,602","-409,589","355,412","-350,125","18,355","198,811","-112,911","-190,325","-35,000","15","13,775","6,238","-3,164",,,,"0",,
			ChangeInPrepaidAssets,"-1,089,961","1,021,166","-3,065,944","559,768","395,049","937,083","-2,585,867","853,589","314,026","-2,099,448","125,785","-267,587","-157,835","-44,201","-373,862","13,788","-23,695","64,015","-8,622","25,347","-210,072","18,739","21,939","24,513","-72,717","16,068","16,173","-10,420","-38,077","-10,206","19,950","-6,074","-30,164","-34","14,565","29,383","-23,383","35,822","-23,266","11,793","57,314","5,033","77,424","-81,592","-96,280","61,467","-19,464","8,321","-5,548","-5,268","2,714","-3,413","-4,188","87",,"0","2,000","0"
			ChangeInPayablesAndAccruedExpense,"631,627","-2,393,357","858,473","856,031","1,341,326","-3,176,449","2,177,853","647,236","1,146,037","922,443","60,316","-373,451","1,181,791","-1,637,158","1,719,996","-256,550","417,618","-1,007,038","2,734","61,641","435,145","-743,477","825,497","280,744","467,776","-1,231,800","357,884","843,869","15,745","-371,308","682,177","82,996","-304,417","-220,454","1,129,370","74,803","-786","39,743","52,217","-169,034","1,138","-226,340","431,072","-110,821","-46,683","70,035","1,696","6,641","36,893","-23,951","26,049","-36,559","-140,730","-24,727","206,144","-64,948","-6,013","16,472"
