name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017
OperatingCashFlow,"108,525,000","18,736,000","34,962,000","19,909,000","34,918,000","11,551,000","20,413,000","21,470,000","1,897,000","11,846,000","11,091,000","15,409,000","11,059,000","12,624,000","9,614,000","2,051,000","13,610,000","7,946,000","8,578,000","3,850,000","10,952,000","3,788,000"
	CashFlowFromContinuingOperatingActivities,"108,525,000","18,736,000","34,962,000","19,909,000","34,918,000","11,551,000","20,413,000","21,470,000","1,897,000","11,846,000","11,091,000","15,409,000","11,059,000","12,624,000","9,614,000","2,051,000","13,610,000","7,946,000","8,578,000","3,850,000","10,952,000","3,788,000"
		NetIncomeFromContinuingOperations,"72,002,000","20,103,000","15,406,000","20,545,000","15,948,000","12,986,000","7,799,000","6,708,000","6,109,000","14,605,000","-13,816,000","14,512,000","8,228,000","6,314,000","7,417,000","2,048,000","4,898,000","4,219,000","4,773,000","5,085,000","4,282,000","12,550,000"
		OperatingGainsLosses,,,,,,,,,,,,,,,,,"-144,000",,,,"623,000","499,000"
			NetForeignCurrencyExchangeGainLoss,,,,,,,,,,,,,,,,,"-141,000",,,,"516,000","499,000"
		DepreciationAmortizationDepletion,,,,,,,,,,,,,,,,,"1,817,000",,,,"1,301,000","3,045,000"
			DepreciationAndAmortization,,,,,,,,,,,,,,,,,"1,817,000",,,,"1,301,000","3,045,000"
				Depreciation,,,,,,,,,,,,,,,,,"1,817,000",,,,"1,301,000","3,045,000"
		DeferredTax,"13,769,000","5,787,000","2,670,000","4,377,000","-65,000","3,511,000","2,809,000","2,017,000","-960,000","3,689,000","-3,441,000","2,958,000","941,000","1,290,000","1,998,000","586,000","1,530,000","1,286,000","1,250,000","1,357,000","969,000","2,577,000"
			DeferredIncomeTax,"13,769,000","5,787,000","2,670,000","4,377,000","-65,000","3,511,000","2,809,000","2,017,000","-960,000","3,689,000","-3,441,000","2,958,000","941,000","1,290,000","1,998,000","586,000","1,530,000","1,286,000","1,250,000","1,357,000","969,000","2,577,000"
