name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,12/31/2016,12/31/2009,09/30/2009,12/31/2008
TotalAssets,"8,207,869,000","8,216,197,000","8,127,554,000","7,823,320,000","7,540,008,000","7,831,151,000","4,618,106,000","4,612,776,000","4,503,392,000","4,170,683,000","4,142,191,000","4,162,457,000","2,587,729,000","2,532,428,000","2,580,231,000","2,475,475,000","2,493,755,000","2,395,245,000","2,388,362,000","2,327,631,000","1,585,370,000","1,596,725,000","1,640,160,000"
	CurrentAssets,"470,313,000","558,319,000","520,949,000","641,517,000","594,661,000","1,018,450,000","398,840,000","532,443,000","485,996,000","500,949,000","527,900,000","536,224,000","373,249,000","453,369,000","474,523,000","373,292,000","391,911,000","325,194,000","288,032,000","262,681,000","163,023,000","158,990,000","154,062,000"
		CashCashEquivalentsAndShortTermInvestments,"50,965,000","82,958,000","152,770,000","316,077,000","287,691,000","609,537,000","173,913,000","298,709,000","262,955,000","234,303,000","310,116,000","320,805,000","172,838,000","208,078,000","226,807,000","153,200,000","193,868,000","48,873,000","82,044,000","22,834,000","90,025,000","77,678,000","66,722,000"
			CashAndCashEquivalents,"50,965,000","82,958,000","152,770,000","316,077,000","287,691,000","609,537,000","173,913,000","298,709,000","262,955,000","234,303,000","310,116,000","320,805,000","172,838,000","208,078,000","226,807,000","153,200,000","193,868,000","48,873,000","82,044,000","22,834,000","90,025,000","77,678,000","66,722,000"
		Receivables,"419,348,000","416,371,000","368,179,000","325,440,000","306,970,000","346,931,000","217,486,000","200,603,000","216,819,000","235,398,000","210,912,000","208,978,000","193,599,000","217,139,000","209,268,000","182,517,000","178,649,000","217,876,000","184,497,000","199,751,000","67,407,000","76,815,000","83,932,000"
			AccountsReceivable,"419,348,000","380,014,000","368,179,000","325,440,000","306,970,000","324,221,000","217,486,000","200,603,000","216,819,000","214,842,000","210,912,000","208,978,000","193,599,000","194,279,000","209,268,000","182,517,000","178,649,000","200,354,000","184,497,000","199,751,000","67,407,000","76,815,000","83,932,000"
				GrossAccountsReceivable,"440,073,000","760,028,000","385,196,000","340,637,000","319,256,000","336,507,000","229,938,000","211,084,000","224,245,000","221,769,000","216,954,000","213,924,000","199,745,000","199,985,000","214,993,000","188,022,000","184,453,000","205,315,000","189,391,000","203,823,000",,,
				AllowanceForDoubtfulAccountsReceivable,"-20,725,000","-380,014,000","-17,017,000","-15,197,000","-12,286,000","-12,286,000","-12,452,000","-10,481,000","-7,426,000","-6,927,000","-6,042,000","-4,946,000","-6,146,000","-5,706,000","-5,725,000","-5,505,000","-5,804,000","-4,961,000","-4,894,000","-4,072,000",,,
			TaxesReceivable,,"12,310,000",,,,"997,000",,,,"885,000",,,,"6,978,000",,,,"950,000",,,,,
			OtherReceivables,,"24,047,000",,,,"21,713,000",,,,"19,671,000",,,,"15,882,000",,,,"16,572,000",,,,,
		Inventory,,"27,040,000",,,,"21,514,000",,,,"9,371,000",,,,"7,875,000",,,,"10,396,000",,,,,
		PrepaidAssets,,"31,950,000",,,,"28,954,000",,,,"15,567,000",,,,"14,258,000",,,,"26,959,000",,,,,
		RestrictedCash,,,,,,"11,514,000","7,441,000","33,131,000","6,222,000","6,310,000","6,872,000","6,441,000","6,812,000","6,019,000","38,448,000","37,575,000","19,394,000","21,090,000","21,491,000","40,096,000","5,591,000","4,497,000","3,408,000"
		OtherCurrentAssets,,,,,,,,,,,,,,"2,483,000",,,,,,,,,
	TotalNonCurrentAssets,"7,737,556,000","7,657,878,000","7,606,605,000","7,181,803,000","6,945,347,000","6,812,701,000","4,219,266,000","4,080,333,000","4,017,396,000","3,669,734,000","3,614,291,000","3,626,233,000","2,214,480,000","2,079,059,000","2,105,708,000","2,102,183,000","2,101,844,000","2,070,051,000","2,100,330,000","2,064,974,000","1,422,347,000","1,437,735,000","1,486,098,000"
		NetPPE,"308,347,000","320,053,000","336,363,000","312,678,000","288,638,000","267,314,000","46,447,000","47,736,000","52,426,000","59,613,000","58,787,000","65,438,000","77,482,000","1,839,701,000","1,826,749,000","1,821,727,000","1,829,889,000","1,834,885,000","1,819,591,000","1,784,066,000","1,222,155,000","1,245,557,000","1,289,213,000"
			GrossPPE,"369,706,000","377,536,000","385,341,000","352,880,000","320,438,000","291,797,000","68,512,000","70,890,000","73,231,000","77,723,000","73,362,000","75,849,000","83,663,000","2,958,642,000","2,942,203,000","2,910,279,000","2,903,125,000","2,886,839,000","2,863,811,000","2,742,359,000","1,385,193,000","1,383,727,000","1,356,634,000"
				Properties,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
				LandAndImprovements,,,,,,,,,,"526,226,000","516,354,000","516,874,000","408,982,000","385,232,000","384,971,000","385,713,000","389,565,000","389,443,000","390,988,000","384,855,000","195,547,000","195,331,000","195,540,000"
				BuildingsAndImprovements,,,,,,,,,,"2,707,959,000","2,623,314,000","2,602,759,000","1,873,291,000","1,860,976,000","1,854,913,000","1,911,651,000","1,904,033,000","1,882,554,000","1,861,326,000","1,782,818,000","920,654,000","889,303,000","883,291,000"
				MachineryFurnitureEquipment,,,,,,,,,,"894,428,000","864,878,000","837,524,000","649,983,000","626,451,000","626,713,000","612,915,000","609,527,000","614,842,000","611,497,000","574,686,000","268,992,000","239,754,000","214,422,000"
				OtherProperties,"369,706,000","377,536,000","385,341,000","352,880,000","320,438,000","291,797,000","68,512,000","70,890,000","73,231,000","77,723,000","73,362,000","75,849,000","83,663,000",,,,,,,,,,
				ConstructionInProgress,,,,,,,,,,"108,639,000","105,917,000","118,375,000","74,937,000","85,983,000","75,606,000",,,,,,,,
				Leases,,,,,,,,,,,,,,,,,,,,,,"59,339,000","63,381,000"
			AccumulatedDepreciation,"-61,359,000","-57,483,000","-48,978,000","-40,202,000","-31,800,000","-24,483,000","-22,065,000","-23,154,000","-20,805,000","-18,110,000","-14,575,000","-10,411,000","-6,181,000","-1,118,941,000","-1,115,454,000","-1,088,552,000","-1,073,236,000","-1,051,954,000","-1,044,220,000","-958,293,000","-163,038,000","-138,170,000","-67,421,000"
		GoodwillAndOtherIntangibleAssets,"2,036,578,000","2,053,946,000","2,050,952,000","1,893,326,000","1,588,406,000","1,591,758,000","762,999,000","737,385,000","733,765,000","603,241,000","598,872,000","575,370,000","211,362,000","211,151,000","211,827,000","212,729,000","214,335,000","214,814,000","215,442,000","211,083,000","167,936,000","168,693,000","167,292,000"
			Goodwill,"1,068,479,000","1,072,980,000","1,039,850,000","1,018,288,000","800,362,000","794,335,000","399,301,000","385,285,000","378,152,000","318,483,000","310,640,000","300,007,000","186,359,000","186,095,000","186,383,000","186,890,000","188,096,000","188,169,000","188,385,000","186,805,000","124,700,000","124,700,000","121,938,000"
			OtherIntangibleAssets,"968,099,000","980,966,000","1,011,102,000","875,038,000","788,044,000","797,423,000","363,698,000","352,100,000","355,613,000","284,758,000","288,232,000","275,363,000","25,003,000","25,056,000","25,444,000","25,839,000","26,239,000","26,645,000","27,057,000","24,278,000","43,236,000","43,993,000","45,354,000"
		InvestmentProperties,"5,239,429,000","5,229,629,000","5,068,700,000","4,825,539,000","4,929,284,000","4,895,506,000","3,320,172,000","3,197,653,000","3,125,323,000","2,991,002,000","2,891,990,000","2,894,135,000","1,858,359,000","1,839,701,000","1,826,749,000","1,821,727,000","1,829,889,000","1,834,885,000","1,819,591,000","1,784,066,000",,,
		InvestmentsAndAdvances,"43,526,000","46,915,000","38,571,000","42,742,000","42,376,000","51,486,000","21,536,000","22,102,000","23,041,000","4,895,000","0","12,788,000","13,167,000","17,613,000","15,952,000","16,289,000","15,935,000","18,425,000","14,609,000","22,396,000",,,
			LongTermEquityInvestment,"43,526,000","37,458,000","38,571,000","42,742,000","42,376,000","44,907,000","21,536,000","22,102,000","23,041,000","0","0","12,788,000","13,167,000","14,541,000","15,952,000","16,289,000","15,935,000","15,942,000","14,609,000","22,396,000",,,
