name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014
OperatingCashFlow,"401,000,000","158,000,000","-101,000,000","270,000,000","74,000,000","176,000,000","-120,000,000","-237,000,000","832,000,000","-62,000,000","201,000,000","165,000,000","240,000,000","154,000,000","164,980,000","133,366,000","119,072,000","191,582,000","242,064,000","137,937,000","246,887,000","121,559,000","115,960,000","138,269,000","163,948,000","137,465,000","-29,951,000","320,401,000","163,625,000","101,693,000","98,659,000"
	CashFlowFromContinuingOperatingActivities,"401,000,000","158,000,000","-101,000,000","270,000,000","74,000,000","176,000,000","-120,000,000","-237,000,000","832,000,000","-62,000,000","202,000,000","164,000,000","240,000,000","154,000,000","164,980,000","133,366,000","119,072,000","191,582,000","242,064,000","137,937,000","246,887,000","121,559,000","115,960,000","138,269,000","163,948,000","137,465,000","-29,951,000","320,401,000","163,625,000","101,693,000","98,659,000"
		NetIncomeFromContinuingOperations,"181,000,000","-7,000,000","69,000,000","64,000,000","55,000,000","-24,000,000","-10,000,000","8,000,000","-92,000,000","-132,000,000","93,000,000","105,000,000","116,000,000","71,000,000","99,864,000","114,286,000","125,533,000","67,317,000","256,469,000","95,551,000","65,458,000","26,816,000","76,864,000","133,011,000","-13,392,000","13,311,000","-9,945,000","5,387,000","164,961,000","7,115,000","47,846,000"
		OperatingGainsLosses,"-2,000,000","-1,000,000","-1,000,000","0","0","23,000,000","-2,000,000","-16,000,000","0","1,000,000","0","0",,,"298,000","-407,000","-809,000","-82,000","-3,564,000","101,000","89,000","-310,000","-1,538,000","14,267,000","35,944,000","-1,306,000","-555,000","-1,181,000","38,000","-312,000","-1,679,000"
			GainLossOnSaleOfPPE,"-2,000,000","-1,000,000","-1,000,000","0","0","0","-2,000,000","-16,000,000","0","1,000,000","0","0",,,"298,000","-407,000","-809,000","-82,000","-3,564,000","101,000","89,000","-310,000","-1,538,000","2,784,000","-6,205,000","-1,306,000","-555,000","-1,181,000","38,000","-312,000","-1,679,000"
		DepreciationAmortizationDepletion,"366,000,000","89,000,000","92,000,000","91,000,000","94,000,000","101,000,000","106,000,000","109,000,000","106,000,000","101,000,000","102,000,000","87,000,000","92,000,000","81,000,000","89,551,000","85,029,000","84,017,000","81,403,000","83,192,000","80,893,000","106,034,000","107,758,000","107,386,000","106,038,000","105,139,000","102,808,000","100,546,000","101,469,000","97,783,000","99,449,000","101,491,000"
			DepreciationAndAmortization,"366,000,000","89,000,000","92,000,000","91,000,000","94,000,000","101,000,000","106,000,000","109,000,000","106,000,000","101,000,000","102,000,000","87,000,000","92,000,000","81,000,000","89,551,000","85,029,000","84,017,000","81,403,000","83,192,000","80,893,000","106,034,000","107,758,000","107,386,000","106,038,000","105,139,000","102,808,000","100,546,000","101,469,000","97,783,000","99,449,000","101,491,000"
		DeferredTax,"46,000,000","4,000,000","19,000,000","13,000,000","10,000,000","-4,000,000","14,000,000","-21,000,000","-27,000,000","-17,000,000","0","14,000,000","-4,000,000","-3,000,000","-4,560,000","11,204,000","11,434,000","26,922,000","-154,509,000","13,506,000","5,795,000","12,280,000","1,858,000","-82,526,000","314,000","-80,000","-10,589,000","-2,733,000","65,920,000","-34,992,000","-4,952,000"
			DeferredIncomeTax,"46,000,000","4,000,000","19,000,000","13,000,000","10,000,000","-4,000,000","14,000,000","-21,000,000","-27,000,000","-17,000,000","0","14,000,000","-4,000,000","-3,000,000","-4,560,000","11,204,000","11,434,000","26,922,000","-154,509,000","13,506,000","5,795,000","12,280,000","1,858,000","-82,526,000","314,000","-80,000","-10,589,000","-2,733,000","65,920,000","-34,992,000","-4,952,000"
		AssetImpairmentCharge,,,"1,000,000",,,,"3,000,000",,,,,,,,,,,,"1,707,000","100,000",,,"0","0","125,000","0","0","0","5,175,000","1,118,000","0"
		ProvisionandWriteOffofAssets,"-12,000,000","0","-6,000,000","-5,000,000","-1,000,000","-12,000,000","-17,000,000","-26,000,000","-74,000,000","180,000,000","7,000,000","4,000,000","4,000,000","6,000,000","3,790,000","4,132,000","6,081,000","2,997,000","5,098,000","3,926,000","4,230,000","4,745,000","3,778,000","1,343,000","2,210,000","3,781,000","4,951,000","1,899,000","1,552,000","3,701,000","5,524,000"
		StockBasedCompensation,"50,000,000","12,000,000","12,000,000","13,000,000","13,000,000","10,000,000","11,000,000","10,000,000","12,000,000","7,000,000","10,000,000","7,000,000","9,000,000","6,000,000","7,543,000","3,133,000","10,258,000","7,066,000","5,472,000","6,507,000","5,211,000","3,342,000","3,926,000","4,762,000","4,881,000","4,786,000","7,944,000","2,575,000","2,847,000","2,466,000","2,563,000"
		OtherNonCashItems,"15,000,000","3,000,000","5,000,000","3,000,000","4,000,000","3,000,000","4,000,000","3,000,000","7,000,000","2,000,000","4,000,000","1,000,000","1,000,000","1,000,000","1,383,000","907,000","3,680,000","1,030,000","2,292,000","1,075,000","1,076,000","1,282,000","1,077,000","1,309,000","6,205,000","-3,003,000","3,196,000","780,000","5,431,000","3,684,000","3,634,000"
		ChangeInWorkingCapital,"-251,000,000","58,000,000","-292,000,000","84,000,000","-101,000,000","79,000,000","-229,000,000","-313,000,000","900,000,000","-204,000,000","-15,000,000","-54,000,000","23,000,000","-8,000,000","-33,889,000","-84,918,000","-121,122,000","4,929,000","45,907,000","-63,722,000","58,994,000","-34,354,000","-77,391,000","-39,935,000","22,522,000","17,168,000","-125,499,000","212,205,000","-180,082,000","19,464,000","-55,768,000"
			ChangeInReceivables,"-314,000,000","-243,000,000","144,000,000","-14,000,000","-201,000,000","-315,000,000","152,000,000","-75,000,000","100,000,000","157,000,000","143,000,000","-44,000,000","13,000,000","-131,000,000","103,144,000","-75,953,000","36,612,000","-134,803,000","175,228,000","-53,664,000","4,166,000","-192,731,000","171,344,000","-72,453,000","7,345,000","-84,681,000","111,817,000","-69,431,000","46,036,000","-78,822,000","139,907,000"
				ChangesInAccountReceivables,,,,,,,,,,,,"-44,000,000","13,000,000","-131,000,000","103,144,000","-75,953,000","36,612,000","-134,803,000","175,228,000","-53,664,000","4,166,000","-192,731,000","171,344,000","-72,453,000","7,345,000","-84,681,000","111,817,000","-69,431,000","46,036,000","-78,822,000","139,907,000"
			ChangeInInventory,"-375,000,000","-140,000,000","-121,000,000","-6,000,000","-108,000,000","-178,000,000","40,000,000","19,000,000","136,000,000","6,000,000","38,000,000","-24,000,000","-5,000,000","7,000,000","20,755,000","-92,335,000","-1,170,000","750,000","96,324,000","-60,100,000","-31,535,000","35,714,000","-1,703,000","-36,270,000","-12,619,000","-49,987,000","45,529,000","-76,808,000","-7,391,000","-16,377,000","71,985,000"
			ChangeInPrepaidAssets,"-8,000,000","-37,000,000","-5,000,000","33,000,000","1,000,000","-25,000,000","-60,000,000","42,000,000","14,000,000","-26,000,000","-5,000,000","13,000,000","9,000,000","-8,000,000","-16,709,000","-9,628,000","-6,816,000","-11,847,000","-5,731,000","2,509,000","4,992,000","-25,652,000","704,000","-808,000","11,248,000","-4,945,000","-22,852,000","309,978,000","-302,571,000","-5,271,000","2,224,000"
			ChangeInPayablesAndAccruedExpense,"446,000,000","478,000,000","-310,000,000","71,000,000","207,000,000","597,000,000","-361,000,000","-299,000,000","650,000,000","-341,000,000","-191,000,000","1,000,000","6,000,000","124,000,000","-141,079,000","92,998,000","-149,748,000","150,829,000","-219,914,000","47,533,000","81,371,000","148,315,000","-247,736,000","69,596,000","16,548,000","156,781,000","-259,993,000","48,466,000","83,844,000","119,934,000","-269,884,000"
				ChangeInPayable,"379,000,000","463,000,000","-309,000,000","59,000,000","166,000,000","555,000,000","-358,000,000","-356,000,000","590,000,000","-215,000,000","-216,000,000","-4,000,000","-19,000,000","183,000,000","-185,046,000","89,467,000","-107,809,000","282,388,000","-261,917,000","1,994,000","39,513,000","236,980,000","-199,774,000","55,334,000","17,546,000","257,938,000","-255,119,000","12,000,000","-6,932,000","178,603,000","-277,595,000"
					ChangeInAccountPayable,"379,000,000","463,000,000","-309,000,000","59,000,000","166,000,000","555,000,000","-358,000,000","-356,000,000","590,000,000","-215,000,000","-216,000,000","-4,000,000","-19,000,000","183,000,000","-185,046,000","89,467,000","-107,809,000","282,388,000","-261,917,000","1,994,000","39,513,000","236,980,000","-199,774,000","55,334,000","17,546,000","257,938,000","-255,119,000","12,000,000","-6,932,000","178,603,000","-277,595,000"
				ChangeInAccruedExpense,"67,000,000","15,000,000","-1,000,000","12,000,000","41,000,000","42,000,000","-3,000,000","57,000,000","60,000,000","-126,000,000","25,000,000","5,000,000","25,000,000","-59,000,000","43,967,000","3,531,000","-41,939,000","-131,559,000","42,003,000","45,539,000","41,858,000","-88,665,000","-47,962,000","14,262,000","-998,000","-101,157,000","-4,874,000","36,466,000","90,776,000","-58,669,000","7,711,000"
