name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997
			DuefromRelatedPartiesCurrent,"15,000","15,657","18,934","18,657","15,657","15,657","15,657","15,657","15,807","16,707","51,941","34,558","19,565","25,558","18,308","13,208","14,204","18,461",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,"1,840,910",,,,,,,,,,,,,"23,276",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"259,076","493,301","829,909","1,120,185","291,419","85,007","1,008,081","815,899",,,,"333,053",,,,,
		Inventory,"59,016,152","46,466,594","34,960,878","27,939,525","15,866,918","9,548,591","7,603,031","6,518,757","4,408,073","5,022,980","5,029,211","5,553,121","4,772,597","3,951,308","3,378,406","3,123,239","2,405,007","1,792,314","1,608,394","1,550,664","1,493,872",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","6,968,165","8,368,237","8,306,278","8,671,861","9,166,861","10,253,949","7,500,000","7,900,000","6,200,000","8,470,702","6,900,000","9,600,000","7,300,000","6,389,896","3,700,000"
			RawMaterials,,"26,307,975","17,393,711","18,109,674","12,440,548","7,010,713","5,089,516","3,916,412","1,771,006","1,661,208","1,768,248","2,207,151","1,635,130","1,764,544","1,559,864","1,761,587","1,471,666","764,810","627,373","642,795","958,398",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			WorkInProcess,,"16,210,045","13,226,671","6,622,277","2,527,104","2,186,707","2,140,768","1,821,026","720,650","594,666","402,707","536,232","509,226","43,933","267,952","235,692","123,661","20,213","11,177","153,542","216,094",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			FinishedGoods,,"3,948,574","4,340,496","3,207,574","899,266","351,171","372,747","781,319","1,916,417","2,767,106","2,858,256","2,809,738","2,628,241","2,142,831","1,550,590","1,125,960","809,680","1,007,291","969,843","754,327","319,380",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherInventories,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		PrepaidAssets,"3,423,925","3,923,778","3,412,497","3,460,619","2,402,366","1,053,671","1,035,322","630,103","844,117","291,430","470,322","278,030","427,551","282,861","401,753","205,951","321,074","254,732","258,804","133,995","170,834",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","2,500","1,081","1,081",,,,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"201,000",,,,,,"82,016",,,,"0",
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"201,000",,,,,,"82,016",,,,"0",
		OtherCurrentAssets,,,,,,,,,,"496,095","489,946","483,872",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"199,523","112,537","272,835","112,537","1,474,536","925,979","1,223,612","926,966","1,700,000","1,800,000","2,100,000","1,670,681","400,000","500,000","800,000","389,537","100,000"
	TotalNonCurrentAssets,"284,486,677","287,730,142","285,560,926","274,879,808","33,759,009","30,602,273","29,952,201","29,579,690","32,758,626","33,529,285","36,946,935","38,090,461","34,960,294","11,412,302","3,685,872","2,959,516","2,349,666","1,898,443","1,689,710","2,391,574","2,107,710","0",,"0","0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,"0","0","0","0","0","0","21,095","21,095","1,321,241","1,349,410","1,443,916","1,169,460","1,172,486","1,201,263","100,000","100,000","100,000","130,366","700,000","600,000","400,000","221,903","100,000"
		NetPPE,"40,429,656","35,075,677","28,631,095","25,849,235","23,643,388","21,774,951","20,406,314","19,445,903","22,288,075","23,748,071","25,014,350","25,590,612","21,999,787","2,642,987","2,262,906","1,752,767","1,241,326","769,442","528,321","211,591","218,739",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,250","2,250","1,002,396","1,030,565","1,054,220","1,052,764","1,056,340","1,085,117","100,000","100,000","100,000","70,256","600,000","500,000","300,000","183,293","100,000"
			GrossPPE,"40,429,656","44,113,928","36,581,796","32,697,949","29,539,151","26,875,871","24,776,051","23,182,637","25,348,756","26,151,788","26,740,660","26,689,430","22,515,931","2,984,317","2,512,399","1,920,848","1,354,484","847,303","583,302","224,688","223,832",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,250","2,250","1,002,396","1,030,565","1,054,220","1,052,764","1,056,340","1,085,117","200,000","200,000","200,000","70,256","700,000","600,000","400,000","183,293",
				Properties,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				BuildingsAndImprovements,,,"2,695,263","955,810",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				MachineryFurnitureEquipment,,"484,744","483,591","483,591","230,481","191,301","191,301","191,301","191,301","191,302","191,302","261,120","258,288","149,785","115,115","111,613","97,490","70,251","583,302","224,688","223,832",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				OtherProperties,"40,429,656","34,089,883","32,004,026","30,125,351","28,637,173","25,908,719","24,364,930","22,779,852","23,135,971","23,272,050","23,085,058","22,964,010","18,806,530","2,752,788","2,363,114","1,777,553","1,239,222","761,577","583,302","224,688","223,832",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				ConstructionInProgress,,"9,282,292","1,147,030","882,310","544,939","649,293","93,262","93,262","1,903,262","2,574,828","3,352,669","3,352,669","3,352,669",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				Leases,,"257,009","251,886","250,887","126,558","126,558","126,558","118,222","118,222","113,608","111,631","111,631","98,444","81,744","34,170","31,682","17,772","15,475",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			AccumulatedDepreciation,,"-9,038,251","-7,950,701","-6,848,714","-5,895,763","-5,100,920","-4,369,737","-3,736,734","-3,060,681","-2,403,717","-1,726,310","-1,098,818","-516,144","-341,330","-249,493","-168,081","-113,158","-77,861","-54,981","-13,097","-5,093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-100,000","-100,000","-100,000",,"-100,000","-100,000","-100,000",,
		GoodwillAndOtherIntangibleAssets,"232,696,699","236,176,539","239,712,344","243,377,263","8,282,192","8,775,139","9,268,086","9,761,032","10,253,980","9,549,100","11,899,591","12,445,716","12,931,473","8,713,900","1,024,503","1,058,271","1,092,040","1,129,001","1,161,389","2,179,983","1,888,971",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			Goodwill,"90,870,094","90,870,094","90,870,094","90,999,208",,,,,,,,,,,,,,,,"1,950,816","1,770,221",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherIntangibleAssets,"141,826,605","145,306,445","148,842,250","152,378,055","8,282,192","8,775,139","9,268,086","9,761,032","10,253,980","9,549,100","11,899,591","12,445,716","12,931,473","8,713,900","1,024,503","1,058,271","1,092,040","1,129,001","1,161,389","229,167","118,750",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentNoteReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,851","50,851","50,851","50,851",,,,,,,,"0",
		NonCurrentDeferredAssets,,"892,258",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"47,000","47,000","47,000","47,000",,,,"41,000",,,,"34,000",
			NonCurrentDeferredTaxesAssets,,"892,258",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"47,000","47,000","47,000","47,000",,,,"41,000",,,,"34,000",
		NonCurrentPrepaidAssets,"11,360,322","15,585,668","17,217,487","5,653,310","1,833,429","52,183","277,801","372,755","216,571","232,114","32,994","54,133","29,034","55,415","398,463","148,478","16,300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,845","18,845","318,845","318,845","318,845","18,845","18,295","18,295",,,,"19,110",,,,"4,610",
TotalLiabilitiesNetMinorityInterest,"39,874,747","40,074,603","46,253,908","45,806,378","19,031,812","24,330,457","29,857,133","25,378,863","21,846,943","17,360,152","20,193,971","19,589,123","14,058,231","3,586,378","988,406","926,291","1,120,582","2,413,547","2,859,312","2,646,096","3,059,391","625,575","331,343","326,109","321,797","318,815","313,983","310,363","305,275","300,304","294,743","293,803","288,500","282,736","277,696","272,770","273,469","260,157","253,547","246,891","238,616","228,859","222,209","218,569","207,015","202,616","195,409","189,059","174,436","168,763","160,360","154,123","149,718","139,297","137,346","131,284","124,965","103,520","248,557","237,232","235,662","2,216,109","2,395,438","3,934,481","4,906,682","3,664,038","3,826,073","4,929,583","5,282,536","4,100,000","3,000,000","3,600,000","3,923,553","4,900,000","6,000,000","5,000,000","3,472,845","2,300,000"
	CurrentLiabilities,"35,823,311","35,613,312","42,997,607","42,714,920","12,098,493","14,122,250","14,830,115","13,233,802","12,225,609","12,787,476","15,495,709","14,766,073","4,482,375","3,586,378","988,406","926,291","1,120,582","2,413,547","2,859,312","2,646,096","3,059,391","625,575","331,343","326,109","321,797","318,815","313,983","310,363","305,275","300,304","294,743","293,803","288,500","282,736","277,696","272,770","273,469","260,157","253,547","246,891","238,616","228,859","222,209","218,569","207,015","202,616","195,409","189,059","174,436","168,763","160,360","154,123","149,718","139,297","137,346","131,284","124,965","103,520","248,557","237,232","235,662","2,216,109","2,395,438","3,934,481","4,906,682","3,664,038","3,826,073","4,929,583","5,282,536","4,200,000","3,100,000","3,600,000","3,923,553","4,900,000","6,000,000","5,000,000","3,472,845","2,300,000"
		PayablesAndAccruedExpenses,"32,995,897","29,540,111","37,015,368","38,451,168","7,473,489","8,356,467","7,242,640","6,123,735","6,323,420","5,062,323","5,000,011","5,353,470","2,751,778","2,040,873","960,497","856,518","1,020,675","731,667","617,009","508,846","484,958","575","133,077","127,843","123,530","120,549","115,717","112,097","107,009","102,038","96,477","95,537","90,234","84,470","83,530","78,604","84,939","77,260","253,547","246,891","238,616","61,984","222,208","218,569","207,015","50,936","195,409","189,059","174,436","33,751","160,360","154,123","149,718","16,804","23,061","14,228","14,643","103,520","248,557","237,232","235,662","1,247,946","1,345,910","2,028,453","2,632,306","1,213,818","1,422,475","2,529,007","3,171,719","1,500,000","1,400,000","1,700,000","2,122,303","2,900,000","4,200,000","3,400,000","3,108,726","1,500,000"
			Payables,"26,817,083","24,425,343","31,562,941","34,661,989","6,088,435","4,404,029","4,477,570","3,656,650","5,550,415","4,278,052","4,407,789","4,686,087","2,365,804","1,566,076","557,844","418,172","612,569","502,968","490,328","405,680","398,173","575","11,059","9,823","9,665","10,838","10,204","10,782","9,848","8,988","7,625","10,883","9,734","8,378","11,478","10,553","20,324","16,455","196,630","244,891","188,342","60,384","179,003","178,862","170,714","17,827","165,559","162,314","150,751","12,930","141,968","138,478","136,790","6,395","15,189","8,830","11,480","100,954","248,510","237,232","235,662","1,247,946","1,345,910","2,021,269","2,530,447","1,170,490","1,379,167","2,491,787","3,126,098","1,500,000","1,400,000","1,700,000","2,024,580","2,900,000","4,200,000","3,400,000","3,042,586","1,500,000"
				AccountsPayable,"26,817,083","24,425,343","20,807,941","23,906,989","4,371,974","4,404,029","4,477,570","3,656,650","5,197,354","4,278,052","4,257,789","4,436,087","1,920,344","366,076","557,844","418,172","479,465","476,893","394,692","405,680","398,173","575","4,125","2,889","2,731","3,904","3,270","3,848","2,914","2,054","691","3,949","2,800","1,444","4,544","3,619","13,390","9,521","6,799","7,068","14,534","8,305","6,020","9,741","3,189","10,893","6,945","11,321","8,805","5,996","10,360","6,870","5,238","6,395","15,189","8,830","11,480","2,418","51,941","43,163","49,093","1,247,946","1,335,004","2,005,730","2,530,447","1,162,932","1,371,076","2,479,481","3,126,098","1,500,000","1,400,000","1,700,000","2,024,580","2,900,000","4,200,000","3,400,000","2,881,620","1,500,000"
				TotalTaxPayable,,,,,"1,716,461",,,,"353,061",,,,"145,460",,,,"133,104","26,075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,500",,,"0","10,906","15,539",,"7,558","8,091","12,306",,,,,"0",,,,"160,966",
					IncomeTaxPayable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,558",,,,,,,"0",,,,"160,966",
				DuetoRelatedPartiesCurrent,,,,,,,,,,,,,,,,,,,"95,636",,,,,,,,,,,,,,,,,,,,"182,897","230,889","166,874","52,079","166,049","162,187","160,591",,"151,680","144,059","135,340",,"126,274","126,274","126,218",,,,,,,,,,,,,,,,,,,,,,,,,
