name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,03/31/2014
		RetainedEarnings,"-783,308,000","-727,795,000","-665,089,000","-611,320,000","-587,116,000","-525,439,000","-471,813,000","-424,262,000","-394,506,000","-366,547,000","-339,352,000","-320,738,000","-305,569,000","-288,727,000","-278,622,000","-270,286,000","-305,484,000","-298,518,000","-290,789,000","-276,098,000","-260,164,000","-245,171,000","-231,288,000","-217,158,000","-199,087,000","-179,893,000","-161,538,000","-146,719,000","-131,600,000","-116,775,000","-100,846,000","-81,451,000"
		TreasuryStock,"263,000","263,000","263,000","263,000","263,000","263,000","263,000","263,000","263,000","263,000","263,000","263,000","263,000","263,000","263,000","263,000","263,000","263,000","263,000","263,000","263,000","263,000","263,000","263,000","263,000","263,000","263,000","263,000","263,000","263,000","263,000","263,000"
		GainsLossesNotAffectingRetainedEarnings,"-8,012,000","-2,957,000","-1,208,000","-850,000","-19,000","932,000","2,399,000","4,110,000","4,869,000","1,907,000","1,955,000","2,141,000","645,000","39,000","-573,000","-270,000","-324,000","-229,000","-94,000","-113,000","-96,000","-65,000","21,000","32,000","22,000","-171,000","42,000","-10,000","15,000","-52,000",,
	MinorityInterest,"21,686,000","22,564,000","13,443,000","7,744,000","3,389,000","610,000","896,000","1,273,000","1,669,000","2,274,000","2,814,000","2,345,000","2,733,000","3,313,000","3,399,000",,,,,,,,,,,,,,,,,
TotalCapitalization,"820,367,000","834,420,000","838,350,000","846,036,000","863,355,000","875,639,000","825,449,000","825,367,000","817,683,000","795,174,000","787,501,000","770,833,000","755,567,000","726,625,000","713,671,000","695,221,000","215,104,000","202,050,000","196,614,000","191,983,000","186,844,000","186,316,000","189,475,000","186,580,000","193,233,000","201,357,000","203,015,000","206,314,000","214,870,000","224,872,000","114,723,000","-64,665,000"
CommonStockEquity,"322,704,000","337,348,000","341,868,000","350,143,000","413,975,000","431,963,000","387,395,000","392,857,000","390,639,000","373,519,000","371,160,000","359,731,000","349,630,000","325,780,000","317,847,000","304,348,000","215,104,000","202,050,000","196,614,000","191,983,000","186,844,000","186,316,000","189,475,000","186,580,000","193,233,000","201,357,000","203,015,000","206,314,000","214,870,000","224,872,000","114,723,000","-64,665,000"
CapitalLeaseObligations,"60,912,000","61,922,000","63,633,000","65,292,000","67,810,000","68,449,000","67,084,000","67,423,000","66,076,000","68,638,000","69,293,000","71,644,000",,,,,,,,,,,,,,,,,,,,
NetTangibleAssets,"143,391,000","155,743,000","158,258,000","164,856,000","256,736,000","273,048,000","331,144,000","335,330,000","331,836,000","314,348,000","316,673,000","304,804,000","294,263,000","307,052,000","305,101,000","291,405,000","201,964,000","188,714,000","183,081,000","178,053,000","172,517,000","171,592,000","174,486,000","171,336,000","177,744,000","185,610,000","199,160,000","202,215,000","210,517,000","220,266,000","114,723,000","-64,665,000"
WorkingCapital,"592,843,000","604,149,000","577,840,000","565,900,000","586,235,000","594,728,000","644,770,000","639,753,000","623,871,000","596,594,000","597,469,000","588,001,000","598,974,000","621,014,000","626,057,000","603,602,000","144,348,000","131,521,000","124,982,000","125,508,000","121,274,000","122,385,000","128,303,000","130,772,000","136,748,000","144,681,000","157,705,000","163,706,000","174,807,000","185,269,000","82,255,000","8,026,000"
InvestedCapital,"820,367,000","834,420,000","838,350,000","846,036,000","863,355,000","875,639,000","825,449,000","825,367,000","817,683,000","795,174,000","787,501,000","770,833,000","755,567,000","726,625,000","713,671,000","695,221,000","215,104,000","202,050,000","196,614,000","191,983,000","186,844,000","186,316,000","189,475,000","186,580,000","193,233,000","201,357,000","203,015,000","206,314,000","214,870,000","224,872,000","114,723,000","-64,665,000"
TangibleBookValue,"143,391,000","155,743,000","158,258,000","164,856,000","256,736,000","273,048,000","331,144,000","335,330,000","331,836,000","314,348,000","316,673,000","304,804,000","294,263,000","307,052,000","305,101,000","291,405,000","201,964,000","188,714,000","183,081,000","178,053,000","172,517,000","171,592,000","174,486,000","171,336,000","177,744,000","185,610,000","199,160,000","202,215,000","210,517,000","220,266,000","114,723,000","-64,665,000"
TotalDebt,"558,575,000","558,994,000","560,115,000","561,185,000","517,190,000","512,125,000","505,138,000","499,933,000","493,120,000","490,293,000","485,634,000","482,746,000","405,937,000","400,845,000","395,824,000","390,873,000",,,,,,,,,,,,,,,,
NetDebt,"228,968,000","251,245,000","264,564,000","235,996,000","208,559,000","232,531,000","161,211,000","175,631,000","134,521,000","242,658,000","173,934,000","182,962,000","171,581,000","215,383,000","199,027,000",,,,,,,,,,,,,,,,,
ShareIssued,"66,988,000","66,396,000","65,639,000","64,966,000","64,019,000","63,311,000","61,227,000","60,502,000","60,098,000","59,400,000","59,036,000","58,655,000","58,366,000","57,536,000","57,199,000","56,758,000","56,213,000","55,657,000","55,259,000","54,576,000","53,539,000","52,969,000","52,231,000","50,997,000","50,241,000","49,684,000","48,779,000","47,733,000","47,377,000","47,251,000","46,095,833","46,095,833"
OrdinarySharesNumber,"66,728,000","66,136,000","65,379,000","64,706,000","63,759,000","63,051,000","60,967,000","60,242,000","59,838,000","59,140,000","58,776,000","58,395,000","58,106,000","57,276,000","56,939,000","56,498,000","55,953,000","55,397,000","54,999,000","54,316,000","53,279,000","52,709,000","51,971,000","50,737,000","49,981,000","49,424,000","48,519,000","47,473,000","47,117,000","46,991,000","46,095,833","46,095,833"
TreasurySharesNumber,"260,000","260,000","260,000","260,000","260,000","260,000","260,000","260,000","260,000","260,000","260,000","260,000","260,000","260,000","260,000","260,000","260,000","260,000","260,000","260,000","260,000","260,000","260,000","260,000","260,000","260,000","260,000","260,000","260,000","260,000",,
