name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,06/30/2008,03/31/2008
TotalAssets,"7,792,400,000","7,417,200,000","7,170,200,000","7,118,300,000","7,160,200,000","6,798,200,000","6,909,900,000","6,494,000,000","5,999,700,000","6,581,200,000","6,579,700,000","6,377,800,000","8,324,100,000","7,206,200,000","7,300,600,000","7,194,100,000","7,266,200,000","6,984,300,000","6,905,600,000","6,856,700,000","6,580,200,000","6,557,600,000","6,586,400,000","6,568,400,000","6,490,100,000","5,791,800,000","5,726,500,000","5,755,200,000","5,476,400,000","5,351,500,000","5,370,400,000","5,278,900,000","5,235,000,000","5,127,200,000","5,122,000,000","5,117,100,000","5,239,900,000","4,922,300,000","4,926,000,000","4,868,600,000","4,854,600,000","4,779,100,000","4,611,600,000","4,649,100,000","4,734,600,000","4,525,000,000","4,749,100,000","4,653,700,000","4,629,500,000","4,251,300,000","4,334,500,000","4,239,300,000","4,208,500,000","4,157,600,000","4,608,500,000","4,683,500,000"
	CurrentAssets,"5,505,000,000","3,358,300,000","3,528,200,000","3,414,600,000","3,525,500,000","3,175,200,000","3,674,600,000","3,251,100,000","2,712,900,000","3,244,500,000","3,257,700,000","3,048,900,000","3,460,200,000","3,314,200,000","3,471,600,000","3,361,300,000","3,411,100,000","3,137,400,000","3,174,100,000","3,136,100,000","2,887,600,000","2,841,200,000","2,934,300,000","2,911,700,000","3,179,900,000","2,446,100,000","2,384,300,000","2,381,200,000","2,217,200,000","2,074,900,000","2,082,900,000","1,994,100,000","1,954,100,000","1,791,500,000","1,782,700,000","1,756,800,000","1,914,700,000","1,581,400,000","1,587,700,000","1,514,900,000","1,476,000,000","1,373,200,000","1,410,100,000","1,412,700,000","1,479,700,000","1,254,700,000","1,530,300,000","1,416,900,000","1,351,100,000","941,900,000","1,014,900,000","878,400,000","843,500,000","752,700,000","913,900,000","973,800,000"
		CashCashEquivalentsAndShortTermInvestments,"134,200,000","190,000,000","631,900,000","621,600,000","759,000,000","752,100,000","1,276,700,000","968,500,000","293,100,000","507,600,000","508,600,000","233,000,000","265,600,000","337,100,000","455,100,000","369,800,000","330,800,000","317,200,000","432,100,000","530,400,000","188,000,000","201,800,000","323,100,000","314,700,000","676,300,000","155,000,000","125,300,000","204,800,000","178,400,000","152,900,000","214,900,000","285,300,000","251,200,000","191,600,000","196,000,000","168,100,000","322,100,000","108,700,000","163,700,000","117,100,000","125,200,000","97,400,000","203,600,000","200,300,000","242,300,000","119,100,000","379,800,000","289,400,000","228,000,000","363,900,000","380,800,000","264,100,000","196,500,000","158,400,000","147,500,000","173,900,000"
			CashAndCashEquivalents,"134,200,000","190,000,000","631,900,000","621,600,000","759,000,000","752,100,000","1,276,700,000","968,500,000","293,100,000","507,600,000","508,600,000","233,000,000","265,600,000","337,100,000","455,100,000","369,800,000","330,800,000","317,200,000","432,100,000","530,400,000","188,000,000","201,800,000","323,100,000","314,700,000","676,300,000","155,000,000","125,300,000","204,800,000","178,400,000","152,900,000","214,900,000","285,300,000","251,200,000","191,600,000","196,000,000","168,100,000","322,100,000","108,700,000","163,700,000","117,100,000","125,200,000","97,400,000","203,600,000","200,300,000","242,300,000","119,100,000","379,800,000","289,400,000","228,000,000","363,900,000","380,800,000","264,100,000","196,500,000","158,400,000","147,500,000","173,900,000"
		Receivables,"3,168,100,000","3,033,000,000","2,733,000,000","2,634,100,000","2,618,200,000","2,256,200,000","2,216,900,000","2,108,600,000","2,173,900,000","2,557,700,000","2,605,800,000","2,648,400,000","2,937,300,000","2,766,400,000","2,817,100,000","2,785,200,000","2,883,500,000","2,625,100,000","2,558,300,000","2,435,000,000","2,521,400,000","2,463,100,000","2,457,400,000","2,450,500,000","2,359,100,000","2,143,900,000","2,082,800,000","2,001,600,000","1,872,800,000","1,764,300,000","1,727,800,000","1,564,900,000","1,557,300,000","1,453,900,000","1,451,400,000","1,456,100,000","1,463,500,000","1,338,600,000","1,315,800,000","1,284,900,000","1,249,700,000","1,171,600,000","1,112,100,000","1,120,000,000","1,142,200,000","1,033,800,000","1,060,800,000","1,030,200,000","1,020,300,000","490,500,000","464,600,000","452,500,000","487,700,000","444,600,000","601,600,000","616,800,000"
			AccountsReceivable,"433,300,000","527,000,000","565,300,000","549,200,000","659,300,000","367,200,000","494,100,000","582,300,000","244,100,000","457,500,000","510,200,000","592,800,000","962,500,000","765,600,000","851,200,000","840,100,000","963,600,000","725,500,000","761,900,000","711,000,000","773,000,000","682,900,000","681,800,000","721,400,000","662,900,000","511,900,000","562,000,000","533,200,000","525,300,000","401,200,000","450,500,000","402,600,000","457,400,000","354,300,000","385,400,000","396,400,000","468,000,000","342,400,000","385,300,000","358,400,000","391,200,000","297,400,000","318,000,000","339,300,000","405,000,000","271,900,000","356,000,000","346,100,000","382,200,000","250,400,000","318,400,000","315,900,000","359,400,000","285,700,000","372,800,000","395,200,000"
				GrossAccountsReceivable,"443,400,000","541,200,000","577,500,000","560,900,000","671,400,000","379,300,000","505,000,000","594,100,000","254,900,000","467,000,000","520,100,000","601,400,000","976,200,000","777,600,000","864,200,000","851,800,000","975,600,000","736,700,000","772,400,000","720,500,000","782,400,000","695,900,000","691,400,000","729,700,000","670,500,000","518,500,000","568,700,000","539,700,000","532,000,000","407,500,000","456,000,000","408,000,000","462,700,000","359,100,000","389,700,000","400,600,000","472,500,000","347,700,000","391,000,000","365,000,000","397,700,000","303,800,000","324,000,000","345,700,000",,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-10,100,000","-14,200,000","-12,200,000","-11,700,000","-12,100,000","-12,100,000","-10,900,000","-11,800,000","-10,800,000","-9,500,000","-9,900,000","-8,600,000","-13,700,000","-12,000,000","-13,000,000","-11,700,000","-12,000,000","-11,200,000","-10,500,000","-9,500,000","-9,400,000","-13,000,000","-9,600,000","-8,300,000","-7,600,000","-6,600,000","-6,700,000","-6,500,000","-6,700,000","-6,300,000","-5,500,000","-5,400,000","-5,300,000","-4,800,000","-4,300,000","-4,200,000","-4,500,000","-5,300,000","-5,700,000","-6,600,000","-6,500,000","-6,400,000","-6,000,000","-6,400,000",,,,,,,,,,,,
			LoansReceivable,"2,734,800,000","2,506,000,000","2,167,700,000","2,084,900,000","1,958,900,000","1,889,000,000","1,722,800,000","1,526,300,000","1,929,800,000","2,100,200,000","2,095,600,000","2,055,600,000","1,974,800,000","2,000,800,000","1,965,900,000","1,945,100,000","1,919,900,000","1,899,600,000","1,796,400,000","1,724,000,000","1,748,400,000","1,780,200,000","1,775,600,000","1,729,100,000","1,696,200,000","1,632,000,000","1,520,800,000","1,468,400,000","1,347,500,000","1,363,100,000","1,277,300,000","1,162,300,000","1,099,900,000","1,099,600,000","1,066,000,000","1,059,700,000","995,500,000","996,200,000",,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"930,500,000","926,500,000","858,500,000","874,200,000","794,100,000","780,700,000","737,200,000","761,900,000","704,800,000","684,100,000","638,100,000","240,100,000","146,200,000","136,600,000","128,300,000","158,900,000","228,800,000","221,600,000"
