name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,12/31/2010,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004
TotalAssets,"7,789,101,000","7,330,870,000","6,895,233,000","6,713,192,000","6,695,188,000","6,396,786,000","6,091,419,000","5,977,838,000","6,135,169,000","5,832,661,000","5,663,584,000","5,308,033,000","5,158,857,000","5,096,316,000","5,092,909,000","4,909,181,000","7,202,820,000","7,263,511,000","7,434,787,000","7,519,323,000","7,588,796,000","7,677,971,000","7,811,000,000","7,770,082,000","7,795,972,000","7,918,996,000","7,892,233,000","7,929,239,000","7,999,521,000","8,017,001,000","7,547,256,000","7,500,907,000","7,275,395,000","7,231,045,000","7,060,451,000","3,212,727,000","3,246,840,000","3,247,677,000","3,205,141,000","3,224,689,000","3,220,865,000","3,231,561,000","3,244,395,000","3,358,331,000","3,396,842,000","3,264,967,000","3,132,465,000","2,856,590,000","2,566,906,000","2,561,351,000","1,780,432,000","1,513,425,000","1,295,835,000","1,023,394,000","738,994,343","782,227,224","527,831,421"
	CurrentAssets,"56,807,000","36,513,000","28,534,000","31,186,000","285,348,000","96,124,000","150,699,000","139,061,000","250,667,000","50,101,000","400,528,000","57,566,000","146,730,000","79,740,000","103,180,000","83,552,000","141,483,000","137,694,000","222,150,000","210,827,000","207,895,000","237,207,000","200,827,000","196,240,000","226,017,000","210,938,000","213,161,000","257,390,000","392,774,000","405,518,000","215,659,000","275,252,000","170,917,000","203,920,000","248,075,000","160,883,000","117,952,000","131,328,000","150,649,000","169,058,000","153,929,000","149,929,000","154,045,000","224,573,000","189,543,000",,,,,,,,,,,,
		CashCashEquivalentsAndShortTermInvestments,"24,229,000","17,799,000","15,564,000","9,403,000","261,889,000","70,303,000","116,814,000","97,190,000","216,692,000","14,492,000","358,440,000","9,984,000","9,376,000","14,493,000","7,578,000","9,289,000","10,989,000","8,798,000","11,947,000","11,246,000","9,309,000","10,059,000","13,184,000","29,410,000","8,992,000","21,790,000","28,210,000","39,674,000","108,134,000","176,181,000","50,130,000","120,976,000","29,984,000","66,588,000","42,375,000","16,187,000","55,355,000","73,568,000","45,401,000","71,735,000","63,719,000","49,536,000","53,414,000","125,000,000","88,341,000","151,582,000","193,592,000","52,317,000","61,779,000","87,547,000","156,190,000","30,536,000","47,906,000","38,181,000","42,791,176","113,224,972",
			CashAndCashEquivalents,"24,229,000","17,799,000","15,564,000","9,403,000","261,889,000","70,303,000","116,814,000","97,190,000","216,692,000","14,492,000","358,440,000","9,984,000","9,376,000","14,493,000","7,578,000","9,289,000","10,989,000","8,798,000","11,947,000","11,246,000","9,309,000","10,059,000","13,184,000","29,410,000","8,992,000","21,790,000","28,210,000","39,674,000","108,134,000","176,181,000","50,130,000","120,976,000","29,984,000","66,588,000","42,375,000","16,187,000","55,355,000","73,568,000","45,401,000","71,735,000","63,719,000","49,536,000","53,414,000","125,000,000","88,341,000","151,582,000","193,592,000","52,317,000","61,779,000","87,547,000","156,190,000","30,536,000","47,906,000","38,181,000","42,791,176","113,224,972",
		Receivables,"23,023,000","10,450,000",,,,"0","0","29,163,000","30,849,000","34,465,000","36,570,000","38,220,000","43,015,000","47,044,000","52,001,000","55,438,000","111,062,000","79,967,000","76,821,000","66,415,000","67,880,000","66,578,000","69,218,000","86,165,000","101,602,000","104,003,000","106,944,000","109,377,000","107,403,000","109,425,000","111,409,000","113,321,000","115,846,000","117,721,000","119,009,000","134,971,000","50,960,000","51,862,000","52,619,000","60,970,000","59,846,000","65,477,000","68,668,000","71,449,000","73,626,000","82,095,000","81,608,000","75,173,000",,,,"59,008,000","59,155,000","43,631,000",,,
			AccountsReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"63,472,000",,,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"63,544,000",,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-72,000",,,,,,,,,,,,,,,,,,,,,
			LoansReceivable,"23,023,000","10,450,000",,,,"0","0","29,163,000","30,849,000","32,654,000","34,748,000","36,387,000","41,168,000","45,187,000","46,854,000","50,220,000","70,257,000","75,001,000","68,401,000","59,587,000","60,979,000","62,604,000","65,174,000","82,053,000","97,422,000","100,082,000","102,972,000","105,025,000","107,037,000","109,046,000","111,016,000","112,916,000","115,428,000","117,291,000","119,009,000","71,499,000","50,960,000","51,862,000","52,619,000","60,970,000",,"65,477,000","68,668,000",,,,,,,,,,,,,,
			NotesReceivable,,,,,,,,,,"1,811,000","1,822,000","1,833,000","1,847,000","1,857,000","5,147,000","5,218,000","40,805,000","5,355,000","8,420,000","7,328,000","7,401,000","4,474,000","4,044,000","4,112,000","4,180,000","4,245,000","4,310,000","4,352,000","366,000","379,000","393,000","405,000","418,000","430,000",,,,,,,,,,,,,,,,,,,,,,,
