name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,12/31/2019
TotalAssets,"497,609,000","550,215,000","438,845,000","383,778,000","333,470,000","371,246,000","240,124,000","207,445,000"
	CurrentAssets,"404,874,000","460,749,000","378,092,000","331,588,000","291,106,000","327,114,000","203,236,000","177,641,000"
		CashCashEquivalentsAndShortTermInvestments,"174,725,000","159,626,000","136,731,000","121,990,000","110,017,000","100,981,000","55,207,000","55,452,000"
			CashAndCashEquivalents,"74,467,000","82,505,000","89,376,000","90,620,000","76,646,000","81,188,000","40,612,000","34,250,000"
			OtherShortTermInvestments,"100,258,000","77,121,000","47,355,000","31,370,000","33,371,000","19,793,000","14,595,000","21,202,000"
		Receivables,"218,359,000","286,916,000","228,387,000","195,428,000","173,071,000","219,511,000","140,526,000","117,655,000"
			AccountsReceivable,"218,359,000","286,916,000","228,387,000","195,428,000","173,071,000","219,511,000","140,526,000","117,655,000"
				GrossAccountsReceivable,,"288,681,000",,,,,"142,896,000","119,706,000"
				AllowanceForDoubtfulAccountsReceivable,,"-1,765,000",,,,,"-2,370,000","-2,051,000"
		PrepaidAssets,"11,790,000","14,207,000","12,974,000","14,170,000","8,018,000","6,622,000","7,503,000","4,534,000"
	TotalNonCurrentAssets,"92,735,000","89,466,000","60,753,000","52,190,000","42,364,000","44,132,000","36,888,000","29,804,000"
		NetPPE,"71,763,000","71,753,000","51,927,000","43,601,000","33,958,000","30,044,000","27,544,000","20,331,000"
			GrossPPE,"155,721,000","148,629,000","126,007,000","111,599,000","97,457,000","89,147,000","85,135,000","67,393,000"
				Properties,"0","0","0","0","0","0","0","0"
				MachineryFurnitureEquipment,"128,240,000","124,590,000","123,909,000","110,369,000","96,158,000","87,898,000","83,742,000","65,771,000"
				OtherProperties,"24,973,000","21,613,000",,,,,,
				Leases,"2,508,000","2,426,000","2,098,000","1,230,000","1,299,000","1,249,000","1,393,000","1,622,000"
			AccumulatedDepreciation,"-83,958,000","-76,876,000","-74,080,000","-67,998,000","-63,499,000","-59,103,000","-57,591,000","-47,062,000"
		GoodwillAndOtherIntangibleAssets,"6,250,000","6,250,000","6,250,000","6,250,000","6,250,000","6,250,000","6,250,000","6,250,000"
			Goodwill,"6,250,000","6,250,000","6,250,000","6,250,000","6,250,000","6,250,000","6,250,000","6,250,000"
		NonCurrentDeferredAssets,"2,155,000","515,000","495,000","495,000","498,000","762,000","2,047,000","2,139,000"
			NonCurrentDeferredTaxesAssets,"2,155,000","515,000","495,000","495,000","498,000","762,000","2,047,000","2,139,000"
