name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,12/31/2016,12/31/2015
TotalAssets,"17,014,781,000","16,894,351,000","16,021,922,000","16,075,886,000","16,011,648,000","16,116,936,000","16,366,067,000","15,958,240,000","16,262,743,000","16,083,652,000","16,947,089,000","16,977,169,000","17,033,697,000","17,208,608,000","16,967,584,000","17,815,632,000","17,858,924,000","17,014,820,000","17,086,997,000","17,176,481,000","2,319,515,000"
	CurrentAssets,"1,067,404,000","992,531,000","871,663,000","948,647,000","867,821,000","967,394,000","1,179,911,000","651,110,000","718,956,000","625,483,000","1,319,167,000","582,475,000","606,545,000","854,017,000","626,723,000","1,450,872,000","621,632,000","455,886,000","492,743,000","388,356,000","141,693,000"
		CashCashEquivalentsAndShortTermInvestments,"17,404,000","24,453,000","61,207,000","150,439,000","122,554,000","204,998,000","489,433,000","45,473,000","118,141,000","48,736,000","155,774,000","43,052,000","95,680,000","363,177,000","256,917,000","344,288,000","258,195,000","122,899,000","170,657,000","75,891,000","15,759,000"
			CashAndCashEquivalents,"17,404,000","24,453,000","61,207,000","150,439,000","122,554,000","204,998,000","489,433,000","45,473,000","118,141,000","48,736,000","155,774,000","43,052,000","95,680,000","363,177,000","256,917,000","344,288,000","258,195,000","122,899,000","170,657,000","75,891,000","15,759,000"
				CashFinancial,,,,,,,,,"75,141,000",,,,,,,,,,,,
				CashEquivalents,,,,,,,,,"43,000,000",,,,,,,,,,,,
		Receivables,"453,823,000","442,158,000","363,060,000","356,736,000","331,698,000","336,033,000","289,680,000","258,901,000","270,452,000","287,243,000","284,856,000","275,545,000","245,360,000","245,714,000","154,629,000","148,882,000","151,350,000","148,822,000","134,243,000","135,218,000","71,501,000"
			AccountsReceivable,"453,823,000","442,158,000","363,060,000","356,736,000","331,698,000","336,033,000","289,680,000","258,901,000","270,452,000","287,243,000","284,856,000","275,545,000","245,360,000","245,714,000","154,629,000","148,882,000","151,350,000","148,822,000","134,243,000","135,218,000",
				GrossAccountsReceivable,"509,550,000","496,190,000","423,170,000","418,956,000","398,528,000","404,375,000","354,158,000","317,942,000","330,313,000","331,580,000","326,668,000","319,437,000","204,729,000","285,479,000","195,773,000","184,941,000","186,708,000","182,864,000","166,223,000","163,327,000",
				AllowanceForDoubtfulAccountsReceivable,"-55,727,000","-54,032,000","-60,110,000","-62,220,000","-66,830,000","-68,342,000","-64,478,000","-59,041,000","-59,861,000","-44,337,000","-41,812,000","-43,892,000","40,631,000","-39,765,000","-41,144,000","-36,059,000","-35,358,000","-34,042,000","-31,980,000","-28,109,000",
