name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015
MarketCap,"11,526,060,665","13,533,118,200","14,163,218,860","11,578,633,700","14,671,891,200","13,074,700,900","14,031,573,150","12,748,753,610","12,227,850,830","9,573,177,970","11,741,126,640","11,310,423,560","12,397,399,050","13,166,896,850","11,060,187,807","13,920,125,920","11,161,718,800","9,112,226,793","6,686,893,872","5,491,458,318","4,698,055,086","3,434,990,700","3,095,102,100","2,983,840,890","2,558,889,980","2,210,175,790","2,150,680,980","1,645,280,230","1,831,025,070"
EnterpriseValue,"14,829,860,665","16,339,318,200","17,094,818,860","14,292,133,700","17,480,791,200","15,632,100,900","16,743,373,150","14,585,153,610","13,998,250,830","11,114,377,970","13,373,826,640","12,666,623,560","13,851,599,050","14,626,396,850","12,627,487,807","15,515,725,920","12,860,518,800","10,949,526,793","8,570,793,872","7,904,258,318","5,064,855,086","3,908,890,700","3,570,102,100","3,543,940,890","3,161,689,980","2,913,675,790","2,865,580,980","2,399,580,230","3,051,125,070"
PeRatio,"40.181","58.944","64.779","62.793",,,,,"78.849","75.145","102.909","211.724","140.3","167.089","85.221","112.689","98.056","86.507","386.769","271.938",,,,,,,,,
ForwardPeRatio,"34.364",,,,"46.729","43.103","24.096","34.965","64.516","54.945","55.866","113.636","136.986","97.087","86.957","35.088","49.505","35.971","125","23.148","140.845","113.636","92.593","86.207","44.444","25.51","30.03","17.889","21.505"
PegRatio,"1.251",,,,,,,,,,,,,,,,,,,,,,,"0.471","2.113","1.342","1.669","0.941","2.152"
PsRatio,"3.078","3.753","3.951","3.339","4.257","3.947","4.403","4.223","4.309","3.473","4.277","4.285","4.676","5.126","4.602","6.016","5.846","4.872","3.677","2.86","1.959","1.637","1.456","1.395","1.281","1.18","1.347","1.092","1.208"
PbRatio,"24.349","165.644",,,,,,,"25.438","12.4","17.579","11.967","13.618","16.61","15.898","22.039","20.357","18.73","16.92","14.249","7.848","6.107","6.14","6.763","5.858","5.191","5.912","4.646","4.868"
EnterprisesValueRevenueRatio,"3.786","16.295","16.771","14.826","18.77","17.348","19.159","17.273","17.359","14.033","17.137","16.656","18.789","20.601","18.148","22.834","19.737","17.292","14.232","13.577","9.08","7.982","7.347","7.507","6.93","6.718","6.736","5.837","7.734"
EnterprisesValueEBITDARatio,"22.879","104.271","98.472","79.049","127.504","178.245","116.597","101.075","-23.157","96.479","105.306","86.226","218.479","160.906","105.405","155.937","127.711","128.065","50.865","89.314","52.595","92.409","68.393","54.355","75.1","80.267","51.632","47.143","-189.511"
