name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019
OperatingCashFlow,"-46,742,000","-15,026,000","-10,711,000","-8,315,000","-12,690,000","-9,672,000","-7,262,000","-5,829,000","-7,693,000","-9,849,000","-3,471,000","-4,243,000"
	CashFlowFromContinuingOperatingActivities,"-46,742,000","-15,026,000","-10,711,000","-8,315,000","-12,690,000","-9,672,000","-7,262,000","-5,829,000","-7,693,000","-9,849,000","-3,471,000","-4,243,000"
		NetIncomeFromContinuingOperations,"-51,977,000","-15,828,000","-13,006,000","-11,233,000","-12,377,000","-12,045,000","-9,297,000","-3,860,000","-11,911,000","-7,163,000","-4,669,000","-4,335,000"
		OperatingGainsLosses,,,,,,,"19,000","-2,499,000","-380,000","-330,000","113,000","111,000"
			GainLossOnInvestmentSecurities,,,,,,,"19,000","-2,499,000","-380,000","-330,000","113,000","111,000"
		DepreciationAmortizationDepletion,"1,094,000","368,000","374,000","206,000","146,000","141,000","128,000","122,000","117,000","116,000","112,000","95,000"
			DepreciationAndAmortization,"1,094,000","368,000","374,000","206,000","146,000","141,000","128,000","122,000","117,000","116,000","112,000","95,000"
		AmortizationOfSecurities,"76,000","21,000","22,000","21,000","12,000","4,000","0","0","-2,000","-33,000","-39,000","-22,000"
		AssetImpairmentCharge,"786,000","46,000","221,000","307,000","212,000","453,000","92,000","98,000","187,000","95,000","82,000","59,000"
		ProvisionandWriteOffofAssets,"5,000","0","5,000","0","0","-1,000","0","0","1,000","-8,000","-7,000","10,000"
		StockBasedCompensation,"11,775,000","3,513,000","5,351,000","599,000","2,312,000","2,268,000","2,311,000","518,000","159,000","209,000","167,000","72,000"
		OtherNonCashItems,"2,487,000","632,000","-1,728,000","2,981,000","602,000","611,000","579,000","920,000","3,542,000","424,000","268,000","215,000"
		ChangeInWorkingCapital,"-10,988,000","-3,778,000","-1,950,000","-1,196,000","-3,597,000","-1,103,000","-1,094,000","-1,128,000","594,000","-3,159,000","502,000","-448,000"
