name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000
TotalRevenue,"1,824,876,000","460,409,000","462,656,000","460,333,000","441,478,000","390,840,000","377,078,000","337,920,000","293,772,000","506,323,000","520,615,000","511,584,000","528,060,000","501,758,000","478,241,000","471,585,000","489,699,000","463,657,000","439,879,000","433,316,000","445,546,000","422,164,000","398,537,000","383,929,000","402,053,000","385,322,000","371,596,000","365,944,000","370,465,000","350,440,000","337,768,000","334,976,000","348,100,000","332,155,000","319,177,000","308,663,000","310,813,000","280,123,000","273,426,000","267,927,000","271,463,000","258,122,000","199,827,000","193,600,000","189,530,000","201,394,000","190,077,000","181,295,000","172,199,000","175,232,000","169,139,000","163,059,000","154,425,000","157,017,000","150,758,000","144,662,000","138,954,000","136,800,000","131,347,000","125,217,000","118,085,000","117,047,000","112,407,000","107,717,000","105,385,000","99,954,000","94,476,000","91,197,000","87,173,000","85,756,000","81,736,000","77,951,000","74,504,000","72,066,000","66,622,000"
	OperatingRevenue,"1,824,876,000","460,409,000","462,656,000","460,333,000","441,478,000","390,840,000","377,078,000","337,920,000","293,772,000","506,323,000","520,615,000","511,584,000","528,060,000","501,758,000","478,241,000","471,585,000","489,699,000","463,657,000","439,879,000","433,316,000","445,546,000","422,164,000","398,537,000","383,929,000","402,053,000","385,322,000","371,596,000","365,944,000","370,465,000","350,440,000","337,768,000","334,976,000","348,100,000","332,155,000","319,177,000","308,663,000","310,813,000","280,123,000","273,426,000","267,927,000","271,463,000","258,122,000","199,827,000","193,600,000","189,530,000","201,394,000","190,077,000","181,295,000","172,199,000","175,232,000","169,139,000","163,059,000","154,425,000","157,017,000","150,758,000","144,662,000","138,954,000","136,800,000","131,347,000","125,217,000","118,085,000","117,047,000","112,407,000","107,717,000","105,385,000","99,954,000","94,476,000","91,197,000","87,173,000","85,756,000","81,736,000","77,951,000","74,504,000","72,066,000","66,622,000"
CostOfRevenue,"1,381,164,000","350,350,000","355,250,000","340,068,000","335,496,000","309,482,000","301,795,000","282,749,000","228,536,000","397,464,000","389,467,000","386,364,000","388,439,000","374,811,000","357,607,000","358,545,000","363,662,000","350,113,000","331,738,000","330,122,000","331,205,000","317,230,000","299,321,000","292,457,000","297,670,000","289,546,000","281,693,000","280,560,000","274,605,000","263,832,000","257,290,000","262,115,000","264,986,000","255,006,000","247,961,000","240,158,000","235,388,000","214,333,000","210,321,000","207,835,000","206,910,000","200,102,000","158,118,000","152,739,000","153,144,000","160,253,000","151,651,000","144,529,000","138,888,000","139,940,000","136,234,000","131,254,000","126,582,000","128,279,000","123,855,000","119,580,000","116,025,000","113,799,000","110,406,000","105,901,000","100,178,000","99,031,000","95,299,000","91,877,000","90,459,000","84,997,000","80,307,000","77,787,000","74,746,000","72,976,000","69,518,000","66,370,000","63,889,000","61,306,000","56,840,000"
GrossProfit,"443,712,000","110,059,000","107,406,000","120,265,000","105,982,000","81,358,000","75,283,000","55,171,000","65,236,000","108,859,000","131,148,000","125,220,000","139,621,000","126,947,000","120,634,000","113,040,000","126,037,000","113,544,000","108,141,000","103,194,000","114,341,000","104,934,000","99,216,000","91,472,000","104,383,000","95,776,000","89,903,000","85,384,000","95,860,000","86,608,000","80,478,000","72,861,000","83,114,000","77,149,000","71,216,000","68,505,000","75,425,000","65,790,000","63,105,000","60,092,000","64,553,000","58,020,000","41,709,000","40,861,000","36,386,000","41,141,000","38,426,000","36,766,000","33,311,000","35,292,000","32,905,000","31,805,000","27,843,000","28,738,000","26,903,000","25,082,000","22,929,000","23,001,000","20,941,000","19,316,000","17,907,000","18,016,000","17,108,000","15,840,000","14,926,000","14,957,000","14,169,000","13,410,000","12,427,000","12,780,000","12,218,000","11,581,000","10,615,000","10,760,000","9,782,000"
OperatingExpense,"297,238,000","78,895,000","72,098,000","74,275,000","71,970,000","67,650,000","67,417,000","61,098,000","57,122,000","65,578,000","63,701,000","62,591,000","64,788,000","64,037,000","56,907,000","57,580,000","61,413,000","58,260,000","55,875,000","54,560,000","57,535,000","53,530,000","51,868,000","46,757,000","47,805,000","47,179,000","45,021,000","43,643,000","43,722,000","43,767,000","43,150,000","39,815,000","40,579,000","43,138,000","40,805,000","40,716,000","40,028,000","50,353,000","35,161,000","34,737,000","48,492,000","31,916,000","26,395,000","27,149,000","18,557,000","19,318,000","18,883,000","18,106,000","16,124,000","16,586,000","15,795,000","15,441,000","13,110,000","13,147,000","12,935,000","12,132,000","11,345,000","11,232,000","10,491,000","9,910,000","9,189,000","9,313,000","9,352,000","9,044,000","8,629,000","8,213,000","7,757,000","8,182,000","7,604,000","7,680,000","7,348,000","7,089,000","6,772,000","6,526,000","5,905,000"
	SellingGeneralAndAdministration,"268,457,000","71,746,000","65,118,000","67,135,000","64,458,000","60,110,000","59,646,000","53,301,000","49,247,000","57,369,000","55,166,000","53,964,000","56,491,000","55,875,000","48,815,000","49,427,000","53,137,000","50,212,000","47,555,000","46,369,000","48,869,000","46,146,000","43,564,000","39,616,000","40,756,000","40,031,000","38,010,000","36,419,000","36,890,000","36,845,000","36,219,000","32,856,000","33,204,000","35,404,000","32,779,000","33,017,000","32,426,000","43,605,000","28,526,000","27,621,000","41,859,000","25,367,000","19,683,000","18,925,000","17,368,000","18,182,000","17,703,000","16,948,000","15,267,000","15,835,000","15,185,000","14,727,000","12,668,000","12,763,000","12,559,000","11,918,000","10,991,000","10,986,000","10,293,000","9,644,000","9,122,000","9,225,000","9,225,000","8,952,000","8,527,000","8,139,000","7,648,000","7,624,000","7,062,000","7,149,000","6,766,000","6,554,000","6,245,000","6,046,000","5,543,000"
	DepreciationAmortizationDepletionIncomeStatement,"28,781,000","7,149,000","6,980,000","7,140,000","7,512,000","7,540,000","7,771,000","7,797,000","7,875,000","8,209,000","8,535,000","8,627,000","8,297,000","8,162,000","8,092,000","8,153,000","8,276,000","8,048,000","8,320,000","8,191,000","8,666,000","7,384,000","8,304,000","7,141,000","7,049,000","7,148,000","7,011,000","7,224,000","6,832,000","6,922,000","6,931,000","6,959,000","7,375,000","7,734,000","8,026,000","7,699,000","7,602,000","6,748,000","6,635,000","7,116,000","6,633,000","6,549,000","1,145,000","1,194,000","1,189,000","1,136,000","1,180,000","1,158,000","857,000","751,000","610,000","714,000","442,000","384,000","376,000","214,000","354,000","246,000","198,000","266,000","67,000","88,000","127,000","92,000","102,000","74,000","109,000","558,000","542,000","531,000","582,000","535,000","527,000","480,000","362,000"
		DepreciationAndAmortizationInIncomeStatement,"28,781,000","7,149,000","6,980,000","7,140,000","7,512,000","7,540,000","7,771,000","7,797,000","7,875,000","8,209,000","8,535,000","8,627,000","8,297,000","8,162,000","8,092,000","8,153,000","8,276,000","8,048,000","8,320,000","8,191,000","8,666,000","7,384,000","8,304,000","7,141,000","7,049,000","7,148,000","7,011,000","7,224,000","6,832,000","6,922,000","6,931,000","6,959,000","7,375,000","7,734,000","8,026,000","7,699,000","7,602,000","6,748,000","6,635,000","7,116,000","6,633,000","6,549,000","1,145,000","1,194,000","1,189,000","1,136,000","1,180,000","1,158,000","857,000","751,000","610,000","714,000","442,000","384,000","376,000","214,000","354,000","246,000","198,000","266,000","67,000","88,000","127,000","92,000","102,000","74,000","109,000","558,000","542,000","531,000","582,000","535,000","527,000","480,000","362,000"
			Amortization,"28,781,000","7,149,000","6,980,000","7,140,000","7,512,000","7,540,000","7,771,000","7,797,000","7,875,000","8,209,000","8,535,000","8,627,000","8,297,000","8,162,000","8,092,000","8,153,000","8,276,000","8,048,000","8,320,000","8,191,000","8,666,000","7,384,000","8,304,000","7,141,000","7,049,000","7,148,000","7,011,000","7,224,000","6,832,000","6,922,000","6,931,000","6,959,000","7,375,000","7,734,000","8,026,000","7,699,000","7,602,000","6,748,000","6,635,000","7,116,000","6,633,000","6,549,000","1,145,000","1,194,000","1,189,000","1,136,000","1,180,000","1,158,000","857,000","751,000","610,000","714,000","442,000","384,000","376,000","214,000","354,000","246,000","198,000","266,000","67,000","88,000","127,000","92,000","102,000","74,000","109,000","558,000","542,000","531,000","582,000","535,000","527,000","480,000","362,000"
				AmortizationOfIntangiblesIncomeStatement,"28,781,000","7,149,000","6,980,000","7,140,000","7,512,000","7,540,000","7,771,000","7,797,000","7,875,000","8,209,000","8,535,000","8,627,000","8,297,000","8,162,000","8,092,000","8,153,000","8,276,000","8,048,000","8,320,000","8,191,000","8,666,000","7,384,000","8,304,000","7,141,000","7,049,000","7,148,000","7,011,000","7,224,000","6,832,000","6,922,000","6,931,000","6,959,000","7,375,000","7,734,000","8,026,000","7,699,000","7,602,000","6,748,000","6,635,000","7,116,000","6,633,000","6,549,000","1,145,000","1,194,000","1,189,000","1,136,000","1,180,000","1,158,000","857,000","751,000","610,000","714,000","442,000","384,000","376,000","214,000","354,000","246,000","198,000","266,000","67,000","88,000","127,000","92,000","102,000","74,000","109,000","558,000","542,000","531,000","582,000","535,000","527,000","480,000","362,000"
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,"3,671,000",,,,,,,,,,,,,,,,,,,,,,,"5,567,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"146,474,000","31,164,000","35,308,000","45,990,000","34,012,000","13,708,000","7,866,000","-5,927,000","8,114,000","43,281,000","67,447,000","62,629,000","74,833,000","62,910,000","63,727,000","55,460,000","64,624,000","55,284,000","52,266,000","48,634,000","56,806,000","51,404,000","47,348,000","44,715,000","56,578,000","48,597,000","44,882,000","41,741,000","52,138,000","42,841,000","37,328,000","33,046,000","42,535,000","34,011,000","30,411,000","27,789,000","35,397,000","15,437,000","27,944,000","25,355,000","16,061,000","26,104,000","15,314,000","13,712,000","17,829,000","21,823,000","19,543,000","18,660,000","17,187,000","18,706,000","17,110,000","16,364,000","14,733,000","15,591,000","13,968,000","12,950,000","11,584,000","11,769,000","10,450,000","9,406,000","8,718,000","8,703,000","7,756,000","6,796,000","6,297,000","6,744,000","6,412,000","5,228,000","4,823,000","5,100,000","4,870,000","4,492,000","3,843,000","4,234,000","3,877,000"
NetNonOperatingInterestIncomeExpense,"-34,129,000","-7,046,000","-8,350,000","-9,153,000","-9,580,000","-9,016,000","-9,161,000","-9,186,000","-9,129,000","-10,206,000","-10,528,000","-10,955,000","-11,723,000","-11,948,000","-12,049,000","-11,795,000","-12,161,000","-11,503,000","-11,787,000","-10,824,000","-10,654,000","-10,774,000","-11,434,000","-10,502,000","-10,304,000","-10,684,000","-10,732,000","-10,330,000","-10,353,000","-10,031,000","-8,870,000","-8,395,000","-8,614,000","-8,727,000","-9,154,000","-9,195,000","-8,924,000","-13,268,000","-22,010,000","-21,332,000","-20,499,000","-19,871,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,,,,,,,,,,,,,,,,,,,,,,"17,000","17,000","20,000","25,000","19,000","46,000","32,000","47,000","38,000","29,000","48,000","11,000","15,000","9,000","16,000","39,000","21,000","46,000","44,000","50,000","12,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"34,129,000","7,046,000","8,350,000","9,153,000","9,580,000","9,016,000","9,161,000","9,186,000","9,129,000","10,206,000","10,528,000","10,955,000","11,723,000","11,948,000","12,049,000","11,795,000","12,161,000","11,503,000","11,787,000","10,824,000","10,654,000","10,791,000","11,451,000","10,522,000","10,329,000","10,703,000","10,778,000","10,362,000","10,400,000","10,069,000","8,899,000","8,443,000","8,625,000","8,742,000","9,163,000","9,211,000","8,963,000","13,289,000","22,056,000","21,376,000","20,549,000","19,883,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	TotalOtherFinanceCost,"45,154,000",,,,,,,,,,"10,528,000","10,955,000","11,723,000","11,948,000","12,049,000","11,795,000","12,161,000","11,503,000","11,787,000","10,824,000","10,654,000","10,774,000","11,434,000","10,502,000","10,304,000","10,684,000","10,732,000","10,330,000","10,353,000","10,031,000","8,870,000","8,395,000",,"8,727,000","9,154,000","9,195,000","8,924,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,,,"-2,571,000",,,,,,,,,,,,,,,,"0","-3,671,000",,,"-11,117,000",,,,,,,,,,,,"0",,,"-63,682,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,,,"-2,571,000",,,,,,,,,,,,,,,,"0","-3,671,000",,,"-11,117,000",,,,,,,,"0","0","0","0","0","0","0","-63,682,000",,"0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,"2,571,000",,,,,,,,,,,,,,,,,,,,"11,117,000",,,,,,,,,,,,"0",,,"63,682,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		GainOnSaleOfPPE,,,,,,,,,,,,,,,,,,,"0","-3,671,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"109,774,000","24,118,000","24,387,000","36,837,000","24,432,000","4,692,000","-1,295,000","-15,113,000","-1,015,000","33,075,000","56,919,000","51,674,000","63,110,000","50,962,000","51,678,000","43,665,000","52,463,000","43,781,000","40,479,000","34,139,000","46,152,000","40,630,000","24,797,000","34,213,000","46,274,000","37,913,000","34,150,000","31,411,000","41,785,000","32,810,000","28,458,000","24,651,000","33,921,000","25,284,000","21,257,000","18,594,000","26,473,000","-61,513,000","5,934,000","4,023,000","-4,438,000","6,233,000","15,282,000","13,608,000","17,631,000","21,626,000","19,272,000","18,224,000","17,030,000","18,785,000","17,228,000","16,497,000","15,289,000","15,961,000","14,195,000","13,126,000","11,656,000","11,829,000","10,485,000","9,386,000","8,685,000","8,780,000","7,794,000","6,784,000","6,298,000","6,756,000","6,435,000","5,215,000","4,816,000","5,109,000","4,796,000","3,656,000","3,881,000","4,283,000","3,952,000"
TaxProvision,"27,041,000","4,712,000","6,694,000","10,018,000","5,617,000","-2,440,000","-3,850,000","-8,459,000","-1,374,000","2,343,000","9,156,000","10,420,000","13,783,000","8,920,000","5,021,000","10,065,000","12,037,000","6,483,000","-10,965,000","3,034,000","13,112,000","-744,000","7,677,000","11,703,000","15,871,000","13,186,000","10,232,000","10,853,000","14,866,000","10,278,000","9,564,000","9,272,000","12,207,000","9,236,000","-2,419,000","3,652,000","1,966,000","-10,732,000","1,707,000","1,417,000","-2,524,000","2,643,000","8,715,000","8,418,000","7,446,000","9,083,000","8,056,000","7,265,000","7,131,000","7,910,000","7,238,000","6,654,000","6,251,000","6,500,000","5,836,000","5,558,000","4,877,000","4,951,000","4,382,000","4,072,000","3,640,000","3,653,000","3,266,000","2,891,000","2,549,000","2,797,000","2,717,000","2,228,000","2,029,000","2,145,000","2,007,000","1,515,000","1,621,000","1,784,000","1,640,000"
NetIncomeCommonStockholders,"82,373,000","19,324,000","17,616,000","26,700,000","18,733,000","7,105,000","2,545,000","-6,654,000","358,000","30,587,000","47,532,000","41,055,000","49,088,000","41,845,000","46,391,000","33,409,000","40,196,000","37,100,000","51,111,000","30,905,000","32,828,000","41,151,000","16,965,000","22,306,000","30,131,000","24,517,000","23,751,000","20,415,000","26,735,000","22,386,000","18,819,000","15,319,000","21,629,000","15,988,000","23,743,000","15,044,000","24,579,000","-50,743,000","-17,412,000","-18,521,000","-25,482,000","-15,070,000","6,567,000","5,190,000","10,185,000","12,543,000","11,216,000","10,959,000","9,899,000","10,875,000","9,990,000","9,843,000","9,038,000","9,461,000","8,359,000","7,568,000","6,779,000","6,878,000","6,103,000","5,314,000","5,045,000","5,127,000","4,528,000","3,893,000","3,749,000","3,959,000","3,718,000","2,987,000","2,787,000","2,964,000","2,789,000","2,141,000","2,260,000","2,499,000","2,312,000"
	NetIncome,"82,733,000","19,406,000","17,693,000","26,819,000","18,815,000","7,132,000","2,555,000","-6,654,000","359,000","30,732,000","47,763,000","41,254,000","49,327,000","42,042,000","46,657,000","33,600,000","40,426,000","37,298,000","51,444,000","31,105,000","33,040,000","41,374,000","17,120,000","22,510,000","30,403,000","24,727,000","23,918,000","20,558,000","26,919,000","22,532,000","18,894,000","15,379,000","21,714,000","16,048,000","23,743,000","15,044,000","24,579,000","-50,743,000","4,174,000","2,446,000","-1,967,000","3,509,000","6,567,000","5,190,000","10,185,000","12,543,000","11,216,000","10,959,000","9,899,000","10,875,000","9,990,000","9,843,000","9,038,000","9,461,000","8,359,000","7,568,000","6,779,000","6,878,000","6,103,000","5,314,000","5,045,000","5,127,000","4,528,000","3,893,000","3,749,000","3,959,000","3,718,000","2,987,000","2,787,000","2,964,000","2,789,000","2,141,000","2,260,000","2,499,000","2,312,000"
		NetIncomeIncludingNoncontrollingInterests,"82,733,000","19,406,000","17,693,000","26,819,000","18,815,000","7,132,000","2,555,000","-6,654,000","359,000","30,732,000","47,763,000","41,254,000","49,327,000","42,042,000","46,657,000","33,600,000","40,426,000","37,298,000","51,444,000","31,105,000","33,040,000","41,374,000","17,120,000","22,510,000","30,403,000","24,727,000","23,918,000","20,558,000","26,919,000","22,532,000","18,894,000","15,379,000","21,714,000","16,048,000","23,676,000","14,942,000","24,507,000","-50,781,000","4,227,000","2,606,000","-1,914,000","3,590,000","6,567,000","5,190,000","10,185,000","12,543,000","11,216,000","10,959,000","9,899,000","10,875,000","9,990,000","9,843,000","9,038,000","9,461,000","8,359,000","7,568,000","6,779,000","6,878,000","6,103,000","5,314,000","5,045,000","5,127,000","4,528,000","3,893,000","3,749,000","3,959,000","3,718,000","2,987,000","2,787,000","2,964,000","2,789,000","2,141,000","2,260,000","2,499,000","2,312,000"
			NetIncomeContinuousOperations,"82,733,000","19,406,000","17,693,000","26,819,000","18,815,000","7,132,000","2,555,000","-6,654,000","359,000","30,732,000","47,763,000","41,254,000","49,327,000","42,042,000","46,657,000","33,600,000","40,426,000","37,298,000","51,444,000","31,105,000","33,040,000","41,374,000","17,120,000","22,510,000","30,403,000","24,727,000","23,918,000","20,558,000","26,919,000","22,532,000","18,894,000","15,379,000","21,714,000","16,048,000","23,676,000","14,942,000","24,507,000","-50,781,000","4,227,000","2,606,000","-1,914,000","3,590,000","6,567,000","5,190,000","10,185,000","12,543,000","11,216,000","10,959,000","9,899,000","10,875,000","9,990,000","9,843,000","9,038,000","9,461,000","8,359,000","7,568,000","6,779,000","6,878,000","6,103,000","5,314,000","5,045,000","5,127,000","4,528,000","3,893,000","3,749,000","3,959,000","3,718,000","2,987,000","2,787,000","2,964,000","2,789,000","2,141,000","2,260,000","2,499,000","2,312,000"
		MinorityInterests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","67,000","102,000","72,000","38,000","-53,000","-160,000","-53,000","-81,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherunderPreferredStockDividend,"360,000","82,000","77,000","119,000","82,000","27,000","10,000",,"1,000","145,000","231,000","199,000","239,000","197,000","266,000","191,000","230,000","198,000","333,000","200,000","212,000","223,000","155,000","204,000","272,000","210,000","167,000","143,000","184,000","146,000","75,000","60,000","85,000","60,000","0","0","0","0","21,586,000","20,967,000","23,515,000","18,579,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AverageDilutionEarnings,"3,000","0","0","2,000","1,000","0","1,000",,"0","2,000","3,000","4,000","5,000","4,000","6,000","4,000","4,000","4,000","6,000","4,000","5,000","6,000","3,000","5,000","6,000","5,000","3,000","4,000","4,000","4,000","1,000","1,000","2,000","2,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"82,376,000","19,324,000","17,616,000","26,702,000","18,734,000","7,105,000","2,546,000","-6,654,000","358,000","30,589,000","47,535,000","41,059,000","49,093,000","41,849,000","46,397,000","33,413,000","40,200,000","37,104,000","51,117,000","30,909,000","32,833,000","41,157,000","16,968,000","22,311,000","30,137,000","24,522,000","23,754,000","20,419,000","26,739,000","22,390,000","18,820,000","15,320,000","21,631,000","15,990,000","23,743,000","15,044,000","24,579,000","-50,743,000","-17,412,000","-18,521,000","-25,482,000","-15,070,000","6,567,000","5,190,000","10,185,000","12,543,000","11,216,000","10,959,000","9,899,000","10,875,000","9,990,000","9,843,000","9,038,000","9,461,000","8,359,000","7,568,000","6,779,000","6,878,000","6,103,000","5,314,000","5,045,000","5,127,000","4,528,000","3,893,000","3,749,000","3,959,000","3,718,000","2,987,000","2,787,000","2,964,000","2,789,000","2,141,000","2,260,000","2,499,000","2,312,000"
