name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020
TotalRevenue,"203,400,000","50,291,000","53,838,000","53,927,000","0","38,800,000","46,122,000","39,794,000","0"
	OperatingRevenue,"203,400,000","50,291,000","53,838,000","53,927,000","0","38,800,000","46,122,000","39,794,000","0"
CostOfRevenue,"56,516,000","14,630,000","14,944,000","15,222,000","11,720,000","10,778,000","10,594,000","10,256,000",
GrossProfit,"146,884,000","35,661,000","38,894,000","38,705,000","33,624,000","28,022,000","35,528,000","29,538,000",
OperatingExpense,"208,292,000","49,509,000","46,566,000","67,390,000","4,381,469","33,953,000","46,321,000","35,561,000","263,837"
	SellingGeneralAndAdministration,"172,736,000","42,596,000","42,059,000","47,416,000","4,331,469","29,593,000","42,618,000","32,299,000","213,837"
		GeneralAndAdministrativeExpense,"64,471,000","15,542,000","15,035,000","22,230,000","4,331,469","10,292,000","15,954,000","10,469,000","213,837"
			OtherGandA,"64,471,000","15,542,000","15,035,000","22,230,000","4,331,469","10,292,000","15,954,000","10,469,000","213,837"
		SellingAndMarketingExpense,"108,265,000","27,054,000","27,024,000","25,186,000","29,001,000","19,301,000","26,664,000","21,830,000",
	ResearchAndDevelopment,"34,065,000","6,402,000","4,132,000","19,648,000","3,883,000","4,102,000","3,444,000","3,003,000",
	DepreciationAmortizationDepletionIncomeStatement,"1,491,000","511,000","375,000","326,000","279,000","258,000","259,000","259,000",
		DepreciationAndAmortizationInIncomeStatement,"1,491,000","511,000","375,000","326,000","279,000","258,000","259,000","259,000",
	OtherTaxes,,,,,"50,000",,,,"50,000"
OperatingIncome,"-61,408,000","-13,848,000","-7,672,000","-28,685,000","-4,381,469","-5,931,000","-10,793,000","-6,023,000","-263,837"
NetNonOperatingInterestIncomeExpense,"103,000","14,000","22,000","56,000","8,482","13,000","15,000","17,000","131,366"
	InterestIncomeNonOperating,"103,000","14,000","22,000","56,000","8,482","13,000","15,000","17,000","131,366"
OtherIncomeExpense,"23,754,000","3,090,000","7,251,000","13,351,000","-13,945,650","-63,000","-187,000","65,000","-14,210,600"
	GainOnSaleOfSecurity,,"3,267,000","7,583,000","13,650,000","-13,945,650",,,,"-14,210,600"
