name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996
		RetainedEarnings,"507,846,000","483,601,000","539,547,000","508,134,000","484,616,000","469,063,000","447,425,000","427,579,000","410,219,000","396,973,000","377,423,000","357,325,000","341,137,000","326,085,000","311,221,000","293,218,000","277,945,000","269,048,000","253,467,000","236,246,000","222,823,000","371,290,000","358,670,000","341,895,000","331,224,000","321,267,000","310,970,000","295,291,000","286,477,000","277,567,000","262,066,000","250,114,000","240,637,000","232,414,000","221,804,000","213,208,000","205,358,000","197,656,000","209,001,000","198,968,000","190,906,000","187,434,000","178,691,000","171,627,000","167,924,000","164,369,000","156,819,000","148,910,000","144,197,000","140,667,000","138,351,000","133,353,000","131,452,000","130,698,000","128,736,000","122,316,000","118,623,000","115,878,000","112,127,000","107,273,000","102,754,000","100,823,000","88,420,000","87,330,000","85,376,831","93,926,395","92,714,797","90,796,229","89,499,096","70,057,364","68,880,405","66,386,474","64,211,473","61,718,824","59,125,245","56,420,369","54,057,732","51,459,934","48,863,720","46,319,070","44,345,023","41,906,554","39,769,701","37,572,266","35,433,300","33,352,020","31,623,155","29,599,985","27,115,100","24,700,000","22,300,000","20,200,000","18,700,000","16,800,000","15,100,000","13,500,000","12,000,000","10,600,000","9,300,000","6,200,000","5,300,000","4,600,000","3,900,000","3,300,000"
		TreasuryStock,"6,734,000","2,592,000","82,246,000","79,483,000","75,372,000","75,372,000","72,911,000","71,127,000","68,424,000","67,691,000","67,691,000","67,454,000","53,999,000","51,899,000","45,380,000","45,075,000","36,016,000","14,165,000","4,383,000","4,130,000","0","158,948,000","158,948,000","150,555,000","129,518,000","120,654,000","120,654,000","120,654,000","118,179,000","117,574,000","115,276,000","109,743,000","80,494,000","77,614,000","73,207,000","69,001,000","67,306,000","67,306,000","66,973,000","66,565,000","65,416,000","64,577,000","56,032,000","47,684,000","45,998,000","45,888,000","45,502,000","43,753,000","43,346,000","39,792,000","37,468,000","37,240,000","37,229,000","35,806,000","32,884,000","32,884,000","32,884,000","32,884,000","32,884,000","32,884,000","32,884,000","32,884,000","32,884,000","32,884,000","29,983,925","28,620,209","24,964,091","23,510,131","22,887,881","17,894,144","17,685,438","17,685,438","17,192,886","12,182,751","9,789,870","7,511,124","7,511,124","6,595,924","2,868,668","921,800","574,800","125,070","42,865",,,,,,,,,,,,,,,,,,,,,
		GainsLossesNotAffectingRetainedEarnings,"-124,000","296,000","215,000","721,000","655,000","549,000","-434,000","-954,000","-991,000","-202,000","-884,000","-534,000","-271,000","-570,000","-268,000","-125,000","532,000","195,000","120,000","-271,000","-583,000","-711,000","-566,000","-688,000","-471,000","-512,000","-373,000","-196,000","-239,000","-11,000","142,000","302,000","186,000","289,000","373,000","316,000","410,000","480,000","506,000","415,000","465,000","402,000","337,000","534,000","519,000","451,000","392,000","323,000","421,000","355,000","325,000","190,000","79,000","169,000","470,000","575,000","564,000","616,000","576,000","454,000","308,000","289,000","372,000","384,000","261,900","292,809","301,530","190,164","200,665","208,558","152,409","105,281","118,567","67,028","51,321","17,383","59,308","-27,151","-25,157","319",,,,,,,,,,,,,,,,,,,,,,,,
			ForeignCurrencyTranslationAdjustments,"-124,000","296,000","215,000","721,000","655,000","549,000","-434,000","-954,000","-991,000","-202,000","-884,000","-534,000","-271,000","-570,000","-268,000","-125,000","532,000","195,000","120,000","-271,000","-583,000","-711,000","-566,000","-688,000","-471,000","-512,000","-373,000","-196,000","-239,000","-11,000","142,000","302,000","186,000","289,000","373,000","316,000","410,000","480,000",,,,,,,,,,,"421,000",,,,,,"470,000","575,000","564,000","616,000","576,000","454,000","308,000","289,000","372,000","384,000","286,876","292,809","301,530","190,164","200,665","208,558","152,409","105,281","118,567","67,028","51,321","17,383","59,308","-27,151","-25,157",,,,,,,,,,,,,,,,,,,,,,,,,
			OtherEquityAdjustments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-24,976",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherEquityInterest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1",,,,,,,"25,100,000","25,000,000","15,300,000","11,600,000","11,500,000","11,400,000","11,400,000","8,700,000","8,700,000","8,600,000","100,000","100,000"
TotalCapitalization,"670,638,000","653,325,000","627,278,000","597,222,000","580,732,000","551,321,000","525,514,000","508,225,000","492,017,000","479,606,000","458,693,000","437,005,000","434,755,000","417,638,000","411,933,000","392,331,000","382,675,000","387,452,000","380,728,000","363,938,000","356,349,000","344,403,000","331,350,000","325,233,000","337,970,000","329,112,000","318,334,000","304,859,000","306,377,000","297,559,000","288,652,000","279,930,000","302,904,000","313,109,000","296,452,000","286,556,000","279,971,000","265,744,000","273,420,000","261,900,000","247,682,000","239,881,000","237,485,000","239,935,000","241,954,000","242,147,000","240,915,000","237,370,000","239,170,000","243,062,000","248,773,000","252,564,000","259,551,000","259,290,000","261,569,000","263,393,000","257,516,000","265,934,000","279,378,000","298,440,000","299,335,000","313,262,000","308,720,000","278,492,000","262,549,203","272,536,999","285,780,261","256,178,649","253,205,707","117,269,873","243,486,862","219,611,302","229,447,385","237,781,670","236,887,372","227,059,210","228,031,694","230,160,871","232,049,922","235,466,125","240,043,942","246,617,657","256,639,681","256,642,288","258,742,836","265,521,308","280,185,471","277,330,532","278,983,172","263,800,000","257,900,000","137,200,000","115,300,000","98,800,000","87,000,000","67,800,000","49,500,000","37,800,000","41,600,000","41,200,000","34,000,000","34,000,000","23,900,000","21,800,000"
CommonStockEquity,"660,738,000","639,296,000","613,603,000","583,619,000","562,410,000","545,009,000","523,070,000","502,725,000","486,145,000","472,486,000","450,289,000","428,643,000","424,253,000","409,177,000","399,277,000","379,854,000","372,603,000","383,612,000","376,062,000","357,030,000","345,918,000","333,795,000","319,703,000","309,754,000","318,878,000","316,674,000","305,009,000","287,948,000","279,262,000","270,199,000","256,058,000","248,662,000","266,383,000","259,744,000","252,784,000","246,170,000","238,232,000","229,554,000","238,718,000","227,393,000","219,627,000","216,463,000","214,512,000","214,921,000","212,362,000","207,365,000","199,595,000","190,404,000","185,491,000","184,506,000","184,100,000","177,401,000","174,472,000","174,112,000","174,891,000","167,877,000","163,702,000","161,193,000","157,371,000","152,375,000","146,199,000","144,062,000","131,525,000","129,397,000","128,575,747","131,125,881","133,469,180","132,802,377","132,101,816","117,269,873","116,100,059","113,359,431","111,584,314","113,767,146","112,901,057","111,986,503","109,617,043","107,773,627","108,839,996","108,189,488","106,288,909","104,219,899","100,101,994","97,982,166","91,907,535","89,955,685","88,146,865","85,916,691","57,120,852","54,000,000","51,400,000","45,400,000","43,800,000","41,800,000","30,400,000","25,100,000","23,500,000","22,000,000","20,700,000","14,900,000","14,000,000","13,200,000","4,000,000","3,400,000"
CapitalLeaseObligations,,"7,947,000","7,651,000","7,741,000","8,974,000","10,233,000","11,288,000","12,608,000","13,141,000","14,616,000","15,186,000","12,678,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetTangibleAssets,"506,945,000","482,914,000","454,443,000","421,428,000","397,151,000","376,436,000","374,628,000","352,582,000","333,584,000","317,391,000","292,398,000","281,370,000","274,518,000","310,051,000","299,027,000","278,696,000","269,677,000","279,652,000","270,536,000","286,087,000","285,362,000","272,105,000","268,006,000","257,085,000","264,724,000","261,816,000","265,498,000","247,783,000","238,464,000","228,712,000","213,930,000","214,459,000","231,800,000","224,730,000","219,850,000","213,218,000","205,268,000","196,376,000","205,363,000","193,970,000","191,183,000","194,180,000","192,229,000","192,638,000","193,758,000","188,763,000","182,022,000","172,831,000","167,918,000","166,934,000","162,499,000","155,800,000","152,871,000","152,511,000","148,646,000","141,632,000","137,577,000","135,068,000","131,246,000","126,250,000","120,074,000","117,937,000","105,400,000","103,272,000","102,450,535","105,000,669","107,343,968","106,677,165","105,976,604","90,842,388","89,672,574","87,136,666","91,341,004","93,560,626","93,747,019","92,832,465","90,469,911","88,626,495","89,692,864","108,189,488","106,288,909","84,309,979","82,616,422","80,536,594","91,907,535","89,955,685","88,146,865","85,916,691","57,120,852","54,000,000","51,400,000","45,400,000","43,800,000","41,800,000","30,400,000","25,100,000","23,500,000","22,000,000","20,700,000","14,900,000","14,000,000","13,200,000","4,000,000","3,400,000"
