name,ttm,03/31/2022
OperatingCashFlow,,"0"
	CashFlowFromContinuingOperatingActivities,,"0"
		NetIncomeFromContinuingOperations,,"9,732,960"
		OperatingGainsLosses,,"-10,687,977"
			GainLossOnInvestmentSecurities,,"-10,687,977"
		OtherNonCashItems,,"165,446"
		ChangeInWorkingCapital,,"789,571"
			ChangeInPrepaidAssets,,"167,344"
			ChangeInPayablesAndAccruedExpense,,"622,227"
FinancingCashFlow,,"-55,752"
	CashFlowFromContinuingFinancingActivities,,"-55,752"
		NetIssuancePaymentsOfDebt,,"-55,752"
			NetLongTermDebtIssuance,,"-55,752"
				LongTermDebtPayments,,"-55,752"
EndCashPosition,,"0"
	ChangesInCash,,"-55,752"
	BeginningCashPosition,,"55,752"
RepaymentOfDebt,,"-55,752"
FreeCashFlow,,"0"
