name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015
OperatingCashFlow,"-11,004,000","-101,752,000","69,102,000","-9,766,000","31,412,000","174,806,000","35,812,000","72,807,000","32,192,000","-51,393,000","16,582,000","-102,108,000","39,843,255","-197,083,255","-326,823,836","-216,429,188","-155,113,874","-75,880,192","-338,956,403","-68,975,880","-222,260,511","-67,181,017","-100,765,804","0",,,"0"
	CashFlowFromContinuingOperatingActivities,"-586,172,090",,,,,,,,,,,"-102,108,000","39,843,255","-197,083,255","-326,823,836",,"-155,113,874","-75,880,192","-338,956,403","-68,975,880","-291,995,943","2,554,415",,"0","0","0","0"
		NetIncomeFromContinuingOperations,"121,735,000","33,681,000","22,279,000","23,342,000","42,433,000","31,753,000","39,496,000","51,457,000","21,772,000","-104,447,000","21,351,000","18,200,000","19,221,465","39,312,535","-9,871,876","18,990,852","6,167,113","11,359,105","6,915,163","7,201,939","3,570,331","1,612,509","1,467,374","-858,399","0","0","0"
		OperatingGainsLosses,"-690,942,609",,,,,,,,,,,"-128,294,000","2,991,878","-212,480,878","-353,160,237",,"-178,100,000","-75,806,243","-343,034,981","-71,653,896","-291,348,746","1,273,709",,,,,
			NetForeignCurrencyExchangeGainLoss,"1,934,000","142,000","2,153,000","580,000","-941,000","2,640,000","-517,000","-175,000","-170,000","624,000","437,000","-283,000","-180,276","192,276","79,003","120,125","551,860","-261,801","-136,253","-446,148","424,018","15,064",,"0","0","0","0"
			GainLossOnInvestmentSecurities,"-130,036,000","-145,074,000","45,766,000","-33,476,000","2,748,000","135,749,000","-2,039,000","29,742,000","27,769,000","42,272,000","-6,489,000","-115,242,000","6,175,967","-231,434,967","-318,247,871","-236,956,783","-166,895,166","-79,985,525","-345,748,993","-74,128,643","-293,911,470","543,873","-101,648,104","0",,,"0"
		AmortizationOfSecurities,"-3,384,281",,,,,,,,,,,"-1,187,000","-858,313","-838,687","-500,360",,"-375,100","-334,745","-275,891","-233,008","-167,725","-137,944",,"0","0","0","0"
		UnrealizedGainLossOnInvestmentSecurities,"32,002,451",,,,,,,,,,,"12,769,000","3,003,813","-18,761,813","34,991,369",,"11,756,694","-4,441,083","-2,850,265","-2,920,895","-2,138,706","-714,772",,"0","0","0","0"
		OtherNonCashItems,"-1,359,000","-514,000","255,000","-598,000","-502,000","902,000","-803,000","-773,000","-999,000","-655,000","-1,201,000","-725,000","-525,808","-527,192","261,539","-183,677","-17,576","18,849","207,442","-34,623","28,504","56,129",,,,,
		ChangeInWorkingCapital,"-3,278,000","10,013,000","-1,351,000","386,000","-12,326,000","3,762,000","-325,000","-7,444,000","-16,180,000","10,813,000","2,484,000","-4,058,000","15,151,907","-4,625,907","955,369","1,600,295","5,079,895","-7,010,820","-193,762","-1,568,405","-2,107,326","326,840","-637,397","858,399","0","0","0"
