name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001
TotalRevenue,"4,650,828,000","1,552,538,000","1,363,045,000","877,800,000","857,445,000","885,945,000","631,271,000","551,631,000","608,351,000","602,461,000","586,892,000","567,597,000","535,177,000","532,441,000","528,635,000","526,842,000","558,108,000","522,489,000","509,076,000","494,406,000","489,803,000","495,169,000","487,858,000","472,636,000","473,729,000","468,002,000","402,552,000","382,859,000","350,144,000","327,510,000","279,649,000","264,584,000","250,913,000","240,881,000","248,658,000","257,095,000","253,943,000","252,120,000","247,841,000","243,912,000","235,786,000","226,412,000","181,228,000","242,299,000","234,537,000","229,402,000","220,328,000","176,313,000","149,282,000","143,294,000","144,698,000","166,357,000","199,140,000","249,595,000","295,902,000","315,014,000","312,691,000","293,593,000","285,899,000","300,267,000","293,912,000","283,944,000","283,534,000","282,728,000","261,176,000","254,265,000","221,429,000","166,883,000","160,689,000","156,842,000","158,300,000","156,083,000","153,368,000","161,265,000","159,617,000","171,463,000","183,364,000","199,765,000","207,047,000","203,445,000","191,235,000","173,956,000","160,686,000","119,036,000","119,036,000","119,036,000"
	OperatingRevenue,"4,650,828,000","1,552,538,000","1,363,045,000","877,800,000","857,445,000","885,945,000","631,271,000","551,631,000","608,351,000","602,461,000","586,892,000","567,597,000","535,177,000","532,441,000","528,635,000","526,842,000","558,108,000","522,489,000","509,076,000","494,406,000","489,803,000","495,169,000","487,858,000","472,636,000","473,729,000","468,002,000","402,552,000","382,859,000","350,144,000","327,510,000","279,649,000","264,584,000","250,913,000","240,881,000","248,658,000","257,095,000","253,943,000","252,120,000","247,841,000","243,912,000","235,786,000","226,412,000","181,228,000","242,299,000","234,537,000","229,402,000","220,328,000","176,313,000","149,282,000","143,294,000","144,698,000","166,357,000","199,140,000","249,595,000","295,902,000","315,014,000","312,691,000","293,593,000","285,899,000","300,267,000","293,912,000","283,944,000","283,534,000","282,728,000","261,176,000","254,265,000","221,429,000","166,883,000","160,689,000","156,842,000","158,300,000","156,083,000","153,368,000","161,265,000","159,617,000","171,463,000","183,364,000","199,765,000","207,047,000","203,445,000","191,235,000","173,956,000","160,686,000","119,036,000","119,036,000","119,036,000"
CostOfRevenue,"3,133,927,000","1,056,370,000","928,720,000","571,935,000","576,902,000","597,077,000","423,732,000","366,998,000","410,811,000","400,395,000","389,759,000","377,566,000","355,635,000","355,682,000","356,179,000","351,695,000","377,152,000","354,665,000","346,984,000","334,867,000","328,791,000","333,393,000","329,252,000","318,169,000","318,976,000","316,104,000","270,748,000","256,850,000","240,026,000","226,078,000","194,953,000","184,278,000","173,754,000","166,925,000","174,465,000","181,428,000","179,530,000","179,113,000","177,214,000","174,329,000","168,813,000","163,198,000","133,491,000","173,582,000","169,550,000","161,524,000","158,335,000","127,995,000","108,111,000","103,250,000","103,545,000","120,749,000","145,463,000","185,612,000","219,966,000","233,954,000","230,153,000","216,138,000","209,936,000","220,529,000","218,953,000","211,439,000","209,261,000","206,036,000","191,154,000","185,964,000","163,623,000","127,339,000","123,521,000","121,125,000","121,449,000","119,383,000","118,386,000","125,436,000","123,227,000","132,438,000","141,373,000","155,014,000","156,550,000","153,748,000","144,849,000","131,753,000",,,,
GrossProfit,"1,516,901,000","496,168,000","434,325,000","305,865,000","280,543,000","288,868,000","207,539,000","184,633,000","197,540,000","202,066,000","197,133,000","190,031,000","179,542,000","176,759,000","172,456,000","175,147,000","180,956,000","167,824,000","162,092,000","159,539,000","161,012,000","161,776,000","158,606,000","154,467,000","154,753,000","151,898,000","131,804,000","126,009,000","110,118,000","101,432,000","84,696,000","80,306,000","77,159,000","73,956,000","74,193,000","75,667,000","74,413,000","73,007,000","70,627,000","69,583,000","66,973,000","63,214,000","47,737,000","68,717,000","64,987,000","67,878,000","61,993,000","48,318,000","41,171,000","40,044,000","41,153,000","45,608,000","53,677,000","63,983,000","75,936,000","81,060,000","82,538,000","77,455,000","75,963,000","79,738,000","74,959,000","72,505,000","74,273,000","76,692,000","70,022,000","68,301,000","57,806,000","39,544,000","37,168,000","35,717,000","36,851,000","36,700,000","34,982,000","35,829,000","36,390,000","39,025,000","41,991,000","44,751,000","50,497,000","49,697,000","46,386,000","42,203,000",,,,
OperatingExpense,"935,372,000","288,235,000","265,732,000","200,036,000","181,369,000","184,466,000","178,880,000","138,171,000","159,139,000","166,323,000","150,165,000","150,292,000","134,386,000","131,707,000","122,279,000","132,512,000","126,141,000","112,623,000","108,895,000","108,711,000","104,632,000","109,741,000","108,845,000","107,784,000","106,875,000","104,588,000","95,476,000","88,402,000","79,959,000","76,647,000","65,745,000","64,405,000","59,577,000","58,487,000","58,168,000","58,922,000","57,791,000","56,897,000","56,518,000","55,810,000","53,856,000","50,871,000","39,706,000","57,794,000","56,765,000","57,407,000","59,658,000","50,549,000","37,757,000","35,248,000","35,796,000","40,428,000","41,282,000","53,547,000","58,757,000","64,030,000","63,855,000","58,453,000","60,019,000","58,748,000","56,377,000","55,680,000","53,880,000","56,709,000","54,877,000","50,358,000","41,289,000","26,679,000","28,172,000","27,365,000","27,926,000","28,038,000","25,778,000","26,281,000","27,054,000","23,588,000","23,381,000","24,170,000","27,006,000","26,203,000","25,593,000","23,716,000",,,,
	SellingGeneralAndAdministration,"826,818,000","257,579,000","238,678,000","173,932,000","156,629,000","161,212,000","155,210,000","111,235,000","137,068,000","146,234,000","133,158,000","133,207,000","121,668,000","119,997,000","110,830,000","121,216,000","115,535,000","104,737,000","100,375,000","100,579,000","96,673,000","102,073,000","101,113,000","99,995,000","99,541,000","97,823,000","90,154,000","83,098,000","74,727,000","71,552,000","61,668,000","60,319,000","55,567,000","54,667,000","54,470,000","55,605,000","54,551,000","53,607,000","53,049,000","52,375,000","50,304,000","47,176,000","35,920,000","53,840,000","52,646,000","52,942,000","54,822,000","46,762,000","34,594,000","31,950,000","32,388,000","36,933,000","37,840,000","50,080,000","55,176,000","60,260,000","60,117,000","55,103,000","55,910,000","55,769,000","53,520,000","53,051,000","51,183,000","54,071,000","52,353,000","47,892,000","39,127,000","25,198,000","26,715,000","26,286,000","26,515,000","26,613,000","24,242,000","24,816,000","25,703,000","22,385,000","22,231,000","23,055,000","25,843,000","25,268,000","24,625,000","22,943,000",,,,
		GeneralAndAdministrativeExpense,"826,818,000","257,579,000","238,678,000","173,932,000","156,629,000","161,212,000","155,210,000","111,235,000","137,068,000",,"133,158,000","133,207,000","121,668,000","119,997,000","110,830,000","121,216,000","115,535,000","104,737,000","100,375,000","100,579,000","96,673,000","102,073,000",,,"99,541,000","97,823,000","90,154,000","83,098,000","74,727,000","71,552,000","61,668,000","60,319,000","55,567,000","54,667,000","54,470,000","55,605,000","54,551,000","53,607,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,"27,189,000","11,259,000","7,322,000","2,589,000","6,019,000","9,287,000","5,419,000","3,772,000","6,347,000",,"4,528,000","2,825,000","3,702,000","5,186,000","2,861,000","1,809,000","3,281,000","2,864,000","2,517,000","2,477,000","2,562,000","2,681,000",,,"2,710,000","3,381,000","3,733,000","2,021,000","2,153,000","2,377,000","1,796,000","1,791,000","1,751,000","1,819,000","1,458,000","1,487,000","1,478,000","1,702,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"799,629,000","246,320,000","231,356,000","171,343,000","150,610,000","151,925,000","149,791,000","107,463,000","130,721,000",,"128,630,000","130,382,000","117,966,000","114,811,000","107,969,000","119,407,000","112,254,000","101,873,000","97,858,000","98,102,000","94,111,000","99,392,000",,,"96,831,000","94,442,000","86,421,000","81,077,000","72,574,000","69,175,000","59,872,000","58,528,000","53,816,000","52,848,000","53,012,000","54,118,000","53,073,000","51,905,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"108,554,000","30,656,000","27,054,000","26,104,000","24,740,000","23,254,000","23,670,000","26,936,000","22,071,000","20,089,000","17,007,000","17,085,000","12,718,000","11,710,000","11,449,000","11,296,000","10,606,000","7,886,000","8,520,000","8,132,000","7,959,000","7,668,000","7,732,000","7,789,000","7,334,000","6,765,000","5,322,000","5,304,000","5,232,000","5,095,000","4,077,000","4,086,000","4,010,000","3,820,000","3,698,000","3,317,000","3,240,000","3,290,000","3,469,000","3,435,000","3,552,000","3,695,000","3,786,000","3,954,000","4,119,000","4,465,000","4,836,000","3,787,000","3,163,000","3,298,000","3,408,000","3,495,000","3,442,000","3,467,000","3,581,000","3,770,000","3,738,000","3,350,000","3,209,000","2,979,000","2,857,000","2,629,000","2,697,000","2,638,000","2,524,000","2,466,000","2,162,000","1,481,000","1,457,000","1,079,000","1,411,000","1,425,000","1,536,000","1,465,000","1,351,000","1,203,000","1,150,000","1,115,000","1,302,000","935,000","829,000","773,000",,,,
