name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996
MarketCap,"832,976,235","1,633,451,576","1,197,283,188","1,203,523,206","1,337,001,765","1,179,720,318","690,486,741","339,032,271","468,539,912","350,560,681","1,309,738,388","1,145,705,086","1,142,819,004","950,500,871","573,252,839","1,160,622,442","974,501,827","1,251,735,433","1,350,413,958","1,476,290,824","1,567,646,454","1,276,505,496","1,312,944,514","1,380,842,229","1,757,839,726","1,552,848,556","1,960,393,521","2,074,844,367","3,253,778,036","2,942,586,725","3,391,342,906","3,303,698,773","3,590,410,274","3,368,429,511","3,989,275,415","3,652,356,862","4,093,734,404","3,934,364,108","3,272,178,755","3,120,360,312","2,809,455,368","3,077,897,798","2,868,339,587","2,390,641,436","2,441,482,723","2,145,506,087","2,166,490,491","1,805,094,931","1,611,887,773","1,168,628,372","804,224,052","799,613,987","666,627,960","640,384,188","711,798,760","757,887,204","780,858,889","928,153,928","1,377,816,296","1,365,218,851","1,089,547,877","920,784,993","859,196,782","687,830,447","774,898,224","708,558,915","582,580,311","591,386,371","552,967,780","619,308,146","627,789,853","536,918,095","506,411,843","524,175,115","577,120,689","472,224,627","446,338,550","355,699,304","506,378,804","443,913,792","707,091,254","547,146,896","453,579,067","325,748,655","610,961,449","341,319,648","341,539,184","298,717,636","232,034,594","242,173,967","202,764,037","222,673,272","213,762,318","200,937,008","273,616,352","254,377,702","359,121,462","267,209,653","200,219,064","201,351,130","186,670,406","244,968,750","239,346,875"
EnterpriseValue,"2,200,826,235","3,015,835,576","2,612,850,188","2,576,977,206","2,742,327,765","2,721,789,318","2,080,356,741","1,872,744,271","1,858,409,912","1,705,654,681","2,753,419,388","2,552,347,086","2,538,833,004","2,555,500,871","2,168,064,839","2,647,941,442","2,376,966,827","2,561,958,433","2,748,757,958","2,720,356,824","2,694,313,454","2,899,424,496","2,892,418,514","2,888,955,229","3,154,175,726","3,192,112,556","3,520,999,521","3,583,678,367","4,600,557,036","4,351,085,725","4,914,461,906","5,035,866,773","5,111,795,274","4,964,548,511","5,415,124,415","5,047,610,862","5,391,560,404","5,075,817,108","4,413,631,755","4,189,613,312","3,938,655,368","4,257,270,798","4,098,131,587","3,620,433,436","3,643,651,723","3,418,182,087","3,438,990,491","3,043,255,931","2,911,456,773","1,517,190,372","1,160,977,052","1,195,238,987","1,089,212,960","1,101,210,188","1,071,823,760","1,138,574,204","1,182,994,889","1,334,228,928","1,689,489,296","1,692,962,851","1,398,473,877","1,191,125,993","1,089,426,782","898,808,447","985,876,224","864,277,915","749,407,311","758,213,371","715,610,780","772,246,146","791,608,853","741,373,095","712,115,843","743,256,115","781,876,689","679,714,627","663,689,550","546,639,304","678,120,804","625,959,792","858,434,254","715,927,896","622,360,067","488,302,655","782,464,449","591,406,648","638,020,184","530,747,636","464,064,594","374,702,967","328,464,037","335,573,272","324,062,318","289,037,008","357,216,352","317,377,702","381,621,462","297,109,653","223,019,064","262,551,130","221,670,406","268,368,750","271,546,875"
PeRatio,,,,,,,,,,,,,,,,,,,,,,,,,,"13.339","11.657","12.057","14.1","15.552","12.755","13.357","17.857","14.846","14.886","12.298","13.959","12.133","10.093","10.593","10.363","14.018","14.187","11.83","14.666","13.777","15.523","14.859","15.007","13.689","9.121","9.055","7.067","6.475","7.423","8.496","9.772","13.178","21.844","24.988","22.812","20.572","20.088","18.575","21.053","20.586","25.424","25.813","26.534","39.333","51.299","49.75","36.701","27.09","20.92","14.057","12.576","9.513","11.918","9.556","14.341","12.686","10.518","7.169","15.756","12.795","14.695","12.813","9.955","10.439","8.764","9.802","9.515","8.969","12.598","12.396","18.182","20.736","15.394","18.075","18.452","16.75","25.399"
ForwardPeRatio,"21.645","20.921","15.152","35.088","42.553","48.309","36.9",,"15.015","2.241","7.651","8.873","8.913","7.943","5.11","11.588","9.921","8.913","9.662","11.962","8.889","6.258","6.05","5.807","6.219","5.615","7.21","7.429","10.941","10.152","11.148","10.788","11.455","10.582","13.643","11.223","11.862","11.403","9.69","9.074","8.643","11.793","11.236","9.766","10.428","11.481","11.682",,,"13.947","9.891","10.278",,,,,"9.355",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PegRatio,"0.202",,,,,,,,,"0.073",,,,,,,,"0.459",,,,,,,"1.323",,,"1.134","1.563","2.781","2.027","2.698","2.863","2.117","2.729","2.245","1.187","1.036","0.881","1.297","0.229","0.758","0.865","0.792","1.002","1.104","1.633",,,"2.365","0.677","0.776",,,,,"0.706",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"0.569","1.018","0.664","0.587","0.585","0.456","0.272","0.125","0.157","0.111","0.398","0.35","0.338","0.279","0.17","0.355","0.303","0.386","0.408","0.429","0.441","0.346","0.349","0.359","0.45","0.399","0.506","0.536","0.866","0.824","0.937","0.921","0.979","0.894","1.059","0.982","1.121","1.122","0.934","0.944","0.857","0.956","0.892","0.743","0.95","0.723","0.823","0.782","0.827","0.902","0.64","0.649","0.534","0.511","0.567","0.629","0.687","0.867","1.296","1.344","1.126","0.999","1.001","0.848","0.961","0.935","0.821","0.833","0.793","0.903","0.924","0.82","0.804","0.865","1.05","0.831","0.791","0.632","0.854","0.741","1.159","0.963","0.798","0.538","1.104","0.907","1.043","0.641","0.498","0.817","0.694","0.783","0.516","0.743","1.043","0.983","1.03","1.513","1.2","1.514","0.699","1.102","1.038"
PbRatio,,,,,,,,,,,,,,,,,"2.165","1.672","1.578","1.731","1.852","1.301","1.36","1.472","1.88","0.716","0.868","0.936","1.523","1.296","1.441","1.404","1.572","1.465","1.824","1.711","2.013","1.94","1.613","1.674","1.567","1.718","1.661","1.373","1.445","1.314","1.499","1.272","1.174","1.358","0.959","0.959","0.815","0.821","0.938","1.024","1.089","1.34","2.016","2.117","1.737","1.51","1.449","1.188","1.338","1.257","1.078","1.094","1.037","1.176","1.2","1.025","0.978","1.018","1.123","0.925","0.888","0.719","1.042","0.93","1.559","1.253","1.039","0.783","1.567","1.255","1.306","1.182","0.918","0.991","0.862","0.982","0.971","0.935","1.322","1.282","1.885","1.461","1.145","1.97","1.947","2.68","2.751"
EnterprisesValueRevenueRatio,"1.507","7.8","8.184","7.21","6.914","5.83","4.884","3.887","3.754","2.461","3.907","3.306","3.477","2.941","2.684","3.097","2.854","2.857","3.546","3.651","3.447","3.152","3.424","3.303","3.531","3.018","3.853","3.753","4.794","4.028","5.357","5.066","5.699","5.302","5.913","5.218","5.713","5.146","4.956","4.466","4.437","4.498","4.962","4.58","4.312","3.719","4.241","3.957","7.165","4.31","3.703","3.817","3.445","3.539","3.758","3.521","3.69","4.154","6.141","6.051","5.085","4.521","4.495","3.975","4.425","4.079","4.003","4.129","4.027","4.246","4.622","4.362","4.307","4.229","5.326","4.684","4.719","4.613","4.731","4.094","5.699","4.821","4.169","3.025","5.096","3.769","4.457","4.034","3.598","3.225","2.975","3.042","3.089","2.689","3.502","3.19","4.189","3.085","2.587","3.496","3.083","4.024","4.197"
EnterprisesValueEBITDARatio,"14.905","98.418","49.939","64.675","110.346","-202.318","-4,976.93","44.645","-8.729","-78.849","60.524","21.328","26.884","-18.109","58.611","50.287","-212.267","-10.635","-34.195","45.555","46.825","-39.382","29.07","24.954","34.215","-2.82","-41.316","23.481","30.387","23.82","-229.027","32.762","18.383","39.747","42.016","38.468","30.073","34.688","26.478","23.948","22.799","19.048","27.733","26.25","27.021","24.322","30.62","26.885","61.105","24.911","25.559","23.225","20.968","23.054","25.424","20.664","21.156","28.15","42.364","39.644","33.96","33.161","31.939","27.867","36.2","35.847","34.889","35.407","32.723","47.042","47.849","42.186","50.145","66.87","55.614","36.057","31.206","23.739","30.587","24.939","34.162","26.176","23.585","20.281","27.157","19.422","23.192","20.673","19.029","16.289","16.589","16.695","16.534","14.238","18.801","17.731","23.851","18.804","16.52","23.868","21.732","27.108","29.199"
