name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999
OperatingCashFlow,"-105,409,000","-7,264,000","-50,125,000","-40,244,000","-7,776,000","34,822,000","-435,000","48,306,000","54,361,000","56,312,000","70,175,000","69,796,000","84,359,000","41,515,000","106,818,000","106,898,000","95,090,000","84,034,000","82,660,000","122,840,000","86,772,000","114,778,000","84,411,000","126,225,000","93,360,000","122,811,000","84,680,000","104,306,000","112,398,000","104,137,000","69,378,000","102,521,000","88,885,000","90,117,000","58,523,000","97,248,000","77,236,000","73,696,000","44,290,000","92,483,000","74,155,000","72,374,000","83,589,000","38,787,000","68,122,000","65,061,000","53,894,000","54,709,000","54,693,000","52,009,000","48,853,000","52,619,000","55,279,000","52,641,000","50,735,000","50,367,000","45,605,000","37,753,000","38,264,000","39,246,000","29,747,000","28,641,000","33,153,000","29,352,000","23,921,000","25,909,000","22,013,000","25,364,000","31,552,000","25,293,000","22,999,000","23,117,000","24,168,000","24,904,000","24,288,000","20,107,000","21,406,000","13,818,000","34,677,000","10,271,000","28,730,000","25,433,000","1,978,000","631,000","8,102,000","6,693,000","-6,176,000","14,297,000","11,701,000","11,201,000","16,685,000","14,592,000","14,973,000","17,835,000"
	CashFlowFromContinuingOperatingActivities,"-105,409,000","-7,264,000","-50,125,000","-40,244,000","-7,776,000","34,822,000","-435,000","48,306,000","54,361,000","56,312,000","70,175,000","69,796,000","84,359,000","41,515,000","106,818,000","106,898,000","95,090,000","84,034,000","82,660,000","122,840,000","86,772,000","114,778,000","84,411,000","126,225,000","93,360,000","122,811,000","84,680,000","104,306,000","112,398,000","104,137,000","69,378,000","102,521,000","88,885,000","90,117,000","58,523,000","97,248,000","77,236,000","73,696,000","44,290,000","92,483,000","74,155,000","72,374,000","83,589,000","38,787,000","68,122,000","65,061,000","53,894,000","54,709,000","54,693,000","52,009,000","48,853,000","52,619,000","55,279,000","52,641,000","50,735,000","50,367,000","45,605,000","37,753,000","38,264,000","39,246,000","29,747,000","28,641,000","33,153,000","29,352,000","23,921,000","25,909,000","22,013,000","25,364,000","31,552,000","25,293,000","22,999,000","23,117,000","24,168,000","24,904,000","24,288,000","20,107,000","21,406,000","13,818,000","34,677,000","10,271,000","28,730,000","25,433,000","1,978,000","631,000","8,102,000","6,693,000","-6,176,000","14,297,000","11,701,000","11,201,000","16,685,000","14,592,000","14,973,000","17,835,000"
		NetIncomeFromContinuingOperations,"486,532,000","240,423,000","366,758,000","-88,004,000","-32,645,000","-66,183,000","-14,920,000","-105,788,000","-24,742,000","11,143,000","-50,620,000","-27,946,000","-35,816,000","31,504,000","-117,182,000","47,203,000","124,988,000","237,405,000","66,328,000","35,792,000","17,402,000","32,281,000","42,886,000","27,902,000","39,235,000","31,272,000","9,543,000","38,249,000","36,387,000","39,789,000","45,287,000","37,114,000","37,656,000","38,580,000","72,207,000","38,124,000","5,598,000","35,235,000","44,636,000","25,645,000","33,251,000","32,352,000","38,600,000","29,996,000","51,048,000","31,775,000","33,864,000","28,078,000","24,559,000","29,984,000","32,106,000","15,565,000","30,511,000","31,533,000","32,368,000","29,147,000","21,680,000","23,316,000","26,519,000","20,613,000","22,399,000","17,798,000","23,404,000","15,417,000","14,005,000","15,667,000","15,686,000","14,130,000","15,024,000","13,865,000","16,513,000","12,919,000","14,041,000","13,269,000","13,565,000","10,449,000","9,801,000","12,059,000","14,164,000","13,142,000","13,087,000","11,620,000","5,910,000","5,522,000","2,750,000","2,836,000","39,235,000","4,374,000","7,268,000","7,560,000","-21,366,000","14,368,000","10,861,000","10,971,000"
		OperatingGainsLosses,"-780,243,000","-322,112,000","-446,145,000","14,555,000","-26,541,000","10,501,000","-23,649,000","-12,299,000","-11,780,000","7,186,000","-17,137,000","37,210,000","-17,945,000","-282,000","366,000","-939,000","-80,769,000","-181,068,000","-46,130,000","243,000","6,979,000","-128,000","406,000","71,000","-4,078,000","-71,000","475,000","46,000","1,354,000","-72,000","-2,917,000","-38,000","-2,514,000","-59,000","-36,366,000","-513,000","26,000","-76,000","-80,000","6,335,000","-76,000","-45,000","-28,000","-28,000","-20,934,000","-37,000","-16,000","-144,000","2,457,000","28,000","-396,000","24,000",,,"0","-266,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,"-2,782,000","-17,803,000","-4,183,000","-17,832,000","122,000","0","0","-80,762,000","-181,154,000","-46,055,000","0",,,"0","0",,,,,,,"-2,901,000","0","-2,396,000","-156,000","-36,251,000",,,,"0","101,000",,,"0","0",,,"0",,,,"-397,000",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"-777,742,000","-319,241,000","-446,145,000","14,555,000","-18,572,000","122,000","-23,649,000","-12,299,000","-11,806,000","7,161,000","-17,381,000","37,293,000","-17,832,000","122,000","0","0","-80,762,000","-181,154,000",,,,,"0","0",,,"0","0",,,"-2,901,000","0","-2,396,000","-156,000","-36,251,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"-3,354,000","-3,354,000",,,,"8,339,000","0","0","0","0","217,000","-83,000","-130,000","-404,000","366,000","-831,000","-7,000","-44,000","-75,000","-31,000","-374,000","-128,000","-30,000","-13,000","-17,000","-77,000","50,000","25,000","-23,000","-72,000","-28,000","-38,000","-118,000","97,000","-115,000","-64,000","-79,000","-76,000","-80,000","-115,000","-76,000","-45,000","-28,000","-28,000","-46,000","-37,000","-16,000","-35,000","24,000","28,000","1,000","24,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"256,997,000","57,364,000","66,740,000","66,854,000","66,039,000","64,287,000","63,835,000","65,355,000","66,995,000","66,557,000","67,634,000","71,526,000","72,369,000","70,705,000","70,438,000","70,168,000","70,884,000","68,958,000","66,012,000","65,266,000","68,350,000","71,884,000","71,747,000","71,107,000","70,067,000","69,969,000","70,950,000","68,931,000","61,333,000","52,509,000","49,047,000","48,811,000","46,134,000","39,077,000","39,414,000","39,334,000","39,436,000","39,297,000","38,566,000","35,880,000","34,684,000","33,923,000","31,052,000","28,824,000","26,935,000","26,361,000","23,406,000","22,728,000","22,602,000","22,564,000","20,355,000","20,723,000","19,962,000","18,549,000","17,687,000","15,913,000","14,268,000","13,023,000","12,264,000","11,821,000","11,704,000","11,595,000","11,442,000","10,978,000","10,467,000","11,186,000","11,750,000","11,590,000","11,289,000","11,277,000","10,814,000","11,322,000","9,687,000","9,585,000","9,171,000","9,013,000","8,891,000","8,653,000","8,381,000","7,989,000","8,078,000","7,148,000","4,894,000","4,861,000","4,934,000","4,742,000","4,761,000","5,062,000","5,142,000","5,175,000","5,547,000","5,493,000","5,600,000","5,607,000"
			DepreciationAndAmortization,"256,997,000","57,364,000","66,740,000","66,854,000","66,039,000","64,287,000","63,835,000","65,355,000","66,995,000","66,557,000","67,634,000","71,526,000","72,369,000","70,705,000","70,438,000","70,168,000","70,884,000","68,958,000","66,012,000","65,266,000","68,350,000","71,884,000","71,747,000","71,107,000","70,067,000","69,969,000","70,950,000","68,931,000","61,333,000","52,509,000","49,047,000","48,811,000","46,134,000","39,077,000","39,414,000","39,334,000","39,436,000","39,297,000","38,566,000","35,880,000","34,684,000","33,923,000","31,052,000","28,824,000","26,935,000","26,361,000","23,406,000","22,728,000","22,602,000","22,564,000","20,355,000","20,723,000","19,962,000","18,549,000","17,687,000","15,913,000","14,268,000","13,023,000","12,264,000","11,821,000","11,704,000","11,595,000","11,442,000","10,978,000","10,467,000","11,186,000","11,750,000","11,590,000","11,289,000","11,277,000","10,814,000","11,322,000","9,687,000","9,585,000","9,171,000","9,013,000","8,891,000","8,653,000","8,381,000","7,989,000","8,078,000","7,148,000","4,894,000","4,861,000","4,934,000","4,742,000","4,761,000","5,062,000","5,142,000","5,175,000","5,547,000","5,493,000","5,600,000","5,607,000"
				Depreciation,"262,237,000","57,259,000","68,388,000","68,702,000","67,888,000","66,153,000","65,681,000","67,211,000","68,825,000","68,430,000","69,503,000","73,368,000","73,924,000","72,230,000","71,935,000","71,661,000","72,300,000","70,339,000","67,398,000","66,619,000","69,669,000","73,175,000","72,893,000","72,344,000","71,371,000","71,223,000","71,549,000","70,016,000","62,511,000","53,707,000","50,259,000","50,074,000","46,703,000","38,355,000","38,551,000","38,476,000","38,496,000","38,302,000","36,969,000","35,880,000","35,230,000","33,377,000","31,145,000","28,824,000","26,935,000","26,361,000","23,270,000","22,505,000","22,345,000","22,289,000","21,870,000","19,689,000","18,635,000","18,389,000","17,596,000","15,937,000","14,275,000","13,023,000","12,264,000","11,821,000","11,704,000","11,595,000","11,442,000","10,978,000","10,922,000","10,731,000","11,266,000","10,923,000","10,759,000","10,746,000","10,286,000","9,743,000","9,687,000","9,585,000","9,171,000","9,013,000","8,891,000","8,653,000","8,381,000","7,989,000","8,078,000","7,148,000","4,894,000","4,861,000","4,934,000","4,742,000","4,761,000","5,062,000","5,142,000","5,175,000",,,"5,600,000","5,607,000"
