name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011
OperatingCashFlow,"414,000,000","23,000,000","31,000,000","237,000,000","123,000,000","152,000,000","40,000,000","207,000,000","217,000,000","38,000,000","141,000,000","110,000,000","147,000,000","37,000,000","168,000,000","18,000,000","-178,000,000","-45,000,000","-28,000,000","316,000,000","43,000,000","108,000,000","220,372,000","141,510,000","36,775,000","162,343,000","49,811,000","210,769,000","81,490,000","43,680,000","46,035,000","-34,216,000","1,818,000","11,350,000","20,417,000","17,095,000","-9,424,000","18,579,000","6,455,000","878,000","12,462,000","1,899,000","2,578,000","-2,676,000"
	CashFlowFromContinuingOperatingActivities,"414,000,000","23,000,000","31,000,000","237,000,000","123,000,000","152,000,000","40,000,000","207,000,000","217,000,000","38,000,000","141,000,000","110,000,000","147,000,000","37,000,000","172,000,000","20,000,000","-185,000,000","440,000,000","81,000,000","236,000,000","-122,000,000","108,000,000","220,372,000","141,510,000","36,775,000","162,343,000","49,811,000","210,769,000","81,490,000","43,680,000","46,035,000","-34,216,000","1,818,000","11,350,000","20,417,000","17,095,000","-9,424,000","18,579,000","6,455,000","878,000","12,462,000","1,899,000","2,578,000","-2,676,000"
		NetIncomeFromContinuingOperations,"586,000,000","216,000,000","100,000,000","104,000,000","166,000,000","154,000,000","83,000,000","100,000,000","157,000,000","-128,000,000","83,000,000","66,000,000","55,000,000","109,000,000","-72,000,000","112,000,000","68,000,000","-315,000,000","232,000,000","138,000,000","-222,000,000","1,000,000","-584,697,000","44,551,000","72,137,000","62,009,000","11,750,000","33,470,000","120,467,000","17,918,000","9,595,000","10,132,000","9,523,000","9,597,000","9,680,000","8,227,000",,,,,,,,
		OperatingGainsLosses,"11,000,000","-1,000,000","26,000,000","-5,000,000","-9,000,000","6,000,000","6,000,000","-2,000,000","5,000,000","1,000,000","23,000,000","-4,000,000","-4,000,000","51,000,000","22,000,000","-8,000,000","2,000,000","112,000,000",,,"-3,000,000","7,000,000","677,082,000","203,000","1,501,000","1,214,000","519,000","1,687,000","110,000","-266,000",,,"118,000","112,000","72,000","22,000","112,000","193,000","-75,000","111,000","8,000","69,000","53,000","91,000"
			GainLossOnSaleOfPPE,,,,,,,,,,,"22,000,000","-4,000,000","2,000,000","48,000,000","22,000,000","-8,000,000","2,000,000","3,000,000","114,000,000","-4,000,000","-3,000,000","7,000,000","677,082,000","203,000","1,501,000","1,214,000","519,000","1,687,000","110,000","-266,000","-36,000","0","118,000","112,000","72,000","22,000",,,,,,,,
			EarningsLossesFromEquityInvestments,"-4,000,000","-1,000,000","-1,000,000","-1,000,000","-1,000,000","-1,000,000","-2,000,000","-1,000,000","-1,000,000","-1,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"177,000,000","47,000,000","42,000,000","45,000,000","43,000,000","47,000,000","47,000,000","50,000,000","47,000,000","45,000,000","46,000,000","45,000,000","47,000,000","45,000,000","50,000,000","42,000,000","41,000,000","49,000,000","82,000,000","24,000,000","-24,000,000","87,000,000","84,582,000","77,628,000","78,724,000","78,066,000","56,891,000","80,662,000","45,900,000","17,566,000","3,333,000","3,326,000","2,597,000","2,432,000","1,837,000","1,821,000","1,238,000","2,017,000","1,892,000","1,884,000","2,127,000","1,480,000","1,294,000","1,189,000"
			DepreciationAndAmortization,"177,000,000","47,000,000","42,000,000","45,000,000","43,000,000","47,000,000","47,000,000","50,000,000","47,000,000","45,000,000","46,000,000","45,000,000","47,000,000","45,000,000","50,000,000","42,000,000","41,000,000","49,000,000","82,000,000","24,000,000","-24,000,000","87,000,000","84,582,000","77,628,000","78,724,000","78,066,000","56,891,000","80,662,000","45,900,000","17,566,000","3,333,000","3,326,000","2,597,000","2,432,000","1,837,000","1,821,000",,,,,,,,
				Depreciation,"177,000,000","47,000,000","42,000,000","45,000,000","43,000,000","47,000,000","47,000,000","50,000,000","47,000,000","45,000,000","46,000,000","45,000,000","47,000,000","45,000,000","50,000,000","42,000,000","41,000,000","49,000,000","82,000,000","24,000,000","-24,000,000","87,000,000","84,582,000","77,628,000","78,724,000","78,066,000","56,891,000","80,662,000","45,900,000","17,566,000","3,333,000","3,326,000","2,597,000","2,432,000","1,837,000","1,821,000",,,,,,,,
		DeferredTax,"52,000,000","41,000,000","7,000,000","4,000,000","0","-1,000,000","8,000,000","2,000,000","-6,000,000","1,000,000","16,000,000","3,000,000","0","-13,000,000","-15,000,000","0","-8,000,000","29,000,000","-193,000,000","-45,000,000","-53,000,000","-17,000,000","-52,056,000","26,806,000","4,394,000","-10,144,000","22,189,000","1,566,000","-220,000","696,000","14,000","-29,000","-354,000","260,000","12,000","152,000","152,000","1,652,000","663,000","-39,000","704,000","1,000","301,000","245,000"
