name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,12/31/2015
TotalRevenue,"1,148,459,000","308,343,000","336,273,000","267,733,000","236,110,000","189,177,000","226,509,000","191,229,000","98,099,000","136,700,000","213,551,000","223,307,000","191,199,000","166,800,000","233,224,000","176,915,000","138,723,000","137,211,000","169,474,000","142,812,000","104,746,000","99,052,000","132,412,000","118,044,000","56,565,000"
	OperatingRevenue,"1,148,459,000","308,343,000","336,273,000","267,733,000","236,110,000","189,177,000","226,509,000","191,229,000","98,099,000","136,700,000","213,551,000","223,307,000","191,199,000","166,800,000","233,224,000","176,915,000","138,723,000","137,211,000","169,474,000","142,812,000","104,746,000","99,052,000","132,412,000","118,044,000","56,565,000"
CostOfRevenue,"737,098,000","199,649,000","222,373,000","171,320,000","143,756,000","110,853,000","142,289,000","117,504,000","62,182,000","81,417,000","151,125,000","137,801,000","119,998,000","103,268,000","147,526,000","108,898,000","85,717,000","85,921,000","102,926,000","84,387,000","66,005,000","64,061,000","82,813,000","71,784,000","44,485,000"
GrossProfit,"411,361,000","108,694,000","113,900,000","96,413,000","92,354,000","78,324,000","84,220,000","73,725,000","35,917,000","55,283,000","62,426,000","85,506,000","71,201,000","63,532,000","85,698,000","68,017,000","53,006,000","51,290,000","66,548,000","58,425,000","38,741,000","34,991,000","49,599,000","46,260,000","12,080,000"
OperatingExpense,"312,888,000","88,891,000","88,716,000","70,218,000","65,063,000","61,529,000","64,065,000","53,054,000","50,181,000","58,302,000","68,263,000","62,896,000","54,072,000","50,911,000","55,219,000","51,228,000","43,879,000","44,111,000","46,752,000","40,944,000","33,397,000","31,826,000","28,010,000","24,763,000","17,264,000"
	SellingGeneralAndAdministration,"271,484,000","78,420,000","78,299,000","59,890,000","54,875,000","51,267,000","53,644,000","41,167,000","39,110,000","47,313,000","57,264,000","52,424,000","43,647,000","40,818,000","45,015,000","41,267,000","34,229,000","34,810,000","37,532,000","32,511,000","25,809,000","25,092,000","21,744,000","18,694,000","13,894,000"
	DepreciationAmortizationDepletionIncomeStatement,"41,404,000","10,471,000","10,417,000","10,328,000","10,188,000","10,262,000","10,421,000","11,887,000","11,071,000","10,989,000","10,999,000","10,472,000","10,425,000","10,093,000","10,204,000","9,961,000","9,650,000","9,301,000","9,220,000","8,433,000","7,588,000","6,734,000","6,266,000","6,069,000","3,370,000"
		DepreciationAndAmortizationInIncomeStatement,"41,404,000","10,471,000","10,417,000","10,328,000","10,188,000","10,262,000","10,421,000","11,887,000","11,071,000","10,989,000","10,999,000","10,472,000","10,425,000","10,093,000","10,204,000","9,961,000","9,650,000","9,301,000","9,220,000","8,433,000","7,588,000","6,734,000","6,266,000","6,069,000","3,370,000"
OperatingIncome,"98,473,000","19,803,000","25,184,000","26,195,000","27,291,000","16,795,000","20,155,000","20,671,000","-14,264,000","-3,019,000","-5,837,000","22,610,000","17,129,000","12,621,000","30,479,000","16,789,000","9,127,000","7,179,000","19,796,000","17,481,000","5,344,000","3,165,000","21,589,000","21,497,000","-5,184,000"
NetNonOperatingInterestIncomeExpense,"-6,140,000","-1,210,000","-1,246,000","-1,711,000","-1,973,000","-2,237,000","-2,491,000","-2,875,000","-2,691,000","-2,655,000","-2,887,000","-3,620,000","-3,763,000","-4,072,000","-4,509,000","-5,750,000","-5,584,000","-5,896,000","-6,868,000","-9,091,000","-7,692,000","-6,985,000","-5,182,000","-4,206,000","-2,818,000"
