name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001
OperatingCashFlow,"1,056,200,000","100,400,000","317,123,000","286,122,000","352,716,000","240,239,000","267,273,000","276,852,000","178,632,000","384,621,000","398,582,000","352,037,000","364,004,000","206,556,000","489,169,000","299,715,000","286,164,000","277,902,000","314,106,000","222,161,000","307,083,000","265,328,000","325,045,000","231,927,000","197,500,000","209,568,000","345,588,000","309,285,000","223,736,000","191,083,000","393,986,000","235,959,000","207,282,000","270,074,000","251,459,000","179,234,000","172,229,000","169,778,000","232,849,000","73,756,000","248,745,000","89,741,000","151,181,000","208,087,000","70,670,000","147,385,000","108,767,000","102,587,000","139,965,000","73,337,000","89,949,000","87,334,000","30,018,000","62,136,000","102,006,000","115,859,000","121,822,000","95,884,000","83,256,000","72,981,000","72,326,000","32,381,000","140,693,000","53,851,000","59,630,000","50,505,000","28,025,000","108,011,000","22,051,000","66,715,000","89,754,000","91,892,000","39,298,000","15,557,000","47,732,000","41,471,000","17,353,000","37,402,000","64,807,000","28,374,000","64,341,000","3,511,000","17,941,000","8,746,000","9,275,000","6,546,000"
	CashFlowFromContinuingOperatingActivities,"1,009,000,000","92,600,000","303,613,000","275,289,000","325,459,000","240,239,000","267,273,000","276,852,000","178,632,000","384,621,000","398,582,000","352,037,000","364,004,000","206,556,000","489,169,000","299,715,000","286,164,000","277,902,000","314,106,000","222,161,000","307,083,000","265,328,000","325,045,000","231,927,000","197,500,000","209,568,000","345,588,000","309,285,000","223,736,000","191,083,000","393,986,000","235,959,000","207,282,000","270,074,000","251,459,000","179,234,000","172,229,000","169,778,000","232,849,000","73,756,000","248,745,000","89,741,000","151,181,000","208,087,000","70,670,000","147,385,000","108,767,000","102,587,000","139,965,000","73,337,000","89,949,000","87,334,000","30,018,000","62,136,000","102,006,000","115,859,000","121,822,000","95,884,000","83,256,000","72,981,000","72,326,000","32,381,000","140,693,000","53,851,000","59,630,000","50,505,000","28,025,000","108,011,000","22,051,000","66,715,000","89,754,000","91,892,000","39,298,000","15,557,000","47,732,000","41,471,000","17,353,000","37,402,000","64,807,000","28,374,000","64,341,000","3,511,000","17,941,000","8,746,000","9,275,000","6,546,000"
		NetIncomeFromContinuingOperations,"926,200,000","165,500,000","243,666,000","236,599,000","280,417,000","221,318,000","183,920,000","211,638,000","133,843,000","287,564,000","286,445,000","273,038,000","253,703,000","207,663,000","314,072,000","594,534,000","214,409,000","210,910,000","237,895,000","198,500,000","210,400,000","222,736,000","213,291,000","194,551,000","187,859,000","207,070,000","207,123,000","250,972,000","177,391,000","183,636,000","252,085,000","198,620,000","146,260,000","242,554,000","190,007,000","125,623,000","153,640,000","112,967,000","153,803,000","50,522,000","137,821,000","93,524,000","110,262,000",,,"90,065,000",,,,,"81,952,000","46,148,000","53,144,000","45,231,000",,,,,,,,,,,,,,,,,,,,"25,815,000",,,,"21,126,000","27,566,000","25,833,000","37,247,000","8,507,000","4,786,000","5,663,000","7,394,000","3,904,000"
		OperatingGainsLosses,"-225,900,000","-35,600,000","-40,360,000","-39,697,000","-110,291,000","-39,052,000","-36,400,000","-39,278,000","-20,981,000","-56,662,000","-46,471,000","-52,979,000","-45,463,000","-44,744,000","-30,788,000","-405,922,000","-39,921,000","-32,541,000","-37,032,000","-47,406,000","-23,706,000","-17,985,000","-21,360,000","-16,442,000","-14,335,000","-15,369,000","-13,337,000","-13,227,000","-22,455,000","-9,593,000","-12,935,000","-125,000","150,000","739,000","2,453,000","-404,000","-229,000","-260,000","-4,679,000","6,984,000","1,952,000","5,407,000","305,000","-32,000","5,253,000","1,908,000","1,160,000","1,103,000","-294,000","-1,786,000","2,462,000","1,527,000","512,000","2,284,000","6,103,000","1,073,000","1,449,000","998,000","5,381,000","1,382,000","3,590,000","1,199,000","2,801,000","997,000","4,284,000","750,000","8,611,000","-59,000","-305,000","283,000","7,046,000",,,"1,786,000","2,706,000","1,537,000","-213,000","533,000","-405,000","620,000","-888,000","1,093,000","558,000",,,
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,952,000","5,407,000",,,"5,276,000","1,830,000","956,000","1,387,000","336,000","-1,617,000","1,548,000","1,802,000","926,000","1,253,000","3,356,000","2,095,000","1,626,000","103,000","2,792,000","1,423,000","3,471,000","862,000","2,596,000","761,000","4,280,000","394,000",,,,"451,000",,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,"47,956,000","54,743,000","65,462,000","55,071,000","40,000,000","43,069,000","48,736,000","53,289,000","42,907,000","51,754,000","45,098,000","31,808,000","26,704,000","20,050,000","28,676,000","18,967,000","13,783,000","17,297,000","19,049,000","15,993,000","22,014,000","9,229,000","688,000","685,000","1,329,000","384,000","587,000","605,000","626,000","676,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"-150,700,000","-35,400,000","-38,293,000","-36,466,000","-40,589,000","-39,052,000","-36,843,000","-39,135,000","-33,689,000","-43,660,000","-46,732,000","-50,189,000","-40,785,000","-31,255,000","-50,274,000","-53,795,000","-42,510,000","-34,538,000","-42,821,000","-31,151,000","-25,576,000","-21,446,000","-27,153,000","-18,576,000","-15,339,000","-17,628,000","-16,830,000","-15,521,000","-24,542,000","-9,590,000","-15,328,000","-1,645,000","-1,955,000","-466,000","-1,113,000","-2,375,000","-736,000","-2,051,000","-7,836,000","4,875,000","0","0","-765,000","-300,000","-100,000","0","204,000","-284,000","-630,000","-169,000","-342,000","-275,000","-414,000","1,031,000","1,437,000","-1,022,000","-177,000","895,000","-642,000","-41,000","119,000","337,000","205,000","236,000","4,000","356,000","277,000","-59,000","146,000","-168,000","929,000","-981,000",,,,,,,,,,,,,,
			PensionAndEmployeeBenefitExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"77,000","78,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,537,000","-1,230,000","1,550,000",,,,,,,,
		DepreciationAmortizationDepletion,"231,000,000","57,700,000","59,596,000","61,401,000","48,775,000","58,128,000","64,780,000","71,822,000","58,540,000","63,534,000","65,106,000","56,627,000","62,530,000","61,871,000","103,351,000","56,228,000","53,619,000","51,879,000","50,527,000","49,909,000","48,896,000","47,298,000","44,005,000","47,081,000","43,302,000","43,754,000","42,632,000","42,043,000","40,440,000","41,697,000","39,279,000","38,054,000","46,897,000","37,511,000","36,442,000","35,270,000","34,186,000","36,332,000","33,324,000","31,692,000","31,486,000","31,510,000","31,569,000","30,644,000","31,049,000","29,748,000","30,609,000","27,403,000","25,715,000","26,342,000","26,288,000","31,720,000","19,893,000","19,315,000","18,817,000","17,726,000","17,434,000","17,176,000","16,743,000","15,914,000","15,695,000","15,440,000","15,113,000","15,182,000","15,356,000","15,201,000","14,908,000","14,498,000","13,931,000","12,970,000","12,937,000","10,646,000","8,740,000","9,522,000","9,736,000","8,083,000","9,298,000","8,964,000","11,480,000","10,944,000","19,714,000","2,908,000","3,242,000","2,743,000","2,657,000","3,106,000"
			DepreciationAndAmortization,"231,000,000","57,700,000","59,596,000","61,401,000","48,775,000","58,128,000","64,780,000","71,822,000","58,540,000","63,534,000","65,106,000","56,627,000","62,530,000","61,871,000","103,351,000","56,228,000","53,619,000","51,879,000","50,527,000","49,909,000","48,896,000","47,298,000","44,005,000","47,081,000","43,302,000","43,754,000","42,632,000","42,043,000","40,440,000","41,697,000","39,279,000","38,054,000","46,897,000","37,511,000","36,442,000","35,270,000","34,186,000","36,332,000","33,324,000","31,692,000","31,486,000","31,510,000","31,569,000","30,644,000","31,049,000","29,748,000","30,609,000","27,403,000","25,715,000","26,342,000","26,288,000","31,720,000","19,893,000","19,315,000","18,817,000","17,726,000","17,434,000","17,176,000","16,743,000","15,914,000","15,695,000","15,440,000","15,113,000","15,182,000","15,356,000","15,201,000","14,908,000","14,498,000","13,931,000","12,970,000","12,937,000","10,646,000","8,740,000","9,522,000","9,736,000","8,083,000","9,298,000","8,964,000","11,480,000","10,944,000","19,714,000","2,908,000","3,242,000","2,743,000","2,657,000","3,106,000"
