name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018
TotalAssets,"964,632,000","1,038,634,000","1,079,246,000","1,126,724,000","1,179,044,000","1,227,829,000","1,222,500,000","1,258,544,000","688,523,000","717,802,000","695,544,000","733,997,000","749,369,000","773,855,000","435,235,000","298,845,000"
	CurrentAssets,"469,744,000","471,323,000","502,858,000","602,171,000","716,061,000","845,130,000","854,058,000","909,577,000","504,414,000","544,576,000","509,757,000","511,542,000","476,627,000","467,982,000","247,353,000","294,264,000"
		CashCashEquivalentsAndShortTermInvestments,"449,050,000","457,302,000","483,485,000","587,707,000","699,581,000","827,910,000","841,022,000","899,650,000","492,923,000","530,533,000","501,244,000","502,424,000","466,140,000","459,384,000","244,221,000","293,927,000"
			CashAndCashEquivalents,"84,514,000","173,314,000","190,021,000","223,503,000","236,865,000","183,351,000","158,136,000","280,379,000","135,897,000","175,126,000","160,990,000","112,584,000","92,748,000","92,432,000","83,141,000","293,927,000"
			OtherShortTermInvestments,"364,536,000","283,988,000","293,464,000","364,204,000","462,716,000","644,559,000","682,886,000","619,271,000","357,026,000","355,407,000","340,254,000","389,840,000","373,392,000","366,952,000","161,080,000",
		Receivables,,,,,,,,,,"2,403,000","2,337,000","3,285,000","3,391,000","3,108,000",,
			AccruedInterestReceivable,,,,,,,,,,"2,403,000","2,337,000","3,285,000","3,391,000","3,108,000",,
		PrepaidAssets,"20,694,000","14,021,000","19,373,000","14,464,000","16,480,000","17,220,000","13,036,000","9,927,000","11,491,000","11,640,000","6,176,000","5,833,000","7,096,000","5,490,000","3,132,000","337,000"
	TotalNonCurrentAssets,"494,888,000","567,311,000","576,388,000","524,553,000","462,983,000","382,699,000","368,442,000","348,967,000","184,109,000","173,226,000","185,787,000","222,455,000","272,742,000","305,873,000","187,882,000","4,581,000"
		NetPPE,"177,257,000","181,020,000","164,647,000","164,933,000","163,335,000","160,135,000","144,210,000","127,037,000","110,185,000","100,944,000","77,380,000","67,697,000","52,820,000","41,610,000","29,689,000","3,526,000"
			GrossPPE,"204,310,000","204,381,000","183,766,000","181,723,000","178,160,000","173,043,000","155,273,000","136,290,000","117,550,000","106,416,000","81,148,000","70,288,000","54,412,000","42,658,000","29,689,000","3,825,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0",,,
				MachineryFurnitureEquipment,"8,574,000","8,293,000","8,309,000","8,058,000","8,002,000","7,476,000","6,772,000","6,563,000","6,578,000","6,490,000","6,134,000","5,350,000","2,761,000","1,406,000",,"70,000"
				OtherProperties,"87,344,000","87,696,000","66,989,000","66,553,000","65,301,000","65,105,000","62,903,000","61,245,000","57,803,000","57,612,000","43,003,000","41,333,000","39,811,000","38,549,000","29,689,000","3,755,000"
				ConstructionInProgress,"39,000","39,000","289,000","75,593,000","73,339,000","68,944,000","54,080,000","36,963,000","21,653,000","12,390,000","6,778,000","23,479,000","11,713,000","2,703,000",,
