name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997
OperatingCashFlow,"34,680,000","16,526,000","9,023,000","5,099,000","4,032,000","799,000","-1,797,000","-3,818,000","-9,250,000","-31,069,000","-18,321,000","-24,006,000","-20,509,000","-8,195,000","-2,123,000","-5,339,000","789,000","2,663,000","8,204,000","4,991,000","6,183,000","6,258,000","8,796,000","6,888,000","6,536,000","8,183,000","8,269,000","2,455,000","4,660,000","7,465,000","5,145,000","3,980,000","4,650,000","3,344,000","2,562,000","3,778,000","5,233,000","5,797,000","6,628,000","4,437,000","14,926,000","2,803,000","3,166,000","1,102,000","2,140,000","1,615,000","2,680,000","2,201,000","2,093,000","1,007,000","1,123,000","1,028,000","-667,000","147,000","724,000","1,017,000","366,000","420,000","1,628,000","770,000","213,000","-340,000","-1,827,000","-3,252,000","-4,503,000","-4,225,000","-5,692,000","-4,815,000","-6,474,000","-4,346,000","-4,315,000","-5,203,000","-2,687,000","-1,455,000","1,047,000","-376,000","-798,000","-2,741,000","-2,120,000","-2,252,000","-1,724,000","-1,449,000","-1,260,000","-3,034,000","-2,202,000","-8,784,000","-5,640,000","-7,936,000","-2,208,000","-1,747,000","-1,473,000","-1,030,000","168,000","-1,335,000","-778,000","-3,479,000","-4,826,000","-6,781,000","-3,167,000","-961,000","4,411,000"
	CashFlowFromContinuingOperatingActivities,"34,680,000","16,526,000","9,023,000","5,099,000","4,032,000","799,000","-1,797,000","-3,818,000","-9,250,000","-31,069,000","-18,321,000","-24,006,000","-20,509,000","-8,195,000","-2,123,000","-5,339,000","789,000","2,663,000","8,204,000","4,991,000","6,183,000","6,258,000","8,796,000","6,888,000","6,536,000","8,183,000","8,269,000","2,455,000","4,660,000","7,465,000","5,145,000","3,980,000","4,650,000","3,344,000","2,562,000","3,778,000","5,233,000","5,797,000","6,628,000","4,437,000","14,926,000","2,803,000","3,166,000","1,102,000","2,140,000","1,615,000","2,680,000","2,201,000","2,093,000","1,007,000","1,123,000","1,028,000","-667,000","147,000","724,000","1,017,000","366,000","420,000","1,628,000","770,000","213,000","-340,000","-1,827,000","-3,252,000","-4,503,000","-4,225,000","-5,692,000","-4,815,000","-6,474,000","-4,346,000","-4,315,000","-5,203,000","-2,687,000","-1,455,000","1,047,000","-376,000","-798,000","-2,741,000","-2,120,000","-2,252,000","-1,724,000","-1,449,000","-1,260,000","-3,034,000","-2,202,000","-8,784,000","-5,640,000","-7,936,000","-2,208,000","-1,747,000","-1,473,000","-1,030,000","168,000","-1,335,000","-778,000","-3,479,000","-4,826,000","-6,781,000","-3,167,000","-961,000","4,411,000"
		NetIncomeFromContinuingOperations,"-175,383,000","-45,582,000","-43,571,000","-42,324,000","-43,906,000","-45,034,000","-40,225,000","-38,413,000","-41,913,000","-50,100,000","-47,071,000","-40,932,000","-34,265,000","-28,131,000","-23,771,000","-21,482,000","-15,355,000","-13,262,000","-88,520,000","-546,000","-2,169,000","-2,925,000","-1,325,000","27,000","-528,000","-1,076,000","-1,680,000","-1,892,000","-472,000","183,000","444,000","1,291,000","8,000","-1,952,000","89,000","1,642,000","2,139,000","1,661,000","1,920,000","1,741,000","8,617,000",,,,,"2,011,000","1,496,000","1,969,000","1,018,000","1,115,000","1,014,000","1,336,000","414,000","-3,912,000","180,000","44,000","1,188,000","691,000","1,389,000","-2,558,000","508,000","1,597,000","-3,058,000","-2,728,000","-5,741,000","-6,646,000","-6,789,000","-5,568,000","-5,136,000","-6,989,000","-5,841,000","-3,749,000","-2,569,000","-1,532,000","-754,000","747,000","-1,500,000","-3,778,000","-3,541,000","-1,959,000","-2,125,000","-3,120,000","445,000","-1,983,000","-4,447,000","-44,368,000","-11,835,000","-14,971,000","-3,225,000","-9,438,000","-2,234,000","-1,438,000","-11,738,000","-8,380,000","-3,223,000","-3,650,000","-3,971,000","82,000","132,000","95,000","3,418,000"
		OperatingGainsLosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-266,000","162,000","-46,000","2,379,000","-2,089,000","1,055,000","-955,000","39,000","66,000","59,000","87,000","334,000","44,000","-82,000","43,000","22,000",,,"3,000","77,000","1,210,000","-950,000","115,000","-882,000","989,000","89,000","9,000","4,000","-984,000","-1,000","86,000","32,311,000","1,785,000","4,603,000","-196,000","7,400,000","0","0","8,413,000","-969,000","184,000","291,000","346,000","-1,993,000","395,000","534,000","1,049,000"
		DepreciationAmortizationDepletion,"48,554,000","14,468,000","11,051,000","11,585,000","11,450,000","10,977,000","11,502,000","11,370,000","11,268,000","11,014,000","9,545,000","9,014,000","7,654,000","7,204,000","6,630,000","5,659,000","5,178,000","4,403,000","3,956,000","3,631,000","3,727,000","2,791,000","2,503,000","2,566,000","2,577,000","2,388,000","2,325,000","2,299,000","1,995,000","1,658,000","1,576,000","1,472,000","1,407,000","1,303,000","1,059,000","980,000","1,015,000","1,064,000","1,041,000","984,000","862,000","791,000","742,000","426,000","364,000","369,000","361,000","326,000","273,000","223,000","236,000","252,000","287,000","293,000","314,000","323,000","339,000","287,000","398,000","398,000","391,000","434,000","387,000","351,000","290,000","267,000","207,000","175,000","138,000","107,000","50,000","34,000","24,000","8,000","88,000","155,000","314,000","381,000","440,000","479,000","480,000","690,000","1,007,000","1,097,000","1,068,000","4,647,000","3,858,000","4,736,000","1,114,000","882,000","578,000","428,000","391,000",,,,,,,,
			DepreciationAndAmortization,"48,554,000","14,468,000","11,051,000","11,585,000","11,450,000","10,977,000","11,502,000","11,370,000","11,268,000","11,014,000","9,545,000","9,014,000","7,654,000","7,204,000","6,630,000","5,659,000","5,178,000","4,403,000","3,956,000","3,631,000","3,727,000","2,791,000","2,503,000","2,566,000","2,577,000","2,388,000","2,325,000","2,299,000","1,995,000","1,658,000","1,576,000","1,472,000","1,407,000","1,303,000","1,059,000","980,000","1,015,000","1,064,000","1,041,000","984,000","862,000","791,000","742,000","426,000","364,000","369,000","361,000","326,000","273,000","223,000","236,000","252,000","287,000","293,000","314,000","323,000","339,000","287,000","398,000","398,000","391,000","434,000","387,000","351,000","290,000","267,000","207,000","175,000","138,000","107,000","50,000","34,000","24,000","8,000","88,000","155,000","314,000","381,000","440,000","479,000","480,000","690,000","1,007,000","1,097,000","1,068,000","4,647,000","3,858,000","4,736,000","1,114,000","882,000","578,000","428,000","391,000",,,,,,,,
				Depreciation,"11,374,000","2,886,000","2,717,000","2,849,000","2,922,000","2,768,000","2,839,000","2,867,000","2,823,000","2,559,000","2,202,000","2,274,000","2,325,000","2,284,000","2,233,000","2,170,000","2,061,000","2,122,000","2,087,000","2,065,000","1,897,000","1,621,000","1,484,000","1,508,000","1,471,000","1,396,000","1,323,000","1,282,000","993,000","1,027,000","937,000","821,000","755,000","679,000","601,000","612,000","675,000","707,000","684,000","627,000","505,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"687,000","657,000","434,000","-24,000",,,"337,000",,,,,,,,
				AmortizationCashFlow,"37,180,000","11,582,000","8,334,000","8,736,000","8,528,000","8,209,000","8,663,000","8,503,000","8,445,000","8,455,000","7,343,000","6,740,000","5,329,000","4,920,000","4,397,000","3,489,000","3,117,000","2,281,000","1,869,000","1,566,000","1,830,000","1,170,000","1,019,000","1,058,000","1,106,000","992,000","1,002,000","1,017,000","1,002,000","631,000","639,000","651,000","652,000","624,000","458,000","368,000","340,000","357,000","357,000","357,000","357,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,171,000","4,079,000","680,000","906,000",,,"54,000",,,,,,,,
					AmortizationOfIntangibles,"37,180,000","11,582,000","8,334,000","8,736,000","8,528,000","8,209,000","8,663,000","8,503,000","8,445,000","8,455,000","7,343,000","6,740,000","5,329,000","4,920,000","4,397,000","3,489,000","3,117,000","2,281,000","1,869,000","1,566,000","1,830,000","1,170,000","1,019,000","1,058,000","1,106,000","992,000","1,002,000","1,017,000","1,002,000","631,000","639,000","651,000","652,000","624,000","458,000","368,000","340,000","357,000","357,000","357,000","357,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,171,000","4,079,000","680,000","906,000",,,"54,000",,,,,,,,
		DeferredTax,,,,,,,,,,,,,,"0","0","0","0","0","71,135,000","-3,370,000","-1,492,000","-793,000","49,000","-109,000","-44,000","-2,078,000","-326,000","211,000","476,000","-205,000","442,000","1,392,000","610,000","2,037,000","-1,502,000","716,000","873,000","1,900,000","780,000","801,000","5,778,000","-62,086,000","0","0","-336,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
