name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,12/31/2006
TotalAssets,"4,345,000,000","3,906,000,000","3,872,000,000","3,798,000,000","4,188,000,000","3,978,000,000","3,876,000,000","3,928,000,000","4,125,000,000","3,905,000,000","3,962,000,000","3,830,000,000","3,874,000,000","3,907,000,000","4,002,000,000","3,850,000,000","3,823,300,000","3,806,700,000","4,032,800,000","4,029,100,000","4,053,200,000","4,050,200,000","4,055,000,000","4,056,400,000","3,183,500,000","3,305,800,000","3,541,400,000","3,547,600,000","3,456,100,000","3,462,500,000","3,752,400,000","3,979,500,000","3,869,900,000","3,665,800,000","3,875,100,000","4,023,400,000","3,772,059,000","3,610,895,000","3,652,377,000","3,284,714,000","3,203,442,000","3,119,291,000","2,508,295,000","2,349,906,000","1,891,962,000","1,740,184,000","1,684,055,000","1,620,691,000","1,612,961,000","1,614,494,000","1,646,607,000","1,628,788,000","1,575,803,000","1,610,483,000","1,925,481,000","1,979,182,000","1,923,591,000","1,856,068,091","1,848,567,767","1,826,235,518","1,449,479,515"
	CurrentAssets,"1,766,000,000","1,369,000,000","1,304,000,000","1,200,000,000","1,597,000,000","1,402,000,000","1,254,000,000","1,259,000,000","1,396,000,000","1,291,000,000","1,327,000,000","1,157,000,000","1,125,000,000","1,293,000,000","1,390,000,000","1,211,000,000","1,147,100,000","1,094,200,000","1,383,200,000","1,346,000,000","1,348,300,000","1,315,500,000","1,299,500,000","1,275,300,000","1,153,700,000","1,274,700,000","1,525,600,000","1,559,900,000","1,462,700,000","1,456,600,000","1,765,500,000","2,011,800,000","1,915,700,000","1,731,700,000","1,968,400,000","2,146,200,000","1,925,215,000","1,761,079,000","1,865,817,000","1,513,987,000","1,442,103,000","1,356,783,000","1,363,461,000","1,222,280,000","765,846,000","599,357,000","529,539,000","451,732,000","434,760,000","425,976,000","449,367,000","423,869,000","354,842,000","373,411,000","607,911,000","634,294,000","622,464,000","557,881,374","576,256,538","568,075,604","342,453,054"
		CashCashEquivalentsAndShortTermInvestments,"676,000,000","510,000,000","566,000,000","519,000,000","707,000,000","667,000,000","672,000,000","606,000,000","805,000,000","652,000,000","692,000,000","540,000,000","467,000,000","668,000,000","702,000,000","534,000,000","420,000,000","481,800,000","849,100,000","829,900,000","803,600,000","735,800,000","762,600,000","690,600,000","681,800,000","765,100,000","1,012,000,000","937,700,000","852,200,000","753,700,000","793,100,000","998,700,000","962,100,000","842,100,000","887,100,000","1,134,500,000","1,040,753,000","895,965,000","988,197,000","692,588,000","500,903,000","388,328,000","898,456,000","747,977,000","165,896,000","200,049,000","162,386,000","63,269,000","37,536,000","36,905,000","86,870,000","73,341,000","28,427,000","8,923,000","59,862,000","20,616,000","25,179,000","30,508,737","27,318,206","23,077,422","41,919,260"
			CashAndCashEquivalents,"676,000,000","510,000,000","566,000,000","519,000,000","707,000,000","667,000,000","672,000,000","606,000,000","805,000,000","652,000,000","692,000,000","540,000,000","467,000,000","668,000,000","702,000,000","534,000,000","420,000,000","481,800,000","849,100,000","829,900,000","803,600,000","735,800,000","762,600,000","690,600,000","681,800,000","765,100,000","1,012,000,000","937,700,000","852,200,000","753,700,000","793,100,000","998,700,000","962,100,000","842,100,000","887,100,000","1,134,500,000","1,040,753,000","895,965,000","988,197,000","692,588,000","500,903,000","388,328,000","898,456,000","747,977,000","165,896,000","200,049,000","162,386,000","63,269,000","37,536,000","36,905,000","86,870,000","73,341,000","28,427,000","8,923,000","59,862,000","20,616,000","25,179,000","30,508,737","27,318,206","23,077,422","41,919,260"
		Receivables,"353,000,000","299,000,000","240,000,000","234,000,000","226,000,000","178,000,000","133,000,000","148,000,000","152,000,000","182,000,000","181,000,000","168,000,000","197,000,000","169,000,000","214,000,000","190,000,000","188,400,000","193,500,000","153,300,000","152,000,000","152,900,000","162,100,000","149,000,000","171,600,000","128,200,000","114,300,000","136,500,000","184,100,000","154,100,000","192,300,000","233,200,000","248,900,000","261,400,000","252,700,000","244,000,000","277,000,000","287,531,000","225,135,000","283,864,000","216,222,000","285,011,000","214,725,000","92,710,000","98,152,000","113,988,000","80,169,000","73,747,000","100,061,000","92,714,000","66,587,000","69,137,000","75,450,000","100,038,000","74,170,000","171,303,000","195,058,000","217,474,000","185,678,998","211,336,149","209,490,256","101,688,324"
			AccountsReceivable,"353,000,000","299,000,000","240,000,000","234,000,000","226,000,000","178,000,000","133,000,000","148,000,000","152,000,000","182,000,000","181,000,000","168,000,000","193,000,000","169,000,000","214,000,000","190,000,000","179,300,000","178,700,000","143,100,000","141,900,000","143,200,000","151,900,000","139,900,000","150,000,000","109,700,000","95,800,000","132,700,000","179,800,000","136,700,000","136,700,000","230,500,000","248,900,000","258,600,000","241,900,000","240,900,000","277,000,000","283,212,000","210,579,000","280,620,000","214,296,000","246,650,000","182,619,000","83,370,000","98,152,000","113,988,000","80,169,000","73,747,000","84,451,000","61,537,000","45,729,000","54,082,000","68,187,000","65,609,000","33,316,000","130,086,000","137,136,000","117,033,000","86,545,870","65,416,983","76,022,457","69,589,161"
				GrossAccountsReceivable,,,,,,,"152,000,000",,,,,,,,,"191,000,000","180,200,000","179,800,000","144,400,000","143,300,000","144,500,000","152,400,000","140,300,000","150,600,000","110,200,000","96,100,000","133,100,000","180,300,000","137,100,000","137,100,000","231,000,000","249,400,000","259,300,000","242,800,000","243,500,000","279,700,000","285,515,000","212,578,000","282,478,000","215,666,000","248,022,000","183,901,000","84,282,000",,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,,,,,"-19,000,000",,,,,,,,,"-1,000,000","-900,000","-1,100,000","-1,300,000","-1,400,000","-1,300,000","-500,000","-400,000","-600,000","-500,000","-300,000","-400,000","-500,000","-400,000","-400,000","-500,000","-500,000","-700,000","-900,000","-2,600,000","-2,700,000","-2,303,000","-1,999,000","-1,858,000","-1,370,000","-1,372,000","-1,282,000","-912,000",,,,,,,,,,,,,,,,,,
			TaxesReceivable,,,,,,,,,,,,,,,,,"9,100,000","9,700,000","10,200,000","10,100,000","9,700,000","10,200,000","6,400,000","7,000,000","6,900,000","6,900,000","3,800,000","4,300,000","8,400,000","11,100,000","2,700,000","0","2,800,000","10,800,000","3,100,000","0","4,319,000","4,134,000","2,011,000","0","36,418,000","30,167,000","9,340,000",,,"0","0","15,610,000","31,177,000","20,858,000","11,375,000","6,351,000","16,074,000",,,,,,,,
			DuefromRelatedPartiesCurrent,,,,,,,,,,,,"0","4,000,000",,"0","0","0","5,100,000",,,,"0","2,700,000","14,600,000","11,600,000","11,600,000","0","0","9,000,000","44,500,000",,,,"0","0","0","0","9,162,000",,,,,,,,,,,,,,,,,,,,,,,
