name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021
TotalRevenue,"0","0","0","0","0","0"
	OperatingRevenue,"0","0","0","0","0","0"
OperatingExpense,"2,460,250","284,100","350,780","1,433,999","391,362","184,082"
	OtherOperatingExpenses,"2,460,250","284,100","350,780","1,433,999","391,362","184,082"
OperatingIncome,"-2,460,250","-284,100","-350,780","-1,433,999","-391,362","-184,082"
NetNonOperatingInterestIncomeExpense,"284,033","212,639","31,214","23,688","16,483","18,456"
	InterestIncomeNonOperating,"284,033","212,639","31,214","23,688","16,483","18,456"
OtherIncomeExpense,"7,401,000","6,153,500","-147,500","3,149,167","-1,754,167","3,488,274"
	GainOnSaleOfSecurity,"7,677,559","5,900,000","-147,500","3,149,167","-1,754,167","4,018,333"
	OtherNonOperatingIncomeExpenses,,"253,500","0",,,"-530,059"
PretaxIncome,"5,224,783","6,082,039","-467,066","1,738,856","-2,129,046","3,322,648"
NetIncomeCommonStockholders,"5,224,783","6,082,039","-467,066","1,738,856","-2,129,046","3,322,648"
	NetIncome,"5,224,783","6,082,039","-467,066","1,738,856","-2,129,046","3,322,648"
		NetIncomeIncludingNoncontrollingInterests,"5,224,783","6,082,039","-467,066","1,738,856","-2,129,046","3,322,648"
			NetIncomeContinuousOperations,"5,224,783","6,082,039","-467,066","1,738,856","-2,129,046","3,322,648"
DilutedNIAvailtoComStockholders,"5,224,783","6,082,039","-467,066","1,738,856","-2,129,046","3,322,648"
BasicEPS,,"0.846",,"0.05","-0.22","0.37"
DilutedEPS,,"0.169",,"0.05","-0.22","0.37"
BasicAverageShares,,"7,187,500",,"7,187,500","9,603,336","8,962,131"
DilutedAverageShares,,"35,937,500",,"35,937,500","35,937,500","41,829,535"
TotalOperatingIncomeAsReported,"-2,460,250","-284,100","-350,780","-1,433,999","-391,362","-184,082"
TotalExpenses,"2,460,250","284,100","350,780","1,433,999","391,362","184,082"
NetIncomeFromContinuingAndDiscontinuedOperation,"5,224,783","6,082,039","-467,066","1,738,856","-2,129,046","3,322,648"
NormalizedIncome,"618,247.6","2,542,039","-319,566","-560,035.91","-374,879","389,264.91"
InterestIncome,"284,033","212,639","31,214","23,688","16,483","18,456"
NetInterestIncome,"284,033","212,639","31,214","23,688","16,483","18,456"
EBIT,"-2,460,250","-284,100","-350,780","-1,433,999","-391,362","-184,082"
EBITDA,"-2,460,250"
NetIncomeFromContinuingOperationNetMinorityInterest,"5,224,783","6,082,039","-467,066","1,738,856","-2,129,046","3,322,648"
TotalUnusualItemsExcludingGoodwill,"7,677,559","5,900,000","-147,500","3,149,167","-1,754,167","4,018,333"
TotalUnusualItems,"7,677,559","5,900,000","-147,500","3,149,167","-1,754,167","4,018,333"
NormalizedEBITDA,"-10,137,809","-6,184,100","-203,280","-4,583,166","1,362,805","-4,202,415"
TaxRateForCalcs,"0.4","0.4","0","0.27","0","0.27"
TaxEffectOfUnusualItems,"3,071,023.6","2,360,000","0","850,275.09","0","1,084,949.91"
