name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994
OperatingCashFlow,"279,674,000","121,956,000","-6,842,000","83,916,000","80,644,000","124,917,000","83,606,000","101,351,000","128,517,000","128,259,000","15,185,000","105,891,000","118,056,000","99,011,000","54,252,000","39,970,000","115,152,000","65,101,000","323,214,000","7,114,000","2,832,000","47,882,000","-16,270,000","-50,010,000","55,779,000","-17,527,000","30,993,000","31,366,000","19,053,000","60,745,000","37,916,000","32,481,000","68,992,000","63,152,000","34,369,000","56,506,000","55,877,000","45,437,000","37,845,000","100,582,000","56,953,000","68,860,000","24,788,000","68,862,000","26,185,000","69,077,000","22,598,000","18,266,000","20,604,000","64,734,000","51,628,000","-4,049,000","36,102,000","47,248,000","22,110,000","15,579,000","31,531,000","2,124,000","38,811,000","10,813,000","11,741,000","17,563,000","15,887,000","-2,077,000","20,612,000","11,530,000","22,261,000","10,614,000","-1,322,000","3,260,000","15,067,000","7,200,000","12,344,000","5,800,000","27,485,000","-28,425,000","8,878,000","13,356,000","7,521,000","12,094,000","3,464,000","-836,000","24,928,000","-9,615,000","14,916,000","-750,000","19,472,000","-8,626,000","19,650,000","-4,590,000","11,000,000","-8,300,000","10,900,000","11,200,000","-11,600,000","-6,700,000","8,600,000","-4,300,000","11,400,000","6,300,000","10,400,000","-6,700,000","6,500,000","0","-200,000","2,800,000","2,500,000","-1,600,000","-600,000","900,000","1,800,000","0"
	CashFlowFromContinuingOperatingActivities,"279,674,000","121,956,000","-6,842,000","83,916,000","80,644,000","124,917,000","83,606,000","101,351,000","128,517,000","128,259,000","15,185,000","105,891,000","118,056,000","99,011,000","54,252,000","39,970,000","115,152,000","65,101,000","323,214,000","7,114,000","2,832,000","47,882,000","-16,270,000","-50,010,000","55,779,000","-17,527,000","30,993,000","31,366,000","19,053,000","60,745,000","37,916,000","32,481,000","68,992,000","63,152,000","36,634,000","54,241,000","55,877,000","45,437,000","29,905,000","100,530,000","55,892,000","68,860,000","24,788,000","68,862,000","26,185,000","69,077,000","22,598,000","18,266,000","20,604,000","64,734,000","51,628,000","-4,049,000","35,365,000","42,167,000","27,237,000","15,577,000","31,970,000","2,124,000","38,792,000","10,813,000","11,741,000","18,866,000","15,835,000","-2,071,000","20,565,000","11,457,000","20,016,000","9,835,000","-1,687,000","3,229,000","14,892,000","6,904,000","8,662,000","2,862,000","27,485,000","-28,425,000","8,878,000","13,356,000","7,521,000","12,094,000","3,464,000","-836,000","24,928,000","-9,615,000","14,916,000","-750,000","19,472,000","-8,626,000","19,650,000","-4,590,000","11,000,000","-8,300,000","10,900,000","11,200,000","-11,600,000","-6,700,000","8,600,000","-4,300,000","11,400,000","6,300,000","10,400,000","-6,700,000","6,500,000","0","-200,000","2,800,000","2,500,000","-1,600,000","-600,000","900,000","1,800,000","0"
		NetIncomeFromContinuingOperations,"65,093,000","38,219,000","-49,796,000","34,710,000","41,960,000","50,544,000","11,911,000","39,220,000","36,720,000","25,181,000","38,052,000","45,932,000","41,914,000","40,705,000","33,392,000","39,289,000","37,421,000","34,987,000","36,357,000","38,489,000","30,992,000","40,403,000","49,436,000","43,720,000","23,209,000","32,350,000","44,064,000","38,306,000","28,291,000","28,777,000","38,051,000","38,991,000","38,898,000","27,990,000","27,611,000","29,897,000","34,207,000","23,420,000","81,607,000","15,608,000",,,,,,"16,380,000","23,725,000","5,054,000","17,017,000","17,672,000","15,480,000","19,258,000","16,145,000","15,071,000","18,551,000","15,857,000","14,638,000","12,407,000","11,477,000","12,325,000","12,366,000","5,097,000","10,537,000","8,666,000","6,431,000","4,674,000","-1,423,000","190,000","4,346,000","2,766,000","5,206,000","5,981,000","4,093,000","2,150,000","3,429,000","30,368,000","6,299,000","5,172,000","5,555,000","5,358,000","5,405,000","5,183,000","5,581,000","5,843,000","5,323,000","2,632,000","4,994,000","2,373,000","4,838,000","4,789,000","6,000,000","5,700,000","5,400,000","4,800,000","4,600,000","4,500,000","4,000,000","3,700,000","3,400,000","3,200,000","2,700,000","2,600,000","2,600,000","2,400,000","1,800,000","1,500,000","1,200,000","1,200,000","1,100,000","900,000","700,000","600,000"
		OperatingGainsLosses,"7,311,000","-570,000","-1,366,000","7,230,000","2,017,000","-16,767,000","-1,215,000","-1,752,000","552,000","-3,519,000","-1,399,000","-1,058,000","5,195,000","-816,000","-1,972,000","1,918,000","-2,992,000","-2,345,000","-8,464,000","-1,057,000","373,000","-1,377,000","-2,352,000","-1,082,000","14,233,000","-1,445,000","3,435,000","-1,529,000","-1,325,000","-2,030,000","-463,000","-1,514,000","-986,000","-1,249,000","11,477,000","-10,000","4,976,000","-1,092,000","3,334,000","8,132,000","162,000","-425,000","5,651,000","-119,000","-1,498,000","4,872,000","-1,996,000","6,783,000","-1,128,000","-590,000","5,987,000","-904,000","-859,000","-644,000","-2,938,000","-683,000","-511,000","-518,000","-944,000","-381,000","-527,000","-291,000","2,145,000","-2,091,000","-749,000","-558,000","21,835,000","2,575,000","1,063,000","685,000","3,062,000","626,000","183,000","-310,000","277,000","-59,148,000","-1,289,000","-516,000","-362,000","-356,000","446,000","-1,499,000","-1,488,000","1,264,000","-80,000","35,000","-514,000","-831,000","-1,283,000","-748,000","900,000","-1,600,000","-1,500,000","-1,100,000","-1,400,000","-800,000","-900,000","-400,000",,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,"6,821,000","38,000","-3,695,000","7,813,000","2,665,000","1,664,000","3,033,000","1,963,000","2,477,000","304,000","1,840,000","1,764,000","1,275,000","697,000","584,000","4,653,000","-651,000","-350,000","-674,000","285,000","1,799,000","110,000","-370,000","592,000","498,000","-326,000","469,000","-190,000","-200,000","-545,000","37,000","30,000","188,000","235,000","291,000","65,000","478,000","125,000","5,260,000","144,000","592,000","323,000","353,000","153,000","-80,000","132,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,"627,000",,"1,057,000","2,950,000","-13,329,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"-6,312,000","-1,235,000","-1,494,000","-1,640,000","-1,943,000","-2,064,000","-1,964,000","-2,243,000","-2,699,000","-2,260,000","-2,887,000","-2,228,000","-1,821,000","-2,596,000","-2,556,000","-2,735,000","-2,341,000","-1,995,000","-7,790,000","-1,342,000","-1,426,000","-1,487,000","-1,982,000","-1,693,000","-2,131,000","-1,119,000","-1,584,000","-1,339,000","-1,125,000","-1,485,000","-1,621,000","-1,544,000","-1,174,000","-1,484,000","-2,493,000","-1,526,000","-1,029,000","-1,217,000","-1,926,000","-474,000","-430,000","-748,000","5,298,000","-272,000","-1,418,000","4,740,000","-1,350,000","-1,150,000","-1,128,000","-590,000","-1,110,000","-904,000","-859,000","-644,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"136,998,000","35,938,000","34,871,000","32,883,000","33,306,000","34,117,000","34,291,000","33,628,000","33,434,000","33,327,000","33,585,000","32,419,000","32,352,000","32,469,000","31,898,000","31,297,000","31,853,000","31,386,000","31,833,000","31,649,000","31,866,000","28,949,000","29,030,000","28,783,000","28,652,000","28,451,000","28,128,000","27,127,000","26,561,000","24,940,000","24,202,000","24,079,000","23,748,000","24,142,000","24,184,000","23,848,000","23,697,000","22,935,000","21,042,000","23,761,000","23,667,000","23,215,000","23,509,000","21,974,000","21,056,000","18,802,000","16,015,000","13,384,000","9,474,000","9,238,000","13,753,000","9,616,000","9,630,000","9,816,000","12,380,000","6,795,000","10,708,000","10,538,000","10,351,000","10,657,000","9,524,000","8,336,000","5,041,000","6,759,000","6,545,000","5,945,000","4,957,000","3,645,000","3,841,000","3,882,000","4,154,000","3,365,000","3,221,000","4,014,000","4,234,000","3,433,000","3,606,000","3,313,000","4,747,000","2,422,000","2,439,000","2,485,000","2,393,000","2,792,000","2,277,000","2,457,000","2,269,000","2,482,000","1,806,000","2,082,000","1,600,000","1,300,000","1,200,000","1,300,000","-4,400,000","2,400,000","2,900,000","2,700,000","1,700,000","1,900,000","1,600,000","1,100,000","900,000","1,000,000","800,000","800,000","700,000","600,000","500,000","500,000","700,000","800,000"
			DepreciationAndAmortization,"136,998,000","35,938,000","34,871,000","32,883,000","33,306,000","34,117,000","34,291,000","33,628,000","33,434,000","33,327,000","33,585,000","32,419,000","32,352,000","32,469,000","31,898,000","31,297,000","31,853,000","31,386,000","31,833,000","31,649,000","31,866,000","28,949,000","29,030,000","28,783,000","28,652,000","28,451,000","28,128,000","27,127,000","26,561,000","24,940,000","24,202,000","24,079,000","23,748,000","24,142,000","24,184,000","23,848,000","23,697,000","22,935,000","21,042,000","23,761,000","23,667,000","23,215,000","23,509,000","21,974,000","21,056,000","18,802,000","16,015,000","13,384,000","9,474,000","9,238,000","13,753,000","9,616,000","9,630,000","9,816,000","12,380,000","6,795,000","10,708,000","10,538,000","10,351,000","10,657,000","9,524,000","8,336,000","5,041,000","6,759,000","6,545,000","5,945,000","4,957,000","3,645,000","3,841,000","3,882,000","4,154,000","3,365,000","3,221,000","4,014,000","4,234,000","3,433,000","3,606,000","3,313,000","4,747,000","2,422,000","2,439,000","2,485,000","2,393,000","2,792,000","2,277,000","2,457,000","2,269,000","2,482,000","1,806,000","2,082,000","1,600,000","1,300,000","1,200,000","1,300,000","-4,400,000","2,400,000","2,900,000","2,700,000","1,700,000","1,900,000","1,600,000","1,100,000","900,000","1,000,000","800,000","800,000","700,000","600,000","500,000","500,000","700,000","800,000"
				Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,456,000","9,073,000","8,939,000","9,179,000","8,471,000","7,281,000","4,467,000","6,080,000","6,024,000","5,664,000","4,751,000","3,562,000","3,760,000","3,803,000","4,080,000","3,604,000","3,128,000","3,639,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
