name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019
TotalRevenue,"768,674,000","200,293,000","186,629,000","193,610,000","188,142,000","175,108,000","164,449,000","136,649,000","115,001,000","174,604,000","159,802,000","163,240,000","152,443,000"
	OperatingRevenue,"768,674,000","200,293,000","186,629,000","193,610,000","188,142,000","175,108,000","164,449,000","136,649,000","115,001,000","174,604,000","159,802,000","163,240,000","152,443,000"
CostOfRevenue,"361,214,000","90,690,000","85,464,000","91,078,000","93,982,000","88,102,000","90,024,000","74,879,000","59,300,000","102,846,000","98,277,000","94,634,000","93,056,000"
GrossProfit,"407,460,000","109,603,000","101,165,000","102,532,000","94,160,000","87,006,000","74,425,000","61,770,000","55,701,000","71,758,000","61,525,000","68,606,000","59,387,000"
OperatingExpense,"272,810,000","79,254,000","68,260,000","63,678,000","61,618,000","62,939,000","98,649,000","49,368,000","51,169,000","52,853,000","50,394,000","53,545,000","51,656,000"
	SellingGeneralAndAdministration,"150,937,000","46,822,000","37,963,000","34,088,000","32,064,000","34,799,000","67,650,000","24,238,000","26,789,000","28,366,000","24,909,000","27,593,000","25,528,000"
	ResearchAndDevelopment,"121,873,000","32,432,000","30,297,000","29,590,000","29,554,000","28,140,000","30,999,000","25,130,000","24,380,000","24,487,000","25,485,000","25,952,000","26,128,000"
OperatingIncome,"134,650,000","30,349,000","32,905,000","38,854,000","32,542,000","24,067,000","-24,224,000","12,402,000","4,532,000","18,905,000","11,131,000","15,061,000","7,731,000"
NetNonOperatingInterestIncomeExpense,"-1,057,000","707,000","-269,000","-1,150,000","-345,000","-668,000","-2,598,000","350,000","313,000","-50,000","10,000","-65,000","-5,000"
	InterestExpenseNonOperating,"1,057,000","-707,000","269,000",,,"668,000",,,,,,,
	TotalOtherFinanceCost,"1,057,000","-707,000",,"1,150,000","345,000",,"2,598,000","-350,000","-313,000",,"-10,000","65,000","5,000"
OtherIncomeExpense,"7,153,000","-900,000","6,618,000","1,662,000","-227,000","-6,349,000","-8,761,000","-1,052,000","537,000","-1,063,000","-641,000","-580,000","2,844,000"
