name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,09/30/2013,06/30/2013,03/31/2013
				ChangesInAccountReceivables,"-72,000,000","-49,600,000","10,300,000","-21,000,000","-11,700,000","-26,300,000","-23,700,000","-47,100,000","46,100,000","-2,600,000","19,100,000","-2,700,000","2,600,000","2,800,000","16,600,000","138,100,000","-19,900,000","-133,900,000","-18,500,000","60,200,000","25,300,000","-120,100,000","43,000,000","29,100,000","12,000,000",,,,,,"15,588,000","-8,698,000","-955,000","-1,035,000","3,183,000","-6,292,000","-4,328,000"
			ChangeInInventory,"-49,400,000","-47,500,000","32,000,000","-10,600,000","-23,300,000","-44,600,000","10,300,000","7,000,000","3,100,000","-19,000,000","11,400,000","-1,300,000","400,000","-14,300,000","12,000,000","81,500,000","-7,100,000","-105,200,000","69,400,000","-13,200,000","-2,600,000","-83,900,000","104,500,000","7,200,000","45,000,000",,,,,,"15,304,000","-2,204,000","186,000","-1,886,000","-1,610,000","2,940,000","-5,758,000"
			ChangeInPrepaidAssets,"-26,600,000","-10,500,000","-9,300,000","-1,000,000","-5,800,000","-9,000,000","15,700,000","-18,100,000","-2,800,000","-4,400,000","4,600,000","17,400,000","-20,300,000","-4,600,000","-200,000","59,000,000",,,"-11,900,000","7,100,000",,,,,,,,,,,,,,,,,
			ChangeInPayablesAndAccruedExpense,"39,400,000","-8,400,000","4,600,000","25,800,000","17,400,000","11,600,000","15,600,000","41,000,000","-38,500,000","2,700,000","-2,600,000","26,000,000","-30,300,000","-57,800,000","19,000,000","-68,800,000","-22,200,000","55,900,000","5,700,000","8,500,000","9,400,000","17,000,000","14,900,000","11,200,000","-15,000,000",,,,,,"-16,641,000","17,256,000","2,530,000","-7,945,000","5,511,000","-10,530,000","7,179,000"
				ChangeInPayable,"27,600,000","41,200,000","-24,800,000","3,800,000","7,400,000","30,400,000","-13,500,000","21,800,000","-22,500,000","8,900,000","-10,900,000","-1,500,000","-4,100,000","9,500,000","-10,300,000","-19,500,000","-8,800,000","33,100,000","19,600,000","-10,900,000","8,200,000","32,900,000","-10,500,000","11,200,000","-15,000,000",,,,,,"8,496,000",,,,,,
					ChangeInAccountPayable,"27,600,000","41,200,000","-24,800,000","3,800,000","7,400,000","30,400,000","-13,500,000","21,800,000","-22,500,000","8,900,000","-10,900,000","-1,500,000","-4,100,000","9,500,000","-10,300,000","-19,500,000","-8,800,000","33,100,000","19,600,000","-10,900,000","8,200,000","32,900,000","-10,500,000","11,200,000","-15,000,000",,,,,,"8,496,000",,,,,,
				ChangeInAccruedExpense,"11,800,000","-49,600,000","29,400,000","22,000,000","10,000,000","-18,800,000","29,100,000","19,200,000","-16,000,000","-6,200,000","8,300,000","27,500,000","-26,200,000","-67,300,000","29,300,000","-49,300,000","-13,400,000","22,800,000","-13,900,000","19,400,000","1,200,000","-15,900,000","16,000,000",,,,,,,,"-25,137,000","14,852,000","2,530,000","-7,945,000","3,078,000","-10,530,000","7,179,000"
			ChangeInOtherWorkingCapital,"14,400,000","500,000","24,300,000","-7,300,000","-3,100,000","1,200,000","10,400,000","-1,000,000","-3,800,000","3,300,000","-9,800,000","9,100,000","11,400,000","-33,700,000","7,100,000","-1,700,000","3,100,000","-14,600,000","-2,300,000","-24,800,000","-8,900,000","-8,000,000","-120,000,000","-9,100,000","8,000,000",,,,,"-129,327,000","-7,290,000","620,000","2,805,000","-1,835,000","-3,728,000","-2,347,000","174,000"
	CashFromDiscontinuedOperatingActivities,,,,,"0","0","0","0","0","-14,700,000","-156,700,000","130,300,000","-19,400,000","-115,900,000","29,100,000",,,,,,,,,,,,,,,,,,,,,,
InvestingCashFlow,"-616,500,000","-37,100,000","-18,700,000","-501,100,000","-59,600,000","10,500,000","-8,500,000","-12,200,000","-2,800,000","-16,400,000","78,500,000","-157,100,000","84,200,000","4,189,100,000","-24,500,000","-17,800,000","-39,500,000","6,800,000","-19,300,000","-25,300,000","-22,600,000","-25,400,000","-37,200,000","-7,300,000","-10,300,000","-19,900,000","-1,950,700,000","-5,300,000","-82,200,000","-2,218,300,000","-1,601,892,000","-381,048,000","-2,562,000","2,802,000",,,"-2,621,000"
