name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014
TotalAssets,"3,040,087,000","3,087,316,000","3,116,913,000","3,126,207,000","3,022,762,000","3,079,603,000","3,340,241,000","3,366,321,000","3,516,545,000","3,263,006,000","3,158,982,000","3,167,931,000","3,181,237,000","3,170,087,000","3,111,708,000","3,083,715,000","3,167,527,000","3,115,308,000","3,088,632,000","2,874,083,000","2,834,482,000","2,860,345,000","2,946,808,000","3,055,049,000","3,089,495,000","3,005,945,000","3,111,940,000","2,989,409,000","3,030,407,000","2,955,751,000","3,878,351,000"
	CurrentAssets,"255,477,000","617,380,000","583,492,000","554,778,000","403,792,000","437,752,000","491,614,000","374,125,000","499,803,000","231,488,000","244,423,000","236,584,000","207,551,000","196,412,000","190,131,000","290,537,000","367,316,000","318,941,000","547,860,000","321,200,000","320,510,000","310,025,000","304,480,000","389,871,000","350,994,000","259,266,000","311,564,000","314,508,000","356,108,000","276,853,000","1,200,644,000"
		CashCashEquivalentsAndShortTermInvestments,"179,077,000","517,377,000","517,464,000","500,337,000","354,597,000","389,823,000","321,051,000","305,888,000","396,816,000","110,841,000","116,483,000","110,366,000","74,462,000","91,413,000","90,040,000","184,809,000","255,513,000","71,884,000","450,441,000","201,815,000","202,370,000","216,054,000","185,311,000","278,055,000","159,576,000","122,154,000","99,430,000","197,300,000","238,132,000","163,053,000","126,525,000"
			CashAndCashEquivalents,"179,077,000","517,377,000","517,464,000","500,337,000","354,597,000","389,823,000","321,051,000","305,888,000","396,816,000","110,841,000","116,483,000","110,366,000","74,462,000","91,413,000","90,040,000","184,809,000","255,513,000","71,884,000","450,441,000","201,815,000","202,370,000","216,054,000","185,311,000","278,055,000","159,576,000","122,154,000","99,430,000","197,300,000","238,132,000","163,053,000","126,525,000"
		Receivables,"36,242,000","28,528,000","23,833,000","19,869,000","14,567,000","8,966,000","9,093,000","7,319,000","23,458,000","36,542,000","43,456,000","49,071,000","63,305,000","34,804,000","42,105,000","42,728,000","49,483,000","35,865,000","34,542,000","36,364,000","32,289,000","22,998,000","33,587,000","27,913,000","31,993,000","24,368,000","33,658,000","31,283,000","35,032,000","26,504,000","31,429,000"
			AccountsReceivable,"36,242,000","28,528,000","23,833,000","19,869,000","14,567,000","8,966,000","9,093,000","7,319,000","23,458,000","36,542,000","43,456,000","49,071,000","63,305,000","34,804,000","42,105,000","42,728,000","49,483,000","35,865,000","34,542,000","36,364,000","32,289,000","22,998,000","33,587,000","27,913,000","31,993,000","24,368,000","33,658,000","31,283,000","35,032,000","26,504,000","31,429,000"
				GrossAccountsReceivable,,,,,,,,,,,,,,,,,,,,,,,"33,846,000","28,220,000","32,229,000","24,611,000","33,929,000","31,569,000","35,316,000","26,755,000","31,696,000"
				AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,,,,,,,,,,,,,,"-259,000","-307,000","-236,000","-243,000","-271,000","-286,000","-284,000","-251,000","-267,000"
		RestrictedCash,"40,158,000","36,854,000","34,500,000","34,572,000","34,628,000","38,963,000","46,297,000","60,918,000","79,529,000","84,105,000","84,484,000","77,147,000","69,784,000","70,195,000","57,986,000","63,000,000","62,320,000","58,520,000","62,877,000","65,778,000","69,200,000","70,973,000","85,582,000","83,903,000","74,409,000","77,292,000","83,141,000","85,925,000","82,944,000","87,296,000","105,296,000"
		AssetsHeldForSaleCurrent,"0","34,621,000","7,695,000",,,,"115,173,000",,,,,,,"0","0",,"0","152,672,000",,"17,243,000","16,651,000","0",,"0","85,016,000","35,452,000","95,335,000",,,"0","937,394,000"
	TotalNonCurrentAssets,"2,784,610,000","2,469,936,000","2,533,421,000","2,571,429,000","2,618,970,000","2,641,851,000","2,848,627,000","2,992,196,000","3,016,742,000","3,031,518,000","2,914,559,000","2,931,347,000","2,973,686,000","2,973,675,000","2,921,577,000","2,793,178,000","2,800,211,000","2,796,367,000","2,540,772,000","2,552,883,000","2,513,972,000","2,550,320,000","2,642,328,000","2,665,178,000","2,738,501,000","2,746,679,000","2,800,376,000","2,674,901,000","2,674,299,000","2,678,898,000","2,677,707,000"
		GoodwillAndOtherIntangibleAssets,"5,414,000","5,446,000","5,699,000","5,951,000","6,204,000","6,456,000","7,066,000","7,675,000","12,020,000","28,997,000","35,892,000","36,592,000","37,291,000","61,541,000","65,658,000","66,153,000","67,076,000","68,000,000","74,655,000","75,761,000","74,287,000","76,912,000","77,346,000","78,180,000","81,497,000","60,515,000","61,759,000","62,448,000","63,303,000","64,541,000","65,155,000"
			Goodwill,,"4,850,000","4,850,000","4,850,000","4,850,000","4,850,000",,,,"24,952,000",,,,"34,352,000",,,,"39,825,000",,,,"42,113,000",,,,"42,113,000",,,,"42,113,000",
			OtherIntangibleAssets,,"596,000","849,000","1,101,000","1,354,000","1,606,000","7,066,000","7,675,000","12,020,000","4,045,000","35,892,000","36,592,000","37,291,000","27,189,000","65,658,000","66,153,000","67,076,000","28,175,000","74,655,000","75,761,000","74,287,000","34,799,000","77,346,000","78,180,000","81,497,000","18,402,000","61,759,000","62,448,000","63,303,000","22,428,000","65,155,000"
