name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003
			ReceivablesAdjustmentsAllowances,"-8,393,000","-7,642,000","-7,441,000","-5,485,000","-5,488,000","-4,913,000","-4,656,000","-4,437,000","-4,059,000","-1,101,000","-1,053,000","-961,000","-895,000","-937,000","-866,000","-790,000","-512,000","-841,000","-832,000","-671,000","-597,000","-594,000","-471,000","-355,000","-464,000","-724,000","-701,000","-567,000","-698,000",,,"0","0","-130,000","-130,000","-142,000","-130,000","-108,000","-108,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		PrepaidAssets,"20,570,000","21,928,000","20,852,000","20,675,000","4,282,000","1,955,000","2,016,000","3,197,000","3,653,000","2,141,000","1,434,000","1,511,000","1,331,000","1,475,000","868,000","953,000","901,000","706,000","561,000","703,000","631,000","683,000","667,000","641,000","796,000","778,000","507,000","684,000","749,000","462,000","435,000","433,000","374,000","462,000","673,000","1,177,000","848,000","865,000","344,000","136,000","120,000","376,000","350,000","304,000","296,000","225,000","421,000","447,000","477,000","1,599,000","961,000","1,154,000","1,334,000","798,000","648,000","775,000",,"8,500",,,,,,,,,,,,,,,,,,
		RestrictedCash,"394,000","394,000","695,000","883,000","340,000","0","0","0","125,000","165,000","165,000","165,000","165,000","431,000","431,000","331,000","331,000","331,000","331,000","331,000","331,000","323,000","321,000",,"0","0","0","200,000","200,000","200,000","200,000","200,000","200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,,,"128,000","174,000","187,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		AssetsHeldForSaleCurrent,,,,,,,,,"0","1,527,000","1,474,000","1,817,000","2,026,000","3,434,000","3,672,000","4,393,000","8,753,000",,,,,,,,,,,,,"0","0","0","0",,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,000","1,000",,,,,,,,,,,,,,,,,,,"7,377,000",,,,,,,,,,,,,,,,,,,,"9,000","223,000","233,000","256,000","288,000","4,000","8,000","25,000"
	TotalNonCurrentAssets,"1,047,638,000","1,044,912,000","1,067,435,000","1,100,258,000","162,984,000","127,800,000","127,444,000","126,414,000","125,564,000","49,413,000","48,692,000","48,269,000","45,738,000","46,231,000","46,535,000","46,507,000","46,852,000","82,751,000","83,267,000","83,401,000","83,915,000","86,239,000","89,212,000","90,773,000","92,394,000","93,771,000","96,013,000","100,533,000","102,379,000","15,755,000","14,185,000","14,119,000","17,614,000","15,822,000","16,221,000","16,821,000","8,493,000","9,714,000","10,005,000","4,600,000","4,687,000","10,067,000","10,158,000","10,268,000","10,363,000","10,454,000","16,649,000","16,806,000","33,576,000","72,442,000","72,503,000","72,888,000","73,184,000","106,034,000","81,938,000","82,157,000","141,258","0","0","0","0","0","0","0","0","0","0","0","251,000","326,000","370,000","406,000","458,000","1,009,000","1,124,000","1,220,000"
		NetPPE,"46,525,000","42,519,000","40,030,000","38,492,000","16,545,000","15,477,000","14,451,000","13,487,000","12,420,000","7,145,000","6,411,000","5,916,000","3,430,000","3,300,000","3,053,000","2,711,000","2,757,000","2,693,000","2,565,000","2,453,000","2,377,000","2,480,000","2,462,000","2,043,000","1,784,000","1,500,000","1,158,000","878,000","614,000","415,000","422,000","470,000","465,000","460,000","427,000","430,000","148,000","201,000","317,000","201,000","230,000","265,000","298,000","351,000","388,000","443,000","506,000","547,000","603,000","1,400,000","1,159,000","1,239,000","1,230,000","1,266,000","993,000","1,029,000",,,,,,,,,,,,,"29,000","29,000","13,000","11,000","9,000","3,000","18,000","31,000"
			GrossPPE,"64,828,000","58,533,000","53,827,000","50,626,000","27,127,000","24,773,000","22,598,000","20,612,000","18,666,000","12,757,000","11,484,000","10,539,000","7,858,000","7,089,000","6,522,000","5,807,000","5,745,000","5,711,000","5,216,000","4,767,000","4,392,000","4,020,000","3,948,000","3,355,000","2,882,000","2,504,000","2,054,000","1,105,000","787,000","561,000","582,000","659,000","627,000","1,380,000","1,306,000","1,257,000","1,911,000","2,022,000","2,108,000","1,978,000","1,978,000","1,477,000","1,478,000","1,509,000","1,474,000","1,447,000","1,446,000","1,382,000","1,247,000","2,248,000","1,890,000","1,847,000","1,718,000","1,600,000","1,213,000","1,163,000",,,,,,,,,,,,,"5,849,000","5,832,000","5,816,000","5,814,000","5,812,000","3,000","18,000","31,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,
				BuildingsAndImprovements,"15,439,000","16,657,000","17,914,000","19,565,000","3,495,000","3,807,000","3,993,000","4,176,000","4,237,000","2,029,000","2,133,000","2,168,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"140,000","140,000",,,,,,,,,,,,,,,,,,,,
				MachineryFurnitureEquipment,"45,702,000","38,152,000","32,198,000","27,326,000","21,450,000","18,819,000","16,458,000","14,337,000","12,330,000","10,105,000","8,729,000","7,764,000","7,300,000","6,556,000","6,110,000","5,635,000","5,579,000","5,568,000","5,073,000","4,624,000","4,249,000","3,876,000","3,702,000","3,249,000","2,808,000","2,435,000","1,986,000","1,036,000","755,000","543,000","564,000","641,000","600,000","1,365,000","1,291,000","1,242,000","1,911,000","1,839,000","1,905,000","1,794,000","1,794,000","1,337,000","1,338,000","1,369,000","1,334,000","1,307,000","1,306,000","1,242,000","1,107,000","2,108,000","1,750,000","1,707,000","1,578,000","1,460,000","1,073,000","1,023,000",,,,,,,,,,,,,"3,281,000",,,,"3,245,000",,,
