name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,12/31/2012
TotalAssets,"10,720,480,000","10,690,449,000","9,284,773,000","9,099,319,000","9,013,490,000","9,034,368,000","8,636,983,000","8,665,425,000","8,899,161,000","8,434,298,000","8,504,752,000","8,563,864,000","8,646,832,000","8,577,293,000","8,295,898,000","7,288,560,000","7,220,447,000","7,246,882,000","7,334,808,000","7,357,220,000","7,314,399,000","7,369,330,000","7,421,320,000","7,149,062,000","2,436,229,000","2,448,155,000","2,516,115,000","2,515,974,000","2,552,477,000","2,564,580,000","2,595,437,000","2,581,677,000","2,561,886,000","2,609,239,000","267,183,000","267,075,000"
	CurrentAssets,"2,101,469,000","2,003,993,000","542,151,000","292,685,000","592,658,000","549,997,000","108,089,000","322,632,000","867,773,000","334,735,000","331,905,000","331,366,000","337,480,000","373,434,000","3,787,224,000","2,770,786,000","2,686,132,000","2,688,145,000","2,722,648,000","2,721,755,000","2,737,582,000","2,780,944,000","2,848,307,000","2,874,421,000","155,112,000","136,854,000","145,283,000","123,979,000","135,510,000","125,142,000","114,086,000","119,545,000","121,185,000","308,571,000","23,840,000","16,712,000"
		CashCashEquivalentsAndShortTermInvestments,"156,020,000","724,595,000","423,224,000","147,594,000","520,740,000","486,451,000","105,894,000","74,050,000","559,545,000","26,823,000","25,556,000","24,739,000","30,334,000","25,783,000","1,162,774,000","144,472,000","45,420,000","29,054,000","43,634,000","29,510,000","23,361,000","36,556,000","25,359,000","23,739,000","61,561,000","41,875,000","42,740,000","31,059,000","45,367,000","35,973,000","31,334,000","41,679,000","48,278,000","285,221,000","18,550,000","14,562,000"
			CashAndCashEquivalents,"156,020,000","724,595,000","423,224,000","147,594,000","520,740,000","486,451,000","105,894,000","74,050,000","559,545,000","26,823,000","25,556,000","24,739,000","30,334,000","25,783,000","1,162,774,000","144,472,000","45,420,000","29,054,000","43,634,000","29,510,000","23,361,000","36,556,000","25,359,000","23,739,000","61,561,000","41,875,000","42,740,000","31,059,000","45,367,000","35,973,000","31,334,000","41,679,000","48,278,000","285,221,000","18,550,000","14,562,000"
		Receivables,"1,867,721,000","1,201,670,000",,,,"0","0","246,000,000","303,684,000","303,684,000","303,684,000","303,684,000","303,684,000","316,684,000","2,614,389,000","2,621,897,000","2,632,430,000","2,650,639,000","2,669,252,000","2,687,866,000","2,706,099,000","2,736,911,000","2,755,454,000","2,773,995,000","27,813,000","29,350,000","32,388,000","32,925,000","33,463,000","34,000,000","35,000,000","36,000,000","41,000,000",,"418,000",
			AccountsReceivable,,"1,201,670,000",,,,,,,,,,,,"0","2,600,398,000","2,608,400,000","2,619,430,000","2,637,639,000","2,656,252,000","2,674,866,000","2,693,099,000","2,710,711,000","2,728,716,000","2,746,720,000",,,,,,,,,,,"418,000",
				GrossAccountsReceivable,,,,,,,,,,,,,,"0","3,866,047,000","3,890,647,000","3,918,247,000","3,953,198,000","3,988,925,000","4,024,652,000","4,059,992,000","4,094,942,000","4,130,670,000","4,166,397,000",,,,,,,,,,,"452,000",
				AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,,,,,"0","-1,265,649,000","-1,282,247,000","-1,298,817,000","-1,315,559,000","-1,332,673,000","-1,349,786,000","-1,366,893,000","-1,384,231,000","-1,401,954,000","-1,419,677,000",,,,,,,,,,,"-34,000",
			LoansReceivable,"1,867,721,000","1,201,670,000",,,,"0","0","246,000,000","303,684,000","303,684,000","303,684,000","303,684,000","303,684,000","316,684,000","13,991,000","13,497,000","13,000,000","13,000,000","13,000,000","13,000,000","13,000,000","26,200,000","26,738,000","27,275,000","27,813,000","29,350,000","32,388,000","32,925,000","33,463,000","34,000,000","35,000,000","36,000,000","41,000,000",,,
		PrepaidAssets,,,"809,000","2,152,000","1,461,000","2,098,000","2,195,000","2,582,000","4,544,000","4,228,000","2,665,000","2,943,000","3,462,000","30,967,000","10,061,000","4,417,000","8,282,000","8,452,000","9,762,000","4,379,000","8,122,000","7,477,000","9,511,000","6,185,000","7,362,000","7,908,000","7,519,000","3,542,000","7,468,000","7,900,000","10,026,000","4,779,000","7,667,000","5,983,000","2,887,000","1,141,000"
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,799,000","1,847,000","1,568,000","2,015,000",,,,,"1,985,000",
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,799,000","1,847,000","1,568,000","2,015,000",,,,,"1,985,000",
		AssetsHeldForSaleCurrent,"77,728,000","77,728,000","118,118,000","142,939,000","70,457,000","61,448,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,"57,983,000","70,502,000","58,376,000","57,721,000","60,837,000","54,606,000","47,644,000","45,254,000","37,726,000","37,087,000","24,240,000","17,367,000",,"1,009,000"
	TotalNonCurrentAssets,"8,619,011,000","8,686,456,000","8,742,622,000","8,806,634,000","8,420,832,000","8,484,371,000","8,528,894,000","8,342,793,000","8,031,388,000","8,099,563,000","8,172,847,000","8,232,498,000","8,309,352,000","8,203,859,000","4,508,674,000","4,517,774,000","4,534,315,000","4,558,737,000","4,612,160,000","4,635,465,000","4,576,817,000","4,588,386,000","4,573,013,000","4,274,641,000","2,281,117,000","2,311,301,000","2,370,832,000","2,391,995,000","2,416,967,000","2,439,438,000","2,481,351,000","2,462,132,000","2,440,701,000","2,300,668,000","243,343,000","250,363,000"
		NetPPE,"182,623,000","196,113,000","225,495,000","264,935,000","230,836,000","231,957,000","271,839,000","273,809,000","275,819,000","278,143,000","297,219,000","299,434,000","301,051,000","100,884,000","102,429,000","104,312,000","106,259,000","108,293,000","110,231,000","114,413,000","116,447,000","119,427,000","121,382,000","124,246,000","126,755,000","129,747,000","131,916,000","134,741,000","136,533,000","134,028,000","136,139,000","139,010,000","141,886,000","139,121,000","111,185,000","118,954,000"
			GrossPPE,"182,623,000","211,968,000","309,755,000","364,202,000","328,685,000","328,453,000","442,051,000","450,320,000","450,304,000","450,345,000","467,873,000","468,143,000","467,777,000","264,738,000","263,495,000","262,535,000","262,365,000","261,542,000","260,721,000","262,310,000","262,706,000","263,610,000","262,373,000","262,176,000","261,338,000","261,082,000","261,216,000","260,458,000","258,699,000","252,798,000","251,645,000","251,324,000","251,146,000","244,965,000","215,470,000","213,616,000"
				Properties,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
				LandAndImprovements,,"0","7,320,000","30,586,000","30,566,000","30,540,000","30,499,000","30,499,000","30,499,000","30,492,000","30,463,000","30,463,000","30,431,000","30,431,000","30,288,000","30,287,000","30,276,000","30,276,000","30,276,000","30,965,000","30,965,000","30,965,000","30,920,000","31,187,000","31,187,000","31,187,000","31,710,000","31,595,000","31,595,000","31,595,000","31,586,000","31,586,000","31,635,000","27,586,000","28,156,000","28,193,000"
				BuildingsAndImprovements,,"0","86,110,000","117,333,000","117,333,000","117,333,000","117,187,000","116,922,000","116,904,000","116,904,000","116,781,000","116,779,000","116,776,000","116,776,000","116,544,000","116,509,000","116,288,000","116,286,000","116,357,000","117,518,000","117,341,000","117,350,000","117,146,000","117,344,000","117,284,000","117,314,000","117,259,000","117,070,000","116,867,000","116,867,000","116,469,000","116,290,000","116,267,000","115,888,000","109,822,000","109,248,000"
				MachineryFurnitureEquipment,,"28,832,000","28,832,000","28,832,000","28,789,000","28,767,000","111,626,000","119,520,000","119,091,000","118,766,000","117,974,000","118,159,000","117,593,000","117,247,000","116,045,000","115,297,000","115,292,000","114,972,000","114,051,000","113,596,000","113,718,000","114,965,000","113,987,000","113,110,000","112,553,000","112,227,000","110,657,000","110,191,000","103,782,000","103,612,000","103,100,000","103,081,000","102,740,000","101,288,000","77,022,000","76,088,000"
				OtherProperties,"182,623,000","183,136,000","185,410,000","185,858,000","150,917,000","151,339,000","182,520,000","182,921,000","183,376,000","184,063,000","201,602,000","202,215,000","202,538,000","100,884,000",,,,,,,,,,,,,,,,,,,,,,
				ConstructionInProgress,,"0","2,083,000","1,593,000","1,080,000","474,000","219,000","458,000","434,000","120,000","1,053,000","527,000","439,000","284,000","618,000","442,000","509,000","8,000","37,000","231,000","682,000","330,000","320,000","535,000","314,000","354,000","1,590,000","1,602,000","6,455,000","724,000","490,000","367,000","504,000","203,000","470,000","87,000"
			AccumulatedDepreciation,,"-15,855,000","-84,260,000","-99,267,000","-97,849,000","-96,496,000","-170,212,000","-176,511,000","-174,485,000","-172,202,000","-170,654,000","-168,709,000","-166,726,000","-163,854,000","-161,066,000","-158,223,000","-156,106,000","-153,249,000","-150,490,000","-147,897,000","-146,259,000","-144,183,000","-140,991,000","-137,930,000","-134,583,000","-131,335,000","-129,300,000","-125,717,000","-122,166,000","-118,770,000","-115,506,000","-112,314,000","-109,260,000","-105,844,000","-104,285,000","-94,662,000"
