name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008
OperatingCashFlow,"1,106,600,000","399,600,000","188,600,000","285,200,000","233,200,000","448,700,000","249,000,000","207,100,000","249,500,000","362,600,000","176,400,000","213,600,000","200,300,000","366,100,000","173,400,000","226,600,000","207,300,000","327,000,000","151,400,000","162,300,000","111,900,000","317,900,000","82,429,000","85,186,000","74,606,000","303,879,000","103,643,000","164,543,000","84,511,000","270,990,000","110,817,000","91,800,000","54,007,000","232,828,000","120,468,000","139,761,000","55,434,000","191,257,000","147,232,000","133,562,000","-2,178,000","189,613,000","51,967,000","136,667,000","41,506,000","145,581,000","94,225,000","68,773,000","35,845,000","137,189,000","70,825,000","71,047,000","49,136,000","135,393,000","53,860,000","52,117,000","52,065,000","89,864,000"
	CashFlowFromContinuingOperatingActivities,"1,106,600,000","399,600,000","188,600,000","285,200,000","233,200,000","448,700,000","249,000,000","207,100,000","249,500,000","362,100,000","176,400,000","213,600,000","200,300,000","366,500,000","173,400,000","226,600,000","207,300,000","327,000,000","151,400,000","162,300,000","111,900,000","317,900,000","82,429,000","85,186,000","74,606,000","303,879,000","103,643,000","164,543,000","84,511,000","270,990,000","110,817,000","91,800,000","54,007,000","232,828,000","120,468,000","139,761,000","55,434,000","191,257,000","147,232,000","133,562,000","-2,178,000","189,613,000","51,967,000","136,667,000","41,506,000","145,581,000","94,225,000","68,773,000","35,845,000","137,189,000","70,825,000","71,047,000","49,136,000","135,393,000","53,860,000","52,117,000","52,065,000","89,864,000"
		NetIncomeFromContinuingOperations,"1,004,100,000","505,800,000","141,800,000","204,900,000","151,600,000","168,000,000","176,200,000","185,800,000","179,000,000","171,700,000","132,200,000","32,900,000","150,400,000","134,400,000","146,200,000","166,000,000","153,500,000","133,000,000","204,600,000","120,700,000","121,000,000","108,800,000","109,248,000","127,577,000","261,736,000","92,639,000","113,757,000","131,814,000","163,320,000","98,686,000","97,370,000","99,015,000","88,099,000","115,558,000","87,223,000","96,441,000","84,205,000","80,511,000","98,299,000","82,911,000","73,331,000","74,601,000",,,"65,577,000","65,876,000","65,893,000","62,880,000","58,404,000","55,375,000","-6,445,000","42,205,000","45,939,000","44,915,000","36,439,000","40,840,000","39,923,000","41,026,000"
		OperatingGainsLosses,,"-450,800,000","300,000","100,000",,,"19,500,000","100,000","-400,000","-19,100,000","-6,100,000","6,100,000","-200,000",,"500,000","-12,400,000",,,"200,000",,,,"3,787,000","-1,387,000","-268,397,000","97,000","1,109,000","-15,568,000","-85,225,000","21,000","403,000","-232,000","-74,000","-64,716,000","145,000","47,000","-91,000","619,000","503,000","705,000","58,000","-337,000","2,932,000","10,263,000","-3,126,000","2,860,000","-8,701,000","3,109,000","2,892,000","2,844,000","61,260,000","6,728,000","5,673,000","5,768,000","10,645,000","4,624,000","5,604,000","6,846,000"
			GainLossOnSaleOfBusiness,,,,,,,,"0","0","-19,400,000",,"6,200,000",,,,"0",,,"0","0",,,"3,174,000","311,000",,,"0","0","0","0","0","0","-11,000","-65,399,000",,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,"300,000","100,000","0","0","100,000","100,000","100,000","300,000","300,000","0","0",,"100,000","100,000","100,000",,"100,000","0","0","0","149,000","40,000","904,000","-93,000","381,000","1,000","-18,000","15,000","538,000","-225,000","52,000","683,000","152,000","48,000","2,000","426,000","509,000","67,000","28,000","-7,000",,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"-900,000",,,,,,,,"-500,000",,"-200,000","-100,000","-200,000",,"400,000","-12,500,000","-100,000",,,,,,"1,964,000","-1,738,000","84,000","190,000","181,000","-15,569,000","-85,207,000","6,000","-135,000","-7,000",,,"-7,000","-1,000","-93,000","193,000","-6,000","638,000","30,000","-330,000",,"86,000",,,"-25,000","-9,000","-29,000","-32,000",,,"-33,000","398,000",,,"12,000","1,274,000"
		DepreciationAmortizationDepletion,"384,300,000","94,200,000","96,600,000","89,700,000","103,800,000","93,500,000","93,200,000","90,900,000","86,900,000","87,100,000","85,600,000","79,100,000","79,300,000","79,800,000","76,000,000","72,700,000","73,600,000","73,700,000","64,400,000","61,200,000","55,700,000","56,100,000","50,509,000","52,179,000","53,263,000","68,649,000","67,417,000","52,044,000","57,440,000","38,583,000","37,302,000","36,138,000","34,944,000","35,099,000","35,053,000","33,097,000","34,007,000","32,421,000","30,535,000","28,156,000","25,277,000","20,231,000","19,532,000","19,595,000","19,732,000","19,760,000","17,736,000","16,193,000","16,964,000","17,233,000","17,679,000","17,633,000","18,182,000","17,705,000","17,416,000","16,095,000","15,413,000","15,948,000"
			DepreciationAndAmortization,"384,300,000","94,200,000","96,600,000","89,700,000","103,800,000","93,500,000","93,200,000","90,900,000","86,900,000","87,100,000","85,600,000","79,100,000","79,300,000","79,800,000","76,000,000","72,700,000","73,600,000","73,700,000","64,400,000","61,200,000","55,700,000","56,100,000","50,509,000","52,179,000","53,263,000","68,649,000","67,417,000","52,044,000","57,440,000","38,583,000","37,302,000","36,138,000","34,944,000","35,099,000","35,053,000","33,097,000","34,007,000","32,421,000","30,535,000","28,156,000","25,277,000","20,231,000","19,532,000","19,595,000","19,732,000","19,760,000","17,736,000","16,193,000","16,964,000","17,233,000","17,679,000","17,633,000","18,182,000","17,705,000","17,416,000","16,095,000","15,413,000","15,948,000"
				Depreciation,"208,000,000","49,600,000","53,000,000","52,100,000","53,300,000","48,500,000","50,900,000","49,400,000","45,900,000","46,100,000","47,700,000","45,800,000","45,700,000","46,600,000","43,700,000","39,500,000","41,600,000","40,500,000","36,200,000","33,800,000","31,800,000","33,800,000","28,368,000","29,501,000","29,457,000","38,874,000","34,049,000","33,501,000","28,628,000","24,442,000","23,051,000","21,951,000","20,723,000","20,776,000","20,550,000","17,704,000","16,811,000","15,214,000","13,176,000","12,714,000","13,090,000","11,644,000","10,869,000","10,798,000","10,855,000","11,305,000","10,820,000","10,035,000","9,944,000","9,929,000","10,044,000","9,621,000","9,718,000","9,195,000","9,839,000","9,054,000","8,517,000","7,907,000"
