name,11/30/2021,05/31/2021,11/30/2020
TotalAssets,"1,035,856,168","1,106,913,711","1,106,822,386"
TotalLiabilitiesNetMinorityInterest,"291,807,476","330,772,089","326,801,447"
TotalEquityGrossMinorityInterest,"744,048,692","776,141,622","780,020,939"
	StockholdersEquity,"744,048,692","776,141,622","780,020,939"
		CapitalStock,"735,089,598","734,124,860","734,153,420"
			CommonStock,"735,089,598","734,124,860","734,153,420"
		AdditionalPaidInCapital,"367,730","367,260","367,260"
		RetainedEarnings,"8,591,364","41,649,502","45,500,259"
TotalCapitalization,"1,024,048,692","1,085,141,622","1,087,020,939"
CommonStockEquity,"744,048,692","776,141,622","780,020,939"
NetTangibleAssets,"744,048,692","776,141,622","780,020,939"
InvestedCapital,"1,024,048,692","1,085,141,622","1,087,020,939"
TangibleBookValue,"744,048,692","776,141,622","780,020,939"
TotalDebt,"280,000,000","309,000,000","307,000,000"
NetDebt,"279,886,724","308,796,482","307,000,000"
ShareIssued,"36,772,989","36,726,034","36,726,034"
OrdinarySharesNumber,"36,772,989","36,726,034","36,726,034"
