name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999
TotalRevenue,"1,130,491,000","273,644,000","281,958,000","282,422,000","292,467,000","239,696,000","205,628,000","205,396,000","75,974,000","207,157,000","242,134,000","243,314,000","248,070,000","239,892,000","210,125,000","210,337,000","216,543,000","214,789,000","184,347,000","108,322,000","110,493,000","106,646,000","105,386,000","104,226,000","102,558,000","91,034,000","86,435,000","62,512,000","15,329,000","12,766,000","12,825,000","15,930,000","14,107,000","12,310,000","11,445,000","15,492,000","8,549,000","3,304,000","2,831,000","3,639,000","2,519,000","1,963,000","1,273,000","250,000","28,157,000","5,893,000","4,674,000","8,172,000","4,802,000","6,954,000","5,261,000","6,617,000","7,064,000","7,278,000","-7,403,000","11,215,000","10,959,000","9,561,000","8,344,000","7,007,000","8,129,000","4,972,000","6,114,000","5,908,000","11,220,000","6,631,000","5,388,000","2,131,000","6,601,000","4,104,000","5,725,000","2,974,000","4,718,000","4,140,000","387,000","377,000","2,954,000","550,000","0",,,"1,502,000","7,368,000","8,664,000","9,599,000","9,223,000","6,652,000","10,684,000","10,655,000","31,053,000","10,300,000","14,400,000","14,900,000","15,100,000"
	OperatingRevenue,"1,073,711,000","258,989,000","265,574,000","269,004,000","280,144,000","229,202,000","196,335,000","196,711,000","72,832,000","194,367,000","226,204,000","229,024,000","233,864,000","224,837,000","198,500,000","197,867,000","203,536,000","202,531,000","186,935,000","110,129,000","112,469,000","108,750,000","108,890,000","105,910,000","104,383,000","93,368,000","88,769,000","63,707,000","15,260,000","13,199,000","12,944,000","15,891,000","14,294,000","12,926,000","11,645,000","15,369,000","8,179,000","3,207,000","2,831,000","3,639,000","2,519,000","1,963,000","1,273,000","250,000","28,157,000","5,893,000","4,674,000","8,172,000","4,802,000","6,954,000","5,261,000","6,617,000","7,064,000","7,278,000","-7,403,000","11,215,000","10,959,000","9,561,000","8,344,000","7,007,000","8,129,000","4,972,000","6,114,000","5,908,000","11,220,000","6,631,000","5,388,000","2,131,000","6,601,000","4,104,000","5,725,000","2,974,000","4,718,000","4,140,000","387,000","377,000","2,954,000","550,000","0",,,"1,502,000","7,368,000","8,664,000","9,599,000","9,223,000","6,652,000","10,684,000","10,655,000","31,053,000","10,300,000","14,400,000","14,900,000","15,100,000"
CostOfRevenue,"621,677,000","153,558,000","159,961,000","156,338,000","151,820,000","132,219,000","123,285,000","112,641,000","50,960,000","132,081,000","145,446,000","146,278,000","145,391,000","141,397,000","129,697,000","127,887,000","129,807,000","126,841,000","112,408,000","76,893,000","78,438,000","76,002,000","76,681,000","75,509,000","73,485,000","64,657,000","61,244,000","43,568,000","8,543,000","7,514,000","7,478,000","8,903,000","8,195,000","7,339,000","7,305,000","8,168,000","3,409,000","629,000","833,000","833,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"997,000","2,784,000","2,670,000","1,630,000","1,355,000","3,087,000","2,152,000","1,983,000","1,737,000","4,176,000","2,420,000",,,,,,,,,,,,,,,,,,,,,,,,,,"100,000",,
GrossProfit,"508,814,000","120,086,000","121,997,000","126,084,000","140,647,000","107,477,000","82,343,000","92,755,000","25,014,000","75,076,000","96,688,000","97,036,000","102,679,000","98,495,000","80,428,000","82,450,000","86,736,000","87,948,000","71,939,000","31,429,000","32,055,000","30,644,000","28,705,000","28,717,000","29,073,000","26,377,000","25,191,000","18,944,000","6,786,000","5,252,000","5,347,000","7,027,000","5,912,000","4,971,000","4,140,000","7,324,000","5,140,000","2,675,000","1,998,000","2,806,000","2,519,000","1,963,000","1,273,000","250,000","28,157,000","5,893,000","4,674,000","8,172,000","4,802,000","6,954,000","5,261,000","6,617,000","7,064,000","7,278,000","-951,000","10,218,000","8,175,000","6,891,000","6,714,000","5,652,000","5,042,000","2,820,000","4,131,000","4,171,000","7,044,000","4,211,000","5,388,000",,"6,601,000","4,104,000","5,725,000",,"4,718,000","4,140,000","387,000","377,000",,,"0",,,"1,502,000","7,368,000","8,664,000","9,599,000","9,223,000","6,652,000","10,684,000",,"31,053,000",,"14,300,000",,"15,100,000"
OperatingExpense,"335,249,000","87,241,000","86,998,000","80,934,000","80,076,000","80,897,000","77,036,000","83,756,000","64,487,000","78,871,000","85,475,000","86,960,000","86,949,000","84,990,000","71,382,000","70,830,000","67,229,000","70,078,000","66,012,000","27,476,000","27,411,000","25,326,000","26,105,000","25,840,000","23,588,000","22,599,000","20,413,000","17,363,000","6,419,000","7,014,000","6,548,000","6,351,000","6,587,000","6,593,000","6,368,000","6,344,000","6,240,000","4,553,000","3,741,000","3,339,000","2,221,000","2,621,000","16,359,000","4,144,000","11,558,000","4,656,000","4,353,000","5,336,000","7,562,000","4,315,000","648,000","7,105,000","8,869,000","6,431,000","48,224,000","15,322,000","14,709,000","14,744,000","13,467,000","11,971,000","3,488,000","10,102,000","-3,406,000","3,287,000","-8,499,000","-6,031,000","5,511,000","9,844,000","12,416,000","6,906,000","6,432,000","5,815,000","12,357,000","5,875,000","3,588,000","2,639,000","1,869,000","3,107,000","3,653,000","2,830,000","9,692,000","2,198,000","4,884,000","2,864,000","3,269,000","2,911,000","1,910,000","2,976,000","3,075,000","3,975,000","2,800,000","1,200,000","3,400,000","2,200,000"
	SellingGeneralAndAdministration,"229,286,000","60,910,000","60,634,000","54,457,000","53,285,000","53,591,000","47,122,000","52,132,000","32,548,000","47,610,000","55,560,000","57,106,000","56,235,000","56,947,000","48,034,000","47,479,000","43,986,000","44,393,000","45,937,000","19,655,000","19,429,000","18,502,000","17,883,000","17,816,000","16,222,000","16,234,000","16,166,000","12,134,000","5,539,000","6,135,000","5,648,000","5,455,000","5,723,000","5,740,000","5,550,000","5,398,000","4,613,000","3,767,000","3,137,000","2,846,000","1,905,000","2,303,000","1,979,000","2,537,000","2,286,000","2,656,000","2,341,000","2,936,000","3,253,000","3,235,000","2,915,000","3,508,000","3,767,000","4,042,000","5,832,000","13,341,000","13,943,000","10,892,000","10,335,000","10,058,000","9,966,000","9,741,000","8,449,000","8,772,000","8,833,000","9,176,000","10,835,000","7,591,000","11,347,000","9,650,000","9,344,000","5,652,000","5,800,000","5,732,000","3,435,000","2,504,000","4,950,000","2,979,000","3,521,000","2,700,000","9,572,000","2,099,000","4,538,000","2,541,000","2,940,000","2,580,000","1,578,000","2,647,000","2,747,000","2,054,000","2,300,000","800,000","2,900,000","1,700,000"
		GeneralAndAdministrativeExpense,,,,,,,,,,,,,,,,"47,500,000",,,"504,000","282,000","574,000","272,000","578,000","801,000","519,000","573,000",,"129,000",,,"0",,"0","0","21,000","0",,"265,000","833,000","833,000",,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,,,,,,,,,,,,,,,,"47,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"105,782,000","26,276,000","26,350,000","26,474,000","26,682,000","27,186,000","29,793,000","31,551,000","31,930,000","31,156,000","29,740,000","29,611,000","29,976,000","27,265,000","23,035,000","23,330,000","22,854,000","25,237,000","19,287,000","7,539,000","7,408,000","6,552,000","7,644,000","7,223,000","6,847,000","5,792,000","3,939,000","5,100,000","880,000","879,000","900,000","896,000","864,000","853,000","797,000","946,000","725,000","521,000","604,000","493,000","316,000","318,000","397,000","316,000","9,272,000","2,000,000","2,848,000","2,850,000","2,851,000","2,850,000","2,855,000","2,693,000","2,596,000","2,552,000","1,533,000","1,900,000","1,891,000","1,869,000","1,858,000","1,313,000","191,000","290,000","325,000","303,000","315,000","269,000","132,000","133,000","113,000","92,000","142,000","163,000","150,000","143,000","153,000","135,000","131,000","128,000","132,000","130,000","120,000","99,000","346,000","323,000","329,000","331,000","332,000","329,000","328,000","1,921,000","500,000","400,000","500,000","500,000"
		DepreciationAndAmortizationInIncomeStatement,"105,782,000","26,276,000","26,350,000","26,474,000","26,682,000","27,186,000","29,793,000","31,551,000","31,930,000","31,156,000","29,740,000","29,611,000","29,976,000","27,265,000","23,035,000","23,330,000","22,854,000","25,237,000","19,287,000","7,539,000","7,408,000","6,552,000","7,644,000","7,223,000","6,847,000","5,792,000","3,939,000","5,100,000","880,000","879,000","900,000","896,000","864,000","853,000","797,000","946,000","725,000","521,000","604,000","493,000","316,000","318,000","397,000","316,000","9,272,000","2,000,000","2,848,000","2,850,000","2,851,000","2,850,000","2,855,000","2,693,000","2,596,000","2,552,000","1,533,000","1,900,000","1,891,000","1,869,000","1,858,000","1,313,000","191,000","290,000","325,000","303,000","315,000","269,000","132,000","133,000","113,000","92,000","142,000","163,000","150,000","143,000","153,000","135,000","131,000","128,000","132,000","130,000","120,000","99,000","346,000","323,000","329,000","331,000","332,000","329,000","328,000","1,921,000","500,000","400,000","500,000","500,000"
