name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,06/30/2008
TotalAssets,"8,627,012,000","8,881,309,000","8,810,614,000","9,064,126,000","9,050,998,000","9,202,961,000","9,122,110,000","8,905,859,000","9,312,060,000","11,021,099,000","10,934,949,000","10,997,824,000","14,285,970,000","12,269,515,000","11,959,312,000","11,986,246,000","12,192,993,000","12,260,431,000","12,257,260,000","12,301,453,000","12,273,741,000","12,862,247,000","12,824,272,000","13,341,367,000","13,382,670,000","13,821,098,000","13,459,229,000","13,626,945,000","13,581,933,000","14,040,242,000","14,306,035,000","14,752,178,000","14,597,126,000","15,097,302,000","15,231,181,000","15,296,478,000","15,519,151,000","16,292,713,000","16,402,319,000","16,451,822,000","16,489,343,000","16,542,039,000","16,508,946,000","16,882,051,000","16,938,645,000","17,479,867,000","17,393,491,000","17,286,782,000","17,399,984,000","18,047,101,000","17,696,076,000","17,897,885,000","22,029,059,000","21,125,463,000","19,078,372,000"
	CurrentAssets,"1,315,897,000","1,472,867,000","1,356,016,000","1,511,039,000","1,366,081,000","1,618,976,000","1,496,517,000","1,209,549,000","1,524,961,000","1,416,348,000","1,271,163,000","1,113,685,000","2,090,052,000","2,235,017,000","2,078,792,000","2,023,373,000","2,082,205,000","2,067,347,000","2,027,474,000","1,973,593,000","1,942,534,000","2,504,687,000","2,276,523,000","2,702,811,000","2,618,393,000","2,810,883,000","2,165,603,000","2,185,836,000","1,917,553,000","2,180,143,000","2,299,519,000","2,612,009,000","2,350,390,000","2,513,294,000","2,479,745,000","2,461,720,000","2,369,154,000","2,993,807,000","3,067,410,000","3,055,871,000","2,967,345,000","2,985,285,000","2,923,592,000","3,025,016,000","3,142,629,000","3,622,658,000","3,401,676,000","3,287,691,000","3,168,367,000","3,658,845,000","3,065,422,000","3,228,961,000","3,231,932,000","2,066,555,000","2,908,899,000"
		CashCashEquivalentsAndShortTermInvestments,"279,683,000","352,129,000","369,094,000","583,341,000","529,134,000","720,662,000","713,728,000","517,684,000","646,774,000","400,300,000","277,050,000","127,159,000","448,130,000","406,493,000","311,162,000","261,763,000","297,407,000","267,109,000","286,370,000","260,465,000","365,042,000","845,030,000","542,910,000","951,853,000","978,536,000","772,678,000","382,846,000","387,449,000","289,014,000","457,024,000","522,356,000","798,438,000","660,742,000","708,151,000","711,052,000","704,166,000","721,570,000","1,225,010,000","1,296,643,000","1,316,516,000","1,326,061,000","1,228,682,000","1,165,381,000","1,219,156,000","1,510,804,000","1,920,926,000","1,700,834,000","1,504,730,000","1,482,291,000","1,883,994,000","1,374,770,000","1,497,502,000","1,574,800,000","239,846,000","668,093,000"
			CashAndCashEquivalents,"279,683,000","352,129,000","369,094,000","583,341,000","529,134,000","720,662,000","713,728,000","517,684,000","646,774,000","400,300,000","277,050,000","127,159,000","448,130,000","406,493,000","311,162,000","261,763,000","297,407,000","267,109,000","286,370,000","260,465,000","365,042,000","845,030,000","542,910,000","951,853,000","978,536,000","772,678,000","382,846,000","387,449,000","289,014,000","457,024,000","522,356,000","798,438,000","660,742,000","708,151,000","711,052,000","704,166,000","721,570,000","1,225,010,000","1,296,643,000","1,316,516,000","1,326,061,000","1,228,682,000","1,165,381,000","1,219,156,000","1,510,804,000","1,920,926,000","1,700,834,000","1,504,730,000","1,482,291,000","1,883,994,000","1,374,770,000","1,497,502,000","1,574,800,000","239,846,000","668,093,000"
				CashFinancial,,,,,,"720,700,000",,,,"400,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"713,277,000",,,,,,,,,,,,,,,,,,,,,
		Receivables,"906,901,000","1,048,134,000","857,970,000","788,872,000","704,096,000","813,834,000","665,854,000","570,117,000","749,925,000","928,714,000","843,190,000","843,064,000","1,387,122,000","1,575,170,000","1,466,924,000","1,419,039,000","1,367,012,000","1,508,370,000","1,433,019,000","1,423,580,000","1,244,649,000","1,364,404,000","1,392,997,000","1,400,603,000","1,274,294,000","1,442,038,000","1,433,353,000","1,434,232,000","1,242,075,000","1,395,248,000","1,401,451,000","1,424,233,000","1,302,243,000","1,454,346,000","1,424,367,000","1,389,141,000","1,264,529,000","1,423,999,000","1,405,259,000","1,371,276,000","1,254,938,000","1,404,674,000","1,382,269,000","1,453,260,000","1,259,912,000","1,393,365,000","1,357,179,000","1,323,697,000","1,201,429,000","1,437,907,000","1,312,295,000","1,348,749,000","1,223,406,000","1,477,919,000","1,773,939,000"
			AccountsReceivable,"906,901,000","1,030,380,000","857,970,000","788,872,000","704,096,000","801,380,000","665,854,000","570,117,000","749,925,000","902,908,000","843,190,000","843,064,000","1,387,122,000","1,575,170,000","1,466,924,000","1,419,039,000","1,367,012,000","1,508,370,000","1,433,019,000","1,423,580,000","1,244,649,000","1,364,404,000","1,392,997,000","1,400,603,000","1,274,294,000","1,442,038,000","1,433,353,000","1,434,232,000","1,242,075,000","1,395,248,000","1,401,451,000","1,424,233,000","1,302,243,000","1,454,346,000","1,424,367,000","1,389,141,000","1,264,529,000","1,423,999,000","1,405,259,000","1,371,276,000","1,254,938,000","1,404,674,000","1,382,269,000","1,453,260,000","1,259,912,000","1,393,365,000","1,357,179,000","1,323,697,000","1,201,429,000","1,301,700,000","1,312,295,000","1,335,479,000","1,223,406,000","1,431,304,000","1,773,939,000"
				GrossAccountsReceivable,"935,445,000","1,059,650,000","887,851,000","814,054,000","737,324,000","840,157,000","694,225,000","596,318,000","769,965,000","915,537,000","851,278,000","846,145,000","1,436,741,000","1,625,978,000","1,513,455,000","1,468,588,000","1,418,088,000","1,556,820,000","1,473,529,000","1,461,823,000","1,280,359,000","1,398,286,000","1,429,553,000","1,436,341,000","1,313,450,000","1,476,927,000","1,467,561,000","1,466,792,000","1,272,268,000","1,434,946,000","1,440,264,000","1,469,356,000","1,349,285,000","1,502,747,000",,,,"1,479,916,000",,,,"1,467,772,000",,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-28,544,000","-29,270,000","-29,881,000","-25,182,000","-33,228,000","-38,777,000","-28,371,000","-26,201,000","-20,040,000","-12,629,000","-8,088,000","-3,081,000","-49,619,000","-50,808,000","-46,531,000","-49,549,000","-51,076,000","-48,450,000","-40,510,000","-38,243,000","-35,710,000","-33,882,000","-36,556,000","-35,738,000","-39,156,000","-34,889,000","-34,208,000","-32,560,000","-30,193,000","-39,698,000","-38,813,000","-45,123,000","-47,042,000","-48,401,000",,,,"-55,917,000",,,,"-63,098,000",,,,,,,,,,,,,
			TaxesReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"136,207,000",,"13,270,000",,"46,615,000",
			DuefromRelatedPartiesCurrent,,"391,000",,,,"549,000",,,,"1,480,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,"17,363,000",,,,"11,905,000",,,,"24,326,000",,,,,,,,,"0",,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,"0",,,,
		Inventory,,"3,154,000",,,,"1,153,000",,,,"507,000",,,,"18,416,000",,,,"22,470,000",,,,"22,068,000",,,,"24,833,000",,,,"23,777,000",,,,"26,872,000",,,,"23,110,000",,,,,,,,,,,,,,,,,
		PrepaidAssets,"86,191,000","69,025,000","98,204,000","101,529,000","99,074,000","82,188,000","80,931,000","86,003,000","84,844,000","74,708,000","120,981,000","109,101,000","179,823,000","201,544,000","240,980,000","245,444,000","269,148,000","216,846,000","230,209,000","231,691,000","264,592,000","187,303,000","205,750,000","215,002,000","239,336,000","192,239,000","217,310,000","223,044,000","244,840,000","196,038,000","205,906,000","216,306,000","217,453,000","194,766,000","185,693,000","187,721,000","210,334,000","187,867,000",,,,"161,317,000",,,,"124,114,000",,,,"81,669,000","96,253,000","104,602,000","130,346,000","133,217,000","138,527,000"
		RestrictedCash,,"425,000",,,,"0",,,,"11,318,000",,,,"7,649,000",,,,"26,096,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,,,,"32,768,000",,,,"70,395,000",,,,"82,132,000",,,,"63,695,000",,,,,,,,,,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"37,793,000",,,,"51,967,000",,,,"19,249,000",,,,,,,,,,,,,,,,,
		AssetsHeldForSaleCurrent,,,,,,,,,,"0","0","0",,,,,,,"0","0","0","55,602,000","55,184,000","55,053,000","55,159,000","295,075,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,"43,122,000","1,120,800,000","30,748,000","37,297,000","33,777,000","1,139,000","36,004,000","35,745,000","43,418,000","801,000","29,942,000","34,361,000","74,977,000","25,745,000","59,726,000","97,127,000","148,638,000","26,456,000","77,876,000","57,857,000","68,251,000","30,280,000","79,682,000","80,300,000","71,068,000","51,252,000","132,094,000","141,111,000","141,624,000","37,661,000","169,806,000","173,032,000","169,952,000","47,027,000","158,633,000","180,692,000","172,721,000","70,126,000","365,508,000","368,079,000","386,346,000","190,612,000","375,942,000","352,600,000","371,913,000","184,253,000","343,663,000","459,264,000","484,647,000","255,275,000","282,104,000","278,108,000","303,380,000","215,573,000","328,340,000"
	TotalNonCurrentAssets,"7,311,115,000","7,408,442,000","7,454,598,000","7,553,087,000","7,684,917,000","7,583,985,000","7,625,593,000","7,696,310,000","7,787,099,000","9,604,751,000","9,663,786,000","9,884,139,000","12,195,918,000","10,034,498,000","9,880,520,000","9,962,873,000","10,110,788,000","10,193,084,000","10,229,786,000","10,327,860,000","10,331,207,000","10,357,560,000","10,547,749,000","10,638,556,000","10,764,277,000","11,010,215,000","11,293,626,000","11,441,109,000","11,664,380,000","11,860,099,000","12,006,516,000","12,140,169,000","12,246,736,000","12,584,008,000","12,751,436,000","12,834,758,000","13,149,997,000","13,298,906,000","13,334,909,000","13,395,951,000","13,521,998,000","13,556,754,000","13,585,354,000","13,857,035,000","13,796,016,000","13,857,209,000","13,991,815,000","13,999,091,000","14,231,617,000","14,388,256,000","14,630,654,000","14,668,924,000","18,797,127,000","19,058,908,000","16,169,473,000"
		NetPPE,"1,476,244,000","1,523,503,000","1,517,476,000","1,561,012,000","1,606,667,000","1,637,589,000","1,648,710,000","1,660,056,000","1,700,582,000","1,728,638,000","1,720,346,000","1,734,987,000","4,100,513,000","1,791,140,000","1,719,091,000","1,755,279,000","1,838,799,000","1,884,714,000","1,888,063,000","1,926,659,000","1,922,631,000","1,948,162,000","2,038,854,000","2,068,547,000","2,144,440,000","2,212,556,000","2,342,086,000","2,404,926,000","2,585,790,000","2,699,064,000","2,728,741,000","2,814,319,000","2,855,386,000","2,897,630,000","2,881,270,000","2,903,655,000","2,965,864,000","3,036,854,000","3,006,451,000","3,021,548,000","3,053,008,000","3,063,327,000","3,037,215,000","3,118,220,000","3,117,816,000","3,145,554,000","3,186,514,000","3,169,476,000","3,259,714,000","3,332,393,000","3,412,070,000","3,429,500,000","3,447,753,000","3,548,159,000","3,081,487,000"
