name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017
OperatingCashFlow,"399,000,000","-62,000,000","223,000,000","89,000,000","149,000,000","22,000,000","-92,900,000","-111,700,000","159,300,000","4,300,000","126,300,000","39,600,000","52,600,000","5,600,000","139,500,000","163,900,000","136,900,000","47,000,000","6,700,000","76,500,000"
	CashFlowFromContinuingOperatingActivities,"399,000,000","-62,000,000","223,000,000","89,000,000","149,000,000","22,000,000","-92,900,000","-111,700,000","159,300,000","4,300,000","126,300,000","39,600,000","52,600,000","5,600,000","139,500,000","163,900,000","136,900,000","47,000,000","6,700,000","76,500,000"
		NetIncomeFromContinuingOperations,"-363,000,000","48,000,000","-97,000,000","-104,000,000","-210,000,000","-61,000,000","-322,800,000","-135,000,000","-53,200,000","-49,100,000","-9,500,000","10,000,000","35,900,000","31,500,000","16,400,000","60,200,000","-62,800,000","72,700,000","-161,500,000","-20,700,000"
		OperatingGainsLosses,,"1,000,000","3,000,000","0",,,"-300,000","-169,700,000","-47,500,000","-3,800,000",,,,,,,,,"-3,600,000","0"
			GainLossOnSaleOfBusiness,,,"-1,000,000",,,,"-300,000",,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"690,000,000","176,000,000","174,000,000","170,000,000","170,000,000","202,000,000","222,200,000","132,300,000","80,900,000","81,500,000","83,400,000","78,700,000","69,300,000","83,100,000","73,700,000","72,700,000","75,300,000","74,300,000","87,100,000","75,200,000"
			DepreciationAndAmortization,"690,000,000","176,000,000","174,000,000","170,000,000","170,000,000","202,000,000","222,200,000","132,300,000","80,900,000","81,500,000","83,400,000","78,700,000","69,300,000","83,100,000","73,700,000","72,700,000","75,300,000","74,300,000","87,100,000","75,200,000"
		DeferredTax,"-133,000,000","-11,000,000","-35,000,000","-5,000,000","-82,000,000","-32,000,000","35,000,000","-81,400,000","-53,300,000","-25,100,000","-14,800,000","-25,400,000","24,000,000","16,300,000","-73,300,000","1,800,000","13,200,000","-2,400,000","-6,400,000","-6,400,000"
			DeferredIncomeTax,"-133,000,000","-11,000,000","-35,000,000","-5,000,000","-82,000,000","-32,000,000","35,000,000","-81,400,000","-53,300,000","-25,100,000","-14,800,000","-25,400,000","24,000,000","16,300,000","-73,300,000","1,800,000","13,200,000","-2,400,000","-6,400,000","-6,400,000"
		AssetImpairmentCharge,"358,000,000","28,000,000","5,000,000","56,000,000","269,000,000","9,000,000","20,400,000","1,200,000","3,500,000","0","7,900,000","20,700,000","0","4,000,000","18,000,000","4,600,000","97,900,000","0","66,800,000","0"
